,Name,Review Rate,Review Time,Review Text
0,Rotisserie Amsterdam, 5 stars ,6 months ago,"Had the fried chicken bun and loaded fries. Best chicken burger I have had in the Netherlands and possibly even ever. Loaded Fries were super hot, but luckily I can handle spice.  Staff were lovely, and we will 100% be back to try the rest of the menu."
1,Rotisserie Amsterdam, 5 stars ,6 months ago,"Great place in vibrant Amsterdam West for the best burgers.

New York style juicy burgers. And friendly staff"
2,Rotisserie Amsterdam, 4 stars ,a month ago,"Great food, burgers were amazing. The male server with glasses and longer hair was pretty rude and pushy. I understand its busy but we arrived on time and you still made us uncomfortable."
3,Rotisserie Amsterdam, 5 stars ,5 months ago,"Had the chicken sandwich bun👌also their signature potatoes was super good👏
The service was amazing 💯
Come here eat good food and have a good time"
4,Rotisserie Amsterdam, 4 stars ,4 months ago,"Good food - try the CFC and fried chicken bun.

Loved the music over here and the staffs were super quick! …"
5,Rotisserie Amsterdam, 2 stars ,5 months ago,"Food was decent yet could have been better if properly cooked. Rotisserie chicken was decent, skin wasn't very crispy and smaller then i expected but we'll seasoned. Fried chicken was also nicely seasoned but burnt. I went inside to get new …"
6,Rotisserie Amsterdam, 5 stars ,4 months ago,"Not a big fan of their fries but BEST burgers in Amsterdam! I had a cheese burger last time, can't wait to eat it again. It reminded me of In-N-Out burgers :)"
7,Rotisserie Amsterdam, 5 stars ,9 months ago,"Delicious roasted chicken. Awesome fries. Friendly staff, especially the guy with the curly hair 👌"
8,Rotisserie Amsterdam, 5 stars ,6 months ago,The fried chicken bun is hands down the best sandwich you'll find in Amsterdam. Their fries are also always super fresh and crispy. And on top of that the staff is extremely friendly and always trying their hardest to make sure you're having a good time.
9,Rotisserie Amsterdam, 2 stars ,2 years ago,Patties in my burger were over-over-overcooked. They were !!!crunchy!!! (like fat which was deep fried) and extremely dry and the bacon was the opposite 😖 I found this place in '10 best burgers in Amsterdam' and it definitely doesn't belong.
10,Rotisserie Amsterdam, 5 stars ,3 years ago,"Such a good chicken burger. A very nice place. The interior design is charming. Lights of candles help the ambience.
The fries is perfect. …"
11,Rotisserie Amsterdam, 4 stars ,6 months ago,"Great food, the wings are a bit skinny and jot really that hot but everything else on the menu is worthwhile. We went for a late night bite and it was a exactly what we needed. If you are really nice the waitress will play underworld for you... :)"
12,Rotisserie Amsterdam, 5 stars ,2 weeks ago,Best fries in our lives!
13,Rotisserie Amsterdam, 5 stars ,2 years ago,"Amazing food, great atmosphere with very friendly staff and huge selection of beers. Burgers (beef, chicken and vegan options) are huge and gorgeous, portions are generous. Prices are quite low in my opinion for what your getting. …"
14,Rotisserie Amsterdam, 4 stars ,3 years ago,Rotisserie was a good late lunch experience. There were three of us so we were able to entertain ourselves while we waited. It's true the food takes a while but it is cooked to order so it is hot and fresh. We all had chicken and it cooked …
15,Rotisserie Amsterdam, 2 stars ,2 years ago,"Probably caught them on a bad weekend. They were out of hot wings, out of cauliflower and out of something else I don’t remember.  And the Bibb lettuce radish and avocado salad.... well see for yourself.  I would have just said I was out of …"
16,Rotisserie Amsterdam, 5 stars ,5 months ago,"Great burgers, loaded fries and a fine selection of local beer."
17,Rotisserie Amsterdam, 4 stars ,2 years ago,"The food was tasty, but service was very slow and not attentive at all. Also a bit too warm inside (was a hot day in fairness) and all high tables with stools which I never find especially comfy. Worth a visit for the food if you're in the area!"
18,Rotisserie Amsterdam, 5 stars ,a year ago,Ordered the 1/2 rotisserie chicken for takeaway and I absolutely enjoyed it! The texture was juicy and tender and it was so flavourful! Loved the smokey touch to it too. I would recommend ordering it with the blue cheese ranch dressing. …
19,Rotisserie Amsterdam, 5 stars ,2 years ago,"Very delicious food
We ordered the royal cheese burger and the pork ribs both were so good …"
20,Rotisserie Amsterdam, 5 stars ,3 years ago,"Cool burgers and roasted chicken! The vegetarian burger with portobello is tasty as well, even if it's not the best veggie one that I ever tasted."
21,Rotisserie Amsterdam, 5 stars ,6 months ago,"Best chicken burger ever… burger of the month as main wasn’t bad, still not as good as the chicken bun"
22,Rotisserie Amsterdam, 5 stars ,a year ago,"The burgers here are just devine! Absolutely love the balance of flavours and diligence of the chefs. Sweet fries with that gooey cheese sauce are just unbeatable. No doubt, best burger in Amsterdam. Keep it coming, guys!"
