,Name,Review Rate,Review Time,Review Text
0,SLA, 5 stars ,a month ago,Must-go place if you are a vegan/vegetarian. Loved the salad bowls here.
1,SLA, 5 stars ,2 years ago,"A good set of healthy options in the city center. Salad bowls are quite big and reasonably priced (in between 8 and 12 EUR). Service is fast, food is tasty - I'm definitely coming here again. Cards are accepted. Outside seating is available most of the year."
2,SLA, 5 stars ,2 years ago,SLA is an organic salad bar where you are guaranteed to walk out the door full of energy.  Color on your plate equals high nutrition. …
3,SLA, 5 stars ,2 years ago,"Very nice and cozy place, small and intimate with very good healthy food and many vegan options. Location is very good, what makes it a good alternative for vegan people in the city center. Notice that the place is rather small, so better to come before rush hour."
4,SLA, 4 stars ,2 years ago,"They have a big variety of different salads but you can also create your own.
The ingredients are fresh and the salads (I had the hummus/chickpeas one) taste very delicious. …"
5,SLA, 5 stars ,4 years ago,"Healthy, Tasty and Good price. Nice relaxed vibe. Best matcha latte i have ever had. The prices are quite reasonable for the amount and quality of the food. The staff is also very friendly."
6,SLA, 5 stars ,5 months ago,Very fresh and healthy option of bowls and salads. The portion sizes are really filling at a very fair price and great service.
7,SLA, 5 stars ,3 years ago,"Location is good.
Store is clean.
Selection of sald is amazing. …"
8,SLA, 5 stars ,2 months ago,"Absolutely delicious and healthy vegan food and friendly employees!
Will definitely come back again! :)"
9,SLA, 5 stars ,2 years ago,"We love SLA so much 💗💗💗 we visited 2 of their branches while we were in Amsterdam this May 2019. Here we ate around 4 times and enjoyed every second. Great vegan food, tasty and healthy. Loved their main dishes, smoothies and also cakes! Thank you very much"
10,SLA, 4 stars ,2 years ago,"Well, if you are looking for some warm food this is definitely not the place. But apart from this the place is cool. Food is good. Coffee is strong. Helpful staffs and laughing at each other loudly which I find good. It means they enjoy working there. ;)"
11,SLA, 5 stars ,2 years ago,Amazing selection of vegetarian options! The falafel bowl was super yummy!
12,SLA, 5 stars ,3 years ago,"Delicious, filling, and healthy! Lots of terrific options for food and drink that actually make you feel great. The staff were very helpful and very friendly. They also had our gluten-free and vegan requirements covered no problem!"
13,SLA, 5 stars ,4 years ago,"An awesome experience !
The bowls are really great with some good products
The juices are tasty …"
