,Name,Review Rate,Review Time,Review Text
0,Saigon Caphe, 4 stars ,8 months ago,"Authentic flavor and good portions. We ordered multiple items - lamb chops, summer rolls, chicken satay / skewers as appetizers. All of them were delicious and were reasonably priced. Entrees included Thai lemon curry chicken, beef pho and …"
1,Saigon Caphe, 4 stars ,a month ago,I had a lovely dinner here. The taste is quite delicious. The service is also very very good.
2,Saigon Caphe, 2 stars ,7 months ago,"The lunch menu is of great value vs cost. It was tasty and the portion was big. Recommended if you feel like having Vietnamese food.
Update: Lowering the score given that my partner and I had stomach issues the next day. Kitchen needs to be clean up or use fresh products."
3,Saigon Caphe, 5 stars ,6 months ago,"Ate twice in one week, the pho is amazing and very fair priced. Their homemade Iced tea is also very nice."
4,Saigon Caphe, 2 stars ,4 months ago,"Tasty as usual,but not really satisfy with the cleaning condition.Nobody would like to eat around so many flies."
5,Saigon Caphe, 5 stars ,2 years ago,Their lunch sets are so affordable and good! I got the curry and fresh shrimp spring roll and my friend got pho plus fried chicken spring roll. We both enjoyed our food. Service is also good so I highly recommend!
6,Saigon Caphe, 4 stars ,4 months ago,The lunch menu wss delicious.  I love soups so the starter and soup was just perfect. The beef soup was rich and I could not finish the helping. The dessert I chose: ice-cream was disappointing. Staff friendly and helpful. Recommended
7,Saigon Caphe, 4 stars ,a week ago,Nice place and Friendly staff
8,Saigon Caphe, 5 stars ,4 months ago,"Really good Vietnamese restaurant. We always come here for the pho. We've tried plenty of their side dishes also. And they all tasted amazing.
They also have lunch menu. Consisting out of medium size pho and bread with meat …"
9,Saigon Caphe, 3 stars ,3 months ago,"We heard some good things about this place, so it could be that our expectations were a bit too high. The staff is friendly, the restaurant looked very nice but the toilet could be cleaned a bit more. Upon arrival they ask for your QR code …"
10,Saigon Caphe, 5 stars ,a year ago,"Great Vietnamese place, this is our comfort hot warm soup fix place, their phō and bún dishes are recommended. …"
11,Saigon Caphe, 4 stars ,2 years ago,"Friendly staff, excellent service.
food is price-quality ok.
Highly recommend No. 1 rice noodle soup(not in the picture). Every time we would …"
12,Saigon Caphe, 5 stars ,2 years ago,"Regular visit every month. Definately a recommendation!
Quite tasty. And good for value menu.
The Pho soup is really nice, with beef flavour and spicy flavour both …"
13,Saigon Caphe, 4 stars ,2 years ago,"Always nice to have hot soup in cold wintertime.

We got recommended by Taiwanese friends to try Vietnamese cuisine after ISE show …"
14,Saigon Caphe, 4 stars ,3 years ago,"As a frequent Vietnamese restaurant visitor I can say that this is one of the better Vietnamese places in Holland. They do lunch menu's, serve pretty quick, most of the time friendly and has a nice vibe there. …"
15,Saigon Caphe, 3 stars ,4 months ago,affordable vietnamese dishes. Adjusted to dutch tastes. Consistency can be improved.
16,Saigon Caphe, 5 stars ,2 years ago,"Affordable, authentic Vietnamese food!

This place had a very good quality, fresh phos and rolls! Broth tasted delicious …"
17,Saigon Caphe, 5 stars ,2 years ago,I have take away a pho soup with raw beef. Everything was well packaged. Soup was delicious! Raw beef was good but fat (a lot of  gristle on it) but everything was perfect! I recommend this place !
18,Saigon Caphe, 4 stars ,3 years ago,The service is prompt and good. They have a good selection of Vietnamese dishes. I tried the spicy beef and pork noodle soup. The taste is westernized and not to spicy but still a good choice in Amsterdam.
