,Name,Review Rate,Review Time,Review Text
0,Selam Habesha Restaurant, 5 stars ,2 years ago,"Healing place. I was tired after setting a difficult display for an exhibition. Just wanted a good meal, and Ethiopian food is my favourite. I stepped in, me alone, many tables reserved. I have been invited to seat at a big table for …"
1,Selam Habesha Restaurant, 5 stars ,4 months ago,"Delicious!

And they even asked us for our COVID QR code. Thank you for caring about our safety!."
2,Selam Habesha Restaurant, 5 stars ,3 years ago,"Amazing food, good portions and a variety of ethiopian beer. The staff is also very friendly. Will visit again."
3,Selam Habesha Restaurant, 5 stars ,a year ago,Food was absolutely delicious and the staff are very nice and helpful. Will definitely be coming back!
4,Selam Habesha Restaurant, 5 stars ,8 months ago,"Very friendly service, best Ethiopian food I ever ate. Tasty local beers, yummy injeera"
5,Selam Habesha Restaurant, 5 stars ,2 years ago,"I had a great evening with our stagiere and a colleage. He introduced us to ( for me) totally new and tasty food from Africa. I loved it, and we will come back for sure. The lady that helped us was very kind. Prices on the menu are not expensive at all. Try it people !!"
6,Selam Habesha Restaurant, 5 stars ,10 months ago,"she is an ambasaador for authentic original taste of habesha fine dinning in the entire city.the one and only.the stew she make is tantalizing finger leaking sweet,her kitfo is wowooooooo"
7,Selam Habesha Restaurant, 5 stars ,2 years ago,"Really tasty Ethiopian dishes and a unique experience. We took the mix of 8 vegetarian dishes served with injera bread which I certainly recommend. Very friendly people, great service and a nice and cosy interior!"
8,Selam Habesha Restaurant, 5 stars ,a year ago,"When you are done with stamppot and chicken satai and need some tasty spicy food my recommendation is Ethiopian and eastern African food.
We ordered take-out during the Covid outbreak and got the vegan combo. It was …"
9,Selam Habesha Restaurant, 4 stars ,8 months ago,Food was tasty sadly didn't have our first choice in stock.
10,Selam Habesha Restaurant, 5 stars ,4 years ago,"The best Ethiopian dish I've ever had. the food is very tasty and diverse, especially the meat is excellent.  The staff are also very friendly. It's already on my top list in Amsterdam's exotic restaurants!"
11,Selam Habesha Restaurant, 5 stars ,2 years ago,Amazing food. Lovely tables. The atmosphere is great together with the music. Will definitely go there again.
12,Selam Habesha Restaurant, 4 stars ,6 months ago,A proper Ethiopian and Eritrean food to have in Amsterdam.
13,Selam Habesha Restaurant, 4 stars ,2 years ago,The food was quite good. Although the item I chose was not much to my liking. The service was average. The prices were ok.
14,Selam Habesha Restaurant, 5 stars ,2 years ago,Really tasty Ethiopian food!
15,Selam Habesha Restaurant, 3 stars ,2 years ago,"Service was good. Food was ok (the lamb had too many bones). Lacks a bit of atmosphere, some music would help."
16,Selam Habesha Restaurant, 5 stars ,4 years ago,Live in the area and walked past this place for months. It is always quiet so did not go in. But tonight was the night. Its was really good food. Will go back again.
17,Selam Habesha Restaurant, 5 stars ,a year ago,"Nice food, friendly staff! Love the crepe like sour thingies 😁"
18,Selam Habesha Restaurant, 4 stars ,2 years ago,"Super lekker, great food, great people and lovely atmosphere, recommended! 👍🥰"
19,Selam Habesha Restaurant, 5 stars ,3 years ago,"Authentic food, wonderful friendly people. Spices in the food are fantastic. Cosy atmosphere. Will be back!"
