,Name,Review Rate,Review Time,Review Text
0,Sing Sing, 3 stars ,8 months ago,A friend just so happen to live near this facility a few years ago.  I did not expect to run across Sing Sing.  I was looking for a historical marker but could not find one...would be a nice addition. The facility was gloomy...very.
1,Sing Sing, 5 stars ,4 months ago,Great place. 5 star accommodation.  Free room and board.  The night time masseuse was a little rough and handsy lol and the waiters kind of rude and rough . Once you get in your not going to want to leave.  Or be able to leave
2,Sing Sing, 5 stars ,2 years ago,Don’t know much about the jail yet I can say this I was at a family cookout for hours on the water front before I realized I was right next to the jail. It’s a sad place yet it doesn’t take away from the beauty of the area and for some odd reason I felt safe
3,Sing Sing, 1 star ,2 months ago,"if your flatulence makes noise, then u will have a target on your back, this will continue until ur flatulence makes a distance faint whistling noise"
4,Sing Sing, 4 stars ,a month ago,Food wasn’t great so i gave 4 stars
5,Sing Sing, 5 stars ,4 years ago,"After reading all these great reviews I can't wait to spend some time here, I mean who wouldn't it is a prime waterfront property!"
6,Sing Sing, 2 stars ,a year ago,"Very dated rooms,carpet needed replaced,room service was very lacking,walls paper thin-heard screaming all night. To make your stay more enjoyable, be nice to your bunk mate, avoid the yard,and don't eat the beans and weenies."
7,Sing Sing, 5 stars ,4 months ago,Scenic views of the Hudson and a great gift shop!
8,Sing Sing, 3 stars ,4 years ago,I gave if three stars for the simple fact that everything in here is way to much and the currency's never this complex is completely different than it is in the city. The showers were somewhat crowded and people were a bit to friendly while …
9,Sing Sing, 5 stars ,4 years ago,"Saw my mate Kevin while I was there, we had a great time just chilling. The rooms could have been a bit better and the food was average  but it really spoke to me and felt like home. …"
10,Sing Sing, 4 stars ,2 years ago,Nice amenities and the whirlpool suite has a nice view of a fenced in yard where you can view live action fighting. The food is separated into five portion size containers and makes for a delightful eating experience.
11,Sing Sing, 2 stars ,2 years ago,The perfect way to turn-off from the world. No phones or WiFi - allows to fully unwind. …
12,Sing Sing, 4 stars ,5 months ago,Great ppl and officers were super nice
13,Sing Sing, 1 star ,3 years ago,"Not crazy about this new-fangled ""industrial"" decor. I guess people will go for just about anything. And talk about minimalism! You'd think the view of the water must be spectacular but not one window in my room, I mean really... …"
14,Sing Sing, 5 stars ,2 years ago,"This amazing airbnb is the best gem of the Hudson Valley.   It's like a cross btwn a meditation retreat and fitness training center but a bit overcroweded due to its popularity.  Rooms are bigger than my NYC apartment. I'm sure I'll be back, most patrons are repeat customers."
15,Sing Sing, 4 stars ,3 years ago,"Not a bad place to stay. Was under the impression the room had a balcony and was disappointed to find out it didn’t. They don’t change the sheets too often and the staff is a bit unfriendly and not too concerned with guest’s needs. Having said that, it’s free so I can’t complain."
16,Sing Sing, 5 stars ,4 years ago,My wife and I had a great time during our stay at Sing Sing. Although we could only see each other a few times and they still use landline phones we really enjoyed the time we could talk. For some strange reason we were not allowed to touch …
17,Sing Sing, 5 stars ,5 years ago,"Sing sing has always been a joy to go, the rooms are usually always available and the main room is like a party. I came here for my friends 30th birthday and they were very accommodating. If you're going for a good time, come to Sing Sing."
18,Sing Sing, 5 stars ,9 months ago,"Pretty good, all around nice place to be. The food was great!"
19,Sing Sing, 4 stars ,4 years ago,"I'd give it 5 stars, but the dinner menu is really limited. That being said, there is something about this place that just keeps you here...oh yea, it's the bulletproof glass, razor wire, and armed guards."
20,Sing Sing, 5 stars ,2 years ago,"Although I think prisons are generally for bad people, there are a few innocent people that are locked up. However, there's no way of us knowing the bad from the good. The moral of the story is stay out of trouble. Also, some folks are …"
21,Sing Sing, 5 stars ,10 months ago,A great place to visit but I wouldn't want to live there.
