,Name,Review Rate,Review Time,Review Text
0,Small World Catering, 5 stars ,2 months ago,Most delicious sandwiches in Amsterdam! I need to limit myself so I don’t go more often. I was so excited to find a turkey sandwich. And then to discover one on focaccia and with roasted peppers and Tabasco Mayo - wow. All the sandwiches …
1,Small World Catering, 5 stars ,3 months ago,Super fresh. Super freindly and just generally super. You will not regret having a fresh sandwich from these super fresh freindly faces. …
2,Small World Catering, 5 stars ,5 months ago,"Cute corner! Food truck vibes, but with many available options. My sandwich was the best I've had in town."
3,Small World Catering, 5 stars ,2 months ago,I came here because de broodjestester said it was amazing. And they really didn't lie. It was amazing! And the workers are so sweet ❤ definitely will be coming here again!
4,Small World Catering, 5 stars ,a month ago,"We love this place, friendly service, good choice of fresh sandwiches and tasty sweets. On a cold day they do the best special got chocolate."
5,Small World Catering, 5 stars ,a year ago,"One of the best sandwiches i’ve ever had! It’s not cheap, 8.50 eu, but definitely worth it! You get a big, delicious sandwich that keeps you full! Owner was really nice as well. Would definitely recommend🤎"
6,Small World Catering, 5 stars ,3 weeks ago,"As another reviewer pointed out,  it's not the cheapest place. However it was one of the tastiest sandwiches that I've ever had, in terms of flavours and the quality of the ingredients. The turkey was the best that I've ever had and not dry like it can be sometimes. It also had some peppers on, which again where incredibly tasty."
7,Small World Catering, 5 stars ,4 years ago,"Very nice food! Healthy and fresh ingridients, delicious food and simple but yet still creative recipes. A great place to go for breakfast and/or lunch. I love the personal approach. Owners are always happy to chat with you, tell more about …"
8,Small World Catering, 5 stars ,2 years ago,"Amazing place with beautiful staff who would really go out of their way to make a customer happy. Food is just next level delicious,  and could easily cost more, compared to the quality. Vegetarian options available!"
9,Small World Catering, 5 stars ,2 months ago,"Is there another place? Breakfast, lunch, brunch, dinner or sweets and pastries. Everything is top notch. The service by Sean and Clarence is the best"
10,Small World Catering, 5 stars ,4 years ago,Cozy and tiny place where you can enjoy cold and warm sandwiches or other nice food and soups. The English staff is very friendly and the portions are good! I really enjoyed the place as a great pit stop
11,Small World Catering, 5 stars ,a month ago,Best sandwiches in town and cutest Irish gal I know that works there 🙃
12,Small World Catering, 5 stars ,2 years ago,"Fantastic find!!!! Friendly owner and staff. The sandwiches were amazing!!!!! Pastrami was delicious, but was slightly beat out by the Turkey Melt. Sooooo good!!!! Thank you Sean for your hospitality."
13,Small World Catering, 5 stars ,4 years ago,"Great options for meat eaters and vegetarians. Good sized portions, really great combination of flavours. Detailed salad."
14,Small World Catering, 5 stars ,a year ago,"Most delicious sandwiches I have eaten in Amsterdam. I almost wish I had never been told about this place because once you’ve eaten here you will crave it. Pastrami, turkey melt, and meat loaf sandwiches winners for me but everything we’ve tried has been amazing."
15,Small World Catering, 5 stars ,a year ago,"This place is so good, service is great and the food was spot on! We will be back for more!"
16,Small World Catering, 5 stars ,a year ago,Hidden gem! We finally ducked to the window to try out this neighbourhood sandwich shop and are kicking ourselves for waiting so long. This place has the best sandwiches I have had in Amsterdam. They are more like a NYC deli sandwich. We …
17,Small World Catering, 5 stars ,3 years ago,Hearty wholesome food that tastes amazing. One of those places where you want to try everything on the menu.
18,Small World Catering, 5 stars ,2 years ago,"Incredible place,

The service was impeccable. From the moment we walked in we were amazed with the …"
19,Small World Catering, 5 stars ,2 years ago,I was on the hunt for good and reliable corporate catering and found that here with Small World. Many thanks to Rebecca for her attention to detail and overall hospitality. The food arriving early and clearly labeled is very appreciated. A …
20,Small World Catering, 5 stars ,a month ago,Small World is always a good idea
21,Small World Catering, 5 stars ,a year ago,I eat here almost every week and it is soooo good that I refuse to eat my lunch anywhere else unless it is necessary. They make everything with love. The first time that I tried their carrot cake I asked the guy who made it to marry me. …
