,Name,Review Rate,Review Time,Review Text
0,Smulhoek, 5 stars ,a year ago,One of the best kebab you can find in Amsterdam. Even the wrap itself is made from fresh dough. This is a take away only place. The two staff members working there are very friendly and focused.
1,Smulhoek, 5 stars ,a year ago,"The best broodje doner of the city. Crunchy bread and a lot of meat...always comes with salad and sauces on the side. Really always in time...10-15-20 minutes waiting, and i order from them since 2 years with friends. Really give it a try..delicious"
2,Smulhoek, 5 stars ,6 months ago,"Always really good, the driver Tanger is a thunder! Great!"
3,Smulhoek, 1 star ,3 years ago,The two pizzas I ordered are simply the worst pizzas I've ever eaten in my life. This is why I'm leaving the review. The dough was absolutely disgusting. I couldn't eat more than 2 slices. Biggest waste of 20+ euro. The baqlawa also tasted gross. The order also took 65 minutes to arrive.
4,Smulhoek, 1 star ,3 years ago,"Set a large order of pizza and chips, with drinks, in around 10:45pm to be delivered to The Alfred Hotel. It said that the order would be arrived at around 11:30pm and we had left our contact information and ushered them to call when …"
5,Smulhoek, 5 stars ,2 years ago,I work in a hotel. First time I order and it was really good. They forgot to bring my cola so I called them and they brought me my cola + a little dessert as an apologize. Lovely!
6,Smulhoek, 1 star ,a year ago,"31 September. 2 hours and still waiting for the order.. and I'm also regular customer!!!! not the first time, but that can happened! but not this often! After this time never again!"
7,Smulhoek, 1 star ,2 years ago,"Food was very dry. We didn't get Coca cola with our meal. I don't know how this place got so nice review, but it was very cheap street food for us"
8,Smulhoek, 5 stars ,2 years ago,"Great, simple food, prepared the right way at a good price. Friendly people. Live close by, this is my go-to place of choice!"
9,Smulhoek, 1 star ,9 months ago,"Completely unprofessional, when small inconvenience they will make fun of the customer and wont give back what they fraud"
10,Smulhoek, 5 stars ,3 years ago,Pretty friendly place with a delicious food. Their kapsalon was pretty great and it was a pretty fast delivery.
11,Smulhoek, 5 stars ,3 years ago,"Fast delivery, and tasty food. I've been disappointed with a lot of snack shops but these guys are legit."
12,Smulhoek, 5 stars ,2 years ago,great tasting food and great people. Try the chicken burger and cheese
13,Smulhoek, 5 stars ,2 years ago,"delicious, generous portions, friendly people"
14,Smulhoek, 5 stars ,3 years ago,It was the best pizza i ever had
15,Smulhoek, 5 stars ,a year ago,Geniale late night pizzza
16,Smulhoek, 1 star ,2 weeks ago,"(Translated by Google) Ordered pizza and chips. After waiting an hour and a half only fries were delivered, pizza never arrived. Then called the restaurant and money for the pizza was promised back. Then never seen again. …"
17,Smulhoek, 1 star ,4 months ago,"(Translated by Google) Ordered hair salon last night and Turkish pizza, all very dry. At first it just wasn't very good. But once I woke up 2 hours after dinner, I couldn't sleep all night because of the stomachache. My friends who ate …"
18,Smulhoek, 5 stars ,4 months ago,"(Translated by Google) The delivery is super fast, the price is good and I even got a free gift with it <3 Many things are not as good as this one. In terms of price / quality, so 5 stars anyway …"
19,Smulhoek, 1 star ,4 months ago,"(Translated by Google) The food here is too sad for words. Mega dry, ordered multiple dishes everywhere the same problem. …"
20,Smulhoek, 3 stars ,2 months ago,(Translated by Google) I ordered a pizza and was supposed to get it a quarter to six but won't arrive until six o'clock …
21,Smulhoek, 5 stars ,a year ago,"(Translated by Google) Order was delivered faster than expected. Delivery driver asked for 5 stars. I had some doubts about his intentions, but after opening the order I was convinced of the quality. The Turkish pizza was so hot that my dog …"
22,Smulhoek, 1 star ,a year ago,"(Translated by Google) What's this??? We order food, have spoken several times with an employee of the smulhoek from which it appears that we will no longer receive our order, without reason. Then they hang up the phone twice. We cannot …"
23,Smulhoek, 5 stars ,a year ago,"(Translated by Google) We had ordered 3 pizzas on a Saturday around 6 pm. Delivery person Tanger arrived on time and was very friendly! The pizzas were hot and very tasty. We come here more often, definitely recommended! …"
24,Smulhoek, 5 stars ,a year ago,"(Translated by Google) The best hair salon in Amsterdam! I order every week. My order is always super fast, so it's still good on temperature too! Shout out to Tangier and the other delivery heroes, always super friendly! …"
25,Smulhoek, 5 stars ,a year ago,"(Translated by Google) Highly recommended!
03:00 ordered, delivered within 30 minutes!
No bicycle, but just a quick scooter. …"
26,Smulhoek, 1 star ,a year ago,"(Translated by Google) Unfriendly affected guests and they put their own covid 19 corona on you are told in an annoying way to wait outside ... the food here is not as good as it is said, it is actually downright bad ... idd they always …"
27,Smulhoek, 5 stars ,2 years ago,"(Translated by Google) Well ... the food is good. But today I ordered something and watched the track & trace 9 minutes later, the delivery person had not yet left. Immediately after that my doorbell rang and the delivery man stood at the …"
28,Smulhoek, 5 stars ,9 months ago,(Translated by Google) Super tasty food! And the delivery man was also nice and fast so lots of love for this boy (Tanger)! …
29,Smulhoek, 5 stars ,2 years ago,"(Translated by Google) I love their fries! And the deliverers are ALWAYS on time. One of the best snack bars in Amsterdam West. We are a regular customer! Younes is the best delivery person in Amsterdam. Friendly, quick and always a nice …"
30,Smulhoek, 2 stars ,2 years ago,"(Translated by Google) Despite the fact that I think these people have the best intention, I can only give 2 stars. …"
31,Smulhoek, 5 stars ,2 years ago,"(Translated by Google) Lovely people who work there are very customer friendly.
Food is always good hot and fresh. I just hope that someday they will sell milk shakes again. Haha. …"
32,Smulhoek, 5 stars ,a month ago,"(Translated by Google) Top! Props to the delivery man ""Than"" (?)

(Original) …"
33,Smulhoek, 2 stars ,3 years ago,"(Translated by Google) Here a family portion of fries was ordered and it was more than we could. That was mainly because it just did not taste so good, it had a bad taste and was stinking. It just did not taste like fries should taste. For …"
34,Smulhoek, 5 stars ,10 months ago,"(Translated by Google) super fast and friendly delivery, despite the rain, and delicious food. Also super affordable. Top! …"
35,Smulhoek, 5 stars ,a year ago,"(Translated by Google) What a wonderfully fast service with a friendly delivery person and top pizza, nothing more, nothing less, just great! …"
36,Smulhoek, 3 stars ,a year ago,"(Translated by Google) food was nice but I had to wait 1.5 hours for my food, then I just picked it up myself because that was faster of course could be better guys …"
37,Smulhoek, 5 stars ,a year ago,"(Translated by Google) Great food, shawarma was well stocked and super many. Very friendly people and the nice thing is that they are open until late. They have a customer there 😊 …"
38,Smulhoek, 5 stars ,a year ago,"(Translated by Google) Good delivery, often fast and always good to bite. Also nice how they do the salad and sauce separately at the kapsalon. …"
39,Smulhoek, 3 stars ,3 years ago,"(Translated by Google) Great fries WITHOUT
black spots and real mayonnaise. Frikadel special
Most chip shops don't know what they are doing. …"
40,Smulhoek, 3 stars ,3 years ago,"(Translated by Google) Although the pizza here is fine, the owner is a bit of an Islamist. I also suspect that he keeps his wife under control. Woman is terrified when he is there and does not dare to look at you. …"
41,Smulhoek, 5 stars ,8 months ago,"(Translated by Google) they have good food and it is delivered quickly.

(Original) …"
42,Smulhoek, 2 stars ,2 years ago,(Translated by Google) Am already more than 1.5 hours waiting for my order. A hair salon and a coke ... we will not do this again. …
43,Smulhoek, 5 stars ,a year ago,"(Translated by Google) Delicious fries, fast and always friendly delivery person. Recommended! ***** …"
44,Smulhoek, 5 stars ,a year ago,(Translated by Google) Good and fast delivery. The spicy chicken pizza was delicious! Recommended! …
45,Smulhoek, 5 stars ,a year ago,(Translated by Google) The food is very tasty. The service / staff is superb! Well priced too. Thanks. …
46,Smulhoek, 5 stars ,3 years ago,(Translated by Google) I order here regularly and can tell you this; Delicious and fast. Just order and get to your door in no time. Very satisfied! …
47,Smulhoek, 1 star ,a year ago,"(Translated by Google) For almost 4 euros for a bite? Simply ridiculous.

(Original) …"
48,Smulhoek, 1 star ,2 years ago,(Translated by Google) Good food but I have ordered a spot of Coke there that is not delivered there :( …
49,Smulhoek, 5 stars ,2 years ago,(Translated by Google) Wollaah this courier was fast a sahhh he came with shi plane and wolaahh that food was dangerous a cousin wollaah I have to order more often …
50,Smulhoek, 5 stars ,10 months ago,"(Translated by Google) Just fine Was there quickly for a good price

(Original) …"
51,Smulhoek, 5 stars ,3 years ago,"(Translated by Google) Friendly staff, tasty fresh food always top quality never unsatisfied …"
52,Smulhoek, 4 stars ,a year ago,"(Translated by Google) Pizza ordered, delivered quickly and delicious!

(Original) …"
53,Smulhoek, 5 stars ,3 years ago,(Translated by Google) Food was great and a lovely delivery guy called Amir was there very quickly …
54,Smulhoek, 1 star ,2 years ago,"(Translated by Google) Opening times are incorrect and are closed on Mondays while there is still ""open"". …"
55,Smulhoek, 3 stars ,3 years ago,"(Translated by Google) Hair salon burnt and tough, what a mess. Never order here again! …"
56,Smulhoek, 5 stars ,a year ago,"(Translated by Google) Tangier top delivery food was delicious

(Original) …"
57,Smulhoek, 5 stars ,4 years ago,"(Translated by Google) Fast and nice, Pizza and hairdresser were super tasty !!! …"
58,Smulhoek, 5 stars ,a year ago,"(Translated by Google) A nice eatery with very high quality food 💯

(Original) …"
59,Smulhoek, 1 star ,3 years ago,"(Translated by Google) Orders something and suddenly the shop is closed, nothing to eat, so too crazy for words …"
60,Smulhoek, 5 stars ,4 years ago,"(Translated by Google) Delicious! Always fresh! Fast / friendly delivery.

(Original) …"
61,Smulhoek, 5 stars ,2 years ago,"(Translated by Google) super friendly staff and good food!

(Original) …"
62,Smulhoek, 5 stars ,4 years ago,"(Translated by Google) Delicious really recommended

(Original)
Heerlijk echt aanrader"
63,Smulhoek, 5 stars ,4 years ago,"(Translated by Google) Delicious and fast! Top hair salon

(Original) …"
64,Smulhoek, 4 stars ,2 years ago,"(Translated by Google) Good and tasty and good service.

(Original) …"
65,Smulhoek, 5 stars ,a year ago,"(Translated by Google) Tangier

(Original)
Tanger"
66,Smulhoek, 5 stars ,a year ago,"(Translated by Google) Good

(Original)
Goed"
67,Smulhoek, 5 stars ,2 years ago,"(Translated by Google) Good

(Original)
Goed"
68,Smulhoek, 5 stars ,4 years ago,"(Translated by Google) Delicious food

(Original)
Heerlijk eten"
69,Smulhoek, 5 stars ,3 years ago,"(Translated by Google) Tasty bite

(Original)
Lekkere hap"
70,Smulhoek, 1 star ,2 years ago,
71,Smulhoek, 5 stars ,3 years ago,
72,Smulhoek, 5 stars ,2 years ago,
73,Smulhoek, 5 stars ,3 years ago,
74,Smulhoek, 5 stars ,3 years ago,
75,Smulhoek, 5 stars ,a week ago,Bezorger kwam van ver maar had mijn bestelling al binnen 35 minuten! Pizza was ook erg lekker
76,Smulhoek, 5 stars ,3 years ago,
77,Smulhoek, 1 star ,2 years ago,
78,Smulhoek, 5 stars ,5 months ago,
79,Smulhoek, 5 stars ,a year ago,
