,Name,Review Rate,Review Time,Review Text
0,Spelletjescafé 2 Klaveren, 5 stars ,5 months ago,One of the premier locations in amsterdam for Magic: The Gathering events. Wednesday evening: free casual EDH nights
1,Spelletjescafé 2 Klaveren, 5 stars ,5 months ago,"Very nice place, authentic atmosphere. The owner/bartender is the best. Super relaxt. Also have a vegetarian burger on the menu. Super affordable! Pay by card also possible."
2,Spelletjescafé 2 Klaveren, 5 stars ,3 years ago,"I was unexpectedly impressed with this place! But remember CASH only.

Biking by it, it doesn’t look like much. Mainly an older demographic you see in …"
3,Spelletjescafé 2 Klaveren, 5 stars ,3 months ago,"Friendly staff, lot of games available and good place to organize game events like tournaments."
4,Spelletjescafé 2 Klaveren, 5 stars ,a month ago,"Great atmosphere, service and very reasonable prices. All in all a great place to sit down and get a couple games in!"
5,Spelletjescafé 2 Klaveren, 4 stars ,a year ago,"It wasn't a fancy place, but the food was good and homemade. It was a good deal as well."
6,Spelletjescafé 2 Klaveren, 5 stars ,6 months ago,"Great atmosphere, friendly service & a whole bookcase-wall of boardgames!!"
7,Spelletjescafé 2 Klaveren, 5 stars ,5 months ago,Super nice crowd! Great guy in front of me ! Love it !!!! Great veggie burger 😘
8,Spelletjescafé 2 Klaveren, 4 stars ,2 years ago,Great place if you are looking for a night playing board games with your friends. Advisable to book in advance since the place does get a bit busy. The games collection itself is huge. Loved their house wine. The staff could be a bit more friendly though.
9,Spelletjescafé 2 Klaveren, 4 stars ,3 years ago,"Decent beer and coffee, good atmosphere and friendly staff. Plenty of games in stock, but it's ok to bring your own. Kitchen available, don't expect a full restaurant-like menu but it is more than decent for a venue this size."
10,Spelletjescafé 2 Klaveren, 4 stars ,4 years ago,"This is a wonderful place. Full of board games and ocasionally hosting small events for board games, this place brings many expats and fans of any type of games together. A lot of backgammon players there too. Prices might be slightly high, but grabbing a cappuccino and playing for longer time is not a problem."
11,Spelletjescafé 2 Klaveren, 4 stars ,a month ago,"They added a new payment method: (bank) CARDS! No need to find a cash point anymore, but they are hesitant to accept cards for small amounts."
12,Spelletjescafé 2 Klaveren, 4 stars ,7 months ago,My Monday spot. Old fashioned. They have magic the gathering tournaments here.
13,Spelletjescafé 2 Klaveren, 1 star ,4 years ago,"Nice place but feel very ripped-off. Friend ordered pint of Leffe beer; however, she did not receive a pint - she received a normal glass (around 330ml) and was charged 11.75 Euros. Normal price of this beer is 4 or 5 euros. Felt the …"
14,Spelletjescafé 2 Klaveren, 3 stars ,5 years ago,"This is a very local, almost divey bar.

I'm not sure if they don't like Americans or they are like this to everyone, but …"
15,Spelletjescafé 2 Klaveren, 5 stars ,a year ago,"Amazing place, friendly staff, very good selection of board games. We enjoyed our visit a lot."
16,Spelletjescafé 2 Klaveren, 1 star ,2 years ago,The waitress was super rude to us. To another level of just disliking people for no reason at all. Telling other people to just take our table. Even other customers had to defend us and were complaining of how rude and unfair she was treating us. We will never go back again there. Don’t recommend this place at all!!
17,Spelletjescafé 2 Klaveren, 4 stars ,2 years ago,"Ground floor is a Cafe / bar, and there are various board games to play. The basement is an open area where you can sit, have food and drink, and play games. While I was there, a Magic:the Gathering tournament was going on."
