,Name,Review Rate,Review Time,Review Text
0,Spijker Bar, 5 stars ,a month ago,"Fantastic and friendly staff, who obviously enjoy what they are doing. Great atmosphere and good mixed crowd."
1,Spijker Bar, 5 stars ,a month ago,"A wonderful And crazy place where you never really know what is going to happen next. But you know it’s gonna be good and it’s gonna be a
Party!"
2,Spijker Bar, 5 stars ,4 years ago,Oldest and most cosy bar to visit if you want real life gay style. Check their website or Facebook. Active community. With Miss Didi Licious presenting Big Jackpot Bingo on Saturday's at 18.00. Every day Happy Hour from 17.00 till 19.00. …
3,Spijker Bar, 5 stars ,a month ago,Best bar in town with the sweetest and coolest crew!!
4,Spijker Bar, 5 stars ,4 months ago,"I love this bar, the perfect people to accompany your evening."
5,Spijker Bar, 5 stars ,a month ago,One of the best gaybars left fijn the early 80ties
6,Spijker Bar, 5 stars ,2 years ago,"Went with 5 friends and we didn't realise that it was a gay bar until we walked in. However everyone was super welcoming! We had a great night!!!
Drinks were reasonable priced and they took card. The smokers room is upstairs …"
7,Spijker Bar, 5 stars ,a month ago,The best bar in this whole town
8,Spijker Bar, 5 stars ,5 years ago,"Cozy gay bar in the heart of the city. Reasonable prices, friendly crew, long bar, open fireplace, pool table. Mixed crowd. Happy hour around 17.00 hours. Find the winding staircase to 1st floor for the toilets and smoking room. You may also go outside for a smoke."
9,Spijker Bar, 2 stars ,2 years ago,"A great place and have been going there for many years, but this Bartender ""Jerry"" is an obnoxious fool. Apparently a favourite of the owner, for who knows what reason, feels he can get away with threatening longtime customers? What a joke. …"
10,Spijker Bar, 5 stars ,a month ago,Best gay bar in Amsterdam!
11,Spijker Bar, 5 stars ,5 years ago,"Fun little bar with chill guys interested in playing pool, smoking weed, and drinking beers. Good music and excellent mood with fun movies (the birdcage and Rocky Horror were on while I was there) or porn on the TVs throughout the bar. Got a pail of 5 Heinekens for €15 to share and played a few games of pool at €0.50 a game."
12,Spijker Bar, 4 stars ,a year ago,"Place is alright, felt at ease but the crowd is a bit older. Being there with a friend was nice, but as a 25yo I wouldn’t go there alone I think."
13,Spijker Bar, 5 stars ,2 years ago,Nice place with great beers. People were easy to talk with here. We will diffently come back. Also the atmosphere is a bit ruff which is nice.
14,Spijker Bar, 5 stars ,7 years ago,"Wonderful local bar with fantastic bartenders! If you are looking for a friendly laid back bar this is your place. Oh and come in late to see Arthur, not only is he sweet he is super handsome."
15,Spijker Bar, 5 stars ,5 years ago,We went for Drag Queen bingo at 1830.  Get their early for a table.  Drag Queen is excellent and does bingo in English.  Very friendly crowd
16,Spijker Bar, 4 stars ,7 years ago,"We were welcomed here as a touring rugby club playing the Lowlanders, had a great time! Excellent atmosphere, great staff, I'd definitely go back"
17,Spijker Bar, 5 stars ,2 years ago,"Bar man in tiger onesie is hot as f##k. Lovely bar, really enjoyed our night"
18,Spijker Bar, 5 stars ,a year ago,Recommand the place and invite people to visit :) owner is amazing sweet and receive you with a smile <3 + really close to cool places.
19,Spijker Bar, 5 stars ,a month ago,Bar and cruisin kplace
20,Spijker Bar, 5 stars ,4 years ago,It is a great local bar with a pool table. As a visitor it was great meeting some of the locals.
21,Spijker Bar, 5 stars ,5 years ago,"My favorite local. Great bar staff, friendly crowd, and a pool table!"
22,Spijker Bar, 5 stars ,4 years ago,An authentic gay underground bar with the correct atmosphere. Perfect for a beer with your friends.
23,Spijker Bar, 5 stars ,9 years ago,"The best gay bar in Amsterdam by about a mile, provided your not into dolce and gabbana wristbands"
24,Spijker Bar, 5 stars ,3 years ago,Great bear/non camp bar with friendly clientele and cute barstaff.
25,Spijker Bar, 5 stars ,3 years ago,really cosy place with the best bartender. happy pride!!!
26,Spijker Bar, 5 stars ,2 years ago,"Friendly staff, pretty clean. Has a pool table."
27,Spijker Bar, 5 stars ,3 years ago,Very warm welcome from Jerry to make us feel welcome and relaxed.
28,Spijker Bar, 5 stars ,4 years ago,"Great little place. Lovely atmosphere, great service."
29,Spijker Bar, 5 stars ,4 years ago,Great venue with friendly staff and customers.
30,Spijker Bar, 4 stars ,3 years ago,"Friendly staff, good location for people watching."
31,Spijker Bar, 4 stars ,5 years ago,A nice gay bar with games like snooker
32,Spijker Bar, 4 stars ,3 years ago,Nice people. Kinda smells bad :-(
33,Spijker Bar, 5 stars ,3 years ago,Relaxed and fun bar.
34,Spijker Bar, 4 stars ,5 years ago,Nice spot
35,Spijker Bar, 5 stars ,2 years ago,Top
36,Spijker Bar, 5 stars ,2 years ago,A must go in Amsterdam!
37,Spijker Bar, 5 stars ,7 years ago,Brill
38,Spijker Bar, 4 stars ,5 years ago,OK
39,Spijker Bar, 5 stars ,a month ago,(Translated by Google) Always fun 😊 super sweet people and you definitely don't want to miss bingo ❤️ …
40,Spijker Bar, 5 stars ,4 months ago,"(Translated by Google) Awesome! Very friendly crew, great music, nice guests! Highly recommended! …"
41,Spijker Bar, 5 stars ,3 months ago,(Translated by Google) Fantastic atmosphere with very attentive and friendly hosts. …
42,Spijker Bar, 5 stars ,2 years ago,"(Translated by Google) Nice place, good atmosphere, nice people. What else do you want? When I was there on King's Day, I had a great time among everyone, the bingo is really fun to do / see. I noticed that there were a lot of older men, …"
43,Spijker Bar, 4 stars ,3 years ago,"(Translated by Google) Cozy gay bar .... which seems to be getting better and better. Nice bartenders, top combination of porn videos and cartoons. Small darkroom where little happens. Recommended: Saturday bingo including happy hour from …"
