,Name,Review Rate,Review Time,Review Text
0,Sranant Food, 5 stars ,6 months ago,"10/10 would recommend. The owner is soft spoken, but really nice and friendly. The chef cooks some amazing dishes, especially the vegetables, roti, tjauw min and nasi! This is definitely a hidden gem :)"
1,Sranant Food, 5 stars ,2 years ago,"Friendly staff, delicious home-style food, quaint place to eat."
2,Sranant Food, 5 stars ,2 years ago,Delicious food and magnific service! It was a big surprise to discover this place and this gastronomy.
3,Sranant Food, 5 stars ,2 years ago,My favorite Roti place for more than 10 years. Still go back there even after moving to a different neighborhood.
4,Sranant Food, 5 stars ,2 years ago,My favorite curry i never taste that is so impressive i love that place
5,Sranant Food, 3 stars ,3 years ago,Not too good not bad .they have nice food
6,Sranant Food, 2 stars ,2 years ago,"Like the place, but didn’t like that a lot of guest got served before me - and I had to ask where my food was (I was in a hurry)"
7,Sranant Food, 4 stars ,4 years ago,"Big portions of food, relatively tasty. Good for lunch."
8,Sranant Food, 5 stars ,8 months ago,Nice👍😊
9,Sranant Food, 5 stars ,a year ago,Great food.. 👍🏼👍🏼
10,Sranant Food, 5 stars ,2 years ago,Nice place  friendly service
11,Sranant Food, 5 stars ,3 years ago,Great food
12,Sranant Food, 5 stars ,6 months ago,(Translated by Google) Nice cozy spot. So far I've had a great meal. Nice portions and the price is certainly in balance with this. The staff are friendly. The plates and cutlery are neatly clean. Meals are also neatly and neatly served. …
13,Sranant Food, 5 stars ,5 months ago,(Translated by Google) The food here is so delicious and you get generous portions! And that too for a reasonable price. 100% recommended …
14,Sranant Food, 5 stars ,2 years ago,"(Translated by Google) We eat here almost every Friday night when I pick up my girlfriend from Amsterdam. The food is always tasty, they use super fresh ingredients and the portions are large so we always eat several days of it. And Ivan is …"
15,Sranant Food, 5 stars ,10 months ago,(Translated by Google) We have been ordering noodles / fried rice chicken satay and noodles / fried rice roasted chicken for years with this topper. Delicious food! …
16,Sranant Food, 5 stars ,11 months ago,"(Translated by Google) I had ordered and exactly the time they indicated I could pick up my food.
And the food is always top compliments to sranant food …"
17,Sranant Food, 5 stars ,2 years ago,(Translated by Google) It is unbelievable how well Ivan and Kim have been running this restaurant for so long. The food is good and made from fresh ingredients and the service is always very friendly. We have been very happy to eat here for …
18,Sranant Food, 5 stars ,2 years ago,(Translated by Google) We are always helped by a very friendly man. We come here for a delicious large spring roll to take home. Highly recommended (sometimes sold out) …
19,Sranant Food, 5 stars ,2 years ago,"(Translated by Google) One of my favorite eateries in Amsterdam. Come regularly and then drive 50 km for it.
Large tasty portions, always fresh and very affordable. Mr. Iwan is super …"
20,Sranant Food, 5 stars ,2 years ago,(Translated by Google) Great fresh and delicious food !! And very lovely people !! I am really happy and have been buying my food from them for years !! 🤗👍🏽💋 …
