,Name,Review Rate,Review Time,Review Text
0,Starbucks, 1 star ,5 months ago,Slowest Starbucks I have been to in my life.. waited over 25min for a basic coffee..and never got my coffeee… one guy making drinks while another person ringing up customer after customer after customer
1,Starbucks, 3 stars ,2 months ago,"Never have brewed coffee there, maybe not many people getting it. You have to wait and once you have it, its not hot. Warm enough but def not hot enough to enjoy coffee"
2,Starbucks, 3 stars ,5 months ago,Good coffee and good place to relax. Not nice to work because of the fixed table. No lock in the toilets.
3,Starbucks, 5 stars ,a year ago,"Great new Starbucks, center of Amsterdam. With the new espresso machine for better taste. Great latte’s"
4,Starbucks, 1 star ,4 months ago,"Next time,do yourselves a favour and take the product OUT of the menu the day you stop serving it and stop wasting people's time. Im talking about the Pumpkin Spice Latte which is the sole reason I ever get into  Starbucks once a year. But …"
5,Starbucks, 2 stars ,4 months ago,Very slow 🐌 service  25 mins from the door 🚪
6,Starbucks, 5 stars ,10 months ago,Well located Starbucks. Efficient and professional staff.
7,Starbucks, 5 stars ,2 years ago,Beautiful new Starbucks with very friendly staff! Love it 😍
8,Starbucks, 3 stars ,6 months ago,I love starbucks and the staff is always super nice but I was very disappointed because after buying food and drinks we found out that this one in particular doesn't have a toilet.
9,Starbucks, 1 star ,a month ago,"Unfriendly service from asian girl with mask, treats people without masks like dogpoo."
10,Starbucks, 4 stars ,2 years ago,Very open and clean Starbucks. The place is bright and staff are friendly. So far this is my most favourite Starbucks. :)
11,Starbucks, 4 stars ,2 years ago,"What can one say, great location great coffee. Just a long line and wait though as it's a busy location. They do have restrooms though."
12,Starbucks, 5 stars ,8 months ago,Probably the only Starbucks in town where you feel like a human being rather than a few ticks and a word on a plastic cup. These people care about their guests and they even speak Dutch (or at least are trying to)
13,Starbucks, 4 stars ,3 months ago,Beautiful shop with friendly staff. It's a pity that it is so expensive overseas...
14,Starbucks, 3 stars ,6 months ago,Its ok. The mocha can be better. It looked like is was under staffed.
15,Starbucks, 4 stars ,2 years ago,"Well deserved 4 stars. Nice place, cool design, friendly staff. Could be cleaner for my liking, also, it definitely needs more bathrooms cause the line to the one available didn’t get any smaller over 45 minutes I was drinking my coffee. …"
16,Starbucks, 1 star ,5 months ago,Coffee is good as always. But this place is full of wasps!!
17,Starbucks, 5 stars ,2 years ago,"I love it that i have Starbucks now right near my workplace! It’s so easy now to quickly grab a coffee during my lunch break.
The interior is simple but very stylish. Super nice employees and fast service.
I am very satisfied with the quality of coffee here and overall experience."
18,Starbucks, 5 stars ,4 months ago,Dimi was very helpful I enjoy the coffee
19,Starbucks, 4 stars ,2 years ago,It was alright.. just like any other Starbucks. A bit more spacious than some branches. It's best advantage is that it's close to Rokin station. Where you can sit their wait for some one to arrive or meet people there.
20,Starbucks, 2 stars ,a year ago,"Unfortunately zero passion for customer service, emploees can't even smile back ( overworked or bored to death ?), what I found very disappointing is zero gluten or dairy free options if it comes to cakes and side sweets. Come on Starbucks …"
21,Starbucks, 5 stars ,7 months ago,"Great customer service, Hilde made one of the best frapuccinos I ever had."
22,Starbucks, 5 stars ,4 months ago,Starbucks
23,Starbucks, 3 stars ,a year ago,"This will be a good branch once the pandemic is over. Until then, the fact it's big and spacious works against it - it feels like the staff are quite far away from the customers."
24,Starbucks, 3 stars ,2 years ago,"Just another starbucks,
Great decor that definitely can be mentioned in the top 10 Starbucks decors. But awful service, really need some work here. …"
25,Starbucks, 5 stars ,6 months ago,"Very central in Amsterdam , chill and great for meetings or just to meet some one ..."
26,Starbucks, 2 stars ,4 months ago,"Bad service, the toilet is not available"
27,Starbucks, 5 stars ,2 years ago,Clean and bright space. Very fast service and not crowed comparing with other Starbucks in the city... so you cam enjoy your coffee in peace.
28,Starbucks, 5 stars ,2 years ago,"Nice people, not long wait, great place"
29,Starbucks, 4 stars ,2 years ago,"Very nice and cozy place to drink some coffee and chill a little bit after a long shopping day, friendly crew and delicious drinks, I love this place
I tried the bathroom two times and it was so dirty, I hope if they could fix this problem."
30,Starbucks, 5 stars ,2 years ago,Very neat and the staff are very friendly and has alot of patience with the orders. Food is also very fresh and it's not to buzy there you can just relax while you enjoy your beverage with treat.
31,Starbucks, 5 stars ,3 months ago,Good. As usual.
32,Starbucks, 4 stars ,3 months ago,Pike place coffee was cold
33,Starbucks, 2 stars ,4 months ago,"Very slow service.
Like a 🐌"
34,Starbucks, 1 star ,2 years ago,Unfortunately the closet Starbucks to my work. Used to go their every morning for months and the baristas were always unfriendly. The only Starbucks where it felt impersonal and only a business transaction.
35,Starbucks, 2 stars ,6 months ago,"Super slow service
20 minutes wait for a drink."
36,Starbucks, 5 stars ,8 months ago,The only ok Starbucks in town if you ask me
37,Starbucks, 5 stars ,2 years ago,Brand new Starbucks - very happy it’s finally open so I can get my morning coffee there. …
38,Starbucks, 4 stars ,2 years ago,"The double front door is super awkward. Each door is too small for one human (at least most humans), and opening both due to the short turn radius makes it clunky."
39,Starbucks, 3 stars ,2 years ago,"Combination of bad experiences here, capped by a poor toilet experience : no toilet paper, urine on the floors, and no soap. Coffee was up to standards."
40,Starbucks, 1 star ,7 months ago,Such a huge company and there’s no TOILET . Welcome in 2021
41,Starbucks, 5 stars ,2 years ago,"The location is really in the middle of the market place. You can sit there, look out and enjoy the view outside. I enjoyed going there."
42,Starbucks, 1 star ,3 months ago,It's not like in the Us
43,Starbucks, 4 stars ,2 years ago,"Well it's Starbucks, but this one could do with more than one toilet. Like you know, I'd say gallons of coffee is drank here it has to go somewhere 🤔"
44,Starbucks, 5 stars ,2 years ago,I Love this coffee shop in my holiday at Lat evening it’s open and I have what I need so cool the stuff is wonderful.!!
45,Starbucks, 3 stars ,7 months ago,"Big store, no toilet."
46,Starbucks, 5 stars ,2 years ago,Nice place and nice coffee
47,Starbucks, 4 stars ,2 years ago,"Lovely place. Sometimes too crowded, but it's fine!"
48,Starbucks, 2 stars ,2 years ago,"Fast, good location but muffin is average and almond capuccino is not so good and overpriced"
49,Starbucks, 4 stars ,2 years ago,Friendly staff and fast service but the tables were messy
50,Starbucks, 5 stars ,3 months ago,Amazing service
51,Starbucks, 4 stars ,a year ago,This is one of the nicer Starbucks in town.
52,Starbucks, 5 stars ,2 years ago,Wonderful place to get a coffee and they take American Express.
53,Starbucks, 5 stars ,2 years ago,"Great design, different than other Starbucks in the area"
54,Starbucks, 5 stars ,6 months ago,Good.
55,Starbucks, 5 stars ,8 months ago,Real nice open space
56,Starbucks, 1 star ,2 years ago,The staff makes fun of the customer in front of them
57,Starbucks, 3 stars ,a year ago,"It's ok, coffee is overpriced."
58,Starbucks, 5 stars ,6 months ago,Thank you for the latte!!
59,Starbucks, 5 stars ,2 years ago,Every Time I'm in Amsterdam I hit this Starbucks for a large caramel frapachino.
60,Starbucks, 5 stars ,3 months ago,Amazing
61,Starbucks, 5 stars ,2 years ago,Nice new Starbucks
62,Starbucks, 5 stars ,2 years ago,"Cozy in a busy city, and super friendly staff"
63,Starbucks, 5 stars ,2 years ago,beautiful interior with the most friendly staffs 💕
64,Starbucks, 5 stars ,2 years ago,Quick staff with a super friendly attitude!
65,Starbucks, 5 stars ,2 years ago,a fancy starbucks
66,Starbucks, 5 stars ,2 years ago,A very comfartable and cheap place compared other places of amsterdam
67,Starbucks, 5 stars ,2 years ago,Free wi fi great coffee
68,Starbucks, 4 stars ,2 years ago,"Spacious Cafe, nice people."
69,Starbucks, 5 stars ,4 months ago,Richard was here
70,Starbucks, 3 stars ,6 months ago,Nice
71,Starbucks, 3 stars ,6 months ago,Slow service
72,Starbucks, 5 stars ,2 years ago,Nice place in so much crowd
73,Starbucks, 1 star ,2 years ago,Defenetly low quality coffee...
74,Starbucks, 5 stars ,2 years ago,Standard Starbucks with Netherlands/Amsterdam themed souvenirs
75,Starbucks, 4 stars ,2 years ago,Normal Starbucks...  No difference
76,Starbucks, 3 stars ,a year ago,Too slow
77,Starbucks, 5 stars ,2 years ago,One of my favorite 🥰
78,Starbucks, 5 stars ,2 years ago,Very modern looking
79,Starbucks, 4 stars ,2 years ago,very long line on the toilet
80,Starbucks, 4 stars ,2 years ago,Beautiful branch and big
81,Starbucks, 4 stars ,2 years ago,What can I say! Starbucks
82,Starbucks, 5 stars ,2 years ago,Beautiful place 👍🏼♥️
83,Starbucks, 5 stars ,a year ago,Never go without
84,Starbucks, 5 stars ,2 years ago,Lovely coffee
85,Starbucks, 5 stars ,2 years ago,"Coffee. You know, coffee :)."
86,Starbucks, 5 stars ,2 years ago,It's all about the location
87,Starbucks, 5 stars ,2 years ago,Love it
88,Starbucks, 4 stars ,2 years ago,Awesome
89,Starbucks, 4 stars ,2 years ago,Everything is as usual.
90,Starbucks, 4 stars ,2 years ago,Rokin here for a coffee
91,Starbucks, 5 stars ,a year ago,Super!!!!
92,Starbucks, 5 stars ,2 years ago,Coffeeeeeee
93,Starbucks, 3 stars ,a week ago,"Dirty toilets.
Big starbucks
Outside seating
Friendly staff"
94,Starbucks, 2 stars ,5 days ago,The guy was spanisch and did not understand us..we got the wrong coffee..please hire dutch speaking staff..not recommended🥴
95,Starbucks, 3 stars ,a week ago,"overpriced and overrated. the coffee was okay.

cookies tooooo sweeet"
96,Starbucks, 2 stars ,3 months ago,"(Translated by Google) Disappointing experience with a so-called barista from Starbucks who kept insisting at high and low that he used oat milk instead of soy milk, because Starbucks has its own packets of oat milk that also have its own …"
97,Starbucks, 1 star ,4 months ago,"(Translated by Google) Coffee and tea in the shop only in paper cups, the staff more surly than friendly, the ambience cold and unwelcoming! And the cleanliness left a lot to be desired on the toilet, it was underground! …"
