,Name,Review Rate,Review Time,Review Text
0,Starbucks, 4 stars ,4 months ago,"Staff is always friendly, could be a little better maintained in terms of cleanliness where outdoor seating is, but the main question is - why on earth does this location close at 4:30pm? Please be open until 8-9pm! It’s such a well trafficked spot as well. :)"
1,Starbucks, 2 stars ,3 weeks ago,"Just a regular Starbucks,  however seating is not so good and no charging outlets for people who Want ro sit with laptops. Moreover, no Toilets for customers"
2,Starbucks, 1 star ,3 months ago,"The milk was two weeks old, the latte tasted like a apple juice. After the half cup of the latte straight to the bathroom. Avoid it!!"
3,Starbucks, 5 stars ,a month ago,Extremely hospitable staff! One of the best Starbucks I have visited.
4,Starbucks, 3 stars ,2 years ago,"Good place to have a coffee and sit down a bit if you can find a place to do so.
The disappointment was there is no toilets there.
It gets crowded quickly too."
5,Starbucks, 4 stars ,7 months ago,It’s what you expect from Starbucks but staff was very friendly and the ambiance and location are great
6,Starbucks, 5 stars ,2 months ago,Very Helpful Workers. Thank you👍🏻
7,Starbucks, 3 stars ,4 years ago,"Nice and friendly staff, small place and regular coffee."
8,Starbucks, 4 stars ,5 months ago,Good coffee with quick service.
9,Starbucks, 5 stars ,a month ago,Very good cheesecake!
10,Starbucks, 5 stars ,2 years ago,"Good coffee in an intimate spot, at the corner of the flowers market! This place is very special and does not have the environment of those Starbucks in America. It is different, enchanting, superb in a calm way. Certainly, I don´t know why I feel so relax here."
11,Starbucks, 3 stars ,3 years ago,"I like that they offer various combinations for their beverages, like different types of milk and coffee. The food choice is also varies but most sandwiches and sweet snacks are packed with sugar and calories so I personally wouldn't eat here. Quite pricey."
12,Starbucks, 5 stars ,3 years ago,A modest cafe with some seating if not busy.  Professional service and helpful advice upon request. Coffee maker showed skills and excellent team work demonstrated. Coffee was to Starbucks usual standard.
13,Starbucks, 4 stars ,5 years ago,"It's a nice place. A little bit smaller than usual. There is no restroom and the plugs are under there the bench, but except for this it's a nice place where you can rest from your shopping or just warm a bit in the winter in front to a warm cup of cappuccino"
14,Starbucks, 1 star ,4 years ago,"Beware of thieves!!! I got my handbag stolen sitting in this Starbucks and the police told me it happens more often there (and another Starbucks, not sure which) . It was stolen by a guy sitting next to me while I was chatting and had my …"
15,Starbucks, 3 stars ,2 weeks ago,Quality not good
16,Starbucks, 5 stars ,11 months ago,"Amazing place, very easy location for take away and good location."
17,Starbucks, 4 stars ,2 years ago,"Not a bad Starbucks, try and sit in the window if you can as it's a good spot to people watch from. This cafe does not have a huge range of food as it's on the small side."
18,Starbucks, 3 stars ,5 years ago,"Standard Starbucks, but super small and cold, since the door is always open. I wouldn't recommend sitting here, it's pretty crowded and uncomfortable. Good for a coffee to go though."
19,Starbucks, 1 star ,4 years ago,"How is it possible to sell food and (quite large!) coffees while not having toilettes for clients???? They send you to Mc Donalds nearby.... They will definetely not see me again, maybe not even in any other Starbucks as this is clearly a service policy issue in my eyes :("
20,Starbucks, 5 stars ,a year ago,"The staff are amazing! So friendly and accommodating, best starbucks experience ever :)"
21,Starbucks, 4 stars ,2 years ago,"It's alright. Decent range of coffee, tea and confections. Probably one of the only places in the area to do take away breakfast food."
22,Starbucks, 4 stars ,4 years ago,"Chai Tea Latte tastes great. Starbucks never lets you down in taste - the location of this one with the tables standing slanted in front of the shop makes it a 4 star instead of 5 for me, but Starbucks is amazingly consistant in taste and …"
23,Starbucks, 5 stars ,a year ago,The barista ‘Hilde’? I believe drew a heart next to my name and it made my morning. Great service during crazy times
24,Starbucks, 1 star ,4 years ago,"The vegan shops all closed at 10 so our very last chance was this place. No vegan options and the worker said the salad is vegan. I've found vegan treats all over at starbucks, to include in Mississippi. I'm not sure how a so called progressive city was so terrible in this way. Bad hippies!"
25,Starbucks, 2 stars ,4 years ago,No restroom. Small place. But has wifi and good coffee. It’s a good spot to do some work or for a short break
26,Starbucks, 4 stars ,2 years ago,"As anywhere in the world, Starbucks coffee is great. Having no bathroom facilities in this location was very disappointing"
27,Starbucks, 4 stars ,7 months ago,"Usual Starbucks, bit loud as you'd expect at any touristy location"
28,Starbucks, 5 stars ,a year ago,"Had a wonderful time, my  barista Hilde was adorable and so sweet!!!"
29,Starbucks, 3 stars ,2 years ago,Really kind staff but no toilets and €0.75 (!!!) surcharge for non-dairy milk is basically a hate crime in 2020.
30,Starbucks, 5 stars ,6 years ago,"Nothing against the others, but this Starbucks manages to collect the nicest, most helpful and friendly baristas in town. Atmosphere and location are definitely a plus."
31,Starbucks, 3 stars ,5 years ago,it is small but it's location is great. If you could find a place youcan drink your coffee while watching walking people.
32,Starbucks, 5 stars ,2 years ago,Nice place to sit down and relax for a moment not to overfilled or croweded and service is good
33,Starbucks, 4 stars ,2 years ago,Very warm atmosphere but no toilet available there!
34,Starbucks, 5 stars ,3 years ago,I mean it's Starbucks! Good coffee high prices. Nice service through :DD
35,Starbucks, 1 star ,4 years ago,"Even if you are buying coffee here, they will not let you use the toilet... terrible place ! Starbucks... this is 2018 ...?!"
36,Starbucks, 1 star ,2 years ago,"No toilet, gloomy atmosphere....probably worst Starbucks I've been to si far."
37,Starbucks, 5 stars ,4 years ago,"Great staff, very kind although it was very crowded, good coffee and very easy access. Loved it!"
38,Starbucks, 3 stars ,5 years ago,Place is small. Not an ideal place if you wanna enjoy your coffee
39,Starbucks, 4 stars ,2 years ago,"Nice location, good staff, liable to get busy quickly."
40,Starbucks, 2 stars ,3 years ago,This was really very dirty. We sat on the outside table. It was like sitting in garbage. They could have alreast cleaned a bit.
41,Starbucks, 3 stars ,5 years ago,"Limited seating in this Starbucks store, friendly staff but only 2 counters - which meant a long wait for us. Might be hard to get a seat in the evening!"
42,Starbucks, 3 stars ,3 years ago,Baristas in europe usually have no clue what they’re brewing. Frothy milk with no coffee or flavor.
43,Starbucks, 4 stars ,2 years ago,The usual efficient and friendly staff. Nice place to watch the crowd visiting the flower market
44,Starbucks, 5 stars ,2 years ago,Nice and relaxed Starbucks in the close to alot of beautiful views.
45,Starbucks, 3 stars ,4 years ago,"Great Starbucks coffee as always, only down side is there is no restroom."
46,Starbucks, 5 stars ,3 years ago,"Great! Lovely chai latte, clean shop and super friendly staff. 🌟"
47,Starbucks, 3 stars ,4 years ago,Not the best Starbucks-it could use some improvement. Still the quality of coffee is consistent with other Starbucks
48,Starbucks, 3 stars ,4 years ago,I still find this location cuter and more cozy compared to the one Rembrandtplein which is called the bank.
49,Starbucks, 5 stars ,2 years ago,Friendly staff and very quick at making the orders.
50,Starbucks, 1 star ,4 years ago,"To small, not cozy at all, not very clean, not to much to offer, wifi does not work"
51,Starbucks, 4 stars ,2 years ago,"No toilet in this branch..
Good location in the corner"
52,Starbucks, 4 stars ,3 years ago,Overcrowded. Not clean. But it's Amsterdam. Pleasant stuff as always in Starbucks.
53,Starbucks, 4 stars ,4 years ago,Nice coffee place at the beginning of flower market.. Quick coffee and walk in the flower market is a great thing to do.
54,Starbucks, 4 stars ,4 years ago,Although the shop was small it wa amazing. Great Service and Friendly workers.
55,Starbucks, 4 stars ,4 years ago,Small place and friendly staff. It was not as crowded as I thought it would be.
56,Starbucks, 4 stars ,5 years ago,"Just your average looking Starbucks, even though I would note it's small and mostly there isn't space to sit."
57,Starbucks, 3 stars ,4 years ago,"Coffee is starbucks coffee , burned and full of suger , but they always have the best locations"
58,Starbucks, 5 stars ,4 years ago,"Great stuff, coffee was delicious maybe too fast closing other +++"
59,Starbucks, 4 stars ,2 years ago,"Good.  Not great.  Busy, so plan accordingly."
60,Starbucks, 4 stars ,5 years ago,"small coffee place , good coffee , not lots of range of pastries
good atmosphere"
61,Starbucks, 3 stars ,3 years ago,Good coffee does not justify its price
62,Starbucks, 3 stars ,a year ago,Usual Starbucks - open late so I could get a late decaff and have a walk around
63,Starbucks, 4 stars ,4 years ago,Good service! a little small place but you can find some place
64,Starbucks, 4 stars ,5 years ago,Sweet cosy little place with a really nice staff
65,Starbucks, 4 stars ,3 years ago,few places to sit
66,Starbucks, 5 stars ,4 years ago,"Very busy shop, still excellent coffee"
67,Starbucks, 1 star ,4 years ago,"Good coffee, but goddamn this place is miserable."
68,Starbucks, 4 stars ,4 years ago,"Good venue, great service and friendly staff."
69,Starbucks, 5 stars ,2 years ago,Starbucks is Starbucks. What can I say. Everyone know
70,Starbucks, 1 star ,2 years ago,Hot Chocolate is not THE hot Chocolate everybody knows...
71,Starbucks, 5 stars ,4 years ago,Good coffee as always. Not cheap.
72,Starbucks, 3 stars ,3 years ago,Starbuck is Starbuck some drinks without toilets 😢
73,Starbucks, 2 stars ,2 years ago,No toilet an no power outlets
74,Starbucks, 4 stars ,3 years ago,Quick stopping off point in the flower market.
