,Name,Review Rate,Review Time,Review Text
0,Steakhouse Tango, 5 stars ,3 months ago,"The steak was great and tender, the service was fast and friendly, the ambience was nice and quite intimate with such a cozy touch, and the price was fair. …"
1,Steakhouse Tango, 1 star ,6 months ago,"Bad quality of meat, can't recommend this place, tourists trap outside of tourist hotspot. Just look at the right corner of the picture of the ""rib-eye""-steak.."
2,Steakhouse Tango, 4 stars ,6 months ago,"The food was good and not overpriced. The waiter was incredibly nice, fast and attentive. But the music was pretty loud and I expected the steak to be medium since no one asked me, was pretty rare in the end. If you go there make sure to tell them how you want your steak."
3,Steakhouse Tango, 5 stars ,2 years ago,"This an Argentinian small steakhouse, the  place is very cozy to have lunch or dinner. Prices may vary depending of your selection is still affordable and not expensive. The server was so kind and humble. We recommend this place for the meat lovers."
4,Steakhouse Tango, 3 stars ,5 months ago,"I’m not picky, I wasn’t expecting much but I still got disappointed. Staffing is inappropriate, with one cook and one waiter for the whole restaurant (20mins wait to place an order even though the place was 80% empty). The 1/2 liter sangria …"
5,Steakhouse Tango, 4 stars ,4 months ago,"The food was good but a little overpriced. We asked for a mixed grill, but the dish was ""confusing"": while some elements were very good, others not so much. There is only one cook and one waiter for the whole restaurant but they were extremely nice and the service didn't take long."
6,Steakhouse Tango, 4 stars ,2 years ago,Had some yummy steak and lamb chops. Dishes come with salad and fries or potato. We ordered some extra veggies but in the end it was a bit too much for us so side dishes are really necessary.
7,Steakhouse Tango, 4 stars ,3 years ago,"Nicely done steak, side decoration require improvement considering the price. Side dish is good. Very friendly waiter and chef.  Highly recommended if you could look past the side decoration. :)"
8,Steakhouse Tango, 1 star ,7 months ago,"Keep walking.
While there is a very friendly and good waiter the food is terrible: we got the mixed grill, everything was over cooked, dried out and the ribs were rock hard. …"
9,Steakhouse Tango, 5 stars ,6 months ago,It was so delicious! Some bread for French people would be better ahah! Thank you!
10,Steakhouse Tango, 3 stars ,6 months ago,"Food ok, chicken was overcooked and dry.
Staff ok, but not really inviting.
Inside behind the bar it was a big mess and not really clean. …"
11,Steakhouse Tango, 5 stars ,a year ago,"Really good service, the waiter was really kind. The steak was perfect and the sangria as well."
12,Steakhouse Tango, 5 stars ,3 years ago,One of the best steaks I've ever had. Waitstaff were attentive without being annoying. Left feeling content without being over-stuffed. Would highly recommend!
13,Steakhouse Tango, 4 stars ,2 years ago,"Tipically tourist restaurant, it's closer to Remprandt plein, have some tables ouside to enjoy the meal.
Good beef with equilibrated price.
Friendly staff."
14,Steakhouse Tango, 5 stars ,6 months ago,"Good place to eat. Steak was very nice, staff polite and kind, service was fast!"
15,Steakhouse Tango, 4 stars ,2 years ago,Avoid dessert and coffe. Meat was very good.
16,Steakhouse Tango, 5 stars ,2 years ago,"I came to this restaurant when my first choice was booked and I’m SO GLAD I did! The food was outstanding, the atmosphere was warm and inviting, and the staff could not have been nicer. I had a Malbec, the Argentinian goulash, and the appetizer sampler. That had some of the best ribs I’ve had in my life. I highly recommend!"
17,Steakhouse Tango, 5 stars ,2 years ago,"Awesome place, the steaks and the seafood is wonderful. I can recommend it!"
18,Steakhouse Tango, 5 stars ,2 years ago,Very friendly staff and very tasty 😋 food I love it !! My stake it was delicious Thanks .
19,Steakhouse Tango, 4 stars ,2 years ago,"The beef is good,but a bit overpriced. Maybe because it is in a tourist area."
20,Steakhouse Tango, 1 star ,a year ago,"The guy preparing the meat is an Indian. The place is a disaster. The meat is terrible. They don’t have a barbecue place. they claim to have draft beer, but they open cans to serve in glasses. All is hidden. They fool you. FOR SURE, they …"
21,Steakhouse Tango, 3 stars ,a year ago,"The steak was ok for the price, not many choice for drinks, especially beers, the servers themselves say the house wine is bad don't take it , why keep it on the menu? Small congested interiors, felt like i am sitting and eating in a noisy cluttered kitchen."
22,Steakhouse Tango, 2 stars ,2 years ago,"Poor service. They serve prefabricated burgers which was really like a chewing gum, also the french fries where cold and soggy. They forgot the side orders for my friends that have ordered different steaks. Five minutes later they served …"
23,Steakhouse Tango, 5 stars ,3 years ago,"Had the Parrillada for 2 people, very generous portion, delicious meat and fair price. Staff is very friendly. Food took a while to arrive but it's reasonable considering the quality and quantity of the meal. We were allowed to take leftovers home. I highly recommend this place!"
24,Steakhouse Tango, 4 stars ,2 years ago,Nice location and the food also good.
25,Steakhouse Tango, 5 stars ,3 years ago,"Fantastic customer service. He speaks most languages so please do not be afraid to go in if you do not speak English or Dutch. Amazing food, we still talk about our steak today as it was so nice and cooked to perfection."
26,Steakhouse Tango, 4 stars ,4 years ago,Great waitstaff.. Quick and polite. Got a steak combo and a beer... Not the best steak in the world but certainly passable. Would return and try the platter instead. Thank you for your kind service :)
27,Steakhouse Tango, 1 star ,4 years ago,"We ordered 3 mains and a side of french fries, tomatoes and bred. Fries are frozen, from a packet, defrosted to order. Bred is stale, grilled to make it taste ok, side salads are anything but pleasant. Overpriced bottled water. Mistake on …"
28,Steakhouse Tango, 4 stars ,4 years ago,I  love the steak. Side menus weren't special.
29,Steakhouse Tango, 5 stars ,a year ago,"It was very nice, the food was good with a great knowledge of meat, waiter was really friendly and paul Is an amazing cook"
30,Steakhouse Tango, 5 stars ,2 years ago,"Good portions, friendly staff, and great tasting meats. The authentic Argentinian music made for a pleasant dinner experience."
31,Steakhouse Tango, 4 stars ,3 years ago,"Tried a steak and some bbq ribs from here. Both very good, the ribs had a very interesting taste different from any other ribs I've ever eaten. The prices are a bit high."
32,Steakhouse Tango, 5 stars ,2 years ago,"Though it may look like a tourist trap, but the food is really good and the service is optimal. Steak is premium and burger is not to miss"
33,Steakhouse Tango, 5 stars ,2 years ago,Generous serving  of juicy beef cooked to perfection and price is reasonable. Friendly and helpful staff who makes a wonderful  dining experience.
34,Steakhouse Tango, 3 stars ,3 years ago,"Good food, but bad service. They refused to give us tapwater (and all the drinks were overpriced), and they refused to let us split the bill. The waiter was not very friendly, either."
35,Steakhouse Tango, 2 stars ,2 years ago,inexperienced wait staff. under staffed. ordinary inauthentic food. in general was just ok but was expensive. not surprising given the tourist area I suppose
36,Steakhouse Tango, 5 stars ,4 years ago,"Kind staff and delicious meat food. Try the mixed grill, it's worth the money. Not cheap but not overpriced! Might have to book in advance because it's not so big."
37,Steakhouse Tango, 5 stars ,3 years ago,"Food was good, a little hiccup in our reservation but we seemed to be the only ones in the restaurant to have an issue. Service was excellent and it has a good price range"
38,Steakhouse Tango, 4 stars ,3 years ago,"We had ribs and chicken wings, food was great and abundant for a reasonable price, staff was nice. Food was not very very Argentinean but I would go again."
39,Steakhouse Tango, 3 stars ,2 years ago,"Decent steak. Decent prices. Just decent. The chimichurri was not chimichurri.

Service was great tho. Friendly waiter"
40,Steakhouse Tango, 5 stars ,2 years ago,"This place is excellent
Fast friendly service the portions are huge
Best chicken I have ever had steak and lamb were also excellent and the French fries were delicious"
41,Steakhouse Tango, 5 stars ,2 years ago,"Lovely little restaurant cwtched away in an alley. Really good if your gluten free like me , very accommodating,i would highly recommend this place."
42,Steakhouse Tango, 1 star ,3 years ago,"Super slow Service, the steak was too well done, the grill plate for two was cold after 10 mins.
Wouldn't go there again"
43,Steakhouse Tango, 3 stars ,2 years ago,The food was nice and the atmosphere was ok. You need to keep on asking for drinks.
44,Steakhouse Tango, 5 stars ,8 months ago,Great service great food nice place overall
45,Steakhouse Tango, 4 stars ,2 years ago,Great food !
46,Steakhouse Tango, 3 stars ,3 years ago,The Normal proper enoyable food you would expect in a touristy place. Price vs quality is ok. Nothing special but save choice.
47,Steakhouse Tango, 5 stars ,7 months ago,Good food
48,Steakhouse Tango, 4 stars ,3 years ago,Very good service and also very good food. We enjoyed our dinner.
49,Steakhouse Tango, 5 stars ,2 years ago,Clean. Friendly. Good quality food. Better than most Argentinian grill houses
50,Steakhouse Tango, 3 stars ,2 years ago,"Steak and chips for €12, not to bad. Be careful of the sauce charge!!! Was a lot"
51,Steakhouse Tango, 5 stars ,2 years ago,"Good food, excellent service. The guy from Argentina was kind and helpful."
52,Steakhouse Tango, 2 stars ,3 years ago,"Trash, bad quality, went there for a lunch. Microwaved dishes, and all of
My friends and I all had some sort of bad time on the toilet the day after..."
53,Steakhouse Tango, 4 stars ,4 years ago,"Good food, great service at a reasonable price. Definitely recommend."
54,Steakhouse Tango, 4 stars ,3 years ago,"Very nice restaurant with good food and nice staff, is a tad bit expensive"
55,Steakhouse Tango, 5 stars ,3 years ago,"Fillet steak was fabulous, friendly and efficient service. Would definitely recommend"
56,Steakhouse Tango, 2 stars ,2 years ago,"This Seafood soup only has few tiny mussels,and onions  tasteless,"
57,Steakhouse Tango, 1 star ,3 years ago,If you're a tourist don't go here. Service is rude and try hard to fool you with the prices
58,Steakhouse Tango, 5 stars ,2 years ago,Great steak and reasonably priced considering the location.
59,Steakhouse Tango, 5 stars ,3 years ago,Great steak good price friendly and clean
60,Steakhouse Tango, 5 stars ,3 years ago,Very good food and very chatty waiter form Milan :)
61,Steakhouse Tango, 3 stars ,3 years ago,Nothing really bad to say. It's good but nothing outstanding. The service is average.
62,Steakhouse Tango, 4 stars ,4 years ago,Beautiful steaks. Best we have had in a long time
63,Steakhouse Tango, 1 star ,3 years ago,One euro charge per person if the split bill is less than 20 euros per person
64,Steakhouse Tango, 5 stars ,2 years ago,Wow! Giant steak. Great wines and fantastic service.
65,Steakhouse Tango, 5 stars ,3 years ago,Great welcoming atmosphere and delicious steaks!
66,Steakhouse Tango, 4 stars ,5 months ago,Exelent. Very good 👍👍👍👍
67,Steakhouse Tango, 5 stars ,2 years ago,"The food is very nice.
And cost is moderate"
68,Steakhouse Tango, 3 stars ,a year ago,Was okay. Nothing special and quite expensive.
69,Steakhouse Tango, 5 stars ,3 years ago,Brilliant food and wonderful staff.
70,Steakhouse Tango, 4 stars ,4 years ago,"Good food, great service, nice ambience"
71,Steakhouse Tango, 5 stars ,4 years ago,Best ribs Ive ever had the pleasure of eating
72,Steakhouse Tango, 2 stars ,2 years ago,Slow service and you will have to pay for every tiny request.
73,Steakhouse Tango, 5 stars ,2 years ago,Reaaly tasty meat and friendly stuff
74,Steakhouse Tango, 5 stars ,2 years ago,"Great food, friendly staff"
75,Steakhouse Tango, 5 stars ,4 years ago,"Great steaks, enthusiastic waiting staff."
76,Steakhouse Tango, 4 stars ,2 years ago,Small place with tasty meat.
77,Steakhouse Tango, 3 stars ,4 years ago,The steak was bland and the presentation limited.
78,Steakhouse Tango, 5 stars ,2 years ago,Nice steaks and nice service!
79,Steakhouse Tango, 1 star ,5 months ago,Arrogant service
80,Steakhouse Tango, 5 stars ,2 years ago,What a great steak here!!😍
81,Steakhouse Tango, 5 stars ,3 years ago,"Excelent steak , excelent service"
