,Name,Review Rate,Review Time,Review Text
0,Stone's Cafe, 5 stars ,7 months ago,"Great place for a big hearty breakfast, a good cup of coffee, a beer, and friendly service."
1,Stone's Cafe, 5 stars ,a week ago,"Fantastic atmosphere and great team, very good location, great option to have a drink with friends and party"
2,Stone's Cafe, 5 stars ,2 years ago,"Fun bar that allows both smoking (no tobacco) and drinking. Friendly and high energy staff will make you feel like you're at your own local bar. Can get crowded and loud, but I find that to be part of the appeal."
3,Stone's Cafe, 5 stars ,3 years ago,"Had a wonderful time,  met some very nice people here. The music, food and people were good! Clean restrooms as well."
4,Stone's Cafe, 1 star ,7 months ago,"Expensive (5€ the Heineken alcoholess small bottle). No price on most of the menu items and when asked about the ""Long beer"" on the receipt, the waiter just answered that it is normal and took and threw away the receipt. Feels like a scam"
5,Stone's Cafe, 5 stars ,2 years ago,"Get in, don’t make questions about it, you will enjoy :)

The prices, quality and music is amazing, ho there with time, chill and enjoy the ride."
6,Stone's Cafe, 3 stars ,2 years ago,Would be 5 stars but you have to pay to pee and it’s a disgusting bathroom
7,Stone's Cafe, 5 stars ,2 years ago,Great place.  Great beer and service.  My friends were able to smoke their first blunt here.
8,Stone's Cafe, 5 stars ,11 months ago,"We had a wonderful time with my friends, the music kept us moving all through the night. We made new friends which was awesome. Visited this place 2 years ago."
9,Stone's Cafe, 5 stars ,2 years ago,"Fantastic place! Great atmosphere, good music. Good beer. Spot on"
10,Stone's Cafe, 5 stars ,2 years ago,Loved this place! The sound system is great. Different DJs each night. A little heavy on the Latin music on Monday but the DJ on Sunday was really good. Staff is very friendly. Bartenders are quick. Prices are pretty good. On Sunday I’m …
11,Stone's Cafe, 5 stars ,2 years ago,"On nights when the morning shouldn't soon begin, I sometimes find myself having a beer among young people having a grand time listening to party music, enjoying a drink, smoking anything other than tobacco, and just being in a good cheer. …"
12,Stone's Cafe, 3 stars ,2 years ago,"Went there from 10pm till 3am. We had a lot of fun. The bartenders were nice.
Even though there were good songs, the music was kind of repetitive.
We ordered several rounds of shots during our stay but towards the end, the …"
13,Stone's Cafe, 5 stars ,2 years ago,"unexpectedly went to this bar, asked for a drink ONCE and when i was done went again and the bartender memorized my order during the whole night. he's such a sweetheart loved that. surprisingly they played a lot of Spanish music i was …"
14,Stone's Cafe, 5 stars ,2 years ago,Visited this bar / café for some breakfast and it is a lovely place to visit. They serve alcohol and also allow weed smoking but not tobacco. The seats table a handful of people and the window seats are perfect to sit and stare at the …
15,Stone's Cafe, 5 stars ,7 months ago,"I love everything on this place, the staff, the ambience and decoration are just perfect!"
16,Stone's Cafe, 4 stars ,5 months ago,Nice Bar but not that cheap.
17,Stone's Cafe, 5 stars ,2 years ago,"Great venue for drinks and to smoke your own herb. Various offers on drinks including Jagerbombs (6 for €16!!)
Welcoming, friendly staff make you feel at home instantly. The 80% absinthe is …"
18,Stone's Cafe, 2 stars ,2 years ago,The place has a separated bar and night club. The issue is that the bar feels a lot more like a nightclub than the actual nightclub part. It's quite pricey and very crowded at night. I didn't stay for more than one drink and have no …
19,Stone's Cafe, 4 stars ,3 years ago,"Very loud. But its in the red light district so that is only to be expected. Good beer. Sports on some screens, old 70s music videos on others. The staff was very helpfull and all had lovely smiles."
20,Stone's Cafe, 5 stars ,3 years ago,"Great spot, doorman was friendly and the staff were too. Pints of Heineken were great and were typical price as other places nearby. They allow you to smoke inside as well which was great and the tunes were good. Overall great atmosphere"
21,Stone's Cafe, 3 stars ,2 years ago,"Good place for people who are more than stoned. To loud music, I coudnt even hear my minds don't want to mention about talking. Full of hard lights and fast music. Bathroom only when you pay for it. At least good place when you are drunk and you like to jump whole night."
22,Stone's Cafe, 5 stars ,3 years ago,Really nice friendly place with music beer and you can smoke weed if you like. Right on the edge of the red light district. It's got a good position and is busy without being too crowded. Nice friendly vibe .
23,Stone's Cafe, 5 stars ,4 years ago,"Best English Breakfest and for the best price! My husband and I found them first morning in from the train/plane when we were her lagged and hurting. Filled our bellies and gave us a little alcohol in our systems to rally. Went every morning the rest of the trip, great crowd and great staff!"
24,Stone's Cafe, 2 stars ,3 years ago,"It was a cool place to hang. Until they started to charge .50 cents to use the bathroom. Then I left after that point. (Just to think, all the money I would've spent in this place and it had to end due to some hustler woman shaking down …"
25,Stone's Cafe, 5 stars ,2 years ago,Nice and friendly staff 😊 And drinks with a good price 👍 Music like everywhere is mixed with good and not so much.... But was a lot of fun 💪👍
26,Stone's Cafe, 5 stars ,2 years ago,"Absolutely awesome place, drink prices not to bad, staff very funny and friendly, music was so good, had lots of different djs on when we were there"
27,Stone's Cafe, 5 stars ,2 years ago,"This bar simply always delivers. No matter how quiet the street is, it is full of people having a good time. Dance, drink, whatever, no one judges. Oh, and you can smoke weed inside."
28,Stone's Cafe, 5 stars ,2 years ago,"Amazing Bar!!! Every time I'm back in town for sure you'll find me there!!
Super friendly staff and great drinks!!!
Definitely recommend"
29,Stone's Cafe, 5 stars ,3 years ago,Perfect place to get stoned. I was there on the Christmas eve with my friends. Luckily we got the table that is near to the main entrance.  Probably the best place in the pub to see the passing tourists and to relax . The music was very …
30,Stone's Cafe, 5 stars ,3 years ago,"Great wee bar with alcoholic drink's and bring your gear and smoke it here option
Staff very friendly and place was spotless clean. Good location in the heart of …"
31,Stone's Cafe, 5 stars ,2 years ago,"If you are trying to keep the party going and it’s after 2am , this is def the spot to end up and finish the nite . Great vibes , great dance floor , good music . A little sweaty lol"
32,Stone's Cafe, 4 stars ,7 months ago,Cosy place ( not allowed to smoke cigarettes inside ).
33,Stone's Cafe, 5 stars ,7 months ago,Nice place to smoke one 🍁 and drink one 🍻!!!
34,Stone's Cafe, 5 stars ,2 years ago,One of the best bars for people watching as you're in the heart of the Red Lights district. The staff are also incredibly friendly and their beer selection isn't bad either.
35,Stone's Cafe, 4 stars ,3 years ago,"One of the best bar in Amsterdam, if you want to have a good time go there with or without your friends, the music is fine for any taste, the place is pretty great so you won't be disturbed by the lack of space there like in the streets of the city or some others bar. Definitely recommanded."
36,Stone's Cafe, 1 star ,2 years ago,New bartender throws beer out when you are looking the other way. Then starts yelling at you when say smt about it. Hospitality level is below 1*. Shame as the bar is a nice place.
37,Stone's Cafe, 4 stars ,9 years ago,"Always had a good time here. The food in a morning is great and reasonably priced, nice sausages!  The dutch guy with the hat who stands at the door, welcoming customers is very friendly, helpful, and even remembered where I sat a few days …"
38,Stone's Cafe, 3 stars ,2 years ago,Nice atmosphere but the some of the staff tried to trick us into paying more because we were tourists and the music was the same every single night
39,Stone's Cafe, 5 stars ,2 years ago,"Made my Amsterdam experience one to remember. The staff was beyond amazing. If you visit Amsterdam, you must come here! Great drinks, great times and great fun."
40,Stone's Cafe, 5 stars ,3 months ago,Always a good vibe ;)
41,Stone's Cafe, 1 star ,4 years ago,"We sat down for an americano (long black coffee), nothing else - 4 euros for a weak watery coffee!! What a tourist trap!! On the one order that is nearly impossible to go wrong with, they surcharge you and stuff it up. Always ask how much it is before ordering..."
42,Stone's Cafe, 5 stars ,2 years ago,This is a great place to chill out(as is their other place across the road) and chill out smoking a few spliffs while having a drink. The bar staff are great too.
43,Stone's Cafe, 5 stars ,a year ago,"Very nice people, quick service a really good music. I recommend it!"
44,Stone's Cafe, 5 stars ,2 years ago,Friendly staff and good music made it a great place to have a smoke.  There are tables and chairs out the back which was a great place to sit  to watch world go by.
45,Stone's Cafe, 4 stars ,2 years ago,One of the more highly recommend places In the area. Good dance spot. Good hanging out bar.
46,Stone's Cafe, 2 stars ,2 years ago,"Too expensive their beer and the taste is not soo good for a simple lager.  The music was too loud for no reason, nobody danced."
47,Stone's Cafe, 5 stars ,a year ago,"There is friendly staff, good prices and overall the kind of place you would feel comfortable to come with your friends 😊"
