,Name,Review Rate,Review Time,Review Text
0,Subway, 5 stars ,8 months ago,"Great food and great prices, staff should work on their English"
1,Subway, 1 star ,3 years ago,"Unfriendly staff, I ordered Italian herb and CHEESE bread and my sandwich didn’t even have cheese on it. The dresser closed my sandwich before I was even done dressing it. They really don’t want you here it feels like. Only thing they have going is location. Subway corporate should look into this franchisee."
2,Subway, 1 star ,2 years ago,"Subway food is consistent around the world
It’s a shame that the hygiene levels are NOT!
Ordered my food and the woman working behind the counter was sneezing and …"
3,Subway, 1 star ,3 years ago,"Terrible experience! I don't recommend to anyone this Subway! Food is cold and tastes bad. There's an attendant who was totally disrespectful, did not let me and my family choose the bread and the fillings and still justified that we would …"
4,Subway, 1 star ,2 years ago,Not good.  Asked to wash my hands before eatting in.  No this is a small place he said.  So i proceeded to order takeout and find a place to clean my hands.  I got no napkins and had to put my food in the bag.  They never said sorry or seemed to care about the customers.
5,Subway, 1 star ,2 years ago,"Terrible experience at this place.
There was a woman who made my sandwich who was curt and impolite and gave nonsensical reasons as to why she couldn't put all vegetables. …"
6,Subway, 1 star ,3 years ago,"Worst staff ever! They always try to be very bossy and rush you to choose your sandwich. Feels like they just want to serve you and make you leave. I felt very unwanted there. The same happened to me in another subway in Amsterdam. If you’re so unhappy working there then leave! Horrible, don’t go there."
7,Subway, 2 stars ,5 years ago,"I went there with two of my friend they ate at a subway before and really enjoyed so when we saw this place they recommend it and said it's a must, but unfortunately it was a huge disappointed. The service was lazy Unhelpful liked they want …"
8,Subway, 3 stars ,3 years ago,"Subway | Kingsday 27 april 2018, amazing people, great attitude, informal ambiance, long live the king, hip hip haorey, free market …"
9,Subway, 1 star ,2 years ago,"The staff was very rude and I felt they were treating me in a rascist way. Very sad, it really ruined my day."
10,Subway, 5 stars ,3 years ago,"Selection and sandwich tasted great. I think the employees need a raise though, extremely grumpy."
11,Subway, 4 stars ,2 years ago,It's same like all other Subway...loved there bread and the sauce...
12,Subway, 5 stars ,3 years ago,"No comment,  because Subway don't need ot.  Very tasty,  very fast,  gpod price."
13,Subway, 5 stars ,5 years ago,"Really good Subway, I had a Subway here about 20 hours after eating one in London, and they were identical quality. 👌"
14,Subway, 1 star ,2 years ago,"Poor service, grumpy and thick attendant, like I was making a favor buying a sandwich there. NO, I'M COSTUMER!"
15,Subway, 5 stars ,3 years ago,"Very nice sub way as always, bit busier then the UK subways but this is because of its location in Amsterdam"
16,Subway, 4 stars ,6 years ago,"3 euros and you eat a huge, tasty meal, it takes 2 minutes to prepare and then you can eat"
17,Subway, 3 stars ,2 years ago,"Food was OK, no customer restroom, pleasant staff"
18,Subway, 4 stars ,2 years ago,The place is way too small to accommodate the crowd.
19,Subway, 5 stars ,2 years ago,Nice food. Had vegan options.
20,Subway, 2 stars ,2 years ago,Not very good.  Food not fresh
21,Subway, 5 stars ,a year ago,Friendly staffs and good service.
22,Subway, 2 stars ,4 years ago,ok food. very unpleasant staff.
23,Subway, 3 stars ,3 years ago,good sometimes the amount of toppings is less
24,Subway, 2 stars ,6 years ago,"If you are a fan ok, but there are better alternatives around."
25,Subway, 1 star ,2 years ago,The staff is very rude and I just saw a rat on the floor 🤮
26,Subway, 1 star ,3 years ago,"Dirty tables, rude employes , bad subway"
27,Subway, 2 stars ,2 years ago,Small crowded and not kept very clean
28,Subway, 3 stars ,2 years ago,Taco sandwich is so delicious
29,Subway, 1 star ,4 years ago,Not a good place! They are too busy
30,Subway, 5 stars ,2 years ago,Subway never lets down
31,Subway, 4 stars ,3 years ago,Everything you would expect from subway
32,Subway, 4 stars ,2 years ago,Good one
33,Subway, 3 stars ,5 years ago,Eat fresh
34,Subway, 1 star ,2 years ago,Terribly made subs.
35,Subway, 1 star ,4 years ago,Damn unfriendly staff
36,Subway, 5 stars ,3 years ago,The place was good but they have no happy hours.
37,Subway, 5 stars ,2 years ago,I like it
38,Subway, 1 star ,5 years ago,No cookies to be had!
39,Subway, 4 stars ,a year ago,Top
40,Subway, 5 stars ,2 years ago,Cheap and wholesome
41,Subway, 1 star ,2 years ago,Sggs
42,Subway, 5 stars ,3 years ago,i liked
43,Subway, 4 stars ,3 years ago,Good as always
44,Subway, 4 stars ,5 years ago,Good sandwiches
45,Subway, 4 stars ,3 years ago,Tasty
46,Subway, 5 stars ,2 years ago,Ace
47,Subway, 3 stars ,2 years ago,Rude staff
48,Subway, 3 stars ,5 years ago,"(Translated by Google) Very Subway. Sandwich technical further okay though. Coffee is also fine not expensive ... Only really only suitable for taking away ...
Subway of the day is always a good idea !!! Because is only 3 euros and really …"
49,Subway, 1 star ,2 years ago,"(Translated by Google) Me and my friends had a stomachache after a chicken sandwich. We like to eat chicken, but this was impossible to eat. The sandwich was sour and too expensive for whatever it was! I threw away more than half and then …"
50,Subway, 1 star ,2 years ago,"(Translated by Google) Unkind jobs. 20 minutes before closing time they had already placed the chairs on the tables, a friend who arrived 5 minutes later (15 before closing) did not prepare the sandwich. Vagabonde and rude. …"
51,Subway, 3 stars ,4 years ago,(Translated by Google) The Subway is a chain of sandwich shops. There is usually an extensive range and a wide choice of topping types. Everything is fresh and prepared fresh. This Subway is right next to the Febo and therefore at the Mac …
52,Subway, 1 star ,a year ago,(Translated by Google) Outrageous how much meat you put on it at delivery I tasted almost nothing and I had that for such an expensive fajita sandwich …
53,Subway, 2 stars ,2 years ago,(Translated by Google) The store is small and seating is rare (there are about 4) - the sellers were a bit demotivated and impatient although not busy - there is no cream cheese - English was well understood and there were no problems …
54,Subway, 5 stars ,a year ago,"(Translated by Google) Sittard Subway has a pleasant and customer-friendly staff, the sandwiches are tasty and it is beautifully clean! …"
55,Subway, 1 star ,4 years ago,"(Translated by Google) Unfriendly service and unhygienic, since he grabs his cell phone, etc. with his gloves and then takes the bread ... I also ordered a menu, but was not advised that the menu only worked with a small baguette and not …"
56,Subway, 1 star ,2 years ago,(Translated by Google) This gentleman is the ill-fated person of Amtetdam. He must learn to be kind. When they serve you food with dislike until it falls bad puff I thought they were kinder in this city. As. …
57,Subway, 5 stars ,4 years ago,"(Translated by Google) Note chain of sandwiches made with fresh ingredients chosen at the time. Personally I find the sandwiches very good, not the usual fast-food. …"
58,Subway, 4 stars ,3 years ago,"(Translated by Google) Relatively cheap
Great flavors. (Not for kosher eaters)
Among the types of fast food the most delicious there is. …"
59,Subway, 1 star ,5 years ago,"(Translated by Google) Of all the Subways that I have already visited, I have been treated the most rude here. I won't come back here. …"
60,Subway, 5 stars ,a year ago,"(Translated by Google) Nice food, good coffee. Mostly friendly employees

(Original) …"
61,Subway, 5 stars ,6 years ago,"(Translated by Google) Best place to eat .. Quality, nice prices .... class just ... downside .. Close too early ... …"
62,Subway, 2 stars ,2 years ago,(Translated by Google) Staff who speak poor Dutch so the service is not like other subways. …
63,Subway, 5 stars ,a year ago,"(Translated by Google) Fast and pleasant service, correct price, nothing to say 👍🏻 …"
64,Subway, 5 stars ,2 years ago,"(Translated by Google) In my part it is not very close to excellent sandwich

(Original) …"
65,Subway, 3 stars ,2 years ago,"(Translated by Google) Subway is lovely but staff unfriendly and blunt

(Original) …"
66,Subway, 4 stars ,4 years ago,(Translated by Google) Great as everything subway however the place is very small. …
67,Subway, 1 star ,3 years ago,(Translated by Google) The ham was already green and the rest of the food didn't look very appetizing either …
68,Subway, 1 star ,4 years ago,(Translated by Google) They are very unkind and speak poor Dutch. I'll never come here again. …
69,Subway, 4 stars ,3 years ago,"(Translated by Google) great place to eat healthy sandwiches

(Original) …"
70,Subway, 5 stars ,5 years ago,(Translated by Google) Quality in everything ... EVEN HEALTHY ... BETTER THAN THOSE GORE MCDONALDS. .FAT AND BENDE. . …
71,Subway, 4 stars ,4 years ago,"(Translated by Google) Fine food but a small shop

(Original) …"
72,Subway, 5 stars ,2 years ago,"(Translated by Google) Sweet and light and deliver me Chalet 290

(Original) …"
73,Subway, 1 star ,3 years ago,"(Translated by Google) Never met such unmotivated and rude employees in my life

(Original) …"
74,Subway, 5 stars ,2 years ago,"(Translated by Google) Mmh chicken teriyaki with sweet chili sauce!

(Original) …"
75,Subway, 2 stars ,2 years ago,(Translated by Google) Speak poor Dutch and do not participate in the actions of the app …
76,Subway, 3 stars ,3 years ago,"(Translated by Google) Correct but nothing more: expensive and moderately good.

(Original) …"
77,Subway, 5 stars ,2 years ago,"(Translated by Google) It is very nice to be here

(Original) …"
78,Subway, 2 stars ,2 years ago,"(Translated by Google) It was a shame
Too little meat
Too little salad …"
79,Subway, 4 stars ,2 years ago,"(Translated by Google) The room looks scanty, but the seller is trying)

(Original) …"
80,Subway, 5 stars ,4 years ago,"(Translated by Google) Excellent sandwiches practically in dam square !!

(Original) …"
81,Subway, 5 stars ,2 years ago,"(Translated by Google) A known option amidst the world's diversity of foods

(Original) …"
82,Subway, 4 stars ,2 years ago,"(Translated by Google) Pretty good and fast service

(Original)
Assez bon et service rapide"
83,Subway, 4 stars ,2 years ago,"(Translated by Google) Tasty fast food

(Original)
Νόστιμο γρήγορο φαγητό"
84,Subway, 1 star ,2 years ago,"(Translated by Google) Too small, too busy

(Original)
Te klein, te druk"
85,Subway, 5 stars ,2 years ago,"(Translated by Google) Best sandwiches!

(Original)
Beste broodjes!"
86,Subway, 4 stars ,5 years ago,"(Translated by Google) This subway is better than the other at Dam.

(Original) …"
87,Subway, 5 stars ,a year ago,"(Translated by Google) As always top ❤️

(Original)
Wie immer top ❤️"
88,Subway, 4 stars ,3 years ago,"(Translated by Google) Subway like Subway, good food

(Original) …"
89,Subway, 5 stars ,2 years ago,"(Translated by Google) Super sandwiches.

(Original)
Super broodjes."
90,Subway, 4 stars ,a year ago,"(Translated by Google) Long bun

(Original)
Lange broodje"
91,Subway, 2 stars ,2 years ago,"(Translated by Google) Nothing special

(Original)
Niente di che"
92,Subway, 1 star ,2 years ago,"(Translated by Google) Smelly

(Original)
Stinkt"
93,Subway, 3 stars ,2 years ago,
94,Subway, 1 star ,2 years ago,"(Translated by Google) Rare

(Original)
Scarso"
95,Subway, 1 star ,2 years ago,"(Translated by Google) Just NO! 👎🏼

(Original)
Proprio NO!👎🏼"
96,Subway, 4 stars ,2 years ago,"(Translated by Google) Fresh

(Original)
Frisch"
97,Subway, 5 stars ,2 years ago,"(Translated by Google) Excellent

(Original)
ممتاز"
98,Subway, 5 stars ,3 years ago,"(Translated by Google) Vegetarian options

(Original)
Opções vegetarianas"
99,Subway, 1 star ,a year ago,"(Translated by Google) So, now

(Original)
Nah nah nah"
100,Subway, 5 stars ,2 years ago,"(Translated by Google) rich

(Original)
Rico"
101,Subway, 5 stars ,4 years ago,"(Translated by Google) It is subway 😂

(Original)
È subway 😂"
102,Subway, 4 stars ,2 years ago,
103,Subway, 3 stars ,3 years ago,
104,Subway, 5 stars ,a year ago,
105,Subway, 5 stars ,2 years ago,
106,Subway, 5 stars ,3 years ago,
107,Subway, 4 stars ,a year ago,
108,Subway, 5 stars ,4 years ago,
109,Subway, 2 stars ,5 years ago,
110,Subway, 3 stars ,2 years ago,
111,Subway, 5 stars ,2 years ago,
112,Subway, 4 stars ,2 years ago,
113,Subway, 5 stars ,2 years ago,
114,Subway, 5 stars ,3 years ago,
115,Subway, 5 stars ,3 years ago,
116,Subway, 2 stars ,2 years ago,
117,Subway, 5 stars ,3 years ago,
118,Subway, 5 stars ,3 years ago,
119,Subway, 4 stars ,a year ago,
