,Name,Review Rate,Review Time,Review Text
0,Surabaya-Green, 3 stars ,5 years ago,"nice to have a nearby little mom-and-pop store that sells take-away indo food. nothing fancy and limited choices, but just enough if you want the basic food stuff with no frills."
1,Surabaya-Green, 5 stars ,2 years ago,"Its a basic looking takeout place, but the food is great. Owner is a real gentleman. Lots of Indo places in Amsterdam serving bland and sweet rubbish, but everything I had from here was good."
2,Surabaya-Green, 5 stars ,2 years ago,"I love this place, and the owner is an absolute sweet heart! The food is amazing and quite affordable
I always go there!"
3,Surabaya-Green, 5 stars ,3 years ago,"Nice food, good prices & friendly owner"
4,Surabaya-Green, 1 star ,3 years ago,"Poor quality, looks like an old cellar, food extremely expensive. Please cleanup your shop."
5,Surabaya-Green, 5 stars ,2 years ago,"(Translated by Google) Have been coming here for years. The shop looks a bit messy, but for me it is the best take-away Indonesian from Amsterdam. Really delicious (too) large portion of bami ramses with braising for € 9. We also have 2x …"
6,Surabaya-Green, 5 stars ,2 years ago,(Translated by Google) Always a friendly gentleman and always good food. Does not use vetsin or other chemical flavor enhancers ... Highly recommended for good traditional Indonesian dishes! …
7,Surabaya-Green, 5 stars ,5 years ago,"(Translated by Google) Hidden gem, addictive delicious Indo-sized portions for a small price. Not a special place to see, but top quality food! …"
8,Surabaya-Green, 5 stars ,2 years ago,"(Translated by Google) Tasty Indonesian with lots of spices, lots of choice, fresh, large portions for little money. The friendly owner finishes it. …"
9,Surabaya-Green, 5 stars ,2 years ago,"(Translated by Google) Delicious Indonesian food, very tasteful and large portions. Nice owner too. …"
