,Name,Review Rate,Review Time,Review Text
0,Taco Mundo, 5 stars ,a month ago,"We went during happy hour and enjoyed a few margaritas. BEST MARGS WE HAVE EVER HAD! It was so fresh, not like most restaurant margaritas. The street corn was Supreme. The aesthetic was really beautiful. Amazing lighting from the ceiling. …"
1,Taco Mundo, 5 stars ,a month ago,Me and my family was visiting Myrtle Beach for my birthday and decided to give them a try it was a great  choice. The food delicious we really enjoyed and our server Jessica H. was amazing. Will definitely visit again.
2,Taco Mundo, 5 stars ,6 months ago,"This was my first time eating here. My co-worker and I stopped in after doing a couple of site assessments in the area. The hostess was friendly and seated us promptly. Our server, Lauren, was top notch and took care of us with great …"
3,Taco Mundo, 5 stars ,5 months ago,"What an awesome spot, on the water, to enjoy some great Mexican food and of course margaritas. Our server, Noelle C., was fantastic, very courteous, friendly and helpful. We both enjoyed our carne asada, tempura fried fish, and grilled fish …"
4,Taco Mundo, 5 stars ,5 months ago,This is a 9 out of 10 restaurant!   Food was amazing.   We ordered about 7 things off the menu and everything was great including the corn.  Highly recommend if you are visiting from out of town and want a guaranteed good texmex meal. …
5,Taco Mundo, 2 stars ,2 months ago,Very beautiful Place. Nice location on water where you can walk around in barefoot landing. Hostess and waitress both very nice and welcoming. However the management and certain staff not so much. It was a busy night lots of people and …
6,Taco Mundo, 5 stars ,4 months ago,Great vibe. Service here is fantastic and friendly. Food has some unique preparations. Love the fajitas with chorizo added. Chicken wings are marinated before frying. If you are in the area I definitely recommend.
7,Taco Mundo, 5 stars ,a month ago,The food and service were equally fantastic. The indoor decor is awesome especially the giant sugar skulls. The punch bowl is fantastic and oerfect for a date. The salsa is good. The carne asada taco is one of the best I've ever had. The churros are a must!
8,Taco Mundo, 5 stars ,7 months ago,"Great place for aime Mexican food.  It was a Saturday night when we went in August and the place was packed with a long wait, but what else would you expect for a place that has great food overlooking the waterfront.  Highly recommended."
9,Taco Mundo, 5 stars ,2 months ago,"great food, great service, great view. added bonus, the manager comes around and talks to you. that makes me go back"
10,Taco Mundo, 5 stars ,5 months ago,"A few months ago, I went to Taco Mundo to look for a place to have my rehearsal dinner. We decided to sit and eat dinner and that is when Erin introduced herself to me and my family. I was blown away by the hospitality and care she put into …"
11,Taco Mundo, 5 stars ,6 months ago,"Wonderful food of all kinds, especially tacos, burritos, and Margaritas....sitting outside on the intracoastal is fabulous, and the live music was just right, and not too much...Barefoot Landing is a special place, with just about everything you could ask for in an evening out...do this!"
12,Taco Mundo, 5 stars ,5 months ago,We had dinner at this restaurant. They have quite some vegetarian items. The waiter was polite and helpful. We had vegetables fajitas. We asked for habanero hot sauce but it not house made. It was bottled. …
