,Name,Review Rate,Review Time,Review Text
0,Taco Mundo, 5 stars ,a month ago,Really good food at a pretty reasonable price. We showed up 20 minutes before they closed (sorry!) and they still gave us great service. Make sure to ask for a fork and napkins if you plan on taking food to go!
1,Taco Mundo, 1 star ,3 months ago,"Ashaming and disgusting experience !!!
So, I’m a long time loyal taco mundo customer, Since 2018.
So yesterday my friend were at my house, and I recommended them to order some …"
2,Taco Mundo, 2 stars ,7 months ago,"Cheats Delivery:
Taco Mundo always seem to be looking to save on Delivery despite paying their couriers for the delivery they never come on time. …"
3,Taco Mundo, 1 star ,6 months ago,"Ordered some Tacos and they tasted like near death, like something was not right about those. Delivery guy was nice though. But don’t get the Tacos."
4,Taco Mundo, 1 star ,10 months ago,"I've never given a restaurant one star before but the food was really that bad. The food was cold when it arrived, even though the carrier arrived within 20 minutes. …"
5,Taco Mundo, 2 stars ,a year ago,"I ordered a veggie salad, probably the worst salad in the history of salads. 3(!) tortija chips at the bottom tasted like they have been trapped there forever, the black beans that should be there were missing (!) and the sauce roja and jalapenos were terribly spicy like I wanted to torture myself. Never again."
6,Taco Mundo, 1 star ,2 years ago,"“25 minute average delivery time” is far from accurate. Prepare to wait at least an hour.
Would be quicker to just go and pick it up yourself. No, actually scratch that. …"
7,Taco Mundo, 1 star ,7 months ago,Almost hit me driving the wrong way at 30km+ on a pedestrian priority zone. Their response? Are there cameras? You can't arrest me.
8,Taco Mundo, 5 stars ,11 months ago,"Great food, but long time of waiting

I’m probably guys have too many orders"
9,Taco Mundo, 1 star ,3 years ago,"My sister ate there I just accompanied. Next day she had food poisoning so strong they almost refused us to board, we had to get a fit to fly letter for her. She didn't eat much more on that day than in Taco Mundo so I would be carefull..."
10,Taco Mundo, 1 star ,2 years ago,"DO NOT ORDER FROM HERE!!

Food arrived 1hr 20mins after ordering. Delivery time was stated to be 30mins …"
11,Taco Mundo, 1 star ,7 years ago,Attention! FOOD NEVER CAME! I made the order and PAID on-line but the order never came home. I cycled for half an hour to the Taco Mundo shop and they told me that they could not give me my money back and I had to send an e-mail through the …
12,Taco Mundo, 1 star ,a year ago,It took 7 minutes for two or them to figure out how to put one burrito and one drink on the system. Then another few minutes to navigate the card reader. And still managed to mess up the order. Walked out without the order.
13,Taco Mundo, 5 stars ,3 years ago,Amazing - food is legit and super cheap. The churros are delicious and the staff are so friendly. Yaaas taco mundo u rock. also there is a vegetarian option for each menu item so extra yes thank u ❤️
14,Taco Mundo, 5 stars ,6 months ago,Delicious tacos! Absolutely perfect!! Thank you!
15,Taco Mundo, 1 star ,2 years ago,We didnt receive our order and tried to contact via phone and email and no response we are still waiting it's the next day and still havent heard anything back and still didnt get the food I expect a reply and a full refund very disappointed
16,Taco Mundo, 1 star ,a year ago,"Got the order wrong, phone number not working and no response from the online customer service. Don’t waste your time with them."
17,Taco Mundo, 1 star ,4 years ago,"I asked for the extra bread and even though i wanted the pay for it amigo who works there said he doesnt know how much to charge and got so angry.Then he used f... word to my face.So moral of the story, you can eat there but get ready to be insulted."
18,Taco Mundo, 4 stars ,5 years ago,"Maybe not the most authentic Mexican in town, but tasty nonetheless. Very reasonably priced and I'm guessing it's a healthier option than let's say mc Donald's for a quick bite."
19,Taco Mundo, 5 stars ,3 years ago,"Enjoyed the food.
Lovely flavors.
Especially quesadilla, guacamole, salsa was amazing.
Fries are to die for."
20,Taco Mundo, 3 stars ,6 years ago,"They're definitely not the best tacos but when in Amsterdam you don't have a lot of room to be picky when it comes to tacos, unfortunately."
21,Taco Mundo, 1 star ,2 years ago,The bowl was 8 euro.. It was chips with a dash of rice and meat... Save your money.. This place is a Mexican Subway.
22,Taco Mundo, 1 star ,2 years ago,Sloppy food. Degrading service. No relevance to Mexican food whatsoever. Waste of time and money. I hope I dont get a food poison.
23,Taco Mundo, 3 stars ,3 years ago,fast food not really good but super convenient ! staff is nice place is clean !
24,Taco Mundo, 1 star ,3 years ago,"I ordered no onions, im super allergic to onions, and i got extra onions, also customer service, supa ruude..."
25,Taco Mundo, 1 star ,3 years ago,I’m so sorry for leaving a bad review but the food here is horrible. Just spend some more and go to a decent place.
26,Taco Mundo, 5 stars ,4 years ago,Good food and good service. The place was very clean and tidy and I'd really recommend the churros with vanilla sauce!
27,Taco Mundo, 1 star ,4 years ago,Ordered through a website. Didn't get food for over an hour. Called the store and they said order didn't go through their system.. Horrible.
28,Taco Mundo, 4 stars ,4 years ago,"Pretty good ""mexican"" fast food. Affordable and tasty. Service was good also."
29,Taco Mundo, 2 stars ,5 years ago,"Asked for steak burrito and got veg. Tourist bells went ringing and tried to over charging me.
Wont be returning"
30,Taco Mundo, 4 stars ,3 years ago,"Good food, slow service but very cheap"
31,Taco Mundo, 5 stars ,5 years ago,"Great food, very nice staff and good fast service."
32,Taco Mundo, 4 stars ,5 years ago,"Hardly authentic, but the steak burrito was very tasty."
33,Taco Mundo, 1 star ,2 years ago,Did not deliver online order or pick up the phone when I tried to call
34,Taco Mundo, 1 star ,2 years ago,Online order wan't delivered or even dispatched after one hour!
35,Taco Mundo, 1 star ,3 years ago,Terrible service-no delivery-refused to cancel
36,Taco Mundo, 3 stars ,4 years ago,It's ok quality price wise
37,Taco Mundo, 4 stars ,3 years ago,Veggie enchilada was dead tasty!
38,Taco Mundo, 5 stars ,5 years ago,Yummy food at a good price😋
39,Taco Mundo, 3 stars ,4 years ago,"Not bad, but not special either."
40,Taco Mundo, 5 stars ,2 years ago,"The food the staff ""Amazing"""
41,Taco Mundo, 5 stars ,7 months ago,Super
42,Taco Mundo, 5 stars ,3 years ago,"Quick, great food!!"
43,Taco Mundo, 5 stars ,2 years ago,Good fast tacos
44,Taco Mundo, 1 star ,4 years ago,Too busy to serve customers
45,Taco Mundo, 5 stars ,5 years ago,Love it
46,Taco Mundo, 1 star ,2 years ago,Got very sick from this place
47,Taco Mundo, 5 stars ,2 years ago,Good place !
48,Taco Mundo, 5 stars ,7 months ago,"(Translated by Google) Top delivery!

I ordered from Taco Mundo through home delivery. …"
49,Taco Mundo, 1 star ,a year ago,"(Translated by Google) Everything ordered vegetarian and we get everything with meat. After calling 5x, finally got hold of a member of staff to say we had a wrong order and then we were told they couldn't help us further. Incredibly bad. …"
50,Taco Mundo, 1 star ,a year ago,"(Translated by Google) We had ordered here for the first time. Badly disappointed as we got wrong order. The nachos were soaked too ... The nachos and toppings should not be packed together on delivery. Also, the nachos were seasoned, which …"
51,Taco Mundo, 1 star ,7 months ago,"(Translated by Google) Not nice service, the one who did the ""taco"" must have never seen a real one in his life, an excess of form over content.
I do not recommend it, it's a waste of money. …"
52,Taco Mundo, 5 stars ,2 months ago,"(Translated by Google) Super nice service and absolutely delicious food.

(Original) …"
53,Taco Mundo, 1 star ,9 months ago,(Translated by Google) My glass of water had more flavor than the tacos at taco mondu holy moly.. too bad but not again.. …
54,Taco Mundo, 4 stars ,2 months ago,"(Translated by Google) Delicious, but very expensive.

(Original) …"
55,Taco Mundo, 1 star ,3 years ago,(Translated by Google) I had read that it could take a long time and thought it would be okay: almost 2 (!!!) hours later my order arrived. How? As if you cannot respond to this as a company? When we called after more than an hour and a …
56,Taco Mundo, 1 star ,3 years ago,"(Translated by Google) Sadly placed an order today and very disappointed. We didn't get what we ordered and the food was dramatically bad. The burrito had no chicken, but minced meat as a filling and was soft on the side. The bowl was …"
57,Taco Mundo, 1 star ,2 years ago,"(Translated by Google) Just ordered food. Half of the food ordered was delivered and was still cold too.
Called the branch, who seriously questioned what we were saying. After calling …"
58,Taco Mundo, 1 star ,a year ago,(Translated by Google) I had ordered food here and at the end I get gwn poo delivered but yes it tasted quite good I climbed from the bottom to the top gjall …
59,Taco Mundo, 5 stars ,4 years ago,"(Translated by Google) Really very good mexican. Even if the shop looks like a delivery service at first glance, you can also eat very well indoors. Above all, the price and quality are really good. Fresh ingredients and no pre-made …"
60,Taco Mundo, 4 stars ,3 years ago,"(Translated by Google) Ordered in advance and arrived exactly on time, the employee on the phone found it very smooth and tidy. Mexicana (with fries and chicken) was good to do. The fries were not weak (as can happen if the courier does too …"
61,Taco Mundo, 3 stars ,2 years ago,"(Translated by Google) I was eating here on Saturday. Unfortunately not recommended. I thought an enchilada would last, the portion was just micro-fine for 5.25. So if you are hungry, you should already take a menu. It was not exactly a …"
62,Taco Mundo, 1 star ,7 months ago,(Translated by Google) No guacamole on the nachos and warmed up churro with her on the side.. no thanks. …
63,Taco Mundo, 5 stars ,a year ago,"(Translated by Google) Fast delivery, good food, I just can't find how I can tip the delivery person. He neatly brought it upstairs. …"
64,Taco Mundo, 4 stars ,4 years ago,"(Translated by Google) Eaten well here. Good price quality ratio. Fast service, was not busy when we came but filled up later. Delicious strawberry Margarita drunk! …"
65,Taco Mundo, 1 star ,3 years ago,"(Translated by Google) Bad though! Expressly ordered ahead of time for delivery at 7:00 pm 30min late, food lukewarm and chewy. Emailed them for a solution and no response at all. You have lost this customer, go find another taco tent that …"
66,Taco Mundo, 1 star ,4 years ago,"(Translated by Google) Well, the dishes are still a healthier option than the Mac's taste, but everything is said with that. The authenticity is hard to find. Furthermore, the tent looks a lot like a waiting room; the number of seats is …"
67,Taco Mundo, 5 stars ,2 years ago,(Translated by Google) Super nice staff. Tasted different from other tacomundos because they make your tacos delicious! Definitely come back here …
68,Taco Mundo, 1 star ,3 years ago,(Translated by Google) There is google 12:00 open and I was standing in front of a closed door with an order for 14 people. …
69,Taco Mundo, 3 stars ,2 years ago,"(Translated by Google) Early without cheese, but was still eating cheese. Much less ingredient when collecting than ordering online. …"
70,Taco Mundo, 1 star ,a year ago,(Translated by Google) How terribly salty! Not to eat! I will never order here again. …
71,Taco Mundo, 1 star ,2 years ago,"(Translated by Google) Ordered at 18:40, now it is 22:00 and still NOTHING delivered! And of course NOT reachable by phone !! …"
