,Name,Review Rate,Review Time,Review Text
0,Taj, 5 stars ,5 months ago,"The food was extremely tasty, we had tandoori Chicken Masala, Sabzi Korma and Kulfi.
The chicken in the tandoori chicken was perfectly cooked and the sauce tasted …"
1,Taj, 4 stars ,4 months ago,"We tried the lamb biryani , dal makni and butter chicken, the butter chicken was amazing, the brayni was average it didn’t include any veggies in it."
2,Taj, 5 stars ,3 weeks ago,"Excellent restaurant for Fine dining. Definitely expensive, but worth the price. While at Frankfurt, one should try out this place at least once. It is a walking distance from Frankfurt Hauptbanhof. I'll definitely recommend the place and …"
3,Taj, 3 stars ,4 months ago,"Very good for corporate business lunch - bright space and relative quite, table distance is good. Very warm and considerate waiter. But the food is very average, small portion and slightly over-priced. There are way more tasty and cheaper Indian restaurant in town but atmosphere is not as elegant as this one…"
4,Taj, 5 stars ,3 months ago,"Superb Indian restaurant.  One of the best Asian restaurants I've experienced in Europe (I live in Singapore and the quality of Indian food is extraordinary there - so when I find something of similar quality in Europe, I feel obligated to …"
5,Taj, 5 stars ,4 years ago,"Very good food. Very good ambience and very good service. The food is on the expensive side. I would'nt say is a casual place as described in Google, it's definitely more dress up. I was the only one without a collar shirt and dress pants. …"
6,Taj, 5 stars ,a month ago,The food was excellent and the service was great
7,Taj, 5 stars ,4 years ago,This restaurant deserves 5 stars! The food is delicious! The place and atmosphere is wonderful! The service is perfect! The are around to make sure that you have a perfect service. It was a great experience and for sure I will come again.
8,Taj, 1 star ,3 months ago,"This review comes from someone who is generally large-minded when it comes to judging food. I have to say that my fiancé and I were disappointed with the whole experience. For starters, Taj Taj Tandoori is way overpriced as compared to …"
9,Taj, 5 stars ,6 months ago,"We eat Indian cuisine often in the United States and by far, this is the best Indian food we have ever eaten. We had Butter Chicken and Beef Tikka which were absolutely amazing! Also a must try...order the Paratha! All of it as well as the service...better than 5 stars!"
10,Taj, 5 stars ,3 weeks ago,Tasty food and exceptionally courteous service. The dessert flambed in front of us was to die-for.
11,Taj, 5 stars ,3 years ago,"My husband and I are on holiday and saw the place was full of people in suits, plus a week day lunch special. It was the best tandoori chicken and Rogan Josh my husband and I have ever had! The chicken was cooked absolutely perfectly - …"
12,Taj, 5 stars ,5 years ago,Excellent service. Very good food. If you like Indian food don't miss this place.
13,Taj, 4 stars ,7 months ago,"Nice atmosphere, attentive service, tasty food, cash and card payments both accepted. A bit pricey. Staff speak good English. Lovely to hear the British “cheers” from the staff."
14,Taj, 1 star ,3 years ago,I have travelled several times to India and I am a fun of Indian food. I tried it in mostly all European big cities as well. This was my worst Indian food experience at all. …
15,Taj, 4 stars ,3 years ago,"Taj Taj is a beautiful Indian Restaurant, with elegant decor, good food and nice service. Their Nan's are thin, soft and flaky - loved them! Shahi Paneer has a rich gravy, which was slightly too sweet for my taste, but overall a nice dish. …"
16,Taj, 4 stars ,3 years ago,"Really liked thier butter naan and garlic naan. Gravy dishes are served with running candle, hence to keep them warm.
Owner speaks good German, English and Hindi. Amex is acceptable."
17,Taj, 4 stars ,7 months ago,"Delicious food.
Good services.
Overall above average Indian restaurant with nice atmosphere and clean interior."
18,Taj, 4 stars ,2 years ago,I enjoyed my stay here for dinner. The atmosphere is pretty cool and the service professional. Food also great
19,Taj, 3 stars ,5 months ago,Biryani was below average..it tasted rice with maggi stock cube..used to be great ..i do not know what happend !?
20,Taj, 5 stars ,a month ago,Best quality Indian food in Central frankfurt
21,Taj, 5 stars ,a year ago,"Loved the food and the ambiente. The waiters were really nice and recommended us their best dishes. Try the mango chicken, it's really delicious, the salmon curry too. Had and overall great experience."
22,Taj, 4 stars ,2 years ago,Food is good and ambience is great. It’s slightly heavy on the wallet.
23,Taj, 5 stars ,a year ago,What a great experience super clean food 🥘 is delicious 😋
24,Taj, 2 stars ,5 years ago,"The food was delicious, obviously it should taste good in this price class. The atmosphere was nice, romantic and very lovely in the beginning.
But... One thing really destroyed my mood. The staff was talking about my fiancé …"
25,Taj, 5 stars ,2 years ago,"Quite authentic and great tasting food.

Close to the main city, on the way to the city centre from Frankfurt main …"
26,Taj, 2 stars ,2 years ago,Taj Taj was my favourite Indian food. Unfortunately their service was unbearable this time. The man had no taste in serving people properly and the whole time he was shouting at the cooks for being late. He left a very unwelcome atmosphere. …
27,Taj, 5 stars ,2 years ago,"My wife and I love Indian food, and have eaten it all around the world. In India, New York, London, Germany, and Australia. This is up there with the best of them. Not really cheap, but certainly value for money when you consider the …"
28,Taj, 5 stars ,4 years ago,"Best in Frankfurt for this cuisine.  Super service, large menu selection, vegetarian and vegan friendly, fair prices, tasteful decor.  They have a large outdoor seating area that is open in summer.  It is a good place for having dinner with …"
29,Taj, 5 stars ,3 years ago,"Exceptional service
Costly
Friendly staff …"
30,Taj, 3 stars ,5 years ago,"The food and service was excellent!
One thing bothered us alot! We ordered two bottles of mineral water, one bottle cost 7.5 euros!!!! The other one cost 6.5 euros!!! That is really really too …"
31,Taj, 5 stars ,2 years ago,"Very good food. One of the best Indian places in town, but also pricier than most others. Excellent service and cozy interior."
32,Taj, 4 stars ,6 months ago,"YUM!

I ordered my food to takeaway. I was not waiting a very long time."
33,Taj, 5 stars ,4 years ago,The restaurant is first class- tasty food from north India and very good service.  I was there with my daughter- she adores the restaurant.  I saw in some of the reviews claims about the prices- they are fully in line with the restaurant level.
34,Taj, 3 stars ,3 years ago,"Friendly service, most staff speak or understand English. Menu has a fraction of the variety compared to a UK Indian/Bangladeshi restaurant. Peshwari naan (with butter!?), is like nothing you have ever seen, i.e. yucky. But my meal was enjoyable so..."
35,Taj, 3 stars ,6 years ago,"~Excellent Food and Questionable Service~

Good things: …"
36,Taj, 3 stars ,a year ago,"Food was great but the service was miserable.
Also everything takes way to long here. …"
37,Taj, 2 stars ,4 years ago,The food is good but the service is very bad. Every time I’ve come here it has gotten worse in terms of service and waiting. We made a reservation at 8:00 pm and got our table 20 mins later. We had to wait another 15 mins to get the menu …
38,Taj, 5 stars ,2 years ago,"Good Food and GReat service
we were here on the 16 october after our Messe .WE had an amazing time there,enjoyed the food and especially the cordial hospitality of their waiter that served …"
39,Taj, 5 stars ,4 years ago,"Excellent Food, Great Service and Good Ambience!!! Really Enjoyed the evening there.  Sandy and his team took great care of us."
40,Taj, 5 stars ,2 years ago,Really tasty and very friendly service
41,Taj, 5 stars ,a year ago,Really great food and very nice waiters. Would recommend it for sure !
42,Taj, 3 stars ,2 years ago,"The place is ok but food is so moderated the masala was not hot at all. Also, servers were some how rude. Didn't enjoy much"
43,Taj, 5 stars ,2 years ago,"we were visiting from Saudi Arabia , well the Food was good and Service was Great we even had an Arabic speaking waiter thats amazzing . I would recommend it to every one visiting rankfurt from Gulf"
44,Taj, 5 stars ,a year ago,Excellent place!
45,Taj, 5 stars ,5 years ago,"Amazing food and good ambiance.. staff was friendly and location is very central. All in all, great place for some good indian food."
46,Taj, 5 stars ,5 years ago,Lovely atmosphere.. Fast and 5 star Service... Delicious fresh food... Our favorite indian restaurant in Frankfort..
47,Taj, 5 stars ,3 years ago,Delicious food. Excellent service. Nice atmosphere. 10 of 10
48,Taj, 4 stars ,3 years ago,"Food quality is good. Location is nice.
Good service. …"
49,Taj, 5 stars ,3 years ago,1st class Indian cuisine in Frankfurt. Under all Indian Restaurants I tried in Frankfurt I think this is the best. Really in the heart of the city close to Opernplatz and Hauptbahnhof.
50,Taj, 4 stars ,4 months ago,Very good
51,Taj, 5 stars ,6 years ago,"Amazing Indian restaurant, its a little bit overpriced. Staff are helpful. Would definitely visit here again :)"
52,Taj, 3 stars ,2 years ago,"The food was good, but it was served not hot (almost cold)."
53,Taj, 5 stars ,7 years ago,This restaurant has the best indian food!! Can't wait to go back to Frankfurt just to dine there.
54,Taj, 5 stars ,a year ago,Best Indian food in Frankfurt. Very hygienic.
55,Taj, 4 stars ,2 years ago,"Really good food, but bad service. We had to follow-up on drinks and silverware."
