,Name,Review Rate,Review Time,Review Text
0,Teds place, 5 stars ,a month ago,The chicken katsu sandwich was the bomb. The Oreo pancakes were the bomb too. I recommend this for brunch. Coffee was not good so go for the cocktails 🥳
1,Teds place, 5 stars ,4 months ago,Food was really good. Coffee also. You should make a reservation as it’s pretty booked. Prices are better than most breakfast places
2,Teds place, 4 stars ,3 months ago,"It was ok although the service a bit slow (and we asked for tap water which came 15min later, when food was served..). Overall tasty food but not my favorite. Cappuccino was without a tick foam."
3,Teds place, 5 stars ,4 months ago,Best breaky in town - if you’re into brunch you’re so going to love this place. Everything is so yummy. Make sure to book your table in advance.
4,Teds place, 5 stars ,8 months ago,"We loved our Teds brunch and highly recommend them.  I made an easy breezy on-line reservation several days in advance. We arrived, checked in and were immediately seated. The menu is on a convenient QR code and we were set. …"
5,Teds place, 5 stars ,7 months ago,"10 STARS ⭐️
Incredible brunch spot. We had the Norwegian Eggs and Philly Sandwich (subbed the steak for mushrooms), with waffle fries 💛
Awesome service, friendly waitrons and just a cool spot 😍"
6,Teds place, 5 stars ,6 months ago,"Great place to eat at, the waitresses were genuinly kind and welcoming, the food was great and their menu is on point. It's an all around great address to eat at in Amsterdam and we'll definitly come back! …"
7,Teds place, 4 stars ,4 months ago,"Nice, cozy and cute little breakfast / brunch spot. Prices are a little high for what you get portion wise but the food is good."
8,Teds place, 4 stars ,4 months ago,Really nice French toast. Relaxed atmosphere and had a mix of shared tables and individual tables
9,Teds place, 1 star ,2 weeks ago,"I came in with 2 friends and we got a dirty table for two and we were 3 people. Cool, we thought whatever if we can sit it’s fine. It took them 10/15 minutes to clean our table and another 10 to give as u menu.. ONE menu for three people. …"
10,Teds place, 4 stars ,2 weeks ago,"It was really good food, excellent amount and taste for the price! It was quite chaotic on the day we were there I assume that was a fluke. But still our food was really on time and great!"
11,Teds place, 4 stars ,3 months ago,Wonderful brunch! Really enjoyed the Bloody Mary and the service was fast and efficient.
12,Teds place, 3 stars ,4 months ago,"A great location, good simple food- with outdoor and indoor dining option. If you stick with ordering the coffee and basics, it’s good. …"
13,Teds place, 5 stars ,8 months ago,"Friendly service, good food (vegetarian and glutenfree bread options) average city prices. If you have chocolate cravings,  the 'Bueno French Toast' is amazing."
14,Teds place, 5 stars ,4 months ago,"This was such a lovely place for Brunch. I had the poached eggs and smokes salmon on a croissant and oh my god, it was so good! My partner had a Chicken avocado sandwich which he thought was delicious. Really good coffee and very clean and cosy inside, staff were all great too."
15,Teds place, 5 stars ,a year ago,"Beautiful cafe!! I was totally in love with the light atmosphere, delicious brunch and the beautiful design 🤍 Ted original French Toast was buttery and so yummy 😋 The great combination if you waver between salty and sweet food. The purple …"
16,Teds place, 4 stars ,a week ago,"Cosy place. Fast service.
Had the philly steak sandwich with a fried egg.. was very good..
Had to take out 1 star because they only had 1 baby chair.
Apart from that everything was perfect."
17,Teds place, 5 stars ,2 years ago,TEDS is a delightful breakfast/brunch spot a little bit outside of the heart of Amsterdam but it is way worth the quality of food and service. It was quite busy on a Sunday morning but with there being only two of us it was only a 10 min …
18,Teds place, 4 stars ,2 years ago,"Very chilled brunch place, I recommend their eggs in purgatory, their cheesy bread is delicious! Their indoor space has some nice sofa area for talking, and a huge communal table for those want to work on their lap top. Their outdoor seating is limited though, so might need to book in advance for big groups or busy time."
19,Teds place, 4 stars ,5 months ago,"The food was good.
A bit odd that they were out of pancakes around 11:30."
20,Teds place, 4 stars ,5 months ago,"Good place with really nice service, it was really tasty !! Just the brownie was not that good"
21,Teds place, 4 stars ,4 months ago,"Fabulous breakfast in a really buzzy cafe. You're quite packed in as it's small and you should definitely book. Great service too so would highly recommend. Oh, and the bacon is really crispy!"
22,Teds place, 5 stars ,5 months ago,Had a fantastic breakfast burrito (they switched the bacon with mushroom no problem) and generally loved it!
23,Teds place, 3 stars ,a year ago,"Good atmosphere and the seats outside are a plus.
The service is slow, 20 minutes seated and still have to order.
The digital order system doesn't let cancel an item once selected. …"
24,Teds place, 3 stars ,4 months ago,"It's a nice place to eat. The food is good, just a bit overpriced though. A simple sandwhich is ca. €12. The service was alright, except that they took away my plate before I was finished. It was crowded, no seats left, but still felt rushed to check out."
25,Teds place, 5 stars ,3 months ago,"Ted's was such an experience! Amazing staff, delicious food, and the ambience was clean, fun, and modern. Ted's was my first introduction to Amsterdam cafes, and I would definitely go again."
26,Teds place, 5 stars ,3 months ago,"Nice interior, very friendly staff and good food (lovely vegan options!)"
27,Teds place, 3 stars ,a year ago,"The location is really beautiful, but the food was not that great. The pancakes were a bit cold and they didn't seemed to be fresh. The sandwiches have a lot of souses and I didn't like that."
28,Teds place, 3 stars ,2 years ago,"Go here if you are really craving American brunch, otherwise you can do much better in Amsterdam. The dishes are decent but not amazing, service is lackluster, and the place can be too crowded to be comfortable. Overall it's a very mixed experience."
29,Teds place, 4 stars ,7 months ago,Nice experience and understand why Amsterdam would love this feminine chic little spot
30,Teds place, 5 stars ,2 years ago,"I will die happy now...

Mimosas were awesome! It was only lunch time! Coffee is fab too! …"
31,Teds place, 4 stars ,4 years ago,"Highly recommend, very affordable and great food!

Went down for a bite to eat around 14:30 and we’re able to get a seat relatively …"
32,Teds place, 5 stars ,2 years ago,"Great place! Very friendly staff, we only had to wait around 5 minutes at peak brunch time on a Sunday. Delicious food, nice interior, we will be back!"
33,Teds place, 1 star ,2 weeks ago,The waitresses seem unfocused. It took ages to order and then she forgot half the order. In the end it took 30 minutes to get a croissant which didn’t resemble a croissant. Not very high standard unfortunately.
34,Teds place, 3 stars ,6 months ago,"On our birthday we made reservations for breakfast at Ted's place Amsterdam. On arrival we were led to a table on the road.
The bench we were sitting on was right up against the bumper of a parked car. …"
35,Teds place, 5 stars ,3 months ago,One of the best brunch cafés in Amsterdam!
36,Teds place, 3 stars ,2 years ago,"Service was good but unfortunately their Eggs Benedict is lacking. The poached eggs for both my dish and my friend’s were overdone. In my case, my dish didn’t have a sauce so without the runny egg it was really dry. The bread tasted nice I guess..."
37,Teds place, 4 stars ,2 years ago,"Very nice staff, mostly English so good for tourists and expats. Local area vibe so doesn’t feel like a tourist trap. The service is very very good and on time. …"
38,Teds place, 2 stars ,5 months ago,"Food was ok, service a bit disappointing. On a Sunday at 11am they were already out of smoothies and pancakes. Slow service. What comes to the table is not what you see on Instagram (dish presentation). Doesn’t match expectations."
39,Teds place, 3 stars ,5 years ago,Classic hipster/tourist spot in Amsterdam. You're eating eggs Benedict on a croissant. creative i don't know but not expensive compared to bakers or little collins. the wait is long and you might be seated on the sofa if you're not patient. coffee: great. eggs: really good. the oj: fresh. service: ok
40,Teds place, 3 stars ,2 years ago,"The whole experience felt a bit cheap, cheap bread croque madam, burn French toast which just tasted like toasted bread
Tea was ok …"
41,Teds place, 5 stars ,3 years ago,"My favourite brunch place in the city. The atmosphere and decor is really cool, in the front they have a huge poster of Van Gogh’s Almond Blossoms. The food is delicious and service is quick. I recommend the poached eggs on/in croissant with bacon or salmon and the french toast and the lavender lemonade."
42,Teds place, 5 stars ,2 years ago,"Best Breakfast in Amsterdam, cosy place friendly staff and tasty food, loved the Egg Benedict with Smoked Salmon and the french toast was yummy but the beef steak was outstanding"
43,Teds place, 4 stars ,3 years ago,Solid all day breakfast place. They have gluten free options and the staff is very friendly. Seems to be popular with locals and many we're ordering brunch cocktails.
44,Teds place, 5 stars ,a year ago,Philly Steak is my favorite brunch choice from the menu! Also during the summer we order jar of Pims which accompanies beautifully our savory choices
45,Teds place, 1 star ,5 months ago,"Thanks for cancelling my food delivery at the time I was supposed to be delivered, now I'm going back to work without eating and this is the third time it's happened! Super reliable! …"
46,Teds place, 4 stars ,2 years ago,"We came when they were first opening, but the service was good and quick. I got the hot chocolate which was good, nothing spectacular but definitely delicious. I got the eggs Benedict which was ok, but when I got it the food was cold and …"
47,Teds place, 2 stars ,2 years ago,"Service takes ages and the food is not very imaginative. A flat white is like a bowl of soup, please go take barista lessons from the people at Scandinavian Embassy they know what a fkat white looks like and tastes like. And next time dear …"
48,Teds place, 5 stars ,2 years ago,"Our experience was simply AAAAAMAZING! Both the pancakes and the french toast were extremely delicious!
It took them some time to get us the order, just cause it’s the weekend, other than that we enjoyed the food and the place so much! 🤩"
49,Teds place, 5 stars ,4 years ago,"Great service, great sandwiches, great fries, great drinks. Do yourself a favor and read their menu card; it's hilarious …"
50,Teds place, 4 stars ,7 months ago,Very nice little place! I would definitely recommend it for brunch.
51,Teds place, 5 stars ,2 years ago,"This was our favourite breakfast place during our trip! Cool decor and amazing food, especially the Monster Croque!!!"
52,Teds place, 5 stars ,2 years ago,A comfy place in Amsterdam with delicious food. The only downside is that it is too crowded (which just shows that people want to come here due to the good service) so you might be waiting some times to get a table.
53,Teds place, 4 stars ,3 years ago,"Food was good, just cold by the time we got it. Coffee was great. Friendly staff, just slow kitchen during peak time on a Saturday. They offered a drink on the house to compensate, we declined as a lot of time was already wasted inbetween …"
54,Teds place, 3 stars ,4 years ago,"Not impressed.
I ordered the French Toast with a side of bacon, extra dry/crispy. The french toast was nothing special, it was drenched in maple syrup. 30% of the bacon was …"
55,Teds place, 1 star ,6 months ago,"Terrible service great food, I guess. This place could have been fantastic. The food was great but they rushed us out and wouldn’t make us any drinks past 1630 because they close at 1700. They made us feel super rushed and unwelcome. We will never return."
56,Teds place, 5 stars ,2 years ago,"This is the second time I visit the restaurant/cafe. It is very nice, friendly and feels like local vibes. The food taste very good and I really enjoyed the experience. It deserve more reviews to strengthen its popularity."
57,Teds place, 5 stars ,6 months ago,"I love going for brunch to Teds - the staff is very friendly and always helpful and smiling. The cocktails are super delicious and the food has the right sizes, but also the taste is green"
58,Teds place, 4 stars ,3 years ago,"Such a lovely cafe with a special atmosphere, cosy sofas and a very friendly waitress. Food was original and varied"
59,Teds place, 3 stars ,8 months ago,"I went there with colleagues, we arrived on time and ordered foods and drinks. However it took quite long, even they didn't bring the drinks first (so we can have drinks while waiting for the food) and we had to asked to the bar. When the …"
60,Teds place, 5 stars ,8 months ago,Discovered this brunch place today. The whole menu looked so yummy it aas hard to chose  the eggs were perfectly cooked. Loved the idea to use croissants instead o bread. Price is reasonable for a brunch. All the drinks look also amazing. I can't wait to come bavk and discover all they have to offer
61,Teds place, 5 stars ,2 years ago,"Great breakfast options .

Cosy place . …"
62,Teds place, 5 stars ,7 months ago,"Best breakfast for morning’s start with girlfriend.
Staff was nice and food was awesome.
I recommend Egg Norwegian. It’s simple but tasty af!
I’ll come back there for sure."
63,Teds place, 5 stars ,4 years ago,"Amazing brunch, the food is delicious and friendly staff. They don't take reservations and it can get busy here, so try to get earlier or you'll have to wait. But the food is worth the wait! Try to seat outside during summer, the neighborhood is super charming."
64,Teds place, 1 star ,5 months ago,Reserved a table but had to wait outside for too long (30mins) so we left to another place. Shame they don’t organise their reservations and manage their capacities.
65,Teds place, 5 stars ,4 months ago,Cozy place that gets quite busy. Very good brunch options.
66,Teds place, 5 stars ,6 months ago,"Friendly staff, great food and quick service! I wanted to try the whole menu but the eggs Benedict, Monster Crisco were great"
67,Teds place, 5 stars ,6 months ago,Chilli Cheese Steak Sandwich dream :)
68,Teds place, 5 stars ,4 months ago,"Love the atmosphere, food is delicious and staff are very friendly and attentive."
69,Teds place, 3 stars ,4 months ago,"Great personel. Always friendly. The Philly Cheese steak sandwich is amazing

Edit: had to take away two stars. I’ve eaten about a 100 cheesesteaks over the last 2 years. Quality differs every time, in staff and in the food"
70,Teds place, 4 stars ,3 years ago,Great breakfast spot. Food was good and service friendly.  I would go again with no hesitation
71,Teds place, 4 stars ,3 years ago,"Good place, selection of brunch meals and cocktails, clean bathroom. Little kitchen so expect long waiting time if it’s busy."
72,Teds place, 5 stars ,2 years ago,"Great place for breakfast, delicious food and friendly staff. Highly recommended"
73,Teds place, 5 stars ,5 months ago,"Try the Bec Bagel if you are hungry, if your tired or if you like tasty food, but try it! Coffee was good too."
74,Teds place, 4 stars ,2 years ago,"Great place! The service was good, the coffee was great. We liked the food. My one comment/suggestion is that the food would go from good to amazing if the bread was upgraded. Brioche French toast was excellent but the basic white bread on …"
75,Teds place, 5 stars ,7 months ago,"I went for breakfast and the food was delicious, the waitresses were very nice and friendly and the atmosphere was very good.  Highly recommended!!"
76,Teds place, 5 stars ,5 months ago,"Very cute place, small, cozy..
The food is good and the staff is very friendly, 100% would recommend"
77,Teds place, 5 stars ,8 months ago,Foods are good and ambiance and staff are awesome
78,Teds place, 3 stars ,a year ago,Everything small. Stuff was nice and the food was OK. Not bad but also not the best.
79,Teds place, 2 stars ,9 months ago,The food is good but nothing to write home about.  They kick you out after an hour even when there are many tables open?! …
80,Teds place, 5 stars ,a month ago,"Nice decoration, the food is well prepared and delicious"
81,Teds place, 4 stars ,2 years ago,"Nice place, however service might be improved. Food ok. Sweet seats outside."
82,Teds place, 5 stars ,4 months ago,Great Bruch/lunch spot. Friendly service and good food and drinks.
83,Teds place, 2 stars ,7 months ago,We didn’t get our drinks for the first 20 mins and we had to wait one hour for the food. Staff was inexperienced and unprofessional. Food was good.
84,Teds place, 2 stars ,4 months ago,"Food was good, took long and forgot our order twice."
85,Teds place, 4 stars ,3 years ago,"This is probably a must try for breakefast in Amsterdam! The food is really good! If you stay in Amsterdam, you have to try this restaurant for breakfast!"
86,Teds place, 5 stars ,7 months ago,"Amazing iced coffee and good choice of food!  Great breakfast place, quiet with a charm. We will be back whenever in Amsterdam"
87,Teds place, 5 stars ,2 years ago,Really cute place and a great tasting brunch
88,Teds place, 4 stars ,4 years ago,Good food and lovely ambiance. Enough choice on the menu but it's not cheap. Meal sizes are not big.
89,Teds place, 5 stars ,2 years ago,"Very nice, cozy place with delicious food, so great we have repeated two days in row!"
90,Teds place, 5 stars ,3 years ago,Buzzing brunch spot in a quiet side street! Eggs poached and cooked to perfection!
91,Teds place, 5 stars ,3 years ago,Great breakfast spot. Friendly staff and decent price. Amazing eggsbenidict!
92,Teds place, 5 stars ,a year ago,Amazing food and service! I live locally and every time I have tried to go to Ted’s in the last five years there is a queue. Now I understand why! Attention Aussie expats-all day brunch :) The people who work here are so fun and engaging and happy to help with anything. I have been twice in the last week it is so good!
93,Teds place, 5 stars ,2 years ago,"The food and drinks are good, and the staff is amazing - very friendly and very helpful. The place has a young and cozy vibe, with contemporary music in the background. There are also power outlets spread across the place. Lastly, the place …"
94,Teds place, 5 stars ,3 years ago,Great brunch spot with a good variety of cocktails. Food was very good
95,Teds place, 5 stars ,2 years ago,Really good food. Crowded place during weekends but worth the wait.
96,Teds place, 5 stars ,7 months ago,Comfiest Comfort Food. It never lets you down. A must for brunches and hangover food. Try the fries. Wow
97,Teds place, 1 star ,10 months ago,"We made a booking in advance. Our table wasn't covered at all in the rain, no other table was directly in the rain like ours was and the waitress told us we couldn't move our table into shelter due to social distancing. We eventually moved …"
98,Teds place, 3 stars ,3 years ago,"Service a bit slow, food ok, coffee not so great. But a nice vibe."
99,Teds place, 5 stars ,2 years ago,Came here for brunch on a Tuesday and were not disappointed. This is a really cozy place and the staff are friendly. I had the avocado and goats cheese on sourdough and the portion was much bigger then I expected it to be. I regret not …
100,Teds place, 3 stars ,3 years ago,"Service was really nice and fast. And even though the waiter warned us about the waiting time, 45 minutes is long for some eggs. We did get a very nice coffee from the waiter. But the scrambled eggs were cold and the bacon was overdone. The …"
101,Teds place, 3 stars ,3 years ago,"Cute cafe, with average food ... The waiter however was sick and kept sniffling and coughing into our drinks and food as he brought it :( also a little odd that it's a sit down/full service restaurant but they don't bring you water (that part is self serve)"
102,Teds place, 5 stars ,2 years ago,"Great breakfast place, logging on to the WiFi is a bit arduous though"
103,Teds place, 5 stars ,3 years ago,"The service was exceptional. The woman who was in charge of our table today was extremely professional, helpful, smiling, nice, understanding. And we were not quite easy customers as we found the aubergine not cooked enough. She took care of the situation with a remarkable calm. We had the best time thanks to her."
104,Teds place, 1 star ,2 years ago,The waiters were incredible rude there and were so unfriendly. They shouted at us for moving tables together outside and said we would have to pay the fine and then just walked away. After that we decided to leave and found a much nicer …
105,Teds place, 5 stars ,4 years ago,Great prices and food. Perfect for brunch.
106,Teds place, 2 stars ,a year ago,"Locaties is nice, but food service very poor. Some dishes seem instagrammably pleasing, but with that all is said. The food simply wasn’t good. Bread not toasted enough, avocado toast with barely avocado. French toast that tastes dull and dry. Drinks not hot and lack in taste."
107,Teds place, 3 stars ,10 months ago,Lovely atmosphere and good selection of brunch items. My chicken avo sandwich was ok but too much bread relative to filling.
108,Teds place, 3 stars ,4 years ago,Good coffee but their poached eggs were too well done. Toast was dry.
109,Teds place, 2 stars ,2 years ago,My friend and I tried to come here for Brunch on a Saturday and it was very busy! We waited at the bar for a bit (not sure why they don't serve people food here) and the bartender didn't offer us anything and didn't have a great attitude. …
110,Teds place, 2 stars ,2 years ago,I suppose the food wasn’t awful but the service definitely was. I was completely done with my incorrect breakfast before my coffee on a dirty saucer  ever showed up. I’ve worked in a lot of restaurants so I try not to be too critical for a …
111,Teds place, 5 stars ,2 years ago,"This place was great! We ordered their breakfast burrito (holy cow that salsa inside is AMAZING) and the French toast! Wowza! The service was fantastic, the bellinis were great, and I could write a love song for the iced latte I had! It …"
112,Teds place, 1 star ,a year ago,"We saw the sandwich of  the neighbor (goat cheese and avocado), seems great so we took the same. Well we did not get the same, super small slices, almost NO avocado.... you should be more consistent between the clients, for 11.5Euros its not acceptable, we live next door but will not come back !"
113,Teds place, 3 stars ,9 months ago,"Food is great but service needs to be improved, our orders were only taken 20 mins later we were seated and we had to ask for some things twice."
114,Teds place, 2 stars ,2 years ago,Ok nice atmosphere for sure and the staff is very friendly and nice too. I would go back for a coffee or coktail to experience the environment for sure. However the food wsnt that great. …
115,Teds place, 5 stars ,2 years ago,"Unique and very tasty breakfast\brunch.
We spent 3 mornings in a raw there, each day trying a different dish and they were all great! …"
116,Teds place, 5 stars ,5 years ago,We visited here for a mid-morning brunch as our last meal before leaving Amsterdam and it was great! …
117,Teds place, 5 stars ,2 years ago,"Me, my fiancé and our two friends spotted this place while looking for a place to eat breakfast. The staff was very sweet and the place is very cozy with a cheeky sense of humor. I had the best banana pancakes I've ever eaten and the rest …"
118,Teds place, 5 stars ,2 years ago,"I won't write a long review for this place because it's unnecessary - it's simply excellent! From the bright, modern interior, to the friendly staff, to the delicious and fresh food and drinks, TED knocked it out of the park on every level. Highly recommend if you're in Amsterdam looking for somewhere to brunch."
119,Teds place, 4 stars ,3 years ago,Good solid breakfast with mostly good service.
120,Teds place, 2 stars ,3 years ago,"Long wait for average food, under-staffed, table not cleaned properly between customers. I was really hoping for more as it seems like a great concept, across 3 cities, but they are doing fine on the tourist route and don't need to provide …"
121,Teds place, 1 star ,2 years ago,The food was not special and the service didn’t mind us at all. I only remember those five thin pieces of banana on top of my French toast and dry bacon for 11 EUR. Maybe they used very special expensive eggs to to make this toast to justify the price?
122,Teds place, 5 stars ,3 years ago,Received our food surprisingly quick given the high quality. Ordered the Chicken Avocado and it was delicious!
123,Teds place, 2 stars ,2 years ago,Ted's is quite small; as many tables as possible are squeezed in to the narrow room. Waiting staff is not unfriendly but not very service minded either. They were very busy chatting while the place was packed and my coffee was forgotten. …
124,Teds place, 5 stars ,7 months ago,"It was a lovely experience at Teds! Good quality food, coffee and very kind waiters that are so welcoming!"
125,Teds place, 5 stars ,2 years ago,Great spot for breakfast and lovely cafe. Really nice food and atmosphere
126,Teds place, 5 stars ,3 years ago,Yummy food in an adorable cafe. Very trendy
127,Teds place, 1 star ,a year ago,Very disappointed seeing as we had only heard good things about TEDS in Utrecht. We went to amsterdam for our anniversary last week and decided to go for brunch. As we walked in the staff was not very welcoming and we werent even greeted …
128,Teds place, 2 stars ,5 years ago,"The place itself and staff are great. We all tried different dishes. The menu, finishing and presentation of the dishes left me utterly disappointed. UTTERLY....there are plenty of simple 'bruin cafes' and other brunch spots in Amsterdam …"
129,Teds place, 1 star ,5 years ago,"This place is really overrated. It is trendy but they can't seem to cope with the hipness. Had to wait for over an hour for our food. After half an hour it turned out the poached eggs we ordered weren't possible today, so had to wait …"
130,Teds place, 4 stars ,5 years ago,"This place has a great selection of brunch dishes, and they all sound really yummy. We had a great Eggs Benedict, Croque Monsieur, and yoghurt with fresh fruit - the fruit was nice and ripe! My only complaint would be that the food took a long to time arrive, otherwise the service was good and it was reasonably priced."
131,Teds place, 3 stars ,3 years ago,"Place that definitely tried to be 'trendy'. On a Wednesday morning there was enough space for us (2 ppl), but I really disliked the noise inside. This is because there is an open kitchen, and there was constant noise of tableware. The music …"
132,Teds place, 4 stars ,3 years ago,I love to come to this place for a weekend brunch though it is super crowded at brunch times. End up having a coffee and Eggs Napolean for brunch. On a weekend either come early or go for a late lunch (breakfast all day!!). Have not yet …
133,Teds place, 5 stars ,2 years ago,"Delicious breakfast! We had the breakfast burrito, French toast, and the Parmesan fries with truffle mayo. Everything was great! The service was friendly and they have free WiFi. Definitely recommend :)"
134,Teds place, 4 stars ,4 years ago,The poached eggs with croissant is an excelent idea and taste wonderful!!! The service is good in general though the lady that works there is a bit rude. The yogurt with granola and fruit is very good and the whole place is nice.
135,Teds place, 1 star ,3 years ago,Pretty restaurant but PISS POOR SERVICE! I watched the waiters serve every other guest with a smile except for my table. My food took forever to come out and all I ordered was a croissant. The waitress also served other tables water but …
136,Teds place, 2 stars ,4 years ago,"Worst and most rude service I have had in the Netherlands. Twenty minutes before someone asked our order, waitress forgot to put our order in the system and it was almost an hour before we even got drinks.  Food (eggs benedict) was okay, …"
