,Name,Review Rate,Review Time,Review Text
0,The Big Apple, 4 stars ,5 months ago,"Would never choose somewhere like this, but luckily I read some reviews first and they were right - the staff are incredibly friendly and the steak was tender and perfectly cooked. Sides were also very welcome. They also own the Italian restaurant next door so we were able to have tiramisu for dessert, which was epic"
1,The Big Apple, 4 stars ,a month ago,"Nice food - burger and steak super juicy! Dessert very nice! Wine also good! Friendly staff, they even gave a birthday candle and birthday song! The restaurant was a nice a surprise! Recommend! Bathroom could be cleaner!"
2,The Big Apple, 5 stars ,4 months ago,"My friends and I ate here twice on our trip to Amsterdam: once on our first night in the city, and then again on our last night to celebrate my birthday. The staff are super attentive and the service is exceptional!! Friendly servers, great …"
3,The Big Apple, 5 stars ,2 weeks ago,This drink is very nice...my first time in this bar i'm so very happy ❤
4,The Big Apple, 5 stars ,a year ago,We live nearby and always walked by as we guessed it would be average as it’s in a tourist hot-spot. We couldn’t have been more wrong. …
5,The Big Apple, 2 stars ,4 months ago,"The steak was good at least, but everything else was meh.

No free tap water, hectic service, one rude server and another which (while …"
6,The Big Apple, 2 stars ,5 months ago,"I'm not hungry anymore, so that's good.
Besides that everything was quite tasteless and boring, and pricey at that. I ordered a burger, which was dry and no dip for the saltless fries.. my girlfriend …"
7,The Big Apple, 5 stars ,a month ago,"If u want to live a real american experience, this place is for you! Here u can find every kind of burgers, steaks and other snacks. Nice staff and food!"
8,The Big Apple, 2 stars ,2 years ago,"We did this through Social deals.

I took the spicy chicken, there was no chicken to be tasted because it was …"
9,The Big Apple, 5 stars ,7 months ago,The food was very very delicious! The waitress was very nice with us.
10,The Big Apple, 1 star ,3 months ago,The burger was disgusting… meat tasted so bad that I couldn’t even eat this… fries were horrible too… the guy was just standing there and doing nothing… going few times to smoke and getting back inside to kitchen… It looked like a nice place to seat down but food was horrible.
11,The Big Apple, 4 stars ,2 weeks ago,Great food with fast and friendly service. Our server Sara was absolutely wonderful!
12,The Big Apple, 4 stars ,4 years ago,"the food they serve is really authentic amercian food! i had freshly made tomato soup, buffalo chicken wings that came with a salad with dressing that couldn't be more american - really enjoyed the experience!"
13,The Big Apple, 5 stars ,a week ago,Nice drink nice music nice people...a good location for eat e drink before a party
14,The Big Apple, 5 stars ,7 months ago,"Burger, fries and a delicious espresso martini. 2 thumbs up."
15,The Big Apple, 2 stars ,8 months ago,"Friendly Staff, but the food is very poor quality. I had their signature burger and my girl had the rump steak. Burger was really dry and tasteless, the rump steak was really raw and chewy. We both experienced stomach cramps after. Unfortunately not the greatest experience at The Big Apple."
16,The Big Apple, 1 star ,5 years ago,"Read the reviews of the others and decided to give it a shot anyway. Service is so so, waitress seemed to be absent minded and her colleague really tried but has no clue how to properly serve. The rack of lamb was thoroughly undercooked, …"
17,The Big Apple, 5 stars ,6 months ago,"Great restaurant. Great atmosphere and great food. André, who attended us in a spectacular way, deserves a separate mention. We will be back !!"
18,The Big Apple, 3 stars ,a year ago,The Big Apple is a nice restaurant. We booked a table for 2 with a Social Deal voucher. Most of the waiters were not very friendly. The food was OK and not as bad as many reviewers are saying. We've ordered the table grill so we got …
19,The Big Apple, 5 stars ,2 weeks ago,Friendly service .delicious staff and amazing atmosphere.
20,The Big Apple, 5 stars ,4 months ago,very delicious burgers 🍔 here
21,The Big Apple, 5 stars ,4 years ago,"Nice ambience and modern styleand design, food is superb and not to forget their cocktail😊😋"
22,The Big Apple, 4 stars ,5 months ago,Normal bar. We ordered only drinks there and the price was very expensive.
23,The Big Apple, 2 stars ,2 years ago,"Really good food, which makes everything else so disappointing. One table server could not be nice enough, the next ""less than efficient"" apparently you can't have some tap water for the table, you have to buy bottled water, is that …"
24,The Big Apple, 5 stars ,4 years ago,I was here with my little brothers (2). We had a good experience in this place. The moment we stepped in a waiter came towards us and lead us to a table (without reservation). The food came pretty fast after taking the order. The spare-ribs …
25,The Big Apple, 2 stars ,2 years ago,"We bought the Social deals.

At first the deal had a menu with many thing on it. We were excited about this …"
26,The Big Apple, 1 star ,2 years ago,Ordered a Veggie burger with pickle and cheese. Got a veggie patty with no pickle or cheese but instead a big piece of bacon on top!? I ordered fries and got curly fries and the wrong sauce too. I send it back and 5 minutes later i get the …
27,The Big Apple, 5 stars ,3 years ago,"Must try!!! No really, the chef is amazing!!! Food was the best I had in Amsterdam. Very tasty and seasoned to perfection. Thank you for taking pride in your service. Lorenzo was fantastic, very professional. I would definitely recommend eating here.."
28,The Big Apple, 5 stars ,a year ago,"We had an amazing selection of meats here. Steaks, chicken fillets and ribs. It was all delicious and cooked to perfection. I would highly recommend visiting this establishment!"
29,The Big Apple, 5 stars ,5 months ago,Great service and delicious food😍
30,The Big Apple, 5 stars ,2 years ago,"Just enjoyed the all you can eat spareribs, the staff is amazing and really social. The restaurant has a really nice and modern look. And the price is really low! An amazing place to go eat. Keep it up!"
31,The Big Apple, 5 stars ,2 years ago,"I was in the restaurante with my father and wife/kid and my father always complains about all the places. This time he didnt and to be honest I have to say that the Burger was really good. They served a burger like it should be, good meat and nice fries!"
32,The Big Apple, 3 stars ,2 years ago,"At first impression the restaurant is nicely decorated and has a cozy feel. The staff are pleasant but not overly friendly. However after 10 minutes and 10 YouTube ads for season 2 or Cobra Kai on YouTube red, the YouTube remix playlist …"
33,The Big Apple, 5 stars ,2 years ago,Very friendly staff and the food (Burger and Steak) was fantastic.
34,The Big Apple, 3 stars ,4 years ago,"Quite a descent meal, but nothing really special.
As reported in another comment; they do -not- serve water, even if it's next to a glass of wine. …"
35,The Big Apple, 2 stars ,2 years ago,Mediocre: expensive for the quality of food. Careful when the waiter asks you if you want sauce with your fries as it's not free. The fries are 3 euros and again not included with the burger... The chipotle is a very far from what you …
36,The Big Apple, 1 star ,2 years ago,"Waited long to be given the menus, then another wait to have the order taken. The starters took about 30 minutes to arrive (it was about one third occupied). When they arrived, I received both my starter and main together, or I should say, …"
37,The Big Apple, 1 star ,a year ago,"weird restaurant, i called ahead to make arrangements and use a groupon deal to eat there and make a reservation, the manager said its not a problem and you dont need to buy the groupon, you can eat here for the same deal as the groupon. …"
38,The Big Apple, 5 stars ,a year ago,Very good. Nice service. Would come again :)
39,The Big Apple, 1 star ,2 years ago,I don't like writing bad reviews and I tend not to write but we ate there and the food wasn't very good (not horrible) definitely not worth the money. We ended up paying 5.5€ for what I'm sure was tap water and not a closed bottle of water …
40,The Big Apple, 5 stars ,2 years ago,We found this restaurant by accident but what a good find. We were here early evening 5.30 so it wasn't busy but we passed by on other nights and it was full. Waiter was really pleasant and we ordered vegan burgers with chips which were superb. It is only a small restaurant so would advise to book to avoid disappointment.
41,The Big Apple, 1 star ,2 years ago,"The star is for the light taste of the truffle mayo in the hamburger. Nothing special for 16 euros. If you can walk a bit more, choose something more friendly and nicer. Very “meh” service and you have to pay for tab water (even if you have buy a bottle before)."
42,The Big Apple, 1 star ,2 years ago,"After we waited for nearly an hour for our dishes we asked for our order. The waiter told us we could see it was nearly finished. We waited for another fifteen minutes until we left the restaurant without having had any food.
There were no apologies or explanations of the waiter!"
43,The Big Apple, 2 stars ,3 years ago,"Place is very nice. Quality of meat is good but some choices are really weird. I took a New York steak and dish was full of koriander, that is strong and people might not like it, in particular because it heavily covers the taste of meat. …"
44,The Big Apple, 4 stars ,2 years ago,I think the Burger is one of the best I ever had in Amsterdam. I tried the Black Angus that in my opinion is extremely cheap for the taste. I am giving 4 stars because of the service and the freaking expensive beer
45,The Big Apple, 1 star ,3 years ago,"We are waiting food for over an hour. I understand that it's Money20/20 event and a huge amount of people, but come on! If you don't have enough man power, then don't serve food on these events or cut the menu to burgers only or anything …"
46,The Big Apple, 1 star ,2 years ago,"Poor value, poor ingredients but even worse, zero pride in service or quality. Our party of four received contaminated toast, burned eggs and omelette, steak that tasted of liver and were charged for mayo. Would not recommend nor return. Disappointing."
47,The Big Apple, 5 stars ,4 months ago,Excellent service and food. Highly recommend
