,Name,Review Rate,Review Time,Review Text
0,The Coffee Company, 4 stars ,2 weeks ago,really nice to find an open coffee at 7:30am with such good mood !! the hot chocolat was a bit too sweet but the orange juice is really nice :)
1,The Coffee Company, 2 stars ,6 months ago,Super inconsistent service. I would say there's one friendly thoughtful barista out of the lot of 4 or five that tended to my orders. Some people shouldn't work in the service industry at all.
2,The Coffee Company, 5 stars ,7 months ago,I really enjoyed my visit today - got a new KeepCup with their logo and a free espresso as well👏🏼👏🏼
3,The Coffee Company, 1 star ,4 years ago,"Disappointing service! We told clearly to the staff that we would drink our coffee in the store. However, while all other customers get    coffee with mugs/cups, we got a paper cup. There is no possibility that the staff was making a …"
4,The Coffee Company, 5 stars ,3 years ago,Coffee was good and the ambiance is really relaxing.  Staff was friendly. Really nice place to work or read.
5,The Coffee Company, 5 stars ,4 months ago,Tasty selection of aeropress coffees +vibrant atmosphere and nice staff.
6,The Coffee Company, 4 stars ,2 years ago,"Nice coffee shop , they have many kids of sweets, and they have delicious fresh ginger tea"
7,The Coffee Company, 4 stars ,a year ago,"4,5 stars from me! Very cozy cafe, such a friendly staff, nice relaxing music,  PERFECT to get work done on my laptop. The only thing that would've made it a 5 star experience is if the door was allowed to be closed as I was cold inside (and was sitting in the back)."
8,The Coffee Company, 5 stars ,4 months ago,Lovely barista’s and great coffee
9,The Coffee Company, 5 stars ,7 months ago,Great place to work and have good coffee. Large glass windows are a plus!
10,The Coffee Company, 2 stars ,2 years ago,"Coffee is good and the place is cozy. However, having the door open during January prevents one from relaxing as it gets cold. After politely asking if we could close the door this was denied in a dismissive way. Also while it might have …"
11,The Coffee Company, 3 stars ,6 months ago,Very aloof barista. The coffee was just ok.
12,The Coffee Company, 4 stars ,2 years ago,"Great place, fast and kind service! Love their Americano and food offerings."
13,The Coffee Company, 5 stars ,3 years ago,"I may a bit biased thinking Coffee Company is much better than Starbucks however even in this case in Rembraindtplein: coffee company is less crowded, tastier and stuff is nicer than the competitor Starbucks few meters from there. Quality …"
14,The Coffee Company, 5 stars ,4 months ago,My favourite espresso in Amsterdam!
15,The Coffee Company, 2 stars ,2 years ago,"Tea was great, however being cold while sitting inside with a wide open door is not really understandabke for the customers... Maybe accept to close it next time so that we can take our coats off? Would be great !"
16,The Coffee Company, 5 stars ,4 years ago,"Exactly what you'd expect from the coffee company. Great coffee, energetic and friendly personnel, relaxed interior and chill coffeehouse music. They serve a wide variety of coffees and espressos (they have an old school and ""new school"" …"
17,The Coffee Company, 5 stars ,5 months ago,Good Hot chocolate and Sandwich.
18,The Coffee Company, 4 stars ,9 months ago,Miserable day. Good coffee. Could do with bigger food menu
19,The Coffee Company, 5 stars ,3 years ago,"Going to this place every day for nearly 6 years as it has excellent coffee and it’s across the street from my work. Nice and friendly staff, nice seating space."
20,The Coffee Company, 5 stars ,a year ago,They have very fast wifi. Coffee and the service is also good and a cozy atmosphere.
21,The Coffee Company, 5 stars ,11 months ago,The same good as every coffee company. Good service too.
22,The Coffee Company, 5 stars ,a year ago,"An efficient and good Coffee Company. Nice atmosphere, efficient staff."
23,The Coffee Company, 3 stars ,9 years ago,Place looks pretty nice but the couches feel worn out. Free WiFi is provided through the code on the receipt. Weird thing though is that the login website downloads a .DAT file. …
24,The Coffee Company, 5 stars ,4 years ago,"Great coffee and fast WiFi. Snacks are sparse, but it's perfect if you're looking for somewhere simple to relax, read or get some work done."
25,The Coffee Company, 5 stars ,a year ago,Every time we go there we request to have our latte extra hot. And every time it is served as requested.
26,The Coffee Company, 4 stars ,a year ago,"Nice coffee and sweets, non cheap but for a big city like Amsterdam It Is ok."
27,The Coffee Company, 5 stars ,8 years ago,"Coffee Company? More like Coffee Cumpieonmyknee! Because I ended up creaming so hard in there with all the various coffee creams to choose from, I couldn't help up but cream! Talk about a creamatorim! just can't get enough of them creams! …"
28,The Coffee Company, 5 stars ,5 months ago,Cozy caffe with tasty cakes
