,Name,Review Rate,Review Time,Review Text
0,The Green House Pijp, 3 stars ,3 years ago,"Long haired bartender is a douche. I asked him something not so heavy and no so hard and he sold me Super Lemon Haze, always trying to sell most expensive weed. Not cool …"
1,The Green House Pijp, 5 stars ,2 years ago,"Nice place, growing much strains from this seed bank and decide to visit it, good coffee menu, pure sativa joint hey me high, also find here winner of Canna Fest 05' for 54€ and it was rly lit"
2,The Green House Pijp, 5 stars ,3 years ago,This is the controversial cofeeshop that many famous people have visited. Definaltly worth a visit. Nice and comfortable seats and good quality products.
3,The Green House Pijp, 5 stars ,3 years ago,a relaxing atmosphere comfy seating and friendly staff definetly worth a visit!
4,The Green House Pijp, 5 stars ,2 years ago,One of the more comfortable places to smoke in Amsterdam. Always got strain hunters on the tv and lots of pics on the wall so u don’t feel like your sat there staring into space. Good weed but the prices could be better. Coffee was a good …
5,The Green House Pijp, 1 star ,3 years ago,The guy with the shaved head and beard is THE rudest person I’ve ever encountered. Such an aggressive attitude and completely out of alignment with how a good decent human interaction should be. Also the weed is too expensive. Don’t go here …
6,The Green House Pijp, 5 stars ,4 years ago,"Very relaxing place to smoke. Good quality tea. The atmosphere is really nice, doesn't feel like a smoking factory 😉
The staff was super friendly and gave us good advice.
Definitely will come back 😁"
7,The Green House Pijp, 5 stars ,3 years ago,"This was by far the best shop we stopped at during the 3 nights we had in Amsterdam. It was our last night in the city and country, we were off to Paris the next morning. We had some fine herb to smoke up and this place was with in walking …"
8,The Green House Pijp, 5 stars ,4 years ago,"Loved this place. Great menu, friendly and knowledgeable staff, good music and very comfortable. Not to many kids or tourists so good for the older person. Will return and would recommend."
9,The Green House Pijp, 5 stars ,5 years ago,"Had a short but very sweet trip into the Greenhouse, wish I had found this gem of a place at the beginning of our holiday! Staff were so nice and welcoming, decor lovely and all the pics of the rich and famous were great to look at!"
10,The Green House Pijp, 5 stars ,8 years ago,Lived in Amsterdam for four years and tried out most of the good places and this is my favorite.  Chilled out and friendly.  Off the beaten track so not full of tourists either. …
11,The Green House Pijp, 1 star ,5 years ago,"Really rude guy behind the counter looking to pick a fight. Offended us at least three times before even having the chance to order, then gave so much attitude before telling us he won't give us change. Tried to keep our money when we left due to his attitude and happily saw us leave. Don't even bother, so pathetic."
12,The Green House Pijp, 4 stars ,6 years ago,"Thus place was a exactly what we were looking for - chilled, friendly staff. We decided the vibe was right from the beginning unlike some of the tourist ones in the centre. We went back later after the van gosh museum the same day hopefully …"
13,The Green House Pijp, 5 stars ,3 years ago,"Wonderful coffeeshop. High quality buds. Best super lemon haze I’ve ever had. Friendly staff and chill, colorful lounge. Definitely gonna hit up when I return."
14,The Green House Pijp, 5 stars ,3 years ago,Ace coffee shop bit of a tourist trap but do offer some nice smoke and is open late. Me and my mate Pennick went to it about 2am in the morning when we were dying for a smoke. I have to apologise I stole one of the green house grinders that …
15,The Green House Pijp, 3 stars ,2 years ago,"Top weed, full of sticks, 18 euros per gram. More attention to quality would be appreciated. Fortunately, they don't have a monopoly."
