,Name,Review Rate,Review Time,Review Text
0,The Mexican, 4 stars ,a month ago,"We had a really great time, service was really good. The food was great as well. Kind of touristy but still very good.
Good price considering the quantity!
We had de enchiladas, loved it!"
1,The Mexican, 5 stars ,a month ago,"Loved the food. First time I ate Mexican in a restaurant (I think). I liked the ambiance, the food and the personnel. It was a bit cold inside but that’s subjective.  Loved it!"
2,The Mexican, 5 stars ,8 months ago,"Very friendly staff, and the food is delicious. They have all kinds of Mexican foods. I'd recommend the burrito or the steak. Very good restaurant. Down below is a picture attached of the burrito dish served here."
3,The Mexican, 5 stars ,4 months ago,Great food and service. I will be back for more 😊😋
4,The Mexican, 5 stars ,4 months ago,"Great place, delicious food, you need to get there if you’re into mexican food."
5,The Mexican, 3 stars ,2 years ago,"It was my first time experience to try Mexican food, the shop was small, but lovely, but to be correct the food wasn't something i liked at all, maybe because we're used to another kind of food, although we had ordered two different things …"
6,The Mexican, 5 stars ,8 months ago,Very generous portions and very delicious. Would definitely go back.
7,The Mexican, 4 stars ,3 months ago,Good Mexican food in the heart of Amsterdam. Will be back for more!
8,The Mexican, 5 stars ,3 weeks ago,"Very good food, very kind personal, amazing  atmosphere and an overall amazing place."
9,The Mexican, 4 stars ,5 months ago,"Good food, the ambience is okay."
10,The Mexican, 4 stars ,2 years ago,I ate here wish a group of friends and we noticed the spot just walking by and figured why not stop and try it as majority of us were Mexican and love some good fajitas. The margaritas were pretty darn good and so was the food (we ordered …
11,The Mexican, 5 stars ,3 months ago,"Loved it. Great food good prices. Would recommend. Service was great too.
Would visit again."
12,The Mexican, 4 stars ,4 years ago,Ordered the Entreecóte Beef Steak. Portion as per the picture. Note that the cost is €17.50 for a 300gram steak. Reasonably priced for a meal in the heart of Amsterdam pretty near to the red light district touristy area. For the …
13,The Mexican, 1 star ,3 years ago,"As you can see  in the pictures, the ""lunch deal"" costs 9.90 euros. Me and my boyfriend had lunch there (at around 2 pm) when we were in Amsterdam for a weekend, but this price was not applied to us. When we saw the attractive price of the …"
14,The Mexican, 4 stars ,3 years ago,I was kind of surprised by how good the burrito was. I wasn't expecting the Mexican food to be great but this was a real taste of Mexico in the midst of Amsterdam. Great food! A little bit pricey but the. Again al the restaurants on that street are.
15,The Mexican, 5 stars ,7 months ago,"The food at the Mexican was great, be careful if you're not at all into spicy food as mexican dishes often are. You could probably ask without jalapenos. The staff (1 serving, 1 cooking) were kind and great at their respective jobs. Service was quick and and the atmosphere felt like you were being served authentic mexican food."
16,The Mexican, 5 stars ,7 months ago,Located a few paces off Dam Square.  Friendly folks that appreciate your business. Place is spotlessly clean. Great place to sit outdoors and watch the crowd go by. Excellent ribs  and steak . Nothing fancy but I highly recommend it.
17,The Mexican, 5 stars ,3 years ago,"So good, we had such a nice meal at The Mexican. We irdered berf quesadilla a taco's. Huge portions and delicious food at a good price. Also friendly staff, nice lady."
18,The Mexican, 5 stars ,2 years ago,"Very delicious dishes, typically Mexican taste.  Very friendly service, affordable prices! 👌😍🌮🥙🥗❤️"
19,The Mexican, 3 stars ,3 years ago,"Why would you go to a Mexican restaurant in Netherlands?? But you chose to do so, and here is your disappointing ""Mexican"" food. …"
20,The Mexican, 5 stars ,6 months ago,"Very friendly staff, one of the best experience with Mexican food. Highly recommend quesadillas they so delicious."
21,The Mexican, 3 stars ,6 months ago,"We decided to eat here, as me and my partner were going to kill each other if we didn’t agree upon a restaurant! I got a steak which was 10 euros and my partner chose a burger which was 7 euros. …"
22,The Mexican, 5 stars ,2 weeks ago,Great lunchtime eatery at a reasonable price.
23,The Mexican, 3 stars ,a year ago,"The vegetarian was very good, the meet wasn't great."
24,The Mexican, 3 stars ,3 years ago,"Went for a plate of nachos, very expensive and the waiter forgot our order so we had to wait a lot. Good nachos tho."
25,The Mexican, 5 stars ,3 years ago,"Nice, cozy place in the heart of Amsterdam with  big meals which taste really good"
26,The Mexican, 5 stars ,2 years ago,Great food and the special on the ribs was good value for the area.
27,The Mexican, 4 stars ,7 months ago,The waiter was a bit racist but food is good
28,The Mexican, 5 stars ,9 months ago,"Food was very delicious, service was friendly and good. Prices are not expensive. The lunch offers are even cheaper."
29,The Mexican, 1 star ,6 months ago,"I worked for him for a week and as a thank you he paid me in black and gave me 100 € less, besides all when I came to claim the money he tore my uniform by force telling me that he is not going to give me 1 cent"
30,The Mexican, 4 stars ,2 years ago,Good Mexican food to try if you want to have different experience in Europe! Definitely will visit again if have chance.
31,The Mexican, 5 stars ,8 months ago,"We had such a great time there! The staff - lovely, super friendly, the food - amazing. Loved it! Again anytime"
32,The Mexican, 5 stars ,6 months ago,Nice eatery near dam square. The food is pretty good and the price is quite reasonable
33,The Mexican, 5 stars ,6 months ago,"The best Mexican food in amsterdam….Very tasty, the ambience of the place is very nice. I missed the place and food"
34,The Mexican, 5 stars ,2 years ago,We absolutely love this place and it’s a staple for all of our trips to Amsterdam. The food is amazing and there’s a nice atmosphere. Would highly recommend the fajitas! Portion sizes are huge but you’ll definitely be cleaning your plate!
35,The Mexican, 5 stars ,2 years ago,Absolutely loved this place. Happened to walk past it and was intrigued by Mexican food in Europe. I live in NYC so have had my fair share of mexican food and the burrito and rice as well as the salsa and chips tasted incredibly authentic …
36,The Mexican, 4 stars ,3 years ago,"Food is good, service is fast and friendly.  I had a chicken enchilada, a beef enchilada and rice.  My wife had a burrito.  All was pretty good, but not exceptional.  Frozen house margarita wasn't that great, but did have plenty of tequila. …"
37,The Mexican, 5 stars ,8 months ago,"Got the chicken fajitas and we LOVED IT, super tasty, big portion, very nice staff, great neighborhood"
38,The Mexican, 3 stars ,3 years ago,This place is what it is: a place for the owners to make some money off of the steady stream of tourists! …
39,The Mexican, 5 stars ,3 years ago,"Best mexican restaurant in Amsterdam, i always order their fajitas, so tasty. I sent there twice in 6 years, and food is yummy"
40,The Mexican, 1 star ,6 months ago,Not good at all… they use cheap meat and you can taste it
41,The Mexican, 4 stars ,2 years ago,"Big portions. Good food (what I ordered as quesadilla wasn't quesadilla but it was rich with ingredience) for good price. Staff could be nicer, food was focused rather on quantity than quality but overall we were satisfied. Way to toilet with plenty of very steep steps."
42,The Mexican, 4 stars ,2 years ago,Had a nice dinner here. A good enchilada and a big plate of nicely spiced loaded Nacho's. Service is quite quick and the prices are decent for a spot near the Dam. It's pretty cosy in a good way. …
43,The Mexican, 5 stars ,5 months ago,Delicious food!
44,The Mexican, 5 stars ,3 years ago,Lost count of how many visits we have had here but it is always really good. This time we were looking to eat quite late an knew that this would be one of the places which would definitely be open. We arrived around 11:30pm and there were …
45,The Mexican, 2 stars ,6 months ago,"Expensive for the quality
Service was not good and really slow (30 min+ to become the dishes)"
46,The Mexican, 5 stars ,7 months ago,"Great food. Enough quantity. Tasty.
Highly recommended."
47,The Mexican, 3 stars ,4 years ago,"This is a cozy little place with a nice atmosphere, friendly service and quite fun interior. However, it’s not the best Mexican food you can find I must say. The dishes here are closer to fast food but tasty nevertheless. I quite like the chicken burritos. I do find the food a little over priced for its quality though."
48,The Mexican, 5 stars ,4 months ago,Very nice food and good atmosphere
49,The Mexican, 2 stars ,7 months ago,Very plain. No mexican spicies and overall flavorless. Nice staff though!
50,The Mexican, 5 stars ,3 years ago,"The food was very  delicious. Good price, nice personnel and location. Fajitas was huge and incredibly tasty. Good Sangria. I highly suggest visiting this place even if you're not a fan of Mexican food."
51,The Mexican, 1 star ,3 years ago,"The place is run on a shoe string budget. The diet cola tasted cheep and watered down as did the house wine. The steak wasn't edible. Literally couldn't chew it. The waiter didn't ask how everything was, as we commenced or meal, it was …"
52,The Mexican, 5 stars ,2 years ago,"If you're in Amsterdam then this place is a must try atleast once for a meal.
This was the best mexcian restaurant I visited in a very very long time. Place is pretty tiny and have a limited space with ambiance light and a continuous …"
53,The Mexican, 5 stars ,2 years ago,"The food was delicious. Only downside is that due to the open kitchen, your clothes soak up the smell of the cooking so you smell like a chip pan when you leave. So not the best if you're going straight out afterwards!"
54,The Mexican, 3 stars ,6 years ago,"The food was tasty, but it took quite long. Besides we had a really small table near the door and the staff always stood in the door and didn't close the door, so we were freezing inside. Not really nice when you want to enjoy your food. …"
55,The Mexican, 2 stars ,a month ago,Typical tourist restaurant on dam Square
56,The Mexican, 5 stars ,2 years ago,Food was really good. I tried slot of Mexican restaurants and this is one of the best I had. Should went for the rice with my meal. Staff were quick and efficient. Prices are okay too.
57,The Mexican, 3 stars ,4 years ago,"We had fish & chips and a plate of nachos. It was okay, not bad but not amazing either. Nice waitress to welcome us from outside and make sure we go in. It definitely satisfied the munchies but I wouldn't say it was fresh."
58,The Mexican, 1 star ,2 years ago,"Should be called 'the fake Mexican'.
The worst attempt of simple nachos I have had ever.
I get there's different ways to have made the recipe westernized...but.. …"
59,The Mexican, 4 stars ,2 years ago,Almost same taste like real Mexican foods. I would suggest this small cantina Mexicano.
60,The Mexican, 1 star ,7 months ago,"The waiter is incompetent, all they want is your money... The 35€ plate is deceiving..."
61,The Mexican, 4 stars ,4 years ago,"Big dishes with combination options for two or more guests. Service was great. Prices are decent.The location helps making it a
really nice place to grab something to eat before or after hanging around at the city center's."
62,The Mexican, 5 stars ,3 years ago,"Authentic Mexican Restaurant based on American perspective. Has all the standard dishes including tacos and quesadillas. Good service, no problems. Sangria pitchers are great value."
63,The Mexican, 1 star ,3 years ago,"We ordered the vegetarian quesadilla, which was extremely flavorless and was filled with random vegetables like green beans, carrots and peas with absolutely no seasoning. We did not eat the dish and when the man who took our order came by …"
64,The Mexican, 1 star ,3 years ago,I was coming aften to eat here the employees were always friendly and the food is nice. But this time we had me and my friend a very rude guy with glasses working there start behaving like we are not welcome. Whene I ask him to act nicer to …
65,The Mexican, 5 stars ,2 years ago,This place is a cheap and great place to eat lunch or dinner. The food was quite good and especially loved the ham dish. My vegetarian friend also got good options here.
66,The Mexican, 5 stars ,4 months ago,Fair prices for fantastic food
67,The Mexican, 1 star ,5 years ago,"Very unfriendly and no good food either!
We were not informed about the lunch menu prices and had to pay 15 € each. The lunch menu had the same size and costs 8€. As we asked about it, they reacted …"
68,The Mexican, 5 stars ,2 years ago,"Was not expecting much coming in, as we were not expecting to eat Mexican food in Europe. Must say we were very impressed by the taste. Good place to try if you looking to try something different."
69,The Mexican, 5 stars ,3 years ago,"Fantastic food! Really close to the real thing. The setting of the place is very good also. Completely recommended, and the lunch menu is very convenient also! #traditional #mexican #cheap"
70,The Mexican, 2 stars ,3 years ago,"Service was food, but growing up in San Diego CA, this is NOT authentic Mexican food. The queso dip was cold and did not come with anything. I had to order chips separately. The Mexican rice was white rice with a little seasoning...don’t waste your time."
71,The Mexican, 5 stars ,2 years ago,"Enjoying crowded street of Amsterdam on Saturday, saw this hotel .. Belive me before tht i never tried any mexican hotel and reason is to have spicy food as i was bored with European food.. So decided to test mexican. I ordered starter - …"
72,The Mexican, 5 stars ,2 years ago,"Really nice, big portions! Good mexican food with low prices. The staff is so friendly. A must-come place in A’dam for sure!"
73,The Mexican, 5 stars ,3 years ago,"Good food, large portions, clean place and super friendly and helpful staff. Cleaner bathrooms then expected. …"
74,The Mexican, 4 stars ,3 years ago,It was very tasty and a lot!
75,The Mexican, 5 stars ,7 years ago,"Great food, great and friendly service. Fair price, lots of food. Ordered a burrito with extra beans on the side, they forgot them, after the meal and prior to my asking they apologized and said they would remove it from the bill. I 100% recommend this place."
76,The Mexican, 2 stars ,4 years ago,"The food isn't actually Mexican. It's tasty, but it is not spiced or seasoned like typical / authentic Mexican food. It's a commercialized version of the idea of what Mexican food is. Only reason for 2 starts is friendly service, and  and quick"
77,The Mexican, 4 stars ,2 years ago,Good size portions of lovely Mexican nosh. Not overly spicy. Nice cozy atmosphere too which was surprising given the location.
78,The Mexican, 4 stars ,4 years ago,A two storey place with some really good food . The chorizos were the highlight for me . Some Dutch and Mexican beers on the menu go perfectly with the food here . The friendly staff and chilled atmosphere make it tick all the boxes.
79,The Mexican, 5 stars ,3 years ago,Phenomenal Mexican food served! I loved the chicken burrito and the hot chocolate was perfect. Definitely a cute lunch or dinner spot for very affordable prices.
80,The Mexican, 5 stars ,3 years ago,"The food was very good, and the people serving are very friendly and open to help you. Cute, cozy place to eat and looking over what's happening on the busy street."
81,The Mexican, 1 star ,3 years ago,"A terrible excuse for Mexican food! The salsa tasted like they put ketchup in it, the rice was clearly microwaved and arrived cold, and to top it off the fajitas had CELERY in it and tasted like curry. Some kind of Indian/Mexican fusion that should not exist. If you are called The Mexican just stick to the script."
82,The Mexican, 1 star ,4 years ago,"AVOID AVOID AVOID

Busy and crammed. Waitress rushed off her feet, took 15 mins for drinks and the …"
83,The Mexican, 4 stars ,6 years ago,"Good mexican food with reasonable prices. The staff was polite and helpful, and the kitchen didn't use long to get us our food, even if it was busy when we went there."
84,The Mexican, 2 stars ,4 years ago,Food was ok but very expensive for what it was. Place is small and music was kinda dance top 50 or so. Staff was very friendly but not well organized.
85,The Mexican, 5 stars ,5 years ago,Had the chicken soup on a really chilly evening. Warmed up all the way to the soul!! Chicken wings were very good as well. Good price.
86,The Mexican, 3 stars ,8 years ago,Only having the English breakfast (€7.5)I can say that The food is pretty good and at a reasonable price however you don't get a lot. The staff are more than friendly and the decor is good
87,The Mexican, 5 stars ,a year ago,"Tasty food, friendly waitress and quick service. Big portions for price."
88,The Mexican, 2 stars ,3 years ago,"Having been seated, waited for food, got told to move to make room for other fit guests who could have gone to upstairs seating. Food not great enough to excuse rudeness"
89,The Mexican, 5 stars ,2 years ago,Love this place! Great Mexican food (duh!) in a cozy Mexican (duh!) environment! Try the chicken & beef enchiladas!
90,The Mexican, 5 stars ,2 years ago,"Great food, service and ambiance. Price was very reasonable for being so close to Dam Square."
91,The Mexican, 2 stars ,2 years ago,"Horrible, they took so long to get the food and it was worst then McDonald's food grade with the price of a good one. Stay away"
92,The Mexican, 5 stars ,2 years ago,"Great little restaurant, food was great beef tacos special, well worth a visit nice owner too."
93,The Mexican, 5 stars ,6 months ago,Nice place and tasty food.
94,The Mexican, 3 stars ,3 years ago,Mexican food with nothing overwhelming. Reasonable prices ford the quality and the location. To try once and that’s it.
95,The Mexican, 4 stars ,6 years ago,"Tasty food, great portions, good service and decent location. Well worth a visit if you have a hankering for Mexican!"
96,The Mexican, 5 stars ,2 years ago,The place doesn't look like much but great Mexican good if you want a quick bite to eat
97,The Mexican, 5 stars ,4 months ago,Very good
98,The Mexican, 2 stars ,2 years ago,"Food was frozen and reheated... so not a real restaurant if you ask me...
On top of that the service was poor..."
99,The Mexican, 5 stars ,4 years ago,"Nice food, would recommend the taco’s. Would advise to ask for extra spice if you like your mexican food authentic."
100,The Mexican, 4 stars ,2 years ago,Very good food & decent prices however service not the best.
101,The Mexican, 4 stars ,2 years ago,Nice cosy mexican place with a good wide authentic menu and beer options. Good value for a central location.
102,The Mexican, 5 stars ,4 months ago,Good food
103,The Mexican, 1 star ,3 years ago,"AVOID! Save your money, time and taste buds!
One star for the friendly staff but the food was abysmal."
104,The Mexican, 4 stars ,5 years ago,Were there for lunch. The food is good and price is fair. The wait is on average. Would eat there again.
105,The Mexican, 5 stars ,a year ago,Very nice little place where you get tasty food for a good price
106,The Mexican, 5 stars ,3 years ago,Great Specials. Super good hamburger and fries for just one 10 € bill.
107,The Mexican, 5 stars ,8 years ago,"Not bad, good experience, the food is amazing. The staff is a bit... not so polite as it should be, a bit gossip"
108,The Mexican, 2 stars ,5 years ago,Worst mexican i experienxed. Fast-food standards. Even the margarita missed the classical glass. Dispute this it's expensive
109,The Mexican, 5 stars ,2 years ago,"Ultimate Mexican food, nice staff, small but lot of space"
110,The Mexican, 2 stars ,3 years ago,Didn't like the food. We chose not to tip as didnt think the service was good either and they asked for tips.
111,The Mexican, 4 stars ,2 years ago,"Good food, fast service, catered to vegans and reasonably priced."
112,The Mexican, 2 stars ,3 years ago,"Service is ok, but food is really bad. I couldn’t even finish..taste terrible.."
113,The Mexican, 1 star ,2 years ago,They almost threw us out of the place when it got busy. They just brought the receipt and told us we are ready for you to pay. Very unwelcoming staff.
114,The Mexican, 3 stars ,4 years ago,"Good food, good meal portions, good vegetarian options, manager is really accomodating"
115,The Mexican, 5 stars ,4 years ago,Good Mexican food and reasonable prices fairly large potion size and lots of choices well worth a visit
116,The Mexican, 5 stars ,3 years ago,"Good food, good portion, great ambiance, outstanding service.."
117,The Mexican, 5 stars ,2 years ago,The food is very good and comes in large portions
118,The Mexican, 5 stars ,7 months ago,Lovely Mexican food!
119,The Mexican, 5 stars ,3 years ago,Food was so good and tasty staff so friendly and helpful would definitely visit again
120,The Mexican, 5 stars ,2 years ago,"Very nice and cozy place, food very tasty and the staff was very helpful👌"
121,The Mexican, 3 stars ,2 years ago,"A nice mexican place very close to Amsterdam Central. The food is not the best, but it is okay."
122,The Mexican, 5 stars ,3 years ago,"Great burrito! Great food, especially after eating fast food for 2-days straight in Amsterdam."
123,The Mexican, 5 stars ,2 years ago,Food and atmosphere was great. Important note: chocomel is chocolate milk
124,The Mexican, 5 stars ,2 years ago,"Good mexican food, don't forget to ask for spicy dishes"
125,The Mexican, 2 stars ,3 years ago,Service is ok. food wasnt the best.. rice was undercooked so had to leave it all
126,The Mexican, 4 stars ,2 years ago,Small lovely restaurant with good food and very nice service.
127,The Mexican, 3 stars ,2 years ago,"Food's good, but it's not Mexican food."
128,The Mexican, 3 stars ,a year ago,"Salsa is good but the rest is tex mex good, it was ok"
129,The Mexican, 5 stars ,4 years ago,Really good food. Not cheap but it filled your belly!
130,The Mexican, 5 stars ,2 years ago,"Yummy food, vegan options, friendly staff"
131,The Mexican, 5 stars ,2 years ago,Sooo good! Loved it! Nice staff and lovely atmosphere!
132,The Mexican, 5 stars ,4 years ago,Food was awesome....best so far woth out a doubt
133,The Mexican, 4 stars ,6 years ago,"Gread food,  good music,  the dishes are big and there's fair prices"
134,The Mexican, 5 stars ,6 years ago,"Great food, good service and nice price"
135,The Mexican, 4 stars ,2 years ago,Nice
136,The Mexican, 5 stars ,2 years ago,"Great guy running place, great food too."
137,The Mexican, 5 stars ,a year ago,Good quality for really affordable price! Highly suggested to try.
138,The Mexican, 5 stars ,3 years ago,"Nice,very interesting waiter guy, especially his looks"
139,The Mexican, 5 stars ,3 years ago,"Nice food, central location, friendly personal"
140,The Mexican, 5 stars ,4 months ago,Top
141,The Mexican, 5 stars ,2 years ago,Delicious Mexican food! Nachos were top!
142,The Mexican, 5 stars ,3 years ago,"Authentic Mexican, Spanish speaking staff and great atmosphere."
143,The Mexican, 4 stars ,4 years ago,"Cosy little restaurant, not bad price."
144,The Mexican, 4 stars ,2 years ago,Great Mexican food and great prices
145,The Mexican, 5 stars ,3 years ago,Very delicious food and friendly staff
146,The Mexican, 5 stars ,4 years ago,Normal prices with good food and service
147,The Mexican, 4 stars ,3 years ago,Good food and large portions.
148,The Mexican, 5 stars ,2 years ago,Fantastic and  delicious food and service.
149,The Mexican, 5 stars ,2 years ago,Really lovely food and good service
150,The Mexican, 5 stars ,2 years ago,Very delicious Mexican food yeri&markus
151,The Mexican, 5 stars ,3 years ago,I love It . Everytime i come to Amsterdam i have to go in this place
152,The Mexican, 4 stars ,5 years ago,Great place and the portions where big.
153,The Mexican, 5 stars ,2 years ago,Try the nachos con todo... perfect to share
154,The Mexican, 5 stars ,3 years ago,Great food....good service....
155,The Mexican, 5 stars ,3 years ago,👍🏻
156,The Mexican, 5 stars ,4 years ago,"Best place to eat in Amsterdam central, hands down"
157,The Mexican, 4 stars ,2 years ago,Good food and nice staff
158,The Mexican, 5 stars ,3 years ago,Great food. Great price.
159,The Mexican, 5 stars ,3 years ago,Real mexican food. Very good!
160,The Mexican, 5 stars ,2 years ago,Best mexican food in Amsterdam!
161,The Mexican, 5 stars ,3 years ago,Delicious fajitas and tasty sangria
162,The Mexican, 5 stars ,3 years ago,Friendly staff and good food
163,The Mexican, 5 stars ,3 years ago,"The food is amazing, try the fajitas!!!!"
164,The Mexican, 1 star ,6 years ago,"Everything,nothing like a Mexican,food was awful"
165,The Mexican, 1 star ,2 years ago,I only eat Italian food
166,The Mexican, 3 stars ,3 years ago,Wasn't great but wasn't awful
167,The Mexican, 5 stars ,2 years ago,Mojito! The best!
168,The Mexican, 5 stars ,2 years ago,Very good steak
169,The Mexican, 5 stars ,2 years ago,The food here was AMAZING
170,The Mexican, 5 stars ,2 years ago,The food is nice.
171,The Mexican, 4 stars ,3 years ago,Good lunch deals
172,The Mexican, 4 stars ,3 years ago,The atmosphere costs a star...
173,The Mexican, 1 star ,2 years ago,Bad food quality
174,The Mexican, 5 stars ,4 years ago,Tacos abd very friendly!
175,The Mexican, 5 stars ,7 months ago,Delicious 👌
176,The Mexican, 3 stars ,3 years ago,Not bad
177,The Mexican, 4 stars ,3 years ago,Best mojito ever!
178,The Mexican, 1 star ,5 years ago,Meh. Food wasn't that good.
179,The Mexican, 4 stars ,3 years ago,Great chicken fajitas
180,The Mexican, 5 stars ,3 years ago,Simple and good food
181,The Mexican, 1 star ,4 years ago,"Courteous staff
Stale food"
182,The Mexican, 4 stars ,5 years ago,"I believe it is worth 4 stars exclusively for the great customer care skills of the young Italian chap there. Otherwise I would have said 2 stars. For the rest, the 2 for 1 deal is not actually a deal and the burgers is extremely basic."
183,The Mexican, 5 stars ,3 years ago,Eaten cheap and easy.
184,The Mexican, 3 stars ,2 years ago,It OK...
185,The Mexican, 1 star ,6 years ago,"Poor service , poor food"
186,The Mexican, 5 stars ,2 years ago,"Nice place, nice ppl"
187,The Mexican, 4 stars ,3 years ago,Good breakfast.
188,The Mexican, 3 stars ,2 years ago,Ok
189,The Mexican, 4 stars ,2 years ago,Great food
