,Name,Review Rate,Review Time,Review Text
0,The Mill, 5 stars ,5 years ago,"Great little bar. Very welcoming with big personalities behind the bar. A touch stuffy in there, but the crisp, cold beer makes up for it. Lads, ask for toilet roll before you use the loo, none supplied for the gents unless you ask for some."
1,The Mill, 4 stars ,5 years ago,Great rock bar where the friendly barmaid (Lotte) lets you contribute to the playlist. Top marks for that and putting up with the difficult locals.
2,The Mill, 5 stars ,5 years ago,"Came from Ireland for a few days and spent three evenings here, casual environment and very welcoming. Very friendly barmaid"
3,The Mill, 5 stars ,4 years ago,Super place nice service but not good toilet for number 2 no toilet seat for men
4,The Mill, 5 stars ,4 years ago,my favorite spot in Amsterdam
5,The Mill, 4 stars ,3 years ago,Good cosy pub
6,The Mill, 4 stars ,4 years ago,Nice place to have chill out
7,The Mill, 5 stars ,3 years ago,Awesome place..
8,The Mill, 5 stars ,4 years ago,🎉🎉🎉🎉
9,The Mill, 3 stars ,3 years ago,"(Translated by Google) A bit boring, but ok to have a drink

(Original) …"
10,The Mill, 5 stars ,3 years ago,"(Translated by Google) Top barmaid !!!! and good music

(Original) …"
11,The Mill, 5 stars ,4 years ago,"(Translated by Google) Honest

(Original)
Onesto"
12,The Mill, 3 stars ,3 years ago,
13,The Mill, 4 stars ,3 years ago,
14,The Mill, 5 stars ,4 years ago,
15,The Mill, 5 stars ,4 years ago,
16,The Mill, 3 stars ,3 years ago,
17,The Mill, 5 stars ,5 years ago,
18,The Mill, 3 stars ,4 years ago,
19,The Mill, 5 stars ,3 years ago,
