,Name,Review Rate,Review Time,Review Text
0,The Porterhouse Bar, 4 stars ,2 weeks ago,"What a positive surprise today! I've been here before when it just opened and the place was very underwhelming. Quite a different story now -- good beer and very decent food: we tried Fish&Chips and Tournedos steak, both were delicious (I'd …"
1,The Porterhouse Bar, 1 star ,2 weeks ago,"Very rude and racist against people from the UK. It’s not a safe space. More like cultural appropriation.
I asked for a vodka lime and soda and they gave me a vodka lemonade. I …"
2,The Porterhouse Bar, 5 stars ,4 months ago,Good for sport. Good for a hearty irish breakfast. Good for pints of beer and nice selection. Lots of room (especially important when there for sport). Friendly staff. Definitely a great staple.
3,The Porterhouse Bar, 1 star ,2 years ago,"I also have been inside, but in addition I ordered something from the menu. Not the Portersteak because that's not there...(why?)  Instead I ordered thesirloin steak, a cheeseburger and a Shepard's Pie. One advice: don't go here for the …"
4,The Porterhouse Bar, 4 stars ,2 years ago,Fine recently opened (sports)bar for a drink and some food. It has a pool table and tv screens to watch sport events.  Spareribs were good and quite tasty. Looming forward to see how it develops as it's still quite new. Due to the somewhat odd layout it can be sometimes hard to get the staffs attention. Will go here again tho!
5,The Porterhouse Bar, 4 stars ,2 years ago,"Great sport bar-restaurant! it's on an excellent location in Oostpoort.
Awesome food and amazing staff, all really friendly."
6,The Porterhouse Bar, 5 stars ,2 years ago,"Fantastic little bar in the outskirts of Amsterdam city centre.

Good beer selection with craft Beers on the menu. Irish Feeling inside but also …"
7,The Porterhouse Bar, 1 star ,2 years ago,"The worst meal I had during my stay in Amsterdam. The burger I ordered was overcooked and dry. The fries which came with it were mediocre at best.
During our meal I heard at least two waiters telling guests ""I just work here"" …"
8,The Porterhouse Bar, 2 stars ,2 years ago,"Only positive about the food, its good food. I salute the Kitchenstaff! But the service?...what service??!!  constantly need to order and beg for something. Not the first time here but third and last! You dont feel welcome at all.They even …"
9,The Porterhouse Bar, 4 stars ,2 years ago,"The salmon steak was cooked to perfection and the other meals were well presented and tasted quite good. There seems to be 3 separate sections of this restaurant,the front, back, and inside. This might have been the cause of the delay in us …"
10,The Porterhouse Bar, 5 stars ,2 years ago,"Friendly staff, very nice interior. The fish and chips was very tasty"
11,The Porterhouse Bar, 5 stars ,2 years ago,"Food was good, and portions were big (we had the ribs and the shepherd's pie). Servers were excellent. It's a sports bar and TVs were on showing a soccer match we didn't have any interest in, but due to the somewhat odd layout, there are a some quiet spots without TVs on sight."
12,The Porterhouse Bar, 5 stars ,a year ago,"I went this evening by the porterhouse and the employees were very nice, i order a angusbeef burger with extra cheese 👅💦 the burger tasted soo perfect 👌🏽. My compliments for the person that make the burger with love 💕 …"
13,The Porterhouse Bar, 5 stars ,2 years ago,"Great Irish style pub, great value for food, pool table, large selection of drinks. We had the fish and chips and the chicken burger which was great, the staff were so friendly and accommodating especially alyssa who served us most of the night, we will for sure be back!"
14,The Porterhouse Bar, 1 star ,2 years ago,"The absolute worst service I have seen on my 4 day Amsterdam trip, waited for 30 mins and was just blatantly ignored by the staff. Management should really review their employees' work as the place wasn't even close to being full and they …"
15,The Porterhouse Bar, 5 stars ,2 years ago,Good choice of hamburger or grilled chicken or even ribs. Good choice if beers. Waiters are very helpful. I was alone and decided to watch the NFL match on the big TV. Prices on the average.
16,The Porterhouse Bar, 5 stars ,2 years ago,"Great foods, lots of sports, really nice and helpful staff.
My kids love the pancakes and to play on the pool table.
It's a good place to be really in the morning or  late in the evening"
17,The Porterhouse Bar, 1 star ,2 years ago,"Me and my friend had a burger a week ago , ordered two black Angus burgers. Those two burgers was the driest burgers I ever eaten in my life , after this we found a hair inside one of our burger. Ofcours it was taken off from the bill , …"
18,The Porterhouse Bar, 4 stars ,2 years ago,"So many negative comments.. Ppl.. It s a pub, :) you go out for a beer, relax and have some tasty food.
I loved the fish and ribs and fruity beer. …"
19,The Porterhouse Bar, 1 star ,2 years ago,"Heard good things about the food and the size of the portions.
Tight on time (my fault) I got here at 17:35. Sat at the front (public) for a few minutes nobody came so I went inside ordered a tournedos (medium well) and sat …"
20,The Porterhouse Bar, 5 stars ,2 years ago,"Nice place. good staff. Good food. Pool table! Beer menu might be a bit more interesting, but of course that is a personal thing."
