,Name,Review Rate,Review Time,Review Text
0,The Roast Room, 5 stars ,2 years ago,Great restaurant serving a meat focused menu in Amsterdam. We started with great beers and friendly service in a warm and atmospheric room. Lots of choice on the menu. The warm bread is delicious and comes with a melting cheese centre. The …
1,The Roast Room, 4 stars ,2 years ago,A lovely little place to go for food in Amsterdam. My boyfriend and I visited the Roast Room because we are staying in the citizenM Amsterdam South hotel nearby and The Roast Room came up on there as a place to eat. The staff in The Roast …
2,The Roast Room, 5 stars ,2 years ago,"A great venue. We've had an a la carte menu, with fancy dishes. The service was very good. Modern and eclectic design, very good hospitality and attention to details. Keep up the good work."
3,The Roast Room, 4 stars ,2 years ago,Really stays a good place. Of course  good quality meats at good prices as well. Wines are expansive though. Good and friendky staff. Big place can hold lots of people. Very well decorated and lighted.
4,The Roast Room, 2 stars ,a year ago,"We went there as a group, and most of us took burgers. The normal burger was dry for me, but the vegan green burger was very strange and the colour didn't make us want to eat it. …"
5,The Roast Room, 5 stars ,3 years ago,"We have had a team diner here. Good quality food, reasonable price. Very kind staff. I ate the côte de boeuf. It was awesome. Definitely a must go when you are around."
6,The Roast Room, 4 stars ,3 years ago,"We went with a group of 15 people, so let me start with that. We were given a very limited menu, 4 starters, 4 main courses and 2 deserts. The steak tartare was super yummy and the meat plate appetizer we had was great and really good for …"
7,The Roast Room, 5 stars ,3 years ago,Such a great restaurant! The quality of the meat is outstanding. The restaurant is very spacious. Downstairs there's plenty of room for drinks and bites. Upstairs is the more chique dining space. Reservation needed! The service is one of …
8,The Roast Room, 4 stars ,2 years ago,"Very good ambience, nice food and friendly staff. But it doesn't open on time. Overall experience still fantastic!"
9,The Roast Room, 3 stars ,3 years ago,"Service was good, can be different with big groups, which you regularly have because of the event location RAI next to the restaurant. My steak was tasty but over-seasoned, also a bit pricey for a shared starter, drinks and main course 60 euro."
10,The Roast Room, 5 stars ,2 years ago,Nice place close to the Amsterdam Rai. Food is good and prices are fair. They have plenty of space outside. We had the burgers with fries and it was very good. They also offer breakfast. If you're a bigger group you might want to make reservations. The place can get very busy.
11,The Roast Room, 3 stars ,2 years ago,"Meat was great, but portions are just to small for the price your paying.
We had the meat buffet for 2 people paying €27,50 each. Had sweat potato and coleslaw as a side dish."
12,The Roast Room, 3 stars ,5 years ago,Very nice interior and nice looking food. And that's pretty much where good things end. Food is freshly made however the rack of ribs and pulled pork burger somehow did not taste right and meat was pretty dry. Also prices are on the higher side.
13,The Roast Room, 5 stars ,2 years ago,"Food was excellent, creatively served. Ordered a ribeye steak, one of the best we've ever had. Friendly, efficient waitstaff,  who spoke English quite well."
14,The Roast Room, 4 stars ,4 years ago,"Good atmosphere and service. Reasonable quality. Spare ribs are dry, not recommended. Good rib eye steak."
15,The Roast Room, 4 stars ,3 years ago,I don't know if it is the best meat place in Amsterdam (it does have a award) but it has a nice atmosphere and the starters are fine. The wine selection is extended. Most of the staff is very friendly and likes to make your time there memorable. It is a bit expensive though.
16,The Roast Room, 5 stars ,3 years ago,"Modern decoration, not too busy so fast service, good selection of drinks and snacks. Good place to spend the evening 👌"
17,The Roast Room, 4 stars ,4 years ago,"Great steak! Normally take the Côte de Boeuf, which is amazing! Can highly recommend this place. However, the service downstairs can be improved. Takes a while to order and the forget small parts of the order."
18,The Roast Room, 4 stars ,2 years ago,"Awesome cocktail and the perfect cure for my cold: French Tea.  A hot (literally) cocktail with a kick.
Steaks: I had better once, but still a great service and we had a good night …"
19,The Roast Room, 5 stars ,2 years ago,"Great place, not cheap but awesome meat. Tender soft. Good service and warm ambiance. Good place when you are at the Rai to eat."
20,The Roast Room, 4 stars ,2 years ago,"The food was delicious, but the customer service isn’t great (as you would expect). Highly recommended though"
21,The Roast Room, 5 stars ,2 years ago,Chill place with good food! staff is very friendly !
22,The Roast Room, 5 stars ,2 years ago,"Our food was amazing, it sounds silly but even the salad was so nice, it was nice to pop to the superb but very easy to get to with Google Maps"
23,The Roast Room, 5 stars ,5 years ago,Everyone I've brought to this place have enjoyed the ambience and food. They make really good steaks and I especially like the little appetisers which are creatively done.
24,The Roast Room, 5 stars ,2 years ago,Fantastic food! Great vibe! And wonderful service!
25,The Roast Room, 5 stars ,2 years ago,The best place in town if you are looking for excellent meat dishes and great service.
26,The Roast Room, 4 stars ,4 years ago,"Perfect place for a dinner during exhibition. Professional and very helpful staff, great atmosphere and tasty dishes. Only thing that  I could complain was a bit too long serving time."
27,The Roast Room, 4 stars ,2 years ago,A very nice place for a lunch with nice decor and very friendly staff. I had the steak sandwich which was very tasty.
28,The Roast Room, 5 stars ,2 years ago,"Most wonderful place to have dinner - we ate outside at night.  The prices were good, staff were great and helpful"
29,The Roast Room, 5 stars ,2 years ago,"Super tasty dishes, great atmosphere, good design. Excellent coffee"
30,The Roast Room, 4 stars ,3 years ago,"Great food, thorough drinks menu and not very busy throughout the day."
