,Name,Review Rate,Review Time,Review Text
0,The Seafood Bar, 5 stars ,a month ago,"The restaurant clientele were couples, a few families, small groups. We shared a sumptuous starter and then I had a mix platter that included smoked salmon, crab salad and lots of greens. Both dishes were delicious."
1,The Seafood Bar, 5 stars ,3 months ago,"Nice location, very close to the Dutch national museum. Good atmosphere, very friendly waiter/waitress! And most important, the foods are fresh and delicious. Especially the octopus.  It’s absolutely a must-try restaurant when one visit Amsterdam museums there."
2,The Seafood Bar, 5 stars ,a month ago,"It was really excellent restaurant. The combination with cold and grilled seafood. All of them are fresh, taste so delicious. Good service and very friendly people."
3,The Seafood Bar, 5 stars ,4 months ago,"Great atmosphere for friends and family. It's usually very busy but if you're a solo traveller and go at off-peak hours, no reservations needed. Food quality was excellent and at a very reasonable price. Will definitely come back again soon."
4,The Seafood Bar, 4 stars ,4 months ago,"Great dinner, 190 euros so about 50 euros per person, excellent wines and beer, the fish was fantastic, the mussels little overcooked but the plate of fish (mixed of grilled) was incredible, the service quite slow but the restaurant was very crowded. I will be back... Overpriced? Maybe but good quality"
5,The Seafood Bar, 5 stars ,4 months ago,"Very delicious seafood, one of the best in Amsterdam, friendly staff, beautiful atmosphere, and quick service. Salad very simple and delicious. We wanted rice as side dish, they didn’t have in the menu, but they gladly made us some. Special thanks to the Pakistani chef Mubsher. (For muslims: Be careful some food are cooked with wine.)"
6,The Seafood Bar, 5 stars ,2 weeks ago,"Quick visit to Amsterdam, was able to make a reservation 30 minutes out while we were out exploring. Walked in early, was immediately seated, service was prompt and friendly. Highly recommend, will visit again!!"
7,The Seafood Bar, 5 stars ,4 months ago,"COMBINATION 2 PERS. - LEMON MERENGUE - CHEESECAKE.
The table we got was really cosy. Make sure to not wear to warm clothing because the restaurant is quite warm because of the grill. …"
8,The Seafood Bar, 5 stars ,4 months ago,Great food with friendly and competent personnel. Highly recommended the place for good quality fish dining.
9,The Seafood Bar, 4 stars ,5 months ago,"The Seafood bar is always a great idea if you are craving fish and sea food. The restaurant itself is sober and nice, the food has a good quality-price ratio. Service could be better, some waiters are super friendly and professionals some others a bit less."
10,The Seafood Bar, 5 stars ,6 months ago,"If you like fish and good times, don't hesitate. Go
I've been coming here once a year for my dad's bday and this place never disappoints! From good food, to great friendly and helpful staff and a very nice ambience, 10/10 !"
11,The Seafood Bar, 5 stars ,4 months ago,"Excellent restaurant. Fresh seafood coming from all over the world. Service was also outstanding, i recommend it and i would ask for the fruit de mer platter"
12,The Seafood Bar, 5 stars ,2 weeks ago,Excellent food and service. The inside of the restaurant is a little bit small and it is hard to have a table available if you don't make a reservation in advance. You can have a shellfish platter for about EUR 25. …
13,The Seafood Bar, 5 stars ,8 months ago,If you want to spend evening with outside dining then the Seafood Bar is right choice. They always have the most fresh and delicious sea food stuff with affordable price
14,The Seafood Bar, 5 stars ,a year ago,A seafood lovers paradise. From a beginner to a aficionado this restaurant caters for everyone. The measures set up for social distancing work perfectly with each table set up in its own boothe. Spotlessly  clean and well deserving of five …
