,Name,Review Rate,Review Time,Review Text
0,The doors, 5 stars ,5 months ago,"Best Death Budda in Amsterdam, very friendly staff, nice crowd and love sitting over by the canal having a beer.  My first stop every time."
1,The doors, 4 stars ,6 months ago,Nice staff and products with a nice canal view and Lavazza coffee so overall a good spot
2,The doors, 5 stars ,a month ago,"Good coffee shop, great staff following all the Covid rules."
3,The doors, 5 stars ,4 months ago,I go here 1st on all my visits due to where I stay and the coffeeshops location. Good variety and prices. A favourite of mine.
4,The doors, 4 stars ,3 months ago,"Good place and good price.
I’ve been there two times and I intend to go back."
5,The doors, 5 stars ,a year ago,The Store is great for a rest. The shop itself is cozy and prices (starting from 9€/g) are fair. Drink prices are in the average. …
6,The doors, 5 stars ,2 years ago,"We arrived at our hotel too early and found this coffee shop to sit at while we waited. They were very cool about letting us sit in the outdoor area, which was quite pleasant.  Friendly service, I did get a cup of coffee that was excellent. …"
7,The doors, 5 stars ,2 years ago,"If your visiting Amsterdam to experience the Coffee Shop culture then give this place a try. I wanted to be nosey with a cup of tea without the partaking and this place was fin. It’s a smoky place, a little too dark for me with music that …"
8,The doors, 5 stars ,3 years ago,"had such a good experience here my friends and I had never smoked before and the guys in there were really kind and welcoming. they gave us great advice and made us all feel very comfortable. We sat inside, reay chill music and very calm, …"
9,The doors, 5 stars ,2 years ago,"This place is fantastic, I've been going to Amsterdam for 30years and this is one of a very few coffee shop's that still keeps the old school alive. I didn't want to write this because I don't want this original coffee shop turned into one …"
10,The doors, 5 stars ,2 years ago,"Only good vibes! One of the most authentic, friendly and warmest coffee shops in town. Every single time I had a blast, great conversations with both the store staff and walk in customers. Will be deeply missed."
11,The doors, 5 stars ,3 years ago,"Really loved it here, went everyday! Good music, good vibe, super friendly and lovely location! Cba also sit outside too if the hotbox vibe isn’t for you. Also their hot chocolates are amazing too! I liked this place because it had less of a crackhead vibe that some places had, it was just super chill and cosy!"
12,The doors, 5 stars ,9 months ago,"My favorite for the last 25 years. Friendly and welcoming stuff, great vibes, great weed and good prices."
13,The doors, 4 stars ,2 years ago,"Great coffeeshop with friendly staff and a really nice vibe. Good quality merchandise, coffee and snacks. Shame about the name change but there's still a cool picture of 'The Lizard King' Jim Morrison inside."
14,The doors, 5 stars ,2 years ago,"This was the 1st coffeeshop we stopped off at when arriving in Amsterdam. Really liked the place, great weed menu with a knowledgeable budtender. Also, the milkshakes are amazing, actually didn't find any other coffeeshops with decent milkshakes so we returned to here before our trip came to an end."
15,The doors, 5 stars ,8 months ago,Best service and friendliest company I have ever experienced in Amsterdam... (and the perfect music...)
16,The doors, 5 stars ,5 years ago,"Nice atmosphere, was before called  the ""The Doors "" but for some reason the name was changed.
Cheap and nice coffee and drinks, the music is great, if you like Rock, you are …"
17,The doors, 5 stars ,4 months ago,Awesome nice strains nice prices
18,The doors, 5 stars ,3 years ago,"Love this place! Always make sure it's the first and last place we go to, the best coffeeshop for a good smoke, chilled atmosphere an really friendly staff with decent prices on the drinks, also has a good weed menu would recommend the Morrison haze lovely bud"
19,The doors, 5 stars ,3 years ago,Really great atmosphere. Felt very comfortable here. Great place to sit outside and watch the world hurtle by. Not far from our apartment so great at the end of a busy day.
20,The doors, 5 stars ,a year ago,"Simply the Best Coffeeshop in Amsterdam, if not the world. Here is an independant coffeeshop that has the most unique menu I've seen in my multiple trips to the city. You won't find the strains available here anywhere else, a must visit for any Amsterdam coffeeshop connoisseur!"
21,The doors, 5 stars ,2 years ago,Absolutely love this coffeeshop. Been here 4 times now. The atmosphere is so relaxing and the smoke is lovely too.. I will definitely be going back.
22,The doors, 5 stars ,a year ago,The coffeeshop is really nice.  Go check them out. They got a nice menu. Great shop to chill with. They got also some snacks you can order.
23,The doors, 4 stars ,2 years ago,"Great place, cool atmosphere, selection is not as big as in some other, more comercial places but they make up for it with the cozy feeling."
24,The doors, 5 stars ,4 months ago,Small friendly and clean
25,The doors, 2 stars ,8 years ago,"Bit disappointed. No Doors music, only some disco. Bored service aren't any interest for customers. Weed aren't too good. Toilets are a bit nasty. Only plus side are a walls with Doors theme. So much potential little cofeeshop, shame..."
26,The doors, 5 stars ,5 years ago,Awesome cozy atmosphere with great varied music. Nice place to space out and chill with ya buddies or even alone. Easy to meet people.
27,The doors, 5 stars ,2 years ago,Every time we visit Amsterdam this coffee shop is a must. Super cosy and chill which makes you feel perfect after smoking.
28,The doors, 5 stars ,3 years ago,"Has to be the best I've visited, nice staff, good vibes and it's a good place to sit and chill for a bit, defo my favourite 😜"
29,The doors, 5 stars ,10 months ago,I will always come back to this place! awesome!
30,The doors, 5 stars ,3 years ago,"Top guys that work there, very mellow vibe to the place, great coffee, nice hash and bud, highly recommend going if your in Amsterdam 👍"
31,The doors, 5 stars ,2 years ago,It's spring flower time❤🍦
32,The doors, 5 stars ,3 years ago,"Perfect Coffeeshop, the staff ist very helpful to explain what what is. Enough variety's to choose. The Stuff is very good there. Athomsphere is very relaxed, the surroundings fit in Amsterdam."
33,The doors, 3 stars ,a month ago,Ok 👍
34,The doors, 5 stars ,3 years ago,"Love this babes place❤️ Great atmosphere, great music, the staff are really friendly and helpfu. This is my most preferred coffee shop to date!"
35,The doors, 4 stars ,7 years ago,"Didnt sit in to smoke but the morrison was one of the best buds i tried in amsterdam (and I tried alot), liked the doors pictures around the place, seemed like nice guys running it."
36,The doors, 1 star ,4 years ago,This coffeeshop has the most horrible host.. He is unfriendly and rude. He made us leave the shop even before we had the chance of ordering because he didnt wanted to help us. Never coming back here.
37,The doors, 5 stars ,3 years ago,"Friendly staff, they are very nice and accommodating. Clean and nice decor, good place for a stop"
38,The doors, 5 stars ,a year ago,Nice bud tender... clean modern comfy smoking area...
39,The doors, 4 stars ,2 years ago,great selection...friendly staff..nice location. first place on my next trip... :)
40,The doors, 4 stars ,a year ago,Nice shop was there years ago and still vibey and chill place
41,The doors, 5 stars ,7 months ago,friendly budtender! white fire is absolute fire
42,The doors, 5 stars ,2 years ago,"Cozy, good music, nice staff. One of my favorites in Amsterdam."
43,The doors, 5 stars ,3 years ago,Great atmosphere. Nice window and outside seating. Great quality hash and bud as well.
44,The doors, 5 stars ,2 years ago,Good place to smoke weed and relax. They have drinks you can buy also.
45,The doors, 5 stars ,2 years ago,"Best coffeeshop in Amsterdam center.
The staff is always very pleasant!
I’ll be back!"
46,The doors, 5 stars ,2 years ago,Really good weed and not so high price. Nice staff
47,The doors, 5 stars ,2 years ago,Great little smoke place tooked away worth a visit
48,The doors, 5 stars ,2 years ago,Menu limited but that's not a bad thing friendly staff
49,The doors, 5 stars ,2 years ago,"Best coffeeshop around, great environment and great staff not to mention the selection of strains, amazing hot chocolate! 🙂"
50,The doors, 5 stars ,5 years ago,Cosy place and great decoration! This is the only coffee shop I have found that allows to drink alcohol.
51,The doors, 5 stars ,3 years ago,1st place I visit every time I go to Amsterdam. Small but always warm and friendly.
52,The doors, 3 stars ,5 years ago,"Limited seating here, but was OK. Strangely they were playing Offspring, not The Doors. Update - this was called the Doors but is now called the Store."
53,The doors, 5 stars ,5 years ago,Great spot to enjoy a nice joint and watch people go about their daily lives...
54,The doors, 5 stars ,3 years ago,Very warming and welcoming.  Had a fab day there.  Thank you !
55,The doors, 4 stars ,4 years ago,Nice selection - well priced. Cool atmosphere and music.
56,The doors, 5 stars ,2 years ago,"cool atmosphere, and a good outside seating area for people watching"
57,The doors, 3 stars ,2 years ago,"Sad its no longer called ""the doors"" but the interior is still the same and they still sell the lovely ""Morrison Haze"""
58,The doors, 5 stars ,a year ago,Excellent coffeeshop. Great atmosphere!
59,The doors, 5 stars ,3 years ago,Best place in Amsterdam nice stuff very kind guys and lady👩🏻
60,The doors, 4 stars ,2 years ago,"Nice place ,plenty of seating and outdoor area"
61,The doors, 5 stars ,3 years ago,The salad bowl was such a great value for what you got!
62,The doors, 4 stars ,2 years ago,It's a nice small but good coffieshop
63,The doors, 1 star ,4 years ago,Very rude service. Was in the shop less than a minute before being demanded to buy something. Very rude and will not be recommending or returning again.
64,The doors, 4 stars ,9 years ago,Best place in dam to get weed back from Amsterdam. And it's the doors! Great
65,The doors, 5 stars ,7 years ago,"very friendly coffeeshop ,very good hash and weed...nice place to meet while in amsterdam"
66,The doors, 5 stars ,2 years ago,Great place one of the best I have found.
67,The doors, 5 stars ,5 years ago,All things was so Good. Nice Atmosphäre .
68,The doors, 4 stars ,5 years ago,"Google says I visited here, but I don't really remember it. A glowing endorsement?!"
69,The doors, 5 stars ,a year ago,Nice place to chill next to the canal
70,The doors, 5 stars ,2 years ago,One of the Best.
71,The doors, 5 stars ,6 months ago,The Best Store in Amsterdam!
72,The doors, 5 stars ,3 years ago,"Great staff, nice vibe, good buds"
73,The doors, 5 stars ,2 years ago,"Great staff, good cake 👍"
74,The doors, 5 stars ,2 years ago,"The best weed , the best prices, and most importantly the best people!"
75,The doors, 1 star ,2 years ago,We bought 2 space-muffin 14 € !! and it wasn’t effective at all !!!!
76,The doors, 4 stars ,8 years ago,Nice little coffeeshop with a good selection of decent bud and hash
77,The doors, 5 stars ,3 years ago,"Very chill, great drinks and great weed!"
78,The doors, 5 stars ,6 years ago,One of my favourite coffee shop in Amsterdam.
79,The doors, 5 stars ,3 years ago,Good music. Friendly staff
80,The doors, 5 stars ,2 years ago,I'm coming back on Tuesday! Cant wait!!!
81,The doors, 5 stars ,3 years ago,Excellent  place must go they
82,The doors, 4 stars ,4 years ago,"The small fish market on the corner of the Brouwersgracht and the Singel
By Johannes Jelgerhuis"
83,The doors, 5 stars ,3 years ago,Super nice Stummung. Super nice atmosphere.
84,The doors, 4 stars ,4 years ago,A friend who uses said its the best stuff in town
85,The doors, 5 stars ,2 years ago,Great staf cool place
86,The doors, 5 stars ,2 years ago,Perfect little coffeeshop for a break from exploring the city
87,The doors, 5 stars ,4 years ago,Love their house weed - Morrison
88,The doors, 2 stars ,10 years ago,Do they still make you pay to hear songs by the Doors?
89,The doors, 5 stars ,4 years ago,Cheap bud and hash and it's high quality
90,The doors, 5 stars ,5 years ago,"Nice weed, nice people.. Choose the Morisson"
91,The doors, 5 stars ,3 years ago,Realy nice frendly place
92,The doors, 5 stars ,2 years ago,Fun and friendly staff
93,The doors, 5 stars ,4 years ago,Good smoke good staff
94,The doors, 5 stars ,a year ago,Awesome smoke 😍
95,The doors, 5 stars ,2 years ago,Very good
96,The doors, 5 stars ,3 years ago,Best place to bee 💚😉
97,The doors, 4 stars ,2 years ago,Good vibes @music
98,The doors, 5 stars ,2 years ago,Really nice weed
99,The doors, 5 stars ,3 years ago,Good weed good prices
100,The doors, 4 stars ,3 years ago,"Good coffee, good joint."
101,The doors, 5 stars ,6 years ago,Friendly. Good quality
102,The doors, 5 stars ,3 years ago,One of my favourites.
103,The doors, 5 stars ,7 years ago,Great place to chill
104,The doors, 3 stars ,8 years ago,"OK. Seen worse, seen better"
105,The doors, 5 stars ,5 years ago,Oh yes love it
106,The doors, 5 stars ,2 years ago,Small but open.
107,The doors, 4 stars ,2 years ago,Nice 😊
108,The doors, 5 stars ,2 years ago,Excellent smoke
109,The doors, 4 stars ,4 years ago,Nearest coffeshop to the grand station
110,The doors, 4 stars ,5 years ago,Good atmosphere.
111,The doors, 5 stars ,3 years ago,Perfect.
112,The doors, 5 stars ,3 years ago,Great place.
113,The doors, 5 stars ,2 years ago,Tscha
114,The doors, 5 stars ,2 years ago,Hmm
115,The doors, 5 stars ,2 years ago,Nice to chill
116,The doors, 4 stars ,4 years ago,Great!
117,The doors, 4 stars ,6 years ago,Very nice!?
118,The doors, 4 stars ,8 years ago,Baby light my fire
119,The doors, 5 stars ,5 years ago,Very nice coffeeshop
120,The doors, 5 stars ,5 years ago,My favorite!
121,The doors, 4 stars ,6 years ago,Cool place
122,The doors, 5 stars ,4 years ago,Great
123,The doors, 5 stars ,6 years ago,Nice
124,The doors, 5 stars ,3 years ago,Excellent!
125,The doors, 3 stars ,8 years ago,Good Place.
126,The doors, 5 stars ,3 years ago,Best coffeshop in Amsterdam
127,The doors, 5 stars ,2 years ago,Blessed
128,The doors, 5 stars ,2 years ago,Epic Place.
129,The doors, 5 stars ,23 hours ago,"chill atmosphere, by the river and minimal techno playing on the speakers"
130,The doors, 5 stars ,a week ago,"My favourite coffeeshop, staff were awesome, the tunes made me feel as if I was bobbing in space and the death bubba was next level. I'll be back this weekend!"
131,The doors, 5 stars ,4 months ago,"(Translated by Google) Best Space Cakes in Amsterdam.
The people who serve are helpful and don't rush you so for newbies you'll have time to educate yourself and choose …"
132,The doors, 3 stars ,4 months ago,"(Translated by Google) If you are greeted by a hipster than with the words ""Hello Darlington, how are you"" then you are sitting on the right terrace. Coffee is good, something with the coffee in the bitterbal category, toasty …"
133,The doors, 5 stars ,a year ago,(Translated by Google) Also one of my favorite places in Amsterdam ... It used to be called 'The doors' and they had a special Haze called Jim Morrison that is still available here until now. The prices are great and you can usually still …
134,The doors, 5 stars ,5 months ago,"(Translated by Google) Friendly service, can advise, calm atmosphere to chill out, I recommend! …"
135,The doors, 5 stars ,7 months ago,(Translated by Google) Very cozy. We felt comfortable and will definitely come back next time. …
136,The doors, 3 stars ,2 years ago,(Translated by Google) Small and nice. Variety of marijuana and hashish at a price more or less like all. Good treatment and Do not overwhelm you with asking for drinks. recommendable …
137,The doors, 5 stars ,2 years ago,"(Translated by Google) Small, have to wait a bit before finding a place but it is worth it to take a ride! …"
138,The doors, 5 stars ,a year ago,"(Translated by Google) By far the best I have been, with few varieties but the products are of high quality, the coffee is very small with a really cool 60's rock and jazzy atmosphere! All in a really nice decor, I strongly recommend it …"
139,The doors, 5 stars ,6 months ago,"(Translated by Google) My favorite coffee shop, delicious varieties for great prices …"
140,The doors, 5 stars ,4 years ago,"(Translated by Google) Small and welcoming.
A great place to enjoy well-deserved relaxation with friends.
The restaurant is very characteristic: warm lights and engaging music. …"
141,The doors, 5 stars ,5 months ago,"(Translated by Google) Price performance comparatively very good 😉

(Original) …"
142,The doors, 5 stars ,2 years ago,"(Translated by Google) Super little coffee with dim lights a little psychedelic, ideal for digesting a muffin. Good soundtrack, very calm atmosphere. …"
