,Name,Review Rate,Review Time,Review Text
0,Tisfris, 5 stars ,a month ago,Nice place to have a cup of hot chocolate and really nice cookies. I enjoyed a lot!
1,Tisfris, 5 stars ,a week ago,"Nice restaurant and café (I had a cappuccino, green juice and a biscuit)."
2,Tisfris, 4 stars ,6 months ago,"Nice tomato soup for lunch, next to Rembrandt house. Good terrace with a view."
3,Tisfris, 5 stars ,a week ago,"Very nice place in the city center.

We went for coffee, good coffee, nice stuff and very tasty cookies, highly recommend."
4,Tisfris, 5 stars ,3 years ago,Beautiful place to sit outside right along the canal. The view is amazing. I had a toastie and it was very good for a decent price. I think it was something like 6 euros. In the middle of a tourist hot spot. I definitely recommend checking it out and taking some nice pictures.
5,Tisfris, 5 stars ,3 years ago,"Great ambiance and interior. We ordered the beef burger, lasagna, mexican soup, and bitterballen. All tasted great. The place could be crowded during lunch hour, but you can still sit for a couple of hours."
6,Tisfris, 1 star ,4 months ago,"Waited almost 20 for the waiter to take our order. Then waited an hour for food. The waiter never came. My boyfriend went to the desk to pay for the drinks since we were not getting served, waiter did not make an effort and said they were just starting to prepare our food. Terrible service."
7,Tisfris, 5 stars ,8 months ago,"Nice and cozy cafe, even outside while it's raining! There are blankets to keep you warm in case it gets chillier. We had hot cocoa, sandwhiches with soups, and two slices of cake (no photo). Amazing! Delicious! Would come here again :)
(you can find more pictures on Instagram @nihonchou)"
8,Tisfris, 5 stars ,3 months ago,"I always make sure to visit this spot when I'm in Amsterdam, the food is always very nice and the staff are lovely! Would highly recommend"
9,Tisfris, 5 stars ,2 years ago,"Great cafe to chill and relax.

Nice deco and friendly service. …"
10,Tisfris, 4 stars ,2 years ago,"Had breakfast here, tasty omelett with bacon and ham and some very decent coffee. Having a stroller with us was not a problem also."
11,Tisfris, 5 stars ,3 years ago,Nice friendly local cafe on the cusp of central Amsterdam... the staff here were very friendly and accommodating and there was good space to relax both inside and out. …
12,Tisfris, 5 stars ,4 years ago,I ordered Dutch Pancake with Peanut butter and banana at this cafe. It tasted really good and the lady who served me was friendly. It is a perfect place to have breakfast or brunch.
13,Tisfris, 5 stars ,3 months ago,"Staff were lovely, good gluten free options & the best of the best organic tea.

unreal jeff"
14,Tisfris, 4 stars ,4 years ago,We ordered coffee and croixsants with nutella. It was delicios. Friendly staff. If you visit Rembramdt house before and show your tickets you get 10% off.
15,Tisfris, 4 stars ,2 years ago,Randomly walked in after just landing and well worth it. Burger was great and beers too were perfect.
16,Tisfris, 4 stars ,3 years ago,A nice little café with a good coffee a decent menu and a great beer selection. Jump in for a quick breakfast or lunch!
17,Tisfris, 4 stars ,4 years ago,"Breakfast was tasty, cosy place with nice views to the canal. Prices were not cheap but overall OK :)"
18,Tisfris, 3 stars ,3 years ago,"Usual Amsterdam drill. So so service, some beers were on the menu but not available, and the menu is muhwa. For the life of me I don't understand why the Tapas Mix is: …"
19,Tisfris, 4 stars ,2 years ago,Very pleasant staff and good service. The cafe is charming with a cozy atmosphere.
20,Tisfris, 4 stars ,8 months ago,"Nice service and they have Jupiler, perfect for a pit stop or a quick snack."
21,Tisfris, 5 stars ,a year ago,"Very delicious coffee, the portions could’ve been larger :)"
22,Tisfris, 5 stars ,3 years ago,Best sandwiches in Amsterdam for me! Wonderful food in a wonderful place.
23,Tisfris, 5 stars ,7 months ago,"Staff was great, location is amazing, homemade ice tea is delishhh! Great experience."
24,Tisfris, 5 stars ,4 months ago,So chill so good. Food is amazing and done with care
25,Tisfris, 5 stars ,5 months ago,Had one of the best meals of my LIFE
26,Tisfris, 5 stars ,a year ago,"Quite busy, small cafe near Rembrandt museum. I enjoyed the atmosphere, good prices, nice decor and the staff was super friendly. Delicious vegan burger! I would definitely come back :)"
27,Tisfris, 5 stars ,6 months ago,Lovely food and great service. Will be back for sure.
28,Tisfris, 5 stars ,2 years ago,"Great cafe with really tasty fresh-homemade food and a great drinks selection. I come here regularly and have never been let down! On warmer days the outside balcony and tables overlooking the canal are gorgeous, otherwise it is just as lovely on the inside ;)"
29,Tisfris, 5 stars ,4 years ago,"Great food, great drinks, great people & great place! 👍

I cannot understand why people write it's expensive. The food is fresh, the tea …"
30,Tisfris, 5 stars ,3 years ago,Fantastic little restaurant. We've been here a few times over the years and the service is always friendly and quick. They also have a good range of nutritious breakfast and lunch food. We always come back when we're in Amsterdam
31,Tisfris, 4 stars ,3 years ago,"Visited on a rainy day in Amsterdam, hungry and looking for a warm refuge. Brunch was delicious- bacon, tomatoes and scramble egg for me, veggie burger for my daughter. Friendly and efficient staff plus good value for money! I'll be back!"
32,Tisfris, 5 stars ,3 years ago,"Limited menu but it's got reasonably priced food including dutch food. Would definitely return especially for the Dutch Stamppot (potatoes and sausage). Nice, quiet ambiance away from the noise and smokiness of the pubs in red light district."
33,Tisfris, 3 stars ,2 years ago,"Nice place! key location when you are on the move or if you are visiting the city and you don't want to waste time; you are near the Waterlooplein market, Nieuwmarkt, Rembrandtplein, Leidseplein, Amstel area and still close by the central …"
34,Tisfris, 2 stars ,5 months ago,Nice Location yet some of the staff are Unfriendly and even rude
35,Tisfris, 2 stars ,2 years ago,"Coffee was terrible. Latte tasted burnt and acidic.
Food was very basic & lackluster, nothing special at all. Staff was pleasant and service was good. Outside seating was nice. …"
36,Tisfris, 5 stars ,3 years ago,"I had a beef burger, it was well seasoned and the bread was terrific!. Fried wedges were also tasty. Service is good and they have free WiFi, a nice touch."
37,Tisfris, 5 stars ,2 years ago,"Total: 4.8
Small cofee, lovely atmosphere, great food …"
38,Tisfris, 5 stars ,3 years ago,"Nice place, we have been two times and everything was perfect!"
39,Tisfris, 5 stars ,3 years ago,"Great experience! Even though the place was packed, service was very quick and super friendly. The food was really tasty and worth its money. We will definitely come back!"
40,Tisfris, 5 stars ,8 months ago,Finally found a great food spot in Amsterdam Centrum! Burger was fantastic!
41,Tisfris, 3 stars ,2 years ago,"Good food, nice atmosphere, but the service is very slow. We were waiting for over 45 minutes for food even though we told our server that we had a train to catch."
42,Tisfris, 4 stars ,4 years ago,Been here many times for lunch in the past 10y & never had a prob. Friendly and quick  service. Great place to have a light lunch & a drink. Antipasti is fantastic.
43,Tisfris, 5 stars ,4 years ago,"Very friendly staff, who know when to leave you alone or when to ask you if you want something else. Never really busy. And great food with some excellent vegetarian options!"
44,Tisfris, 4 stars ,2 years ago,"Good location, nice out door terass serving. Tasteful simple dishes, friendly staff. Recommended."
45,Tisfris, 5 stars ,4 years ago,"One of the best burgers I've ever had, the bun was by far the best I've ever had.  I had one of the specials, but my friends had the menu burgers and they where just as impressed.  I highly recommend."
46,Tisfris, 5 stars ,2 years ago,"Tasty quick food, good beer selections.
Friendly staff! Fast for a quick bit to eat Al fresco! (or inside of you want!)"
47,Tisfris, 5 stars ,2 years ago,Great Service and delicious food. The Burger is great but difficult to eat if you have to look for two little girls enjoying the pancakes 😉.
48,Tisfris, 1 star ,2 years ago,"Being hungry in Amsterdam is not a surprise, however, finding a suitable destination to eat can be tricky. If you value your money and time avoid this place to avoid, long waiting time, cold food and a huge bill at the end. Do yourself a favour and just get some snacks..."
49,Tisfris, 2 stars ,2 years ago,Pricey and bad food. The dishes are served rustic style I mean with no intention to look good or have some style. Poor service as well
50,Tisfris, 5 stars ,2 years ago,"Friendly staff, great food and a very comfortable interior. No regrets about my decision to eat there."
51,Tisfris, 4 stars ,9 months ago,"Really nice atmosphere and food, slightly expensive"
52,Tisfris, 5 stars ,a year ago,Friendly service and lots of seating.
