,Name,Review Rate,Review Time,Review Text
0,Tjing Tjing, 4 stars ,3 weeks ago,"What a unique and great experience at this gem of a place, we sat down on the bottom floor right at the bar.  Friendly staff with a great ambiance my friends went too the rooftop for a smoke and I chilled while observing the going ons. …"
1,Tjing Tjing, 5 stars ,a month ago,I've missed travelling so much and I'm glad that there are places like this close by to remind us of good foreign food. If you looking for an amazing Ramen Pork Tonkotsu look no further. …
2,Tjing Tjing, 5 stars ,2 months ago,"Incredible!!! Never knew this place existed and was pleasantly surprised.

The rooftop area is the best spot with an open area and closed area bar and …"
3,Tjing Tjing, 4 stars ,5 months ago,"We went to the restaurant on the ground floor, next time we’ll try also the bar at the top floor. Food was tasty and fun, we had lots of starters cause they sounded more interesting than the mains. Don’t miss the fries, the bao bun, the chicken skewer and the cheese cake."
4,Tjing Tjing, 5 stars ,3 months ago,Food was delicious! We tried the pork ramen and one of each dessert. Definitely worth the visit. Staff was friendly and service was fast. Going to visit again when we are in the area!
5,Tjing Tjing, 5 stars ,3 months ago,Really great food. A good sense of true Japanese and a good mix of the chef's personal twist on things. You can tatse the passion investment in the food
6,Tjing Tjing, 5 stars ,6 months ago,This is the cutest little spot I tried out a while back. It’s truly a hidden gem the restaurant is called Torii it’s part of @tjingtjinghouse . Better known as tjingtjing the food is so fresh and I was mesmerized by the bright colors and …
7,Tjing Tjing, 5 stars ,2 weeks ago,"Amazing experience for anyone looking to have great food and a wonderful time. Food is good, drinks are great and staff are extremely friendly."
8,Tjing Tjing, 3 stars ,6 months ago,"3rd floor is a bar with lounge chairs inside and seating outside. Dimly lit with ambient lighting to set the mood, great for drinks before dinner. Staff are friendly and can make custom drinks on request, cocktails are quite pricey but …"
9,Tjing Tjing, 4 stars ,2 months ago,"The food is truly unmatched!! Male waiters upstairs are a bit weird (like sneak their number on a napkin & when you don’t text them the next time you return they’ll be very hostile). That aside, the food is truly amazing. Would be 5 stars if not for that x"
10,Tjing Tjing, 4 stars ,9 months ago,The food will have you coming back while the service has you looking for the nearest door! …
11,Tjing Tjing, 3 stars ,6 months ago,"Lovely aesthetic and great vibe.
Loved their signature fries! …"
12,Tjing Tjing, 5 stars ,a month ago,"Unique interior, amazing variety of delicious Japanese rice and noodle dishes 🍜🍚 Try the sake 🍶 an alcoholic fermented rice drink. Thank you, I'll defenitely come again!!! 🇯🇵🏯"
13,Tjing Tjing, 5 stars ,2 months ago,"Food looked soooo good even though when we got there, the kitchen had closed. Wish we got there earlier. The drinks were delicious and vibe is awesome. I had the rooibos gin 10/10."
14,Tjing Tjing, 5 stars ,3 months ago,"I did not expect the amazing experience I had at Tjing Tjing. It's a beautiful, eclectic space filled with the perfect balance of stunning and quirky decor. The food will blow your mind (The fries may be the most delicious thing I've ever …"
15,Tjing Tjing, 5 stars ,2 months ago,"Quality / price is great. I'd recommend to take sushi in matcha with fish and rice balls! The music and atmosphere are great as well, especially in the late evening. A bit tricky to sit with a big group at small tables, but that's a minor issue"
16,Tjing Tjing, 5 stars ,3 months ago,"Great experience, good authentic Japanese food. My only complaint is our waiter who was a bit all over the place. Also beware of the mochi ice cream as although the ice cream is good the mochi itself is definitely an acquired taste."
17,Tjing Tjing, 5 stars ,a month ago,"Nice place, friendly service, and even moved us after asking because it was too hot at the top level!
Their food is also very good and beautifully presented, with reasonable prices.
A have-to-ty place for any Asian Food Lover!"
18,Tjing Tjing, 5 stars ,2 months ago,"Surprisingly casual upstairs. Amazing cocktails, an outdoor smoking section and best bao buns. A really good vibe. …"
19,Tjing Tjing, 5 stars ,8 months ago,"Tjing Tjing Momiji was an exceptional experience.
From the food, to the ambience of the atmosphere. It was a very educational dining experience and one I'm not likely to forget any time soon!"
20,Tjing Tjing, 4 stars ,a month ago,Great cocktails and very tasty food. We had some snack and drinks on the rooftop bar. The setting is quite cool. Service was unfortunately very slow.
21,Tjing Tjing, 5 stars ,a year ago,"If I could I would award this restaurant 7 stars. We dined at Torii in Tjing Tjing house. Everything was absolutely amazing. The cocktails tasted fresh, flavourful and aromatic and the food was outstanding. Highly recommend the sesame broccoli. The cheesecake was one of the best in Cape Town."
22,Tjing Tjing, 2 stars ,4 months ago,"Cocktails was great. Ambience is lovely. Unfortunately the service and the mains were lacking. Waitress brought starters and mains out at the same time. We waited on a table to open up on the rooftop, when it did, we went to sit down only …"
23,Tjing Tjing, 4 stars ,5 months ago,"A must do Great menu rooftop awesome vibe and service, very safe setup"
24,Tjing Tjing, 4 stars ,2 months ago,Food tastes good. Setting is great. Friendly service.
25,Tjing Tjing, 5 stars ,a month ago,The best Japanese restaurant in South Africa. It's a total must. Authentically Japanese. The whole experience was amazing. Would definitely go back.
26,Tjing Tjing, 5 stars ,a year ago,"Looky here looky here, a Japanese restaurant! In a nice place in town. Oh, and let’s not forget about their roof top bar 😊 …"
27,Tjing Tjing, 5 stars ,11 months ago,"Fast and friendly service, well presented portion of food, the vegeterian friendly side/tapas are great starters to share between two. Vegeterian Ramen was perfect consistency with the home made noodles. Nice chilled out atmosphere and funky Japanese setting. Will definitely be coming back."
28,Tjing Tjing, 4 stars ,a month ago,"Cool vibey spot on this little roof top bar. Fairly trendy crowd and music beats playing. Nice stop for pre or post dinner drinks, or even for dinner as they do have a Japanese themed menu."
29,Tjing Tjing, 5 stars ,2 years ago,Wow. Outstanding food and experience. Some unusual dishes accompanied by cards that add further story to the food. The last of the high end restaurants on our trip. We tried a lot. Including La Colombe. Easily top 3. A MUST try.
30,Tjing Tjing, 5 stars ,11 months ago,This has been one of the best Asian Restaurants I've been too soo far. The vibe is absolutely fantastic. The Food is very good and the service is top class.
31,Tjing Tjing, 2 stars ,a month ago,"I absolutely love this place, the quality of the food is amazing I was just really disappointed once, I went to get a take outta Mochi but they were closing “the door was still open thou’ because I was flying back to Johannesburg, then they …"
32,Tjing Tjing, 5 stars ,10 months ago,"Amazing Japanese style food! Good reminder: take your time because you are probably gonna have to wait to get a table, but it’sw worth the wait"
33,Tjing Tjing, 4 stars ,2 weeks ago,"Great Japanese food where we keep on coming back for that authentic street food type vibe and something different from the norm! Do yourself a favour and walk in (no reservations), you won't be disappointed!"
