,Name,Review Rate,Review Time,Review Text
0,Tjon Express, 4 stars ,3 months ago,I like the food over here. There are many vegetarian options. Ordered tofu in black bean sauce and cannot be more happy with the quantity and taste. The pitjil was also decent. Overall the price was also reasonable considering Amsterdam prices of restaurants
1,Tjon Express, 5 stars ,2 years ago,"Whenever i go to an expensive country Chinese/thai cuisine comes handy and filling. The hotel atmosphere, location and the timings are really good. The services are quick which is much appreciated. The taste and quantities are delicious."
2,Tjon Express, 5 stars ,11 months ago,"Very good food, used to live near this place for almost 10 years and never had any problems."
3,Tjon Express, 5 stars ,3 years ago,"Really tasteful surinaam food place. It is small and food is served very fast. It is not fine dining but the roti, moxi meti and souto soup are excellent. Price is also agreeable. We always had very friendly personnel and cannot complain. …"
4,Tjon Express, 4 stars ,5 years ago,"A hot and satisfying meal that definitely hits the spot. Perfect for a weeknight dinner. Chose to have the won ton noodle soup and miniature eggrolls delivered. As always, speedy delivery and hot, flavorful food."
5,Tjon Express, 1 star ,4 years ago,"In One word disgusting!!!teribble and Very Very dirty,just ordered,the food is cold and looks Very disgusting!!firtst and last time !!this has nothing to do with food,just a bunch of Chinese disgusting people who want to make money …"
6,Tjon Express, 5 stars ,2 years ago,Most of the dishes are worth trying and taste wonderful. Definitely returning to this place.
7,Tjon Express, 1 star ,2 years ago,"Used to be really good, but last two years the quality and taste rally went downhill"
8,Tjon Express, 5 stars ,3 years ago,Excellent Chinese Surinam Indonesian food. Quick service at an affordable price.
9,Tjon Express, 4 stars ,2 years ago,The food is good.. but the loempia is not fresh..
10,Tjon Express, 4 stars ,3 years ago,"Perfect to take away, the portions are great for their price"
11,Tjon Express, 3 stars ,5 years ago,Average price but good quantity. Quality is OK. You can take away.
12,Tjon Express, 4 stars ,9 years ago,A place to be. Cheap and quality is also top
13,Tjon Express, 4 stars ,3 years ago,Good food
14,Tjon Express, 3 stars ,6 years ago,Cheap and easy. Nothing special.
15,Tjon Express, 5 stars ,2 years ago,Ok
16,Tjon Express, 4 stars ,3 years ago,Good honest food
17,Tjon Express, 4 stars ,3 years ago,Fine surinam food
18,Tjon Express, 1 star ,3 years ago,2nd the
19,Tjon Express, 4 stars ,5 years ago,Super class
20,Tjon Express, 3 stars ,2 months ago,"(Translated by Google) Order your food via the site, and indicate at 18:40 you come to pick it up, it is not ready, they say. After 15 minutes of waiting, an employee comes to your daughter and they are said to have forgotten. …"
21,Tjon Express, 1 star ,2 years ago,"(Translated by Google) As long as I can remember I get something to eat here, after a long period make a memory a reality again and I can't tell you how embarrassed I was towards my guest! Chef Mic (rowave) is very busy sending everything …"
22,Tjon Express, 4 stars ,2 weeks ago,(Translated by Google) Food is a lot for reasonable price. Tofu eaten in bean sauce. Tastes good. …
23,Tjon Express, 1 star ,6 months ago,"(Translated by Google) For the first and the last. We had a spring roll, roti chicken breast and spare ribs with noodles. …"
24,Tjon Express, 1 star ,6 months ago,(Translated by Google) Sometimes I get the feeling that they often use the microwave Often get more vegetables than meat And the meat isn't the best quality either And then if you ask if there is some way to prepare it for you Shall we go 9 …
25,Tjon Express, 5 stars ,4 months ago,"(Translated by Google) She corrected my order when I indicated to take my order to my hometown, a 20 minute drive from Tjon. Super! Otherwise I would have had soggy sandwiches …"
