,Name,Review Rate,Review Time,Review Text
0,Toon, 5 stars ,4 years ago,Wonderful and interesting things to look at and/or buy. Very reasonable prices. Great space and lovely people. Also have interesting performances.
1,Toon, 5 stars ,5 years ago,"Lovely shop with art and crafts, great cafe run by creative and talented women! Totally recommend the Rhubarb Bellini!"
2,Toon, 4 stars ,6 years ago,"Cool interior home decor options, some probably just for showroom, but most practical and pretty."
3,Toon, 4 stars ,6 years ago,"Cool concept store with furniture, crafts and food. Order a coffee and lunch and decide on the price yourself."
4,Toon, 5 stars ,3 years ago,"There is wonderful stuff in here. And the attendants are fine people, 5-star all the way"
5,Toon, 5 stars ,5 years ago,Great shop. The owners are very nice as well.
6,Toon, 4 stars ,4 years ago,"Artisan crafts and art, music and coffee."
7,Toon, 5 stars ,4 years ago,Cool
8,Toon, 5 stars ,5 years ago,"(Translated by Google) Nice concept, store and hospitality in a location. Nice products that you don't normally come across. Sometimes nice performances in the evening. …"
9,Toon, 5 stars ,5 years ago,"(Translated by Google) Very special special ambiance with lots for sale and constantly changing exhibitions of modern and retro. Also shops, such as Fair Trade food, furniture makers and upholsterers, tailors, goldsmiths, interior …"
10,Toon, 5 stars ,3 years ago,(Translated by Google) Super nice shop. Also for affordable special items. For yourself or to do cadau. Recommended! …
11,Toon, 4 stars ,4 years ago,"(Translated by Google) Nice special place where you can find beautiful objects. Handmade, every object is unique. Cozy place too. …"
12,Toon, 5 stars ,5 years ago,"(Translated by Google) Nice place for finding unique things for nice prices

(Original) …"
13,Toon, 3 stars ,4 years ago,"(Translated by Google) Nice store. Little expensive.

(Original)
Leuke winkel. Beetje duur."
14,Toon, 5 stars ,4 years ago,
15,Toon, 4 stars ,5 years ago,
16,Toon, 3 stars ,3 years ago,
17,Toon, 5 stars ,5 years ago,
18,Toon, 5 stars ,5 years ago,
19,Toon, 5 stars ,4 years ago,
