,Name,Review Rate,Review Time,Review Text
0,Toppers Caf√©-restaurant, 1 star ,2 years ago,"This place is a representation of what 'pink money' represents. Music, clients, and atmosphere are chosen based on gay stereotypes - attracting mainly older straight Dutch society who likes to make fun of ""gay things"". It is such a pity to …"
1,Toppers Caf√©-restaurant, 5 stars ,2 years ago,Very very very very funny place. Musics and staffs are greate. Come here :)
2,Toppers Caf√©-restaurant, 5 stars ,3 years ago,"(Translated by Google) Cozy atmosphere and beautiful interior!

(Original) …"
3,Toppers Caf√©-restaurant, 5 stars ,2 years ago,"(Translated by Google) Top tent

(Original)
Top tent"
4,Toppers Caf√©-restaurant, 4 stars ,2 years ago,"(Translated by Google) Lovely place

(Original)
Heerlijke plek"
5,Toppers Caf√©-restaurant, 5 stars ,3 years ago,"(Translated by Google) Super cozy

(Original)
Super gezellig"
6,Toppers Caf√©-restaurant, 5 stars ,3 years ago,
7,Toppers Caf√©-restaurant, 3 stars ,3 years ago,
8,Toppers Caf√©-restaurant, 2 stars ,3 years ago,
9,Toppers Caf√©-restaurant, 4 stars ,3 years ago,
