,Name,Review Rate,Review Time,Review Text
0,Urfa Sofrasi, 1 star ,5 months ago,"(Translated by Google) Definitely should not go, buttermilk is like degreased water, liver came, there are skewers in number, liver as much as roasted chickpeas on skewers, some like 2 or 3 roasted chickpeas on skewers. Dude, why did we say …"
1,Urfa Sofrasi, 1 star ,7 months ago,(Translated by Google) DISGRACE. I can't find any other words. There is no hygiene. There is an occasional smell of rotten meat inside. The prices are unbelievably expensive. We paid 35 TL for 3-4 pieces of liver in a bottle. The tables are …
2,Urfa Sofrasi, 1 star ,8 months ago,"(Translated by Google) Even 1 point is too much I definitely do not recommend. They took 20 liras for the raw meatballs that everyone brought as a treat. We said raw portion, it tasted awful, we couldn't eat it. The forks that came to the …"
3,Urfa Sofrasi, 1 star ,a year ago,"(Translated by Google) We wanted a menu, the waiter said I am a live menu. We said what? Of course, we are ashamed to ask for a price, don't be ashamed. He wrote 20 TL for 5 raw meatballs. Urfa kebab 35 TL liver portion 30 TL poor quality …"
4,Urfa Sofrasi, 1 star ,9 months ago,"(Translated by Google) Friends, the place is definitely not hygienic. The prices are too expensive. Most businesses wrote 5 slices of raw meatballs for 20 liras as appetizers. The kebab is too bad to be eaten. …"
5,Urfa Sofrasi, 1 star ,a year ago,"(Translated by Google) If you say to go to Urfa and eat liver, do not eat at this place even if you are hungry, but there are 2-3 photos unrelated at the top, the place I said is not the place where it says green written Urfa table.The …"
6,Urfa Sofrasi, 4 stars ,3 years ago,(Translated by Google) Super restaurant. Very tasty meals. Extremely very large portions. Certainly when this option will definitely make use of the opportunity to visit the restaurant Urfa Sofrasi op …
7,Urfa Sofrasi, 1 star ,2 years ago,"(Translated by Google) The orders came empty and half hour, although the venue was empty, the flavor was below average, 5 servings of food for 140 TL. Summary: Don't go worth not …"
8,Urfa Sofrasi, 1 star ,a year ago,"(Translated by Google) An incredibly poor quality, dirty and overpriced place.

(Original) …"
9,Urfa Sofrasi, 5 stars ,3 years ago,"(Translated by Google) It was great, thanks for everything 😊

(Original) …"
