,Name,Review Rate,Review Time,Review Text
0,Vegan Junk Food Bar, 5 stars ,3 months ago,"Best vegan Caesar salad I have ever had, and they have 3 of them! Plus great platters, burgers, desserts and more. The servers were really cool and helped us find other things around town. Our appetizer platter came with some amazing dips …"
1,Vegan Junk Food Bar, 5 stars ,a month ago,"Every visit to Vegan Junk Food Bar is a joy. Great service and yummy junk food. If you are not vegan like me, you'll be impressed to discover the burgers are not meat - i had the Sumo burger which had both the vegan chicken and vegan beef …"
2,Vegan Junk Food Bar, 3 stars ,6 months ago,"This is a small vegan junk food bar. I didn’t like the sumo platter (2/5), but the burger was good (5/5). Prices are a bit high (3/5) and the French fries are really dry. Go to the larger VJFB in the cities, much more cozy and a bigger range of food choices."
3,Vegan Junk Food Bar, 4 stars ,7 months ago,"I went there to discover the concept, it is indeed a vegan junk food place. Colors are funny although a bit too unnatural to me. Food was good and portions are pretty big. I had hard times finishing my fries. For those who enjoy junk/fast food, it is the place to be!"
4,Vegan Junk Food Bar, 5 stars ,6 months ago,"I ordered the Notorious Sumo burger which include Vegi  beef and chicken , so tasty and delecius. Also the shrimp taste was amazing. I strongly recommend recommend this place for the vegetarian food lovers"
5,Vegan Junk Food Bar, 5 stars ,a month ago,Excellent vegan food. A lot of saitan (gluten) based products. The service was super fast and we enjoyed our meal. …
6,Vegan Junk Food Bar, 5 stars ,6 months ago,"I loved this hamburger a lot. This restaurant offers vegetarian beef and chicken, I tried the beef and it was very tasty.
The staff were very nice and welcoming and the place was very clean …"
7,Vegan Junk Food Bar, 5 stars ,6 months ago,It was amazing and so delicious. Burger was very tasty and waiters very polite and friendly .I recommend you to eating here every week.
8,Vegan Junk Food Bar, 5 stars ,2 years ago,"This place was incredible - we came here every day of our 3 day trip to Amsterdam and never left disappointed. The Daddy McChik'n burger we had during our first visit was quite possibly the best burger I've had, I definitely recommend it. …"
9,Vegan Junk Food Bar, 5 stars ,5 months ago,"Great vegan food and good service, be sure to ask for sweet potato fries"
10,Vegan Junk Food Bar, 2 stars ,2 months ago,"Ordered take away today and was deeply disappointed. Some locations of Vegan Junk Food are just not okay.
I don't even know why I keep trying, since there are a LOT of vegan places in …"
11,Vegan Junk Food Bar, 4 stars ,8 months ago,"Great place for vegans or even for non vegan people. The only negative thing about this restaurant is, that it is a bit expensive. Other than that we had a good time and enjoyed the vegan junk food 🍔"
12,Vegan Junk Food Bar, 5 stars ,3 years ago,Really enjoyed eating here. The menu is quirky and very tasty. With our group of five we had a good selection. And the omnivores enjoyed their food as much as the vegetarians. …
13,Vegan Junk Food Bar, 5 stars ,6 months ago,Great atmosphere due to the 2D effects. Nice staff and most important: amazing vegan food! We both had loaded fries and were amazed by the well-seasoned meat substitute. They do not serve alcohol but there are enough other places in Amsterdam where you can get alcohol after enjoying the great food at Vegan Junk Food Bar.
14,Vegan Junk Food Bar, 4 stars ,2 years ago,"The staff was so welcoming, and the food is great. No other words to describe it.
Even though im not vegan myself, i loved the burgers here and I couldn’t taste a …"
