,Name,Review Rate,Review Time,Review Text
0,Venster 33, 5 stars ,7 months ago,Small but nice selection of beers and delicious snacks. Staff are really friendly and accommodating. They currently seem to stay open longer than most other restaurants/bars in the area so that's a big plus!
1,Venster 33, 5 stars ,a month ago,There's more to love than just the Moscow mules and loaded friends at this location. A great place to relax and enjoy the scenery of this great country.
2,Venster 33, 2 stars ,4 months ago,Venster used to be a nice place I liked coming to. Unfortunately it seems it’s owned/managed by just another mediocre Amsterdam (= no service) management. I say this because I don’t want to blame the staff who works hard and does their …
3,Venster 33, 3 stars ,3 years ago,"Nice coffee. Very friendly staff.
Like other reviewers stated it is very noisy inside. It is ok to have a talk but don’t expect a silent diner / lunch. …"
4,Venster 33, 3 stars ,3 years ago,"Big place with alot of big tables. The reason we came here was because we were a big group (6 ppl),  the staff was very nice and helpful buttt:
The menu is poor and really pricey (19 Euro for a burger??) …"
5,Venster 33, 3 stars ,2 years ago,"Quite good cuisine for reasonable price. Serve daily special dish. Food at good quality, high variety of starters and main dishes, open cuisine. Minus two stars because I recognised a cook not washing his hands after toilet. Service excellent."
6,Venster 33, 4 stars ,5 months ago,Nice place with many locals. They have a large terrace with a regular selection of beers and not expensive food
7,Venster 33, 4 stars ,6 months ago,"Overall vibe is nice, cocktails are allright, waiters are kind, however the service is rather on the slow side. It’s nice to stop by for some drinks and chill after work"
8,Venster 33, 3 stars ,7 months ago,"Service is slow and unprofessional. We waited for like 15 minutes to be served. Nobody came to take the order, so we placed the order through the QR-code, 2 coffees took them 15 minutes to make. Half of my coffee was spilled out. Overall it is a good and chill place in de Pijp."
9,Venster 33, 2 stars ,2 years ago,"The service was great, ambience is nice, appetizers were good but the main entrees were not great."
10,Venster 33, 4 stars ,4 years ago,"Nice spot for an outdoor lunch in a busy square. Staff friendly & prompt, of course spoke English. Good selection of open faced sandwiches. Excellent homemade ice tea, not too sweet."
11,Venster 33, 2 stars ,8 months ago,"This place used to be great, 4-5 years ago. Unfortunately this place became the 13 in a dozen. Food is mediocre, service pretty good. Seems to have lost its charm like many other popular restaurants in Amsterdam"
12,Venster 33, 5 stars ,3 years ago,"Simple menu with toasties, burgers and salads. The food was certainly a cut above average and they were more interesting than normal (not just ham/cheese between two slices of plain white bread!) and the portions were large.  We were looked after by friendly staff and it wasn’t particularly expensive."
13,Venster 33, 5 stars ,9 months ago,excellent) and very good (quick and professional) service. Cocktails are great too. Not particularly expensive too. And the place is in a lovely dynamic neighborhood. We had a great time!
14,Venster 33, 4 stars ,7 months ago,"Great Spot, Avoid During Weekends.
I love to go to the Venster, great vibe, great staff. Avoid the weekends because it gets too crowded and it's almost impossible to get a table."
15,Venster 33, 5 stars ,6 months ago,"Very good Venster Burger. It's a whole dinner! Very nice and young people running the business, very good attention to the tourist. I recommend it."
16,Venster 33, 5 stars ,3 years ago,"Very nice Ambiente, lovely and quiet restaurant. The food is well prepared."
17,Venster 33, 5 stars ,3 years ago,Great location and atmosphere and the service was excellent. The sandwiches are not actually sandwiches but don't be put off they taste amazing
18,Venster 33, 5 stars ,6 months ago,"Amazing food, best strawberry daiquiris I've had in a while, the staff is amazing!!! 11/10"
19,Venster 33, 5 stars ,4 months ago,Very decent food with a great selection of beers.
20,Venster 33, 5 stars ,3 years ago,Good cocktail selection. Nice location and friendly service. Big outside sitting area. Nice place for hanging out !!
21,Venster 33, 2 stars ,5 months ago,I've just found the rudest waitress in Amsterdam! And she works here! Congratulations! Won't come back
22,Venster 33, 5 stars ,5 months ago,"Nice place, especially if it's quiet during the day"
23,Venster 33, 4 stars ,a week ago,Nice cafe in the middle of pijp.
24,Venster 33, 4 stars ,2 years ago,"Loved their fresh teas... I had both a ginger and a mint over my stay.

Overall the food I saw served looked exquisite. I had the goat cheese sandwich, which is served open face and eaten like a salad. It was excellent!"
25,Venster 33, 5 stars ,4 months ago,Nice staff and great outside sitting area.
26,Venster 33, 4 stars ,8 months ago,A busy trendy dutch cafe!
27,Venster 33, 2 stars ,4 years ago,"The Spinach pasta is really awful, too dry to eat and the shrimp croquette is also not good"
28,Venster 33, 3 stars ,5 months ago,Nice place but the service could definitely be better
29,Venster 33, 5 stars ,9 months ago,Stopped in for a warm up and a hot beverage. Got both quick and easy. Mint tea steeped mint leaves. Dank u wel!
30,Venster 33, 5 stars ,3 months ago,"Great bar, excellent food"
31,Venster 33, 4 stars ,a year ago,They serve very good cocktails and finger-food. But the staff could have been a bit more friendly. Our last order of the night was forgotten.
32,Venster 33, 4 stars ,3 years ago,"Great pick up bar but you dont hear the music very well and it's quite loud with everyone talking. If you like crowded hip places then this place is for you, I enjoy it very much. If you prefer dancing then this isn't the place. It's more …"
33,Venster 33, 1 star ,4 months ago,"The service Is unbelievable rude, but in line with other places in the area"
34,Venster 33, 5 stars ,8 months ago,We loved the little brownie bites witch came with our tea and the guy brought us a generous plate for free!
35,Venster 33, 5 stars ,2 years ago,"Went here two days ago, and I really liked the atmosphere and good vibes of this place. Actually when we arrived we just walked by, because it was pretty crowded. But after a short walk through the Pijp we decided to come back. The service …"
