,Name,Review Rate,Review Time,Review Text
0,Vishandel Rinkoen, 5 stars ,4 years ago,Great place to buy and eat fresh fish and seafood at a very reasonable price
1,Vishandel Rinkoen, 5 stars ,3 years ago,Tasty food I ever had it...they serve sea food...best one was kalamari
2,Vishandel Rinkoen, 5 stars ,2 years ago,"One of the best places to find and wat sea food, a family bussinness !"
3,Vishandel Rinkoen, 5 stars ,2 years ago,"Tasty and cheap soup here
And very pleasant habibi"
4,Vishandel Rinkoen, 5 stars ,2 years ago,Good calamari at a very reasonable price
5,Vishandel Rinkoen, 5 stars ,4 years ago,The seafood platter was delicious and reasonably priced.
6,Vishandel Rinkoen, 5 stars ,3 years ago,"Very basic place, but really good!"
7,Vishandel Rinkoen, 5 stars ,2 years ago,Amazing fish! The best in Amsterdam
8,Vishandel Rinkoen, 1 star ,5 years ago,Junk fish that spoiled overnight. Waste of money.
9,Vishandel Rinkoen, 5 stars ,3 years ago,Great Fish
10,Vishandel Rinkoen, 4 stars ,4 years ago,lots of choices :)
11,Vishandel Rinkoen, 5 stars ,3 years ago,(Translated by Google) Eat there today. If you want to eat without fuss this is a great location. Local residents come there for their food. It is a Moroccan fishmonger. We had this dish and another salad and 3 drinks for € 25.00. I'll …
12,Vishandel Rinkoen, 5 stars ,2 years ago,"(Translated by Google) Vishandel Rinkoen has become Master Fisher. A great upgrade. Quality remains very good but has been transformed from fishmongers to a great restaurant. Cozy and very correct service. Soup, bread and fish and related …"
13,Vishandel Rinkoen, 5 stars ,3 years ago,"(Translated by Google) Definitely recommended, top service and immediately the feeling that you are at home. Every question or request is considered along with something you do not care about. Top tent definitely recommended, dear people …"
14,Vishandel Rinkoen, 5 stars ,3 years ago,"(Translated by Google) Delicious seafood platter, wide choice and well priced. More often fetched fish here and must say always satisfied …"
15,Vishandel Rinkoen, 5 stars ,a year ago,"(Translated by Google) Good service and nice people plus quality
Thank you …"
16,Vishandel Rinkoen, 5 stars ,3 years ago,(Translated by Google) They are great! Big orders made and everything on time! Delicious!! …
17,Vishandel Rinkoen, 5 stars ,4 years ago,(Translated by Google) A good service and nice people plus quality is good just TOP …
18,Vishandel Rinkoen, 4 stars ,4 years ago,"(Translated by Google) Great food, well worth it.

(Original) …"
19,Vishandel Rinkoen, 5 stars ,2 years ago,"(Translated by Google) Fantastic there for your money. Friendly service

(Original) …"
