,Name,Review Rate,Review Time,Review Text
0,Vrankrijk, 5 stars ,2 years ago,When I was there it still had a snake mural. It was an awesome punk bar. Saw a vegan band from Poland play there. Got into a fight with a squat living lesbian there. We later partied. Good times.
1,Vrankrijk, 5 stars ,2 years ago,"Vrankrijk is a nice cheap prices drink and a contribution entry to punk nights and music performances on queer nights Wednesday. A beer is only 1,60€ and a coke 1€ where do you find those prices now a days"
2,Vrankrijk, 5 stars ,3 months ago,My favorite place in Amsterdam
3,Vrankrijk, 5 stars ,4 years ago,"(Former) squat bar with theme parties from punk to underground hip-hop to queer nights. Cheap beer and loads of cheer, right in the city centre!"
4,Vrankrijk, 4 stars ,3 years ago,"Bring your friends, temporarily music stage closed. When repaired great concerts for free contributions."
5,Vrankrijk, 4 stars ,3 years ago,It's incredible literally the friendliest service I've gotten while I was there.. awesome people and atmosphere.. thank you for having me
6,Vrankrijk, 5 stars ,3 years ago,"Cool bands on stage cheap drinks smoking inside alternative bar..love it!!!!..punk, metal,..."
7,Vrankrijk, 5 stars ,3 years ago,Do you feel yourself weird? That’s the place. I loved it. Photos are forbidden and also asswholes 😅
8,Vrankrijk, 5 stars ,3 years ago,"Lovely place and great , friendly ."
9,Vrankrijk, 5 stars ,3 years ago,"Concerts often, great (local) bands, cheap drinks, kind people"
10,Vrankrijk, 5 stars ,3 years ago,"Social venue, with great music and affordable beer, must see in amsterdam!"
11,Vrankrijk, 5 stars ,3 years ago,Very nice music and other shows!!! Plus the beer is good!!!!
12,Vrankrijk, 5 stars ,2 years ago,Everybody is welcome and they like to keep it that way
13,Vrankrijk, 5 stars ,3 years ago,"Alternative plaxe, cash only. Great atmosphere."
14,Vrankrijk, 4 stars ,3 years ago,Love it because everybody is nobody. All leverage.
15,Vrankrijk, 5 stars ,3 years ago,One of the few squats left in Amsterdam
16,Vrankrijk, 5 stars ,3 years ago,It is like the Hungarian vittula club :D
17,Vrankrijk, 5 stars ,3 years ago,best queer place in amsterdam
18,Vrankrijk, 5 stars ,2 years ago,Best queer place In Ams
19,Vrankrijk, 5 stars ,2 years ago,Great atmosphere
20,Vrankrijk, 5 stars ,2 years ago,Good
21,Vrankrijk, 5 stars ,3 years ago,Top
22,Vrankrijk, 4 stars ,2 years ago,Always chill
23,Vrankrijk, 5 stars ,2 years ago,Support
24,Vrankrijk, 5 stars ,3 years ago,Super cool...
25,Vrankrijk, 5 stars ,a year ago,😍😍😍
26,Vrankrijk, 5 stars ,3 years ago,Love this place
27,Vrankrijk, 5 stars ,3 years ago,"(Translated by Google) Squat from the eighties bought by the squatters. Has a considerable history, but can no longer be compared with ""then"" '. Energetic atmosphere and good bands and music. …"
28,Vrankrijk, 5 stars ,2 years ago,"(Translated by Google) Always nice, always nice. One of the cheapest beers in Amsterdam that are also tasty. Definitely worth a visit during the many events, or vegan voku (on donation) or during a concert. …"
29,Vrankrijk, 5 stars ,6 months ago,😎
30,Vrankrijk, 4 stars ,2 years ago,"(Translated by Google) The last occupied house in Amsterdam, it has now been bought by the occupiers.Amster's response to the BLITZ HOUSE …"
31,Vrankrijk, 4 stars ,3 years ago,"(Translated by Google) Affordable food and drink, anarchic and what great posters you can see …"
32,Vrankrijk, 5 stars ,3 years ago,(Translated by Google) Cool party location with an unforgettable and impressive atmosphere. …
33,Vrankrijk, 5 stars ,3 years ago,"(Translated by Google) What will be Amsterdam without Vrankrijk?

(Original) …"
34,Vrankrijk, 3 stars ,2 years ago,"(Translated by Google) Very well

(Original)
Heel goed"
35,Vrankrijk, 5 stars ,3 years ago,
36,Vrankrijk, 5 stars ,10 months ago,
37,Vrankrijk, 2 stars ,a year ago,
38,Vrankrijk, 5 stars ,a year ago,
39,Vrankrijk, 5 stars ,3 years ago,
40,Vrankrijk, 5 stars ,2 years ago,
41,Vrankrijk, 3 stars ,2 years ago,
42,Vrankrijk, 2 stars ,a year ago,
43,Vrankrijk, 5 stars ,2 years ago,
44,Vrankrijk, 5 stars ,3 years ago,
45,Vrankrijk, 5 stars ,2 years ago,
46,Vrankrijk, 5 stars ,2 years ago,
47,Vrankrijk, 5 stars ,4 years ago,
48,Vrankrijk, 5 stars ,3 years ago,
49,Vrankrijk, 5 stars ,2 years ago,
50,Vrankrijk, 5 stars ,2 years ago,
51,Vrankrijk, 5 stars ,3 years ago,
52,Vrankrijk, 1 star ,2 years ago,
53,Vrankrijk, 4 stars ,2 years ago,
54,Vrankrijk, 5 stars ,a year ago,
55,Vrankrijk, 5 stars ,3 years ago,
56,Vrankrijk, 5 stars ,2 years ago,
57,Vrankrijk, 5 stars ,3 years ago,
58,Vrankrijk, 4 stars ,a year ago,
59,Vrankrijk, 5 stars ,2 years ago,
