,Name,Review Rate,Review Time,Review Text
0,Warung Barokah, 5 stars ,2 months ago,"Someone has recommended this warung to me in Facebook. He always satisfied whatever food he eats, he said.
Well, well, try me. …"
1,Warung Barokah, 5 stars ,5 months ago,"Delicious Halal Soul & Street Food from Indonesia, brought to you by Sri. We tried her Mie Bakso Soup with chewy beefballs and aromatic broth, and a plate of Tahu Ketoprak (my favorite 'less is more' streetfood) with tofu, soybean sprouts, peanut sauce and krupuk."
2,Warung Barokah, 5 stars ,4 months ago,"Great food, friendly staf, nice ambience, perfect for Indonesian dishes! Definitely will go back again!"
3,Warung Barokah, 5 stars ,7 months ago,"Excellent service & yummy foods!! Mostly all foods at Warung Barokah are tasty, esp this rujak cingur! The ambience brought us to homeland Indonesia, the owner tante Sri along with the staffs are so friendly!"
4,Warung Barokah, 5 stars ,6 months ago,"Authentic food, ketoprak and bakso beranak tasted just like in home country. Friendly ladies at the counter."
5,Warung Barokah, 5 stars ,3 weeks ago,"If you are craving for some Indonesian (javanese) dish that are more than famous nasi goreng or sate, then Warung Barokah would be a great choice. This is the real warung, no joking. There is Ibu Sri as the chef and owner, with her strong …"
6,Warung Barokah, 5 stars ,3 months ago,"I love how thematic and specialized Indo food in NL is. This one specializes in East Java food. All of the dishes I tried were flavorful, can be really spicy if you asked - hence i went here everyday during my stay in Ams. Different peanut …"
7,Warung Barokah, 5 stars ,2 years ago,"Hidden gem for foodies in Amsterdam. The price is surprisingly very affordable. The different between most of Indonesian restaurants in Amsterdam, this restaurant offer you a food stall instead of rice table with side dishes. Thus, you can choose your rice / noodle and side dishes that you like instead of having them all on the table."
8,Warung Barokah, 5 stars ,3 years ago,Ohhhhh my Indonesia corner! Especially East Java food! Finally I eat Rujak Cingur and Bakso after 6 month ... pedasss juaraaa! …
9,Warung Barokah, 5 stars ,4 months ago,"Great service and indonesian food! Especially the peanut sauce and cookies.
Loved the hospitality of owner/cook."
10,Warung Barokah, 4 stars ,4 months ago,"One of the original 'warung food"" flavors in Amsterdam. The place was tight, that makes it warmer."
