,Name,Review Rate,Review Time,Review Text
0,Warung Celebes, 5 stars ,4 years ago,"Great authentic Indonesian food, for a fair price. I often order the Rijst tafel via Uber eats. Great value for money!"
1,Warung Celebes, 2 stars ,3 years ago,"Looks much better than it tastes. How do you manage to cook mihoen badly? They managed!
Work quite near so went for a take away before work. The 2 cute, giggly girls …"
2,Warung Celebes, 5 stars ,4 months ago,"All the vegatables nice and fresh. Rija Rija and Rendang fresh, tender and juicy. Really friendly staff as well."
3,Warung Celebes, 2 stars ,a year ago,"They don't like you back, and they are quite greedy. After years of coming there, no smile, just harsh service, and since today even a rude remark by the youngest one. She has to learn about service. I'll give them another chance but they really have to work on their service. It's not a happy lovely bunch, to say the least."
4,Warung Celebes, 4 stars ,7 years ago,"Being accustomed to Indonesian Take-Aways, this one never slipped out of my mind and I have been here many times. Whilst, generally speaking, the quality and the variety of food are above average; the meatballs in Bali sauce and the …"
5,Warung Celebes, 1 star ,3 years ago,"Don’t bother.

Ordered on foodora, warung got our order wrong, we ordered soup and got sate. …"
6,Warung Celebes, 5 stars ,9 months ago,"It’s delicious and worth the price, and the lady is really friendly"
7,Warung Celebes, 2 stars ,3 years ago,"Went to the shop
Women not friendly or helpful.
They don't discount vegetarian. …"
8,Warung Celebes, 5 stars ,2 years ago,One of the best Indonesian food in town. my favorite is ayam kuluyuk and tempe pete.
9,Warung Celebes, 5 stars ,a year ago,Best indonesian we know! Get the aubergine in peanut sauce!
10,Warung Celebes, 4 stars ,2 years ago,Had a good-sized Indonesian takeaway with a variety of flavors
11,Warung Celebes, 5 stars ,4 years ago,"I've been to a lot of Indonesian tokos, this one is my favorite.. Quality food"
12,Warung Celebes, 5 stars ,7 months ago,Incredible!
13,Warung Celebes, 5 stars ,4 months ago,Tasty foods
14,Warung Celebes, 5 stars ,4 years ago,Great taste!
15,Warung Celebes, 5 stars ,a year ago,"(Translated by Google) Super tasty, very refined Indonesian flavors! I love the yellow rice and spicy aubergine but, honestly, everything is delicious. Very nice people. Recommended! …"
16,Warung Celebes, 3 stars ,a year ago,"(Translated by Google) Got a meal this week and it was tasty. Not quite my taste as I am used to Indonesian, but tastes differ. …"
17,Warung Celebes, 4 stars ,3 months ago,"(Translated by Google) Very tasty and super nice ladies!

(Original) …"
18,Warung Celebes, 2 stars ,7 years ago,"(Translated by Google) Aug 10, 2014: Sometimes you feel the need to adjust a review. I have that today. Everything below is true. But ... I come here at least twice a week. Because I try to eat low carb, I always leave out the rice. The …"
19,Warung Celebes, 5 stars ,a year ago,"(Translated by Google) My about neighborhoods 👌. Enjoy my favorite combination every time. Bami, tempeh, sambal beans, spicy chicken, coconut beef, egg and a satay. Fat assailant 🥳. …"
20,Warung Celebes, 4 stars ,2 years ago,(Translated by Google) Toppie tasted like old Javanese it was delicious let's say 90% authentic so you hardly get better in NL …
21,Warung Celebes, 5 stars ,4 months ago,"(Translated by Google) Yummy!

(Original)
Lekker!"
22,Warung Celebes, 5 stars ,4 years ago,(Translated by Google) Delicious to eat there. Nice varied selection of Indonesian dishes. …
23,Warung Celebes, 5 stars ,3 years ago,(Translated by Google) Have been here a lot of times but never had complaints about the food. …
24,Warung Celebes, 4 stars ,4 months ago,"(Translated by Google) Delicious

(Original)
Heerlijk"
25,Warung Celebes, 4 stars ,5 years ago,(Translated by Google) I miss warung celebes very much .... I was working at this warung so long time ago …
26,Warung Celebes, 5 stars ,4 years ago,(Translated by Google) Delicious food. Large portions. Will definitely come back. …
27,Warung Celebes, 4 stars ,2 years ago,"(Translated by Google) Come here almost weekly. Good take out.

(Original) …"
28,Warung Celebes, 5 stars ,a year ago,"(Translated by Google) The food tastes very good

(Original)
Het eten smaakt erg goed"
29,Warung Celebes, 5 stars ,2 years ago,"(Translated by Google) Fine take out food

(Original)
Prima afhaal eten"
30,Warung Celebes, 5 stars ,3 weeks ago,
31,Warung Celebes, 5 stars ,a year ago,
32,Warung Celebes, 5 stars ,2 years ago,
33,Warung Celebes, 1 star ,3 years ago,
34,Warung Celebes, 5 stars ,6 months ago,
35,Warung Celebes, 5 stars ,6 months ago,
36,Warung Celebes, 5 stars ,2 years ago,
37,Warung Celebes, 5 stars ,4 years ago,
38,Warung Celebes, 1 star ,3 years ago,
39,Warung Celebes, 5 stars ,9 months ago,
