,Name,Review Rate,Review Time,Review Text
0,Warung Spang Makandra III, 5 stars ,2 years ago,"First time eating Surinamese food and for my good luck I picked a great place! Your recommendations are well deserved! I will definitely come back again, when I'm in Amsterdam. The peanut sauce is very nice and the special dish was filling and tasty!"
1,Warung Spang Makandra III, 5 stars ,2 years ago,"wow! simply amazing surprise! the food was sooo good, authentic and honest :) and the portions were honest! and the prices just right for the people who are a bit conscious about economics;) I highly recommend to any foodie hungry for exotic experiences and traveling with their taste palates;)"
2,Warung Spang Makandra III, 5 stars ,2 years ago,Warung Spang Makandra is the best place to have a good portion of Bami /Nasi / Sate /.. actually their entire menu is deliciously and extraordinarily well prepared!! Anything you order is just seriously damn good!! Its a very nice and …
3,Warung Spang Makandra III, 5 stars ,4 years ago,"Great food, better staff. Children-friendly, too."
4,Warung Spang Makandra III, 5 stars ,2 years ago,"One of the best Suriname eateries in the city.
Roty and Madame Janete sambal is top"
5,Warung Spang Makandra III, 5 stars ,2 years ago,Amazing little humble place for great food!
6,Warung Spang Makandra III, 5 stars ,3 years ago,"Man this place is great. Food is authentic and delicious. With a limited number of seats it can get pretty full, but it's never a long wait and if you prefer eating in the comfort of your own home, they are really quick. The staff is friendly and quick to serve. Did I mention how good the food is though?"
7,Warung Spang Makandra III, 5 stars ,2 years ago,"Amazing food both in quality and quantity!! The service too, everybody was really kind. The only ""negative"" thing I could say is that it could be a little cleaner. But 5 stars for sure!"
8,Warung Spang Makandra III, 5 stars ,2 years ago,"Had the roti chicken / lamb combo at the Boerhaaveplein 3 location. It was amazing, and the ginger beer nice and spicy. The service was very friendly, prompt, and patient. And the food very inexpensive."
9,Warung Spang Makandra III, 4 stars ,2 years ago,"Great food with friendly service. It's a shame they still use so much plastic (straws, plastic bottles for home made lemonade, ...). Very reasonable prices."
10,Warung Spang Makandra III, 5 stars ,3 years ago,"Came here with 4 of my friends from London as I wanted them to experience Surinamese food. Our waitress was lovely, the food was amazing, huge portions and so affordable! We left soo full... bakabana with peanut sauce is one of God’s …"
11,Warung Spang Makandra III, 5 stars ,3 years ago,"Great food, friendly service, affordable prices, , can't fault the place. Came here for a 20th Anniversary trip from London and never tried Surinamese food but my wife and I will definitely be back."
12,Warung Spang Makandra III, 5 stars ,3 years ago,Great big portions of tasty food at a very affordable price. Don’t expect speedy service if  you eat in. The dine-in experience in Amsterdam is a less hurried experience overall
13,Warung Spang Makandra III, 4 stars ,2 years ago,"From all the spang makandra restaurants this one is the best. The dishes have lots of flavor and are not dry, which you sometimes have at other indonesion places. The wait is also not too long. …"
14,Warung Spang Makandra III, 5 stars ,2 years ago,Food was amazing and affordable. Not a tourist trap. Would highly recommend for anyone looking for a sizeable serving of Southeastern Asian food.
15,Warung Spang Makandra III, 5 stars ,2 years ago,"I definitely recommend this place. Nice people, amazing food (good quantity too) and good prices (pretty cheap compared to the rest of Amsterdam)"
