,Name,Review Rate,Review Time,Review Text
0,Warung Swietie Lelydorp, 5 stars ,2 years ago,"Cheap, really good, food portions, actual spicy food and topping provided (!!!!) and cute indoor and outdoor seating in a really chill area of Amsterdam that’s residential yet, busy with a lot to offer. I’ll be back! …"
1,Warung Swietie Lelydorp, 4 stars ,2 years ago,"Best chicken soup ( and good spicy sauce to add) great for cold wet days which are often in Amsterdam
Place is a hole in the wall fyi with great food"
2,Warung Swietie Lelydorp, 5 stars ,8 months ago,Best Place in Town :)
3,Warung Swietie Lelydorp, 5 stars ,a year ago,"Best Saoto soup in Amsterdam,big portion,very good price and very good service.I love it"
4,Warung Swietie Lelydorp, 5 stars ,2 years ago,Best saoto soup in town. The portion sate and roti roll is also very nice. The staff is super friendly!
5,Warung Swietie Lelydorp, 5 stars ,3 years ago,Reasonably priced warung (meaning eat café) in the Pijp area. Very tasty traditional and Surinamese food.
6,Warung Swietie Lelydorp, 5 stars ,2 years ago,Great saoto soup. Their bacabana with peanut sauce remains a favorite
7,Warung Swietie Lelydorp, 5 stars ,a year ago,Cheap but tasty Surinamese dishes.
8,Warung Swietie Lelydorp, 4 stars ,2 years ago,Good food and fast. Great place for lunch.
9,Warung Swietie Lelydorp, 4 stars ,3 years ago,Small place the food is top ! I can recommend.
10,Warung Swietie Lelydorp, 5 stars ,2 years ago,best surinam food place ever.. sauto.. bakabana telo  chicken sate
11,Warung Swietie Lelydorp, 5 stars ,4 years ago,"Really tasty, Love The orange Chili sauce"
12,Warung Swietie Lelydorp, 5 stars ,4 days ago,A great experience. I would recommend this place to every person who is visiting Amsterdam. God bless
13,Warung Swietie Lelydorp, 1 star ,2 years ago,"(Translated by Google) Today at warung lelydorp telo bakkeljauw, baka bana and spring rolls. NOT TO EAT. …"
14,Warung Swietie Lelydorp, 2 stars ,9 months ago,"(Translated by Google) Unfortunately I have to change my good review, the food has deteriorated badly. Today I ordered a telo with cod, the cassava was not fresh and not at all crunchy and the baka bana with satay sauce was also not what I …"
15,Warung Swietie Lelydorp, 5 stars ,8 months ago,"(Translated by Google) Delicious food and soto is killing me

(Original) …"
16,Warung Swietie Lelydorp, 5 stars ,4 months ago,"(Translated by Google) Top food top service people are great

(Original) …"
17,Warung Swietie Lelydorp, 5 stars ,a year ago,"(Translated by Google) Very good Surinamese cooking experience. Good price. Simple but sufficient place. I recommend the soup, fried banana with peanut sauce. Eye that itches a little. …"
