,Name,Review Rate,Review Time,Review Text
0,Water en Brood, 5 stars ,3 weeks ago,"I don't know what was better, the lovely and friendly staff, the amazing FLAVOURFUL food or the delicious drinks. We had the Trinidad and Tobago tasting platter, the T&T style chicken and wafffles and Caribean Ice Tea. My absolute favoriet was the Maxi Linder cocktail. Highly recommend this fantastic place!"
1,Water en Brood, 4 stars ,a month ago,"Super friendly staff..very warm and welcoming. The drinks were tasty, I got the passion fruit lemonade and a cappuccino.  The chicken and waffles OG was also good. My favorite thing about this restaurant was the staff."
2,Water en Brood, 4 stars ,2 years ago,"The restaurant was very nice and the decor was very inviting. Our server was extremely nice and welcoming. My food was pretty good, but my friend who ordered the chicken and waffles had to send her chicken back 2 times because it was not …"
3,Water en Brood, 5 stars ,3 months ago,"We had very good brunch here on saturday, really nice waitress, super tasty chicken and waffles (can heavily recommend), the eggs where fluffy and delicious too. Coffee was also very nice, it's often too acidic, not here, here it's nice and nutty :)"
4,Water en Brood, 5 stars ,a year ago,"This place is amazing with good vibes music and atmosphere! I definitely love it! The food are made with a big heart, and people there are super friendly with customers! I'll going back there for sure indeed! Xxx"
5,Water en Brood, 1 star ,5 months ago,"We sat outside and ordered and paid in advance using the QR code. The place was not busy, but we had to wait 15 minutes before we asked when we can expect our coffee, and asked to ensure that the our food reservation is not forgotten as …"
6,Water en Brood, 4 stars ,2 years ago,"Delicious breakfast, nothing to complain. Would definitely recommend!
Only thing that was a bit disappointing, was the staff. We were a big group of 15 people and we had made a reservation in advance. …"
7,Water en Brood, 5 stars ,4 years ago,"these were by far the best American pancakes I've ever eaten! the omelette was pretty good too. nice and cosy place, service super friendly. overall highly recommend"
8,Water en Brood, 5 stars ,3 years ago,Exquisite !! Awesome staff and very good food. Definitely recommended for breakfast or lunch. …
9,Water en Brood, 5 stars ,2 years ago,Used their online ordering system at the table (worked quickly and seemlessly) for a delicious shredded bacalao/cod sandwich and iced coffee. Both were perfect.
10,Water en Brood, 5 stars ,4 months ago,Best fried chicken I've had since coming to Europe. The place is small and fills up quickly upon opening - service is a bit slow but worth it.
