,Name,Review Rate,Review Time,Review Text
0,Whiskycaf√© L&B, 5 stars ,4 months ago,"Best place for whisky in Amsterdam by far! Explore their whisky menus or ask for the book to browse their extensive selection. Very cozy small bar, always check through both entrance doors if they might have a spot for you somewhere. There's no seating upstairs, just the bathrooms."
1,Whiskycaf√© L&B, 5 stars ,5 months ago,Very knowledgeable bar staff. We had the tour of Scotland tasting tray. I learned many things. I also enjoyed the whiskeys. Would go again.
2,Whiskycaf√© L&B, 5 stars ,4 months ago,So many whiskeys to choose from. Very nice atmosphere helpful bartender. Totally recommend this place I you like whiskey.
3,Whiskycaf√© L&B, 4 stars ,3 months ago,"Great range of whiskies, but not all currently available. Cozy pub with great atmosphere!"
4,Whiskycaf√© L&B, 3 stars ,2 years ago,"A cozy, wonderful hole in the wall with a superb selection. Tasting menus were worth the money. Knowledgeable staff. No menu of their entire selection (it would literally be the encyclopedia) so beginners must ask for help! but if you know …"
5,Whiskycaf√© L&B, 5 stars ,4 months ago,"Great vibes, bartenders really know their whiskey too. Perfect place to warm up during a rainy evening"
6,Whiskycaf√© L&B, 4 stars ,2 years ago,"The two bartenders kept an eye on us as soon as we walked because they probably sensed we were a little too drunk. We broke a couple of glasses later on and he said ""You were doing so good guys!"" lol, and then were a little hostile when we were paying. Other than that the bar is pretty nice and nice music."
7,Whiskycaf√© L&B, 5 stars ,2 years ago,Excellent collection of the rarest Whiskeys. Just explain your preferences and you will be assured to get the best from the collection.
8,Whiskycaf√© L&B, 5 stars ,3 years ago,Very nice place. Lots of Choices with regards to whiskey. More than 200 different choices. I had a wonderful evening. This is definitely a  must do when you are in Amsterdam.
9,Whiskycaf√© L&B, 2 stars ,5 years ago,"Beautiful small but cosy bar, with vast offer of whisk(e)y's from around the world. Fair pricing and awesome tunes that made the drams taste better. Though...
What was supposed to be a truly unique experience was ruined by an arrogant and …"
10,Whiskycaf√© L&B, 4 stars ,3 years ago,Nice and cozy place. Unfortunately whisky and other spirits menu hasn't been updated for a long time and it ain't easy to search for one by yourself (place is small and busy). Prices are reasonable. Minus one star for missing items for more demanding whisky connoisseurs.
11,Whiskycaf√© L&B, 5 stars ,4 years ago,"Beautiful whisky bar in the heart of Amsterdam. Cosy atmosphere, fabulous single malts and knowledgeable staff. All you need for a perfect evening."
12,Whiskycaf√© L&B, 5 stars ,2 years ago,"Nice friendly people with a tremendously great assortment of whiskeys. You can also just get a beer over here, if you're not that into whiskey as your mates are😉"
13,Whiskycaf√© L&B, 5 stars ,2 years ago,Perfect Spot to taste the whiskeys all around the world. We tried the Scotland menus and liked most of them. Should try!
14,Whiskycaf√© L&B, 5 stars ,2 years ago,A wonderful place to have a few drams of many hundreds of bottles. Bartender with knowledge and passion for the spirits. My favourite Bar in town.
15,Whiskycaf√© L&B, 5 stars ,a year ago,Great collection of whisk(e)y about 2800
16,Whiskycaf√© L&B, 5 stars ,3 years ago,The best whiskey collection you can ever find.
17,Whiskycaf√© L&B, 5 stars ,3 years ago,Really a great place to taste whisky ! I don't know if there is other place like this one in Amsterdam... but this one is definitly a good place to be !
18,Whiskycaf√© L&B, 5 stars ,2 years ago,Friendly knowledgeable bartender. Unbelievable options and great vibe inside.
19,Whiskycaf√© L&B, 5 stars ,3 months ago,Beautiful selection of whisky and a great bar tender
20,Whiskycaf√© L&B, 5 stars ,8 months ago,Laid back dark theme pure whiskey experience is sold here. The collection is exquisite and the packing efficiency of this place is supernormal.
21,Whiskycaf√© L&B, 5 stars ,5 months ago,Amazing place. Literally they have all the Whiskeys 👍
