,Name,Review Rate,Review Time,Review Text
0,Wok on Fire, 5 stars ,a week ago,"Not an expert on Thai food, but this was super tasty! Service is super kind.
Will be back :)"
1,Wok on Fire, 1 star ,a year ago,I ordered the chicken pad Thai here once every week. This time I ordered two chicken pad Thais and they were both very dry. The noodles and the chicken were very dry. I called to tell them this happened and the guy just said “I don’t cook …
2,Wok on Fire, 5 stars ,a year ago,"Very good service, excellent food and good prices"
3,Wok on Fire, 5 stars ,3 months ago,"Really delicious , clean place and nice servers and chief"
4,Wok on Fire, 5 stars ,a year ago,Our absolute favorite!!! Having lived in Asia we were missing some really good Thai Food and thank god we found this place! Best Thai Food around! …
5,Wok on Fire, 5 stars ,a year ago,Have ordered food 4 times now since april. It is realy good and brings back the taste of Thai food of the holiday. Like having dinner in Thailand! The new owner realy gave it a quality boost. For me Best Thai food in Amsterdam!
6,Wok on Fire, 2 stars ,a year ago,"Although food is not bad, it took a long time before food got delivered (the delivery guy went to the wrong place to deliver and had me walking towards him! He didn’t bother to read the instructions on the order)"
7,Wok on Fire, 4 stars ,4 years ago,"Hot and fresh, I had the pad Thai and it was delicious. The guys were cooking up a storm and there is some seating available if you just want to enjoy your food. Nice meal after a travel day."
8,Wok on Fire, 5 stars ,6 months ago,"The food was very delicious, nice prices! I like"
9,Wok on Fire, 5 stars ,3 years ago,"A very mordern restaurant, with nice decor, you can see the chef cook all of the meals from scratch which I really liked. The food is 100% fresh . The atmosphere was very welcoming & seemed very chilled. Last but not least THE FOOD TASTES AMAAAAZZING!! Would definitely go back on my next trip to Amsterdam."
10,Wok on Fire, 1 star ,3 years ago,"I got a food poisson after eating the food. It was the only thing that I ate during the day and it caused huge issues in my stomach, making necessary to get a sick day from my job. In addition, I have called them and they were rude with the issue. Even telling me that I cannot put a complain to them, cause ¨It is not possible¨."
11,Wok on Fire, 1 star ,2 years ago,"The last two times we order, we are told that delivery is coming in 45 min and it actually comes after almost 2 hour.... Never again.
Food is quite good though. Truly a pity."
12,Wok on Fire, 5 stars ,3 years ago,"Big portions, quick service and everything is packed to go"
13,Wok on Fire, 1 star ,2 years ago,"I ordered 2 woks with the same food one was full and ther not even the half.
I call the restaurant and they told me that was not possible they did nothing. I will never ordered again from here specifically after reading other customers reviews."
14,Wok on Fire, 5 stars ,4 years ago,"Amazing food! The staff was also great, even the chef checked up to ask if I was liking it. Would recommend"
15,Wok on Fire, 5 stars ,a year ago,"Today evening i came by this Work On Fire to eat my dinner with my man, everything was delicious, also the vegetarian foods was perfect."
16,Wok on Fire, 5 stars ,a year ago,A little pricey but totally worth it. The food was delicious and the owners were super friendly.
17,Wok on Fire, 5 stars ,a year ago,"Excellent service, food was delicious and they treat you really kindly!"
18,Wok on Fire, 4 stars ,3 years ago,"Great place for Thai,  quick and the food is pretty tasty!!!  Solid 7 out of 10"
19,Wok on Fire, 5 stars ,2 years ago,Ordered from here using This bezorg. The order got here within 30 mins and the food was delicious!
20,Wok on Fire, 5 stars ,9 months ago,One of the best places to order in amsterdam 👌
21,Wok on Fire, 5 stars ,2 years ago,"Good quality food, large portions and friendly staff"
22,Wok on Fire, 5 stars ,a year ago,Tasty and authentic Thai food - delicious!
23,Wok on Fire, 5 stars ,a year ago,"Good service, very friendly staff. Good feels authentic"
24,Wok on Fire, 5 stars ,a year ago,Great food at a decent price!
25,Wok on Fire, 3 stars ,3 years ago,Food was ok. Except local credit card no other cards were accepted.
26,Wok on Fire, 5 stars ,a year ago,The best thai food in Amsterdam.
27,Wok on Fire, 4 stars ,6 years ago,Speedy people in the kitchen and friendly ones behind the register ☺🍜
28,Wok on Fire, 1 star ,3 years ago,Terrible delivery.. estimated 20-30 minutes but we are 1 hour and counting..
29,Wok on Fire, 5 stars ,a year ago,Best woke and very friendly staff .
30,Wok on Fire, 1 star ,2 years ago,no attention to customer. Unprofessional employees.
31,Wok on Fire, 5 stars ,5 years ago,Awesome quick pan-asian
32,Wok on Fire, 5 stars ,a year ago,Nice staff.
33,Wok on Fire, 5 stars ,2 years ago,Good food!!
34,Wok on Fire, 4 stars ,4 years ago,Tasty food!
35,Wok on Fire, 5 stars ,a month ago,"(Translated by Google) It started with ordering. Beautiful as the cook is centrally located behind that large wok, all ingredients next to her in bowls. And always taste and add some spices and taste again and toss again. That's how cooking …"
36,Wok on Fire, 5 stars ,a month ago,(Translated by Google) Heeeeeeerlijk! Highly recommended! My kids always order pad thai + Egg Rolls. Become a fairly fast delivery. We even visited a few times. Owner and the cook are very friendly. TO GO TO A bargain if you do not feel …
37,Wok on Fire, 1 star ,3 months ago,"(Translated by Google) This is listed as Thai King restaurant on home delivery. Waited 2.5 hours to get lukewarm, tasteless, way too greasy food. Microwaved with Lime by this tent, which makes the food bitter. Never again. …"
38,Wok on Fire, 1 star ,2 months ago,(Translated by Google) After waiting 45 minutes you get a bowl of junk that even my cat looked away from what a mess food really tasteless junk …
39,Wok on Fire, 4 stars ,a month ago,"(Translated by Google) The food is delicious and the staff is very friendly!

(Original) …"
40,Wok on Fire, 1 star ,6 months ago,(Translated by Google) Very bad food very fat real cholesterol using bomb oil is one thing but what they do is next level bah bah …
41,Wok on Fire, 5 stars ,2 weeks ago,"(Translated by Google) food was delicious just like anass

(Original) …"
42,Wok on Fire, 1 star ,a year ago,"(Translated by Google) We have only eaten there once but unfortunately found that the price / performance is a disaster for us.
14, - € for a portion of ""fried"" chicken sweet / sour served in a styrofoam …"
43,Wok on Fire, 5 stars ,2 years ago,"(Translated by Google) Very tasty, order more often with wok on fire friendly staff delivered quickly. Wonderfully warm too. Finds that instead of writing a bad revieuw quickly you first have to put down whether he or she has indicated what …"
44,Wok on Fire, 1 star ,2 years ago,"(Translated by Google) If you feel like sweating and crying, you have to order your food here. A delicious tasteless fry filled with 80 red peppers. You will howl, especially when you realize that you have deposited 15 euros for that …"
45,Wok on Fire, 5 stars ,a year ago,"(Translated by Google) Now my regular address for Thai food. The portions are more than generous, the delivery staff polite and the food very tasty. …"
46,Wok on Fire, 1 star ,3 years ago,(Translated by Google) Food was delivered quickly but it was not tasty at all. Ordered a champion soup with shrimp and it tasted like mixed coconut and perfume. It only contained 2 shrimps and a lot of chunks of champion. Never order …
47,Wok on Fire, 1 star ,4 years ago,"(Translated by Google) Food here was fairly quick, maybe a little too fast. The wok that we got was barely in any vegetable, almost just noodles. The shrimp had no taste. Even found a piece of beef in my shrimp wok. My girlfriend also got a …"
48,Wok on Fire, 5 stars ,a year ago,"(Translated by Google) It was busy but the service was quick and nice. My fried tufu, bambu, greenbeens and sauce + rice was really five star tasty! …"
49,Wok on Fire, 1 star ,8 years ago,(Translated by Google) I live 4 blocks away but it took 73 minutes for me to receive a cold wok meal. The delivery boy went a step further and got angry that I didn't want to tip him. …
50,Wok on Fire, 1 star ,4 years ago,"(Translated by Google) Bad staff and bad food more noodles than vegetables and broccoli I missed, few pieces of bell pepper and chicken that was it while I ordered 4 types of vegetables very bad first and last time !!! My advice do not …"
51,Wok on Fire, 1 star ,6 years ago,"(Translated by Google) Since wok on fire was taken over by someone else, it is no longer the same! Hard noodles !! Chicken fillet tasted like nothing, dirty and chewy! Called and told them, they still casually talk about it .... Really a …"
52,Wok on Fire, 4 stars ,3 years ago,"(Translated by Google) Fine Thai. Quickly delivered and eaten well.

(Original) …"
53,Wok on Fire, 4 stars ,5 months ago,"(Translated by Google) Good food

(Original)
Goed eten"
54,Wok on Fire, 3 stars ,4 years ago,"(Translated by Google) I find the comments about 'unfriendly staff' quite separate and cannot agree with this. The food is fine, but unfortunately little choice for vegetarians. …"
55,Wok on Fire, 1 star ,4 years ago,(Translated by Google) Worst wok ever. Has no taste at all and the fried rice looks like couscous. Also not the cheapest .. …
56,Wok on Fire, 5 stars ,4 years ago,(Translated by Google) Super quality / price ratio. Tasty Thai Vega Cashew and Vega pad Thai. Fair price and fast service. I am satisfied! …
57,Wok on Fire, 5 stars ,a year ago,(Translated by Google) The new owner serves delicious authentic Thai dishes. Recommended !! …
58,Wok on Fire, 5 stars ,a year ago,"(Translated by Google) I read very mixed reviews, but I really liked my vega, and nice staff …"
59,Wok on Fire, 2 stars ,4 years ago,(Translated by Google) I ordered a dish without peppers. Unfortunately they had put a lot of peppers in it. …
60,Wok on Fire, 5 stars ,a year ago,(Translated by Google) Delicious fresh food and good portions. Really recommended! Very kindly helped. …
61,Wok on Fire, 5 stars ,3 years ago,"(Translated by Google) Nice thai food and extensive menu.

Delicious 9/10 …"
62,Wok on Fire, 5 stars ,3 years ago,"(Translated by Google) Good and tasty food and large portions, definitely recommended …"
63,Wok on Fire, 5 stars ,a year ago,"(Translated by Google) Delicious Thai food as Thai food is supposed to be

(Original) …"
64,Wok on Fire, 5 stars ,3 years ago,"(Translated by Google) I've been here from the start, super tasty food

(Original) …"
65,Wok on Fire, 5 stars ,10 months ago,"(Translated by Google) Dripping food nice staff

(Original)
Lekke eten aardig personeel"
66,Wok on Fire, 3 stars ,5 years ago,"(Translated by Google) no friendly staff and food is of sufficient taste

(Original) …"
67,Wok on Fire, 1 star ,3 years ago,"(Translated by Google) Chicken was still 100% RAUWWW !!!! Very bad ..!!!!

(Original) …"
68,Wok on Fire, 5 stars ,a year ago,"(Translated by Google) Good food! Nice people🤌

(Original)
Goed eten! Aardige mensen🤌"
69,Wok on Fire, 4 stars ,2 years ago,"(Translated by Google) Good food, always fresh.

(Original)
Goed eten, altijd vers."
70,Wok on Fire, 5 stars ,2 years ago,"(Translated by Google) Yummy!

(Original)
Lekker!"
71,Wok on Fire, 1 star ,4 years ago,"(Translated by Google) Tasteless and nasty at the same time.

(Original) …"
72,Wok on Fire, 1 star ,6 years ago,"(Translated by Google) Just bad.

(Original)
Gewoon slecht."
73,Wok on Fire, 5 stars ,2 years ago,"(Translated by Google) Good food

(Original)
Lekker eten"
74,Wok on Fire, 3 stars ,5 years ago,
75,Wok on Fire, 5 stars ,2 years ago,
76,Wok on Fire, 5 stars ,a year ago,
77,Wok on Fire, 3 stars ,3 years ago,
78,Wok on Fire, 5 stars ,3 years ago,
79,Wok on Fire, 5 stars ,4 months ago,
80,Wok on Fire, 5 stars ,a year ago,
81,Wok on Fire, 5 stars ,3 months ago,
82,Wok on Fire, 5 stars ,2 years ago,
83,Wok on Fire, 5 stars ,2 years ago,
84,Wok on Fire, 5 stars ,3 days ago,
85,Wok on Fire, 5 stars ,a year ago,
86,Wok on Fire, 5 stars ,a year ago,
87,Wok on Fire, 5 stars ,2 years ago,
88,Wok on Fire, 5 stars ,2 years ago,
89,Wok on Fire, 5 stars ,a year ago,
90,Wok on Fire, 5 stars ,5 years ago,
91,Wok on Fire, 5 stars ,3 years ago,
92,Wok on Fire, 2 stars ,2 years ago,
93,Wok on Fire, 2 stars ,3 years ago,
94,Wok on Fire, 4 stars ,2 years ago,
95,Wok on Fire, 2 stars ,3 years ago,
96,Wok on Fire, 5 stars ,a week ago,"(Translated by Google) Great Thai! Had ordered the beef massaman curry, green curry with prawns and a portion of sweet and sour chicken. Beef in the massaman was very tender and the curry itself was delicious! My green curry came FULL of …"
97,Wok on Fire, 4 stars ,2 years ago,
98,Wok on Fire, 3 stars ,4 years ago,
99,Wok on Fire, 5 stars ,3 years ago,
