,Name,Review Rate,Review Time,Review Text
0,Wok to Walk, 5 stars ,a month ago,Excellent food ! Fast service ! You can see these people work very hard and you can taste it in the food.
1,Wok to Walk, 1 star ,3 months ago,"I believe it is over rated, the food it is not that bad but it is not super good. The reason why I have rated them with one star is the way how staff deal with us in a way it was very rude. I believe there are so many restaurants in Amsterdam worthy to try than this one."
2,Wok to Walk, 5 stars ,a week ago,"Good food, friendly staff cozy place to eat."
3,Wok to Walk, 5 stars ,a month ago,"Love wok2walk. Good and quick, never disappoints. Personal recommendation: egg fried rice, shrimp and spice sauce :) …"
4,Wok to Walk, 5 stars ,5 months ago,Nice place run by Tibetan people. Food is super good and affordable as well. A bowl of egg noodles cost £4 and two people can eat it. Nice place to go if you are into noodles a d stuff.
5,Wok to Walk, 5 stars ,2 years ago,Small area with few tables.quick food service with decent price.meal is large. It’s easy to take away. Lots of people waiting. I tried teriyaki flavor. It’s quite salty. But all is good and fine. If you are looking for feeding you stomach and spending less money. This place will be your priority in Amsterdam!
6,Wok to Walk, 4 stars ,2 years ago,"This was suggested as a cheap eat close to Amsterdam Centraal. The base is cheap if you don't add toppings or extras. Went for egg noodles with katsu chicken, Seoul sauce and veg. Was absolutely delicious and considering the amount of …"
7,Wok to Walk, 5 stars ,4 months ago,Thank you - great to see a gluten free allergen menu (you need to ask in store). Fried rice and rice noodles are gluten free with some sauces.
8,Wok to Walk, 5 stars ,3 years ago,"Best wok fried chinese takeout place in Amsterdam in my opinion. We tried the Brown  rice and udon, and both were so good with added pork (char siew), tofu and cabbage. The Shanghai sauce with black bean and soy was yummy. Tokyo sauce, …"
9,Wok to Walk, 4 stars ,2 years ago,"Freshly made noodle or rice mix in a box, choose your options from a menu and they fry it up fresh for you.Two meals and soft drinks was €25 euros. Worthwhile visiting if you need something quick or takeaway as seating inside is very limited and not so comfortable."
10,Wok to Walk, 4 stars ,3 years ago,"The udon noodles meal I had was very good. Make sure when you look at ordering vegetables you look at the pre made mixes they have and choose from those. I did not so that and added vegetables individually and the price of my noodles was very high. They charge more when you order it individually, so I suggest getting the pre made mix."
11,Wok to Walk, 5 stars ,7 months ago,One of the best noodles I had !
12,Wok to Walk, 5 stars ,3 years ago,"Like the Chipotle of pan-Asian food. The store is really cramped so it’s a little confusing the first time, but it’s actually pretty simple and super quick. Really good comfort fast food that you can walk right out with, just grab lots of napkins to insulate the box as it’s super hot."
13,Wok to Walk, 5 stars ,3 years ago,"I took shrimps, porks, mushrooms with egg noodles and hongkong sauces ( sweet and sour). It costs me 12.7e. It is good, only a lot of fat ( feel like too much oil). Services are very good."
14,Wok to Walk, 5 stars ,2 years ago,"So light nice fresh meal you can enjoy, staff are amazing smiley friendly."
15,Wok to Walk, 5 stars ,2 years ago,Great quick food. Grab a beer /.drink from next door . It's cheaper
16,Wok to Walk, 5 stars ,2 months ago,Super sweet and nice staffs and very delicious food!
17,Wok to Walk, 4 stars ,9 months ago,"Missus brought one home recently as a surprise as I love w2w! Hot Asia sometimes gives me ""Rim sting"" but will never stop me going back! Can't get enough of the beef with whole wheat noodles & Hot Asia sauce :)"
18,Wok to Walk, 3 stars ,3 years ago,"Busy Chinese fast food. This outlet's egg noodles is too hard, not cook long enough. They made the wrong order for me..."
19,Wok to Walk, 5 stars ,3 months ago,"A must try if you haven't before. Options for everyone, vegan vegetarians and meat"
20,Wok to Walk, 5 stars ,3 years ago,Wok was as expected. Excellent food ! Fast service ! You can see these people work very hard and you can taste it in the food. If your looking for quick food that's not mc Donald then go here !!
21,Wok to Walk, 1 star ,2 months ago,Their opening hours on Google map are completely wrong! It says it’s open till 11pm but it’s closed at 9:45pm!
22,Wok to Walk, 5 stars ,2 years ago,"highly recommend. It is one of the best places in Amsterdam, where it is possible to eat cheap but delicious food. Also, fast service"
23,Wok to Walk, 4 stars ,5 months ago,It is a nice place to have spicy noodles or fried rice
24,Wok to Walk, 5 stars ,7 months ago,Very good quality food .reasonable price. Frankly service . I will suggest you to choose this fast food restuarant.
25,Wok to Walk, 5 stars ,2 years ago,"Great quality, friendly service and super fast. Couldn't even finish this review before my order was ready"
26,Wok to Walk, 5 stars ,4 months ago,I liked the taste here.. Busy street. I recommend it.
27,Wok to Walk, 4 stars ,2 years ago,"The restaurant is quiet good and the food is made really fast standing up to the name as fast food restaurant. The waiters there don't speak English and it's a bit hard to get some additional information across. But overall, it's a really good place to try out some tasty noodles"
28,Wok to Walk, 5 stars ,2 years ago,I love it! Very delicious! Fast and convenient to eat. You can eat to go or just sit and finish if you have time. My friend and i have made this our comfort food. I look forward to trying other flavors. Very good to recommend
29,Wok to Walk, 5 stars ,11 months ago,"Great place. I come here every other week. Totally recommend it, delicious food and great people. Love it!"
30,Wok to Walk, 5 stars ,2 years ago,"Great place, good value for money. You can choose between rice, noodles or veggies and depending on your wishes you can add egg or meats &fish. As I'm vegetarian I'm really happy with this place as they offer a lot of different vegetarian options and you can have dinner for only 6 euros! I love the rice with mushrooms, so delicious"
31,Wok to Walk, 5 stars ,2 years ago,"Surpassingly good wok served in takeaway boxes. No complaints at all. The service was reasonably fast, the the boxes are packed to the brim with wok. They may look small, but they'll fill your stomach! …"
32,Wok to Walk, 5 stars ,a year ago,Nice tasty noodles. Good prices. Very nice and friendly staff. They took extra care to make sure all ingredients were vegetarian in our food.
