,Name,Review Rate,Review Time,Review Text
0,Wok to walk, 5 stars ,2 months ago,Great place to find noodles near red light. Everything was very good and prepared fast. The price is a bit too much for noodles though
1,Wok to walk, 5 stars ,a month ago,"yummy noodles, live station. I tried Udon noodles with chicken and teriyaki sauce was really nice"
2,Wok to walk, 5 stars ,3 weeks ago,"Wow! What a lovely way to surprise us.
Food is delicious and it doesn't even matter if they don't offer too many options. Whatever they provide is going to satisfy your cravings for sure. I was …"
3,Wok to walk, 4 stars ,2 months ago,"The food was quite good and tasty and the portion had a good amount. The only thing that was not that good is the price. Paid almost 8-9€ for a noodle box. But I don’t blame them, that is typical for Amsterdam."
4,Wok to walk, 1 star ,a month ago,"VERY DIRTY NEVER MORE
I saw several mouses  running ,
it is not possible a window inside and outside so dirty and encrusted, the white …"
5,Wok to walk, 5 stars ,3 months ago,Tried the teriyaki sauce combination and it was surprising delicious!
6,Wok to walk, 4 stars ,3 years ago,Quick and friendly service. Price was affordable with generous portion. The store is very tiny which explains why there is always a long queue. We we delighted to grab some Chinese food after the many days surviving on chips lol.
7,Wok to walk, 2 stars ,a month ago,They put water in the fried rice! Not for any stir-fry purists and certainly not what i expected... Service was nice tho
8,Wok to walk, 4 stars ,2 years ago,"Loved the rice, little oily thought. Service was very fast. Small place but managed to get a chair"
9,Wok to walk, 5 stars ,a year ago,Really delicious.. close to the square where you can enjoy your meal.
10,Wok to walk, 5 stars ,6 months ago,I ate there years ago and they were some of the best Asian noodles I’ve ever had in my life.
11,Wok to walk, 5 stars ,2 years ago,I got egg noodles with chicken breast and onions and bell peppers it taste really good the seasoning was on point I definitely will come back next time I'm in Amsterdam
12,Wok to walk, 4 stars ,5 years ago,"Usually a short wait. Food is hot, fast, and fresh. Today specifically the woman taking my order didn't even give me eye contact while I was ordering. Not surprised she misheard me and messed up my order. I didn't order sesame seeds, bit when there is a huge line you don't have time or space to correct it."
13,Wok to walk, 5 stars ,4 years ago,I'm obsessed with this place! When I was living in Barcelona for a bit I used to get this after work ALL THE TIME. You get so much food with one order so you feel really full after finishing. I love this location cause it's super easy to …
14,Wok to walk, 3 stars ,2 years ago,The noodle is nice. The rice is a little wet. But most of the sauce I've tried are sweet. …
15,Wok to walk, 5 stars ,3 years ago,Awesome place to eat. Huge quantity per serving. They allow you to make your own dishes thru their multiple options. Price is very reasonable. Tends to have a lot of people which indicates their popularity with the visitors. Very closely …
16,Wok to walk, 1 star ,3 years ago,"Was there few times to buy a black pepper take away. There was one time a black man served me and he reckoned me as an Asian tourist (unfortunately not), he didn't do the order service and just kept saying that they only accepted credit or …"
17,Wok to walk, 5 stars ,5 years ago,"Amazing food, great service. The restaurant itself is quiet small, so don't expect to find a seat inside (there are only 4)"
18,Wok to walk, 4 stars ,2 years ago,"Fast and delicious.
I like the concept  of the wok to walk.
It is fresh, fast and cheap and the quality is good.
One point minus - little space to seat"
19,Wok to walk, 5 stars ,2 years ago,"100% fantastic
I go here after a truffle come down or when I am stoned. …"
20,Wok to walk, 4 stars ,4 months ago,"Amazing udon noddles with fresh vegetables, super tasty and fast! Definitely recommended."
21,Wok to walk, 5 stars ,3 months ago,"Good food, big portion, very tender meat"
22,Wok to walk, 5 stars ,a month ago,We had Fired rice and it was soo yum......Just like it was back in India
23,Wok to walk, 2 stars ,2 years ago,Nice place and the service was very good. But my food was little bit salty
24,Wok to walk, 5 stars ,4 years ago,"Great quick wok in amsterdam city.  Cheap price with good food . They have a various selection of noodle,  rice and side dish.  Recommend for a budget traveller in Amsterdam"
25,Wok to walk, 5 stars ,3 months ago,Delicious food! And super fast service
26,Wok to walk, 5 stars ,2 years ago,Always perfect. Teriaky sauce is my favorite.
27,Wok to walk, 5 stars ,2 years ago,Best!!! The taste was really good and fresh!!! I could eat all day here!!!
28,Wok to walk, 4 stars ,3 years ago,"Nice and quick for €4.95 basic without topping. Quantity is less without toppings though, as noticed"
29,Wok to walk, 5 stars ,a year ago,One of the best place for a quick bite. A must visit for all my trips to Amsterdam. Egg noodles + Kip + veggies + mushrooms + hot asia saus my favorite order :D
30,Wok to walk, 5 stars ,4 years ago,"Got egg noodles with beef, cashews, and fried onions with teriyaki sauce... was incredible!!! Fast service!"
31,Wok to walk, 4 stars ,a year ago,"From New-York to London, and now Amsterdam, I always loved Wok to Walk. The concept of the wok as a fast food is truly brilliant, the quality is always perfect. Even if the staff was super nice and patient with our order, they aren’t …"
32,Wok to walk, 5 stars ,3 years ago,This place is amazing. Line was out the door when we went up and stayed out the door the whole time we were there but it was late and we weren’t in a rush and it turned out to be well worth it. They cook everything right in the window of …
33,Wok to walk, 5 stars ,2 years ago,"Sexy ,quick, hot and fresh food, prepared by an North-east-Indian team. If you like spice, choose for the 'hot sauce'. This was really spicy.
Fabulous. Thoroughly enjoyed the meal."
34,Wok to walk, 5 stars ,2 years ago,"A great place to satisfy your crave of asian meals. A Wok to Walk has a great taste, cheap price, fast serve, and friendly service. …"
35,Wok to walk, 5 stars ,8 months ago,"Great fast asian food. Cheap and tastey.
Many location around the city"
36,Wok to walk, 4 stars ,2 years ago,A good wok in walking distance from Central Station. The place seems always busy but your food won't take too long to be made. Would recommend the pork belly or the beef.
37,Wok to walk, 5 stars ,2 years ago,"Fast fresh f#*$ing delicious.  Simple tiny place dishing up noodles custom ordered and prepped right in front of you IN FLAMING WOKS.  We had egg (they have a rice noodle option) noodles w chicken brocolli mushrooms, garlic, chili peppers …"
38,Wok to walk, 5 stars ,2 years ago,"This place is the bomb!!!!! Best food in Amsterdam, I’m not kidding! So full of flavor, and customizable to your liking. Quick, fresh, good portions, and great overall value. I have been coming every day since I discovered it! I recommend the udon noodles base with the yellow curry sauce... YUMMMM!!"
39,Wok to walk, 4 stars ,3 years ago,"Good place to grab some stir fried noodles or rice to-go. Choice of protein, veggies and sauce available. They cook the noodles really well and pack them in a compact easy to eat box."
40,Wok to walk, 5 stars ,4 months ago,Decent sauce with amazing foods
41,Wok to walk, 5 stars ,3 years ago,"I'm from Singapore and i liked the noodles here. I ordered egg noodles, with beef and teriyaki sauce. It cost 7.70 eur. It's on the sweet side. My friend loves it but i found it a bit too sweet. Beef is extremely tender and noodles have the …"
42,Wok to walk, 5 stars ,3 years ago,Perfect for after the coffeeshop. Lots of choice of fillings including plenty of veggies. All freshly made to order. Eat in or take away. Just be careful not to burn your tongue devouring your noodly goodness.
43,Wok to walk, 5 stars ,a year ago,"Service was fast, food was cheap and delicious and the staff was super friendly and wished us a happy new year. 10/10"
44,Wok to walk, 5 stars ,4 years ago,This stir fry was amazing. The ingredients are always fresh. The restaurants offers several options that can keeps the food interesting. The food is also nutritious and tasty!
45,Wok to walk, 5 stars ,7 months ago,"Loads of vegan options, you can order everything  without egg."
46,Wok to walk, 5 stars ,2 years ago,Amazing authentic chinese fast foods. The service is so fast and  If you like really spicy food then you can try any noodle with hot Asia sauce.
47,Wok to walk, 1 star ,9 months ago,"The Lady who prepares the commands is very rude. The wok is okay, too expensive for what it is !"
48,Wok to walk, 5 stars ,3 years ago,If you are asian and been in europe too long this is the bomb because they offer free flow of CHILLI as condiments!!!! Taste is amazing and such a lifesaver from eating too much bread and potatoes. I wish they have more outlets and I hope they franchise it all over Europe! & UK!
49,Wok to walk, 4 stars ,4 years ago,"I love the food of wok to walk! This place is a little bit and therefore more difficult to find a place where to eat but beside that, this is a very good place to have a quick lunch. Come hungry because they serve generous portions!!"
50,Wok to walk, 5 stars ,2 years ago,"Excellent noodle bowl to go. The staff here perfectly understood how to customize my bowl to avoid allergies of gluten, peanuts, and dairy"
51,Wok to walk, 5 stars ,4 years ago,Unexpected hole in the wall. Very delicious! I got the sweet and sour chicken with noodles and the flavors were all there. Great price too.
52,Wok to walk, 5 stars ,3 years ago,Every time I am in Amsterdam- I always need some Wok to Walk!! Delicious !!!
53,Wok to walk, 4 stars ,a year ago,Wok was delicious! One of the best I ate but the atmosphere inside was bit heavy
54,Wok to walk, 5 stars ,4 years ago,"Excellent taste , meat with chicken"
55,Wok to walk, 5 stars ,5 months ago,So nice had it twice
56,Wok to walk, 4 stars ,2 years ago,"Very convenient if you wanna grab something and just walk, the only thing that I didn't like was that the box had food from the outside which made our hands dirty."
57,Wok to walk, 3 stars ,4 years ago,"Can be A bit expansive if you add a lot of things, and it tastes ok.. nothing special but gets the job done when your really hungry ( the portions are big)"
58,Wok to walk, 3 stars ,5 years ago,"The food was alright, but the wait very long. For every added ingredient they ask a lot more money which is a shame. Luckily there are already quite some vegatables in the basic ones."
59,Wok to walk, 5 stars ,5 years ago,Sooooo good! Soooo tasty! I'm chinese and I can say that this tastes almost the same as the fried noodles and rice in china. And one of the cooker is very friendly! Recommand!
60,Wok to walk, 3 stars ,3 years ago,I had some tasty vegetarian food here. They don't have a lot of veg options. But I bet the rest is tasty too.
61,Wok to walk, 5 stars ,4 years ago,Das Ordnungsamt berichtet: excellent value for the money. Everything freshly prepared. Nice staff in our case. Bangkok sauce is delicious :)
62,Wok to walk, 4 stars ,4 years ago,"average food for an average price. very customisable dishes and also some vegetarian options, which make it better than some other food chains. :)"
63,Wok to walk, 1 star ,2 months ago,tastes like nothing
64,Wok to walk, 5 stars ,6 years ago,"Excellent value! Got the food quickly and it was tasty, good quantity. There was this annoying customer who kept yelling at his phone, but it didn't ruin the experience"
65,Wok to walk, 2 stars ,3 years ago,Thai style fast food take away. Modular menu let you customize the order. Not very tasty.
66,Wok to walk, 5 stars ,2 years ago,One of the best wok in Amsterdam. Like this place. Here you can order delicious Asian noodles.
67,Wok to walk, 1 star ,2 years ago,The place is very expensive and the food is not very tasty. It is better to give up and find another restaurant.
68,Wok to walk, 4 stars ,4 years ago,"Very tasty meal but this place it's kind of a small place to sit in, like 4-5 people in the shop and it's already full."
69,Wok to walk, 5 stars ,6 years ago,"Fastest way to eat gorgeous udon with.. all what you want! You can choose base (rice, noodles, udon, etc), ingredients and sauces! WtOW!"
70,Wok to walk, 5 stars ,3 years ago,It's my second time here and in Amsterdam. I truly recommend here. My next time I will have lunch here again. Cheap fast and tasty
71,Wok to walk, 3 stars ,3 years ago,"Tasty, healthy and affordable. Fast preparation. Lots of vegetable choices. Staff could be a little nicer."
72,Wok to walk, 5 stars ,2 years ago,I really like wok to walk and this one is very nice as well. Good fast food:)
73,Wok to walk, 5 stars ,6 years ago,"Just Go to eat!!! Quick,healthy,in the middle of the center all view to go and eat in the canal... I will go right now to order something for take away :)))) enjoy !"
74,Wok to walk, 5 stars ,a year ago,"Delicious food, very kind and open staff"
75,Wok to walk, 4 stars ,5 years ago,"Delicious food, unfortunately they don't have baby corn in their menu anymore"
76,Wok to walk, 5 stars ,2 years ago,Not so bad but I must say: you can not make pencakes no where like in SERBIA
77,Wok to walk, 4 stars ,2 years ago,Fast food at it's best in and out on 5 mins and top bit of grub on the go too
78,Wok to walk, 3 stars ,4 years ago,The food was good and the prices are ok as well as portion size.  Customer service was a little lacking.
79,Wok to walk, 5 stars ,3 years ago,Tasty and spicy fast food noodle place. My friend absolutely loved his meal in a box.
80,Wok to walk, 5 stars ,2 years ago,Awesome wok.. Udana noodles+kipfilet+hot Asian sauce.. loved it😍
81,Wok to walk, 5 stars ,a year ago,"Friendly staff, udon noedles perfect ♥️"
82,Wok to walk, 4 stars ,4 years ago,Nice place for Chinese takeaways in Amsterdam.
83,Wok to walk, 4 stars ,4 years ago,"Good chinese food, reasonably priced. No seating available other than the little bench with table outside."
84,Wok to walk, 5 stars ,5 years ago,Love this place. Freshly made there in front of you with great options to select on the menu
85,Wok to walk, 5 stars ,3 years ago,If Wok to Walk would have a location in Germany (or Maastricht or Heerlen or anything next to the Southern D-NL border) I would go there. Everyday. Twice.
86,Wok to walk, 5 stars ,3 years ago,Very tasty food and nice service...most beautyfull girl work there ❤
87,Wok to walk, 5 stars ,4 years ago,Very delicious.  Every one likes these food recipes.
88,Wok to walk, 3 stars ,4 years ago,Delicious noodles... And you can see cooking live.. Like your own kitchen... Facsinating to those of us who dont cook.
89,Wok to walk, 5 stars ,5 years ago,Great food.. Several option to add on to it.. Tastes good and fast
90,Wok to walk, 4 stars ,4 years ago,For quick bites! You can customise your order as per  your requirement. Good food.
91,Wok to walk, 5 stars ,2 years ago,"Great taste, best I had in Amsterdam. Fast service. Prices are ok."
92,Wok to walk, 4 stars ,4 years ago,Exactly as it says in the name. Takeaway box noodles. Expensive soft drinks but the food was very tasty.
93,Wok to walk, 4 stars ,4 years ago,Delicious wok. There is not much space to sit. But the food is awesome.
94,Wok to walk, 5 stars ,2 years ago,Noodles were delicious and very filling. Would recommend
95,Wok to walk, 4 stars ,3 years ago,Nice for a meal but quite expensive for what it is just noodles and sauce with a choice of vegetables(and meat if you like that sort of thing).
96,Wok to walk, 5 stars ,4 years ago,"Super delicious wok, a lot of different opportunities, so you can make your own wok."
97,Wok to walk, 3 stars ,5 years ago,Definitely better than mcdonalds if you are looking for fast food. Try the rice noodles with peanuts
98,Wok to walk, 5 stars ,2 years ago,"Great quick, easy food on the go and very tasty"
