,Name,Review Rate,Review Time,Review Text
0,Wolf Atelier, 5 stars ,5 months ago,The food was excellent. My and my friend enjoyed every little bit. The staff was brilliant as well. Real individuals and personal at the table. Definitely going back to this place. …
1,Wolf Atelier, 5 stars ,8 months ago,We had a very nice evening at Restaurant Wolf Atelier. The location is unique (built on an old railway bridge) with nice views. The 15-course tasting menu was very tasty and well worth the money. We went with 4 staff-suggested wines during the evening and didn't regret it. Worth a visit when you are visiting Amsterdam.
2,Wolf Atelier, 2 stars ,7 months ago,"The staff, location, restaurant fit out and presentation of the plates were really lovely (4 stars) and I wish I could say the same for the food however each dish (except the dessert which was tasty) were really lacking any note-worthy …"
3,Wolf Atelier, 5 stars ,a week ago,Absolutely loved the 15 course menu experience. Delicious food and top notch service.
4,Wolf Atelier, 3 stars ,2 months ago,"The service and the ambience was good! But I wish I could say the same about the food. I’m a vegetarian and we went for 5 course meal. It totally lacked flavors, not what you expect at a high rated fine dine restaurant. The portions were …"
5,Wolf Atelier, 5 stars ,2 years ago,"Fantastic experience here for lunch! All superlatives are appropriate. Great service, lovely view, special location and the food was just wonderfully creative and tasty. I don't eat meat so I'm delighted if a restaurant offers  good …"
6,Wolf Atelier, 5 stars ,a year ago,"So we were here for my birthday dinner and choose the 15 course tasting menu.
The fun part was they gave us a menu and a pencil so my girlfriend and I doodling and give ratings as well.. …"
7,Wolf Atelier, 5 stars ,7 months ago,"What a great experience! We did the 15 courses, it was delicious. So much taste, detail and love in every plate. And if you have an allergy you are vegetarian, they are so helpful …"
8,Wolf Atelier, 5 stars ,3 years ago,One thing first: location: surprising/awesome.Surrounded by water next to central station - a jewel. We choose alá carte today (coming back for the 15 courses taste menu though) and it was amazing. You want to go for  fancy food but don’t …
9,Wolf Atelier, 2 stars ,2 years ago,"Have been here a while back ago and I was always positive about this place but after tonight I won’t come back. Its not the food, although very small portions served but it taste great and plates are very nicely decorated. …"
10,Wolf Atelier, 3 stars ,5 months ago,"We have a mixed experience here. We ordered 5 courses. The food was delicious and the plates were creative but the portions way too small by most standards. The portions are false economy, its a wrong way of saving money. The service was …"
