,Name,Review Rate,Review Time,Review Text
0,YIP Fellows, 5 stars ,3 years ago,"Enjoyed some cold beers outside with great views of Dam Square. Our server was super friendly and attentive. Would definitely come back again. Inside was a little dark but they do have some nice indoor seats near the front windows. Didn’t try any food but the beer was cold, fresh and served in the proper glass!"
1,YIP Fellows, 1 star ,2 years ago,"I ordered a beer and snacks. One friend ordered hot chocolate. Everything was almost 30 euros. They kicked us out of the place because we were 5 people and ""everyone needs to drink"". I wanted to drink more beers but I get out because did what the waitress asked me to do. Just leave. They don't deserve any money!"
2,YIP Fellows, 5 stars ,3 years ago,Honestly a great place. They where so nice and welcoming even though we where a bit drunk and singing very loudly to the great music. When the barman came over to me i thought he was going to give out to me for the noise but instead he asked if we had any song requests. Can not recommend this place enough.
3,YIP Fellows, 5 stars ,2 years ago,"Friendly staff.. lovely ambience..great choices and loved the crowd there
Recommend this place highly especially if you are a tourist
They even got us a taxi back to the hotel"
4,YIP Fellows, 2 stars ,2 years ago,"Way too expensive and about the double price of any other normal bar in Amsterdam. 7 euro for a small Kilkenny beer and 8,50 for a medium size white beer on tap. They are open late, until 3 AM, which is later than most bars and they …"
5,YIP Fellows, 1 star ,3 years ago,"Outrageously expensive bar. €22 for one Jameson, one Bombay Sapphire and one small bottle of tonic water. I mean come on. Absolute joke! Looks like a nice cosy bar from the outside but when you’re inside they play cheap loud party music. Does not match the setting of the bar. Avoid at all costs!!"
6,YIP Fellows, 5 stars ,2 years ago,I was traveling solo when I was last in Amsterdam which can be a little lonely. Luckily I met Davey the bartender. He’s a lovely dude that made my lonely trip a lot more positive. Thanks for the company Davey!
7,YIP Fellows, 3 stars ,3 years ago,"Overpriced, 250ml water for 3.5 euros? Seriously?
Their waitress was very rude. …"
8,YIP Fellows, 2 stars ,2 years ago,"Good location, nice atmosphere. But extortionate pricing at €4.80 for a small lager (around €3 everywhere else)"
9,YIP Fellows, 5 stars ,2 years ago,"Why anyone would give this place less than 5 stars I have no idea. Prices are good. It’s not touristy, but filled with locals, so that should tell you something."
10,YIP Fellows, 1 star ,3 years ago,"Gave me a broken pint, no apology, no new beer. Poured the same beer in to a new pint. For a sober customer this place was terrible. 9€ pint of beer..."
11,YIP Fellows, 3 stars ,3 years ago,Good location but I think 8 euros for a medium sized Heineken is way too expensive!
12,YIP Fellows, 5 stars ,3 years ago,Waitress was very friendly and suggested dishes on the menu.  Food  was tasty. Reasonably priced
13,YIP Fellows, 1 star ,4 years ago,"Over 21 Euros for two rum and cokes is crazy, ridiculously expensive, even for Amsterdam! Wouldn't recommend unless you have money to burn."
14,YIP Fellows, 5 stars ,2 years ago,Love the peoole working in there ! Pietro and estonia are really rocking that place. Nice food and drinks will visit it again for sure !
15,YIP Fellows, 1 star ,2 years ago,9euro for a pint of Bavaria ...also barman tried keep the change after I gave him a 10 and very slowly gave me my change ......
16,YIP Fellows, 3 stars ,4 years ago,"Nice enough bar, but crazy expensive beer which just wasn't good at all. You pay for being at Dam square I guess"
17,YIP Fellows, 5 stars ,2 years ago,Great friendly staff. Good music. Nice pint of O’Hara’s
18,YIP Fellows, 5 stars ,4 years ago,Love love love Yip!! Favourite bar in Amsterdam Great drinks and you couldn't find friendlier staff!
19,YIP Fellows, 1 star ,2 years ago,Two small Americanos cost over 14 euros. Overcharged compared to the menu price.
20,YIP Fellows, 4 stars ,2 years ago,"A decent enough place to have a drink when in Amsterdam, well placed in Dam Square."
21,YIP Fellows, 1 star ,4 years ago,You better spend your money in chewing gums instead of going there. Expensive for no reason. Tourist trap
22,YIP Fellows, 4 stars ,7 years ago,"Really high prices (city centrum, vis a vis the palace) but perfectly nice & fast stuff and beautiful interieur which makes a really good athmosphere"
23,YIP Fellows, 4 stars ,3 years ago,"Excellent staff, pricey drinks, eclectic music (sometimes) and always interesting people."
24,YIP Fellows, 5 stars ,3 years ago,"Old skool music and period features, cool if you remember St Elmo's Fire"
25,YIP Fellows, 3 stars ,8 years ago,I can't comment on food however service was friendly but a 5cl of Bavaria was 8 euro which is horridly expensive
26,YIP Fellows, 4 stars ,6 years ago,Very nice environment and music. It was a little pricy but it is justified as it is by dam square
27,YIP Fellows, 4 stars ,3 years ago,Very nice  place to sit and have a drink and watch a soccernatch
28,YIP Fellows, 1 star ,4 years ago,Ridiculously expensive. Moreover they charge more if you give your master card to them.
29,YIP Fellows, 5 stars ,3 years ago,Best bar in town. Very friendly staff
30,YIP Fellows, 5 stars ,2 years ago,"Amazing place, I love this bar! 😁"
31,YIP Fellows, 3 stars ,2 years ago,A good spot on Dam Square but a tad pricey!
32,YIP Fellows, 3 stars ,5 years ago,Nice bar on the Dam but a bit pricey
33,YIP Fellows, 5 stars ,4 years ago,"Nice place, friendly staff, good music."
34,YIP Fellows, 1 star ,3 years ago,"Waitress was rude..fire the waitress ( you know who) who was rude, arrogant and racist"
35,YIP Fellows, 4 stars ,5 years ago,"Nice atmosphere
Expensive but you are on the square"
36,YIP Fellows, 4 stars ,3 years ago,Great place in the heat of the action id go again
37,YIP Fellows, 1 star ,3 years ago,Shortchanged - watch your money -  and watered down drinks
38,YIP Fellows, 5 stars ,2 years ago,Great place to have a drink
39,YIP Fellows, 5 stars ,5 years ago,Good service especially when Davy is around 😉
40,YIP Fellows, 4 stars ,3 years ago,Great and comfy place to visit
41,YIP Fellows, 5 stars ,2 years ago,nice beer
42,YIP Fellows, 5 stars ,3 years ago,"Easy, just sit and be served."
43,YIP Fellows, 4 stars ,3 years ago,Nice spot
44,YIP Fellows, 5 stars ,4 years ago,best atmosphere!
45,YIP Fellows, 4 stars ,3 years ago,Superpub
46,YIP Fellows, 5 stars ,2 years ago,I love the sound
47,YIP Fellows, 5 stars ,3 years ago,Interestingly friendly staff
48,YIP Fellows, 5 stars ,3 years ago,Good chill out
49,YIP Fellows, 5 stars ,3 years ago,Take my wallet
50,YIP Fellows, 5 stars ,3 years ago,Great place
51,YIP Fellows, 5 stars ,a week ago,"Bar is expensive yes, not a tourist trap. Amazing service with great atmosphere on dam square so yes thr price reflects test, much love to the bar staff"
52,YIP Fellows, 5 stars ,3 months ago,"(Translated by Google) Authentic pup, super beautiful.
Friendly hospitality
Great music …"
53,YIP Fellows, 5 stars ,3 months ago,"(Translated by Google) Most beautiful pub ever! Very nice.

(Original) …"
54,YIP Fellows, 1 star ,3 years ago,"(Translated by Google) Never again!!!!! I can understand you have to pay more in a known square but this is about it. 1 pilsner half liter + 1 water + 1 cola 19.50 €. And then I was still in the alley in the damn cold, with a table that …"
55,YIP Fellows, 1 star ,2 years ago,"(Translated by Google) Beautiful interior, but ridiculous price for a small draft beer. € 7.50 …"
56,YIP Fellows, 2 stars ,5 years ago,"(Translated by Google) Nice service, frame too ... But the prices are really excessive! I know that the location is for something, but it stings anyway! …"
57,YIP Fellows, 1 star ,3 years ago,"(Translated by Google) Not greeted on entry, table wasn't cleaned until we were seated, got wrong wine (it wasn't busy) ro d e w i yn was cold …"
58,YIP Fellows, 1 star ,a year ago,(Translated by Google) unfriendly (owner is all about making money). advice: continue to another terrace …
59,YIP Fellows, 5 stars ,2 years ago,"(Translated by Google) Good service, nice thing, not cheap but don't forget the location, always clean sidewalk! …"
60,YIP Fellows, 3 stars ,3 years ago,"(Translated by Google) This bar is in a great location, but € 9.00 for 0.5L Pils is ""slightly over the top"" …"
61,YIP Fellows, 1 star ,3 years ago,"(Translated by Google) My first google review, because they deserve it, the prices are excessively high for the quality, and one of the waiters took advantage of our bad English accent to twist one of our sentences and charge us for a …"
62,YIP Fellows, 1 star ,3 years ago,"(Translated by Google) € 13 for a 0.2L gin and tonic with only tonic water

(Original) …"
63,YIP Fellows, 4 stars ,2 years ago,"(Translated by Google) Cozy ""Dam Square"" Amsterdam

(Original)
Gezellig "" De Dam"" Amsterdam"
64,YIP Fellows, 5 stars ,4 years ago,"(Translated by Google) Fantastic service, not too loud music, cozy atmosphere and not too expensive! Highly recommended x …"
65,YIP Fellows, 1 star ,2 years ago,"(Translated by Google) Site that treat you like a dog, the waitress who served us must be that bitter is little,
Nothing advisable for the treatment and service …"
66,YIP Fellows, 4 stars ,8 years ago,"(Translated by Google) Not a bad Irish bar with a pleasant atmosphere, but the prices are much more expensive than in similar Irish establishments. …"
67,YIP Fellows, 4 stars ,4 years ago,(Translated by Google) Cafe in the center of Amsterdam and near the red light district. Little space. You can sit at the bar. Not for large companies. …
68,YIP Fellows, 2 stars ,2 years ago,"(Translated by Google) The atmosphere is nothing, but 10 euro beer for a pint is borscht! …"
69,YIP Fellows, 5 stars ,4 months ago,"(Translated by Google) Great cafe

(Original)
Geweldig café"
