,Name,Review Rate,Review Time,Review Text
0,Zithoek, 5 stars ,3 weeks ago,"I recommend this cozy cafe to everyone who would like to be treated with respect. And of course who doesn't like eating delicious cakes and hot coffee!!
By far, one of the best orange cakes I have had in Holland."
1,Zithoek, 5 stars ,a week ago,"Little gem in Amsterdam-Noord. Stumbled upon this place after going bouldering with a friend. Tiny cafe/espressobar with great coffee, a cheerful and welcoming owner and a very homely atmosphere. If you want a good espresso or some great …"
2,Zithoek, 4 stars ,4 months ago,Great coffee! The gentleman behind the counter is very friendly :) Nice and cosy inside.
3,Zithoek, 5 stars ,2 years ago,"The ZITHOEK couldn't be named anything else. It is a cute corner where you can sit and chat, inside and out, with an incredible cup of coffee made especially for you. Michael is hands down one of the best baristas I've come across in my …"
4,Zithoek, 5 stars ,2 years ago,"A very friendly cafe, where clients and owner know each others' first names. Great coffee and loved the cakes too. There is just a positive and friendly vibe about this cafe, which is also new apparently. I have north amsterdam embraces it and supports it!"
5,Zithoek, 5 stars ,3 years ago,No pretensions. Great coffee. Awesome apple pie. And almost forgot: lovely staff. If you’re around drop by.
6,Zithoek, 5 stars ,2 years ago,"Lovely vibe, great coffee and excellent service. Breakfast/brunch made with love. Intimate and personal."
7,Zithoek, 4 stars ,2 years ago,Nice & friendly Staff and coffee is delisious and cake nam..nam 😋 IM enjoy ITS and for sure i Will came again   thank you!
8,Zithoek, 5 stars ,6 months ago,"Little gem in Amsterdam Noord. Excellent coffee, relaxed atmosphere and friendly staff. Highly recommended when in Noord."
9,Zithoek, 5 stars ,a year ago,"Best place in Amsterdam. Never change, please.
- Super nice guy running the place
- Non-fancy living room atmosphere …"
10,Zithoek, 5 stars ,a month ago,"Super cool Cafe.
Try the Cinnamon Rolls."
11,Zithoek, 5 stars ,8 months ago,"My favorite coffee shop in all of Amsterdam. A neighborhood spot, friendly, and amazing coffee. Must visit!"
12,Zithoek, 5 stars ,2 years ago,This is by far the best coffee place in Amsterdam Noord. Michael is a super friendly host who treats his guest so well and his cakes and coffee are delicious. Zithoek has a living room vibe. It is not too busy and you chat and connect very easily with other people  who are enjoying their coffee. We love it!!!
13,Zithoek, 5 stars ,3 weeks ago,"Great job, goed taste. Thank you"
14,Zithoek, 5 stars ,7 months ago,Sweet little Coffeehouse with the best Cinnamon Rolls in Town! Try them !
15,Zithoek, 5 stars ,6 months ago,Nice neighborhood coffeecorner with friendly people and good coffee
16,Zithoek, 5 stars ,2 years ago,Really amazing coffee and lattes. Loved the room behind the counter with a kids table -- the crayons kept our three year old entertained while we enjoyed our coffees.
