,Name,Review Rate,Review Time,Review Text
0,Zurich, 4 stars ,5 months ago,"Café Zurich is on the edge of a large square, but far enough from the surrounding buildings for it to catch the sun. They have 2 large terraces, both with umbrellas and heat lamps for when the weather turns. There is also a small indoor …"
1,Zurich, 5 stars ,3 years ago,"Celebrated my birthday here with family and it was absolutely amazing. The food was delicious, the interior warm and it was a nice plus we were sitting next to the open kitchen to see everything that went down. Service was very friendly and helpful. Definitely a good place to come with friends, family or for a romantic dinner!"
2,Zurich, 5 stars ,2 years ago,"I went to Zurich for a bite to eat and sat at the bar. The atmosphere was cozy but not stuffy. Clean, and service was quick. The bartender didn’t say much but I was heavily invested into some work on my phone so I think he read into the …"
3,Zurich, 5 stars ,a month ago,Super cozy and nice place… food is also great!!! And I love their ginger lemon tea!!!
4,Zurich, 4 stars ,2 years ago,"My husband and I arrived here for a later dinner and enjoyed the atmosphere and warm fire. The place was decorated beautifully. We ordered appetizers - the Peking duck bao buns, salmon gravlax and bread with dips. They were delicious!"
5,Zurich, 5 stars ,2 years ago,"Remarkable place, very friendly stuff and delicious breakfast.  Fresh, buttery and extra flaky croissants, perfect toast with eggs, cheese and ham. Enjoyable and very good coffee is also a huge advantage. Thank you Zurich Cafe for making our beginning of the day so great!"
6,Zurich, 5 stars ,3 years ago,We got here towards the end of the night and the kitchen had closed. However the waiter brought us some snacks to eat while we drank a few beers. Excellent service. …
7,Zurich, 5 stars ,2 years ago,"We had a nice mellow time here, food was good, pricing was on point. The bonfire/fireplace area is awesome. Literally the best I've seen anywhere."
8,Zurich, 3 stars ,4 years ago,"Very cool interior design, with a centrally located open fireplace and open kitchen. Wine list is equisite and drinks in general recommendable. However, I could not recommend staying for food. Wait was very long and 3 out of 4 dishes were severely undercooked or tasteless. Staff is friendly but not very fast."
9,Zurich, 4 stars ,a month ago,Food was brilliant and the staff you couldn't fault at all .
10,Zurich, 5 stars ,5 years ago,"Great place for fancy dining. We had a friend's birthday here and loved every part of it. The food is great (though if you're STARVING, you may want to order a bit more). Plenty of veggie options and also a lot of cocktails. Check it out!!"
11,Zurich, 2 stars ,5 months ago,"Extremely mid experience. Feels like we could have gone to Albert Heijn and gotten a few beers and some finger food and eat it in the park, and the experience would have been 1/3 the price and honestly not much worse."
12,Zurich, 5 stars ,2 years ago,"Delicious good, great service, and cool music. This place is a must if you're in the area. The Amsterdam Mule cocktail was strong."
13,Zurich, 3 stars ,8 months ago,"The waiting staff was great. Truly, a nice team. They were friendly, helpful and result oriented. …"
14,Zurich, 1 star ,5 months ago,Yesterday we ordered two burgers. Me and my partner are now suffering food poisoning. A place to run away.
15,Zurich, 5 stars ,3 years ago,Went to Cafe  Zurich for an afternoon snack. Shared the club sandwich and had a beer in the sunshine out on the patio - I loved that there were separate patios for smoking and non-smoking. I would highly recommend the chicken club sandwich …
16,Zurich, 5 stars ,a month ago,Very nice and cosy place with amazing coffee ☕
17,Zurich, 4 stars ,10 months ago,One of the best terraces in Amsterdam to enjoy a drink. The menu is creative and very tasty. You'll see me there lots of times this summer.
18,Zurich, 5 stars ,3 years ago,Great place for especially breakfast and lunch. In a non touristy erea
19,Zurich, 4 stars ,2 years ago,"Friendly staff and quite busy on a thursday night. Good food and a good beer assortment. They forgot to put in our dinner orders and we had to wait for about 45 minutes, but when they found out, we had the food in 5 minutes and they offered make up for it. They handled it very well! And the fish was excellent!"
20,Zurich, 5 stars ,2 years ago,"Pet friendly, nice staff, good atmosphere, 2x big ""terrace"". Next time we'll try the food also."
21,Zurich, 3 stars ,8 months ago,Good food. Nice atmosphere. But had to wait more than an hour for our food
