,Name,Review Rate,Review Time,Review Text
0,'t Houtskooltje, 5 stars ,5 months ago,My review might be biased by the lovely weather that day. But I would say it counts for 1 extra star. First of this place is a hidden gem. The service was warm and kind. Had some great conversations about culture and such. I got the feeling …
1,'t Houtskooltje, 4 stars ,2 years ago,Nice place to taste the Turkey's food. Amsterdam's price.
2,'t Houtskooltje, 5 stars ,2 years ago,"Very calm and relaxing environment, there's a beautiful view of a pond just outside the place. The food is excellent, I haven't tried it all yet but I'm definitely going back to try all the different Bandi meals."
3,'t Houtskooltje, 4 stars ,4 months ago,Very pleasant service and tasty food.
4,'t Houtskooltje, 5 stars ,2 years ago,Our plan was to buy food and take it away. But the place was so beautiful that we decided to stay. The owner explained us everything in the menu. And even put some music un spanish for us. Super recomendable.
5,'t Houtskooltje, 3 stars ,2 years ago,Simple Lebanese inspired food. Too small portions but also not expensive so I guess that’s ok. And tasty!
6,'t Houtskooltje, 5 stars ,5 years ago,"Expected a standard grillroom, was extremely surprised to find an excellent small Mediterranean restaurant. Kind staff, superb food, mezze were perfect.. All in all, highly recommended!"
7,'t Houtskooltje, 1 star ,3 years ago,"The place is quite cool, friendly staff but the grill mix was a big down,too much chicken and was raw, the ribs were ok, but I am not sure if I will come back."
8,'t Houtskooltje, 5 stars ,5 years ago,"This is a place to surprise you as it did to me, try meze all kinds. Ahmet (chef) is an ambitious guy who tries to show his best at his food."
9,'t Houtskooltje, 5 stars ,4 years ago,The food was excellent the service outstanding.  The view is great.  Surrounded by water with ducks swimming around.
10,'t Houtskooltje, 5 stars ,3 years ago,Very good food. Nice place. Hummus was just superb. Good price. Recommended
11,'t Houtskooltje, 4 stars ,3 years ago,Nice small family owned place ! Good food weird beer tho :)) I recommend for some snacks - long waiting time for food
12,'t Houtskooltje, 4 stars ,5 years ago,Very nice personnel and tasty food would definitely go there again.
13,'t Houtskooltje, 5 stars ,2 years ago,Had a very nice meal and watched the rain in the great big windows.
14,'t Houtskooltje, 5 stars ,2 years ago,Great food and very nice service. Recommended.
15,'t Houtskooltje, 5 stars ,3 years ago,Very good food for good prizes thank you
16,'t Houtskooltje, 5 stars ,2 years ago,Best calf spareribs ever!
17,'t Houtskooltje, 5 stars ,3 years ago,Best Lebanese food around
18,'t Houtskooltje, 3 stars ,3 years ago,Nice food
19,'t Houtskooltje, 5 stars ,5 years ago,Fresh and delicious!
20,'t Houtskooltje, 5 stars ,2 years ago,Super
21,'t Houtskooltje, 5 stars ,6 months ago,"(Translated by Google) Delicious food, vegetarian, varied, and beautiful dishes! …"
22,'t Houtskooltje, 5 stars ,6 months ago,"(Translated by Google) Discovering in the surroundings of our hotel we find this fantastic family-run location, they prepared everything we ordered in more than acceptable times, with fresh products and cooked on sight …"
23,'t Houtskooltje, 1 star ,a month ago,(Translated by Google) Cancels 2 hours in advance because they are full. Reserved a week in advance. Worthless …
24,'t Houtskooltje, 5 stars ,5 months ago,"(Translated by Google) Friendly owner and tasty dishes, especially the tasty meze's from the Turkish kitchen are definitely recommended. …"
25,'t Houtskooltje, 5 stars ,6 months ago,"(Translated by Google) Super nice restaurant, family atmosphere and very modern, with seats inside and outside, delicious Anatolian cuisine with many vegetarian dishes. 😍👍 …"
26,'t Houtskooltje, 5 stars ,6 months ago,"(Translated by Google) Delicious food: many tasty flavours, both the meat and the vegetarian bandis. The fries and rice were also tasty. Friendly people! …"
27,'t Houtskooltje, 5 stars ,6 months ago,(Translated by Google) Fine food. I had the meatballs. Good for a cozy bite or quick snack. The prices are very good. …
28,'t Houtskooltje, 5 stars ,5 months ago,"(Translated by Google) Very cozy, delicious food and nice and sweet staff

(Original) …"
29,'t Houtskooltje, 3 stars ,a year ago,"(Translated by Google) The goodwill factor is great, but my expectations were apparently too high.
We have it delivered to your home. In that sense, everything is neat. Neatly on …"
30,'t Houtskooltje, 5 stars ,2 years ago,(Translated by Google) Nice dishes from the Balkans and from Turkey. Meat is great and also a wide choice for vegetarians. Really tasty and made with care. Nice relaxed atmosphere. They also have nice local beer and drinks from balkan and …
31,'t Houtskooltje, 5 stars ,4 years ago,"(Translated by Google) Very friendly service, I was also allowed to come and get a salad when the store was almost closing. And the salads are really great! Healthy, fresh, crispy. I also ordered bindis once via Deliveroo. They were …"
32,'t Houtskooltje, 3 stars ,3 years ago,"(Translated by Google) Six months ago my husband and I went for dinner here, lured by an excellent review in - I believe - Het Parool. Lots of Mediterranean / Lebanese dishes. All equally tasty, with lots of skewers of meat, humus and so …"
33,'t Houtskooltje, 5 stars ,3 years ago,(Translated by Google) Cozy restaurant around the corner with tasty Turkish / Lebanese dishes. Delicious salads and crispy fries and then the bandis (spiced meatballs) are fantastic. Turkish beer Efes is delicious. The portions are good and …
34,'t Houtskooltje, 1 star ,5 years ago,"(Translated by Google) What a drama tent! Just had dinner there with 2 friends and it was really bad! Portions were too small, meat was heated up just as quickly and came partly from the freezer so not fresh, soup was bland! Never eat in …"
35,'t Houtskooltje, 1 star ,4 years ago,"(Translated by Google) A portion of bad frozen fries with TOO little mayonnaise, two toothpicks with some bland grilled vegetables. You pay 9.50 € for this and you will be bounced out of the tent. No thanks. …"
36,'t Houtskooltje, 5 stars ,2 years ago,"(Translated by Google) A very good modernized Turkish. The bandits are meatballs from Anatolia, here in several types of sandwiches seasoned in many ways. Special mention for excellent salads based on fresh produce. Good value for money. …"
37,'t Houtskooltje, 5 stars ,10 months ago,"(Translated by Google) Today finally open again, immediately bought delicious Bandi, and it was all excellent. …"
38,'t Houtskooltje, 1 star ,2 years ago,(Translated by Google) Refined snack bar that is too pricey. Many items warmed up (still cold inside) from the freezer when I went to eat there with mothers. Very bad …
39,'t Houtskooltje, 5 stars ,5 years ago,"(Translated by Google) The food here is really delicious. With my eyes closed I thought I was in old Jaffa. Lighting may be a little more moody, but what a nice place! …"
40,'t Houtskooltje, 4 stars ,4 years ago,"(Translated by Google) Delicious Bandi (kind of sausage of minced meat) eaten, friendly service, nice clean business, in good weather you can also eat outside. …"
41,'t Houtskooltje, 3 stars ,3 years ago,"(Translated by Google) Nice experience, however the expectation was different from the experience. This is mainly because the old American interior has an eating with snack and balkan oriented. …"
42,'t Houtskooltje, 5 stars ,2 years ago,"(Translated by Google) Cozy restaurant. Delicious food, and friendly service. Simply great! …"
43,'t Houtskooltje, 4 stars ,3 years ago,(Translated by Google) We didn't taste everything but what we had was delicious. Good Lebanese wine too! …
44,'t Houtskooltje, 5 stars ,3 years ago,(Translated by Google) I also had a nice meal with my parents each had a different main course I had lamb with chips and salad …
45,'t Houtskooltje, 5 stars ,4 years ago,"(Translated by Google) Friendly people, friendly prices and above all; delicious food! Wide choice for the vegas among us. …"
46,'t Houtskooltje, 4 stars ,5 years ago,"(Translated by Google) We had dinner there for the first time and it was fine.
Too bad there were no spare ribs …"
47,'t Houtskooltje, 5 stars ,2 years ago,(Translated by Google) Could not charge at a factory nearby. And to eat some moss. So I ended up with the number and with the charcoal. Best tent !!! …
48,'t Houtskooltje, 4 stars ,2 years ago,"(Translated by Google) Unexpectedly ended up at the ""charcoal"" ... delicious delicious Anatolian cuisine. Recommended! …"
49,'t Houtskooltje, 5 stars ,2 years ago,(Translated by Google) Here they serve the tastiest veal ribs I have ever tasted. …
50,'t Houtskooltje, 5 stars ,3 years ago,"(Translated by Google) Very tasty food and nice atmosphere. Nice place to eat

(Original) …"
51,'t Houtskooltje, 5 stars ,4 years ago,(Translated by Google) Friendly staff and great beer from the region! Plus a cozy atmosphere. …
52,'t Houtskooltje, 4 stars ,2 years ago,"(Translated by Google) Good food, a little Moroccan with a hint of Greek. Primarily. And everything freshly prepared. …"
53,'t Houtskooltje, 4 stars ,3 years ago,"(Translated by Google) Simple but good cuisine. Good value for money.

(Original) …"
54,'t Houtskooltje, 5 stars ,2 years ago,"(Translated by Google) Delicious, honest menu, friendly service

(Original) …"
55,'t Houtskooltje, 4 stars ,3 years ago,"(Translated by Google) What a surprising place! And delicious food too

(Original) …"
