,Name,Review Rate,Review Time,Review Text
0,cafe BUHRS, 5 stars ,a week ago,"Cozy, large terrace heated on colder days.
Extensive beer choice on tap and special beers on bottle. Nice cocktails, wine and great snacks choice with the best bitterballen! Basic lunch options like …"
1,cafe BUHRS, 5 stars ,a month ago,"really nice bar, super friendly staff, like to go here with our dog and sit in for the evening 👍"
2,cafe BUHRS, 5 stars ,9 months ago,"Drinks were refreshing and delicious! The staff were very attentive, kind and welcoming! Will definitely go again!"
3,cafe BUHRS, 5 stars ,a year ago,Lovely cafe located in one of my favorite places in Amsterdam. Altogether its a cafe their selection of beers is lovely. Great place to go with friends at happy hour or dinner with your loved one. I loved the french fries with beer. Will come back for sure.
4,cafe BUHRS, 5 stars ,5 months ago,"Great place to chill, nice atmosphere inside and outside. They give a good service.
Go there!"
5,cafe BUHRS, 4 stars ,8 months ago,"Great service, nice beer and lovely seat in the shade on a hot day. Were able to watch the football match on the big screen!"
6,cafe BUHRS, 5 stars ,8 months ago,Very cosy and far from the traffic and turists. Recommended if you want to escape a bit from the noisy and busy city center.
7,cafe BUHRS, 5 stars ,9 months ago,Really nice cafe with a great terrace also for cold days and good drinks & snacks
8,cafe BUHRS, 5 stars ,a year ago,"Gin&Tonics were nice, snacks as well. However the real 5 stars is for the service! Friendly, enthusiastic and fast 👏🏻"
9,cafe BUHRS, 5 stars ,4 years ago,Great service and selection of gins
10,cafe BUHRS, 5 stars ,9 months ago,Really nice cafe with a great terrace also for cold days and good drinks & snacks
11,cafe BUHRS, 5 stars ,a year ago,"Gin&Tonics were nice, snacks as well. However the real 5 stars is for the service! Friendly, enthusiastic and fast 👏🏻"
12,cafe BUHRS, 4 stars ,3 years ago,"Cozy local Bar, and nice cocktails. Good variety of beers and alcoholic beverages available. Friendly people, and a good service. Usually gets crowded after 23:00 with locals, good atmosphere for a great time"
13,cafe BUHRS, 5 stars ,2 years ago,"My favourite,  little local pub in Amsterdam,  such a gorgeous,  friendly,  fun vibe with the nicest people,  (Mo, Kitty and Teddy), you're likely to meet.  Miss you guys,  hope to get back soon. x"
14,cafe BUHRS, 4 stars ,a year ago,Friendly bar with nice terrace. Has basic food options but nothing gluten-free.
15,cafe BUHRS, 3 stars ,2 years ago,"Nice place with a good atmosphere, but unfortunately the snacks (and the Aperol Spritz) seem to be store bought. Not very exciting."
16,cafe BUHRS, 1 star ,2 years ago,"Last night I went to this place with a friend from Spain, I'm a neighbor, I have to say that it was painful, a hot beer, we ordered some peanuts to snack while we drank, and the young waiter told me that the kitchen was closed, We only …"
17,cafe BUHRS, 5 stars ,4 years ago,Great corner spot to enjoy a few beers and nibbles on a nice evenng and take in the relaxed local atmosphere. Service is friendly and fast.
18,cafe BUHRS, 3 stars ,3 years ago,"the dog was cute. cozy place to sit with Sue.. Valentino's is just across, but we dont know if that one is good or not"
19,cafe BUHRS, 5 stars ,3 years ago,"Great place with very friendly staff. Awesome area of Amsterdam too..
Thanks to the staff and owners for being so cool! See you again next time"
20,cafe BUHRS, 5 stars ,2 years ago,Cool place with some good beers and tasty snacks. Service lovely also.
21,cafe BUHRS, 5 stars ,4 years ago,Great service and selection of gins
22,cafe BUHRS, 3 stars ,4 years ago,"Nice place to grab a drink on the square, very child friendly with cafe owned kids toys like loopfiets and small cars."
23,cafe BUHRS, 5 stars ,4 years ago,I liked everything here...the five stars review goes to the crew! - all the girls are friendly and caring!
24,cafe BUHRS, 5 stars ,4 years ago,My favorite neighborhood bar. Very cozy and lacks tourist vibes
25,cafe BUHRS, 1 star ,a year ago,if a bug gets in ur drink they won't change it for free.
26,cafe BUHRS, 4 stars ,2 years ago,"Standard cocktail selection, nice staff."
27,cafe BUHRS, 5 stars ,a year ago,Real good atmosphere and pleasant service
28,cafe BUHRS, 4 stars ,5 years ago,Very attentive bartender we had here
29,cafe BUHRS, 5 stars ,4 years ago,"Awsome place, real Dutch bar"
30,cafe BUHRS, 4 stars ,2 years ago,Great place to grab a drink.
31,cafe BUHRS, 4 stars ,9 months ago,Fair and lovely place
32,cafe BUHRS, 5 stars ,4 years ago,Nachos are great as are the frys and beers.
33,cafe BUHRS, 5 stars ,a year ago,"Nice place, great service"
34,cafe BUHRS, 5 stars ,2 years ago,Super cozy and nice people!
35,cafe BUHRS, 5 stars ,a year ago,Ajax and lovely staff!!
36,cafe BUHRS, 4 stars ,3 years ago,"Friendly barkeep, good beers."
37,cafe BUHRS, 5 stars ,3 years ago,My local. Love this place.
38,cafe BUHRS, 5 stars ,3 years ago,Nice place and atmosphere.
39,cafe BUHRS, 5 stars ,5 years ago,The living room of the pijp
40,cafe BUHRS, 4 stars ,2 years ago,Cheap
41,cafe BUHRS, 5 stars ,3 months ago,"(Translated by Google) Nice staff, nice card and above all: good at corona rules! To come back because of that because that's how you know you're in good hands. …"
42,cafe BUHRS, 5 stars ,2 years ago,"(Translated by Google) Very friendly staff
Very good moscow mul (my favorite)
Pint of IPA beer recommended 😄 …"
43,cafe BUHRS, 5 stars ,10 months ago,"(Translated by Google) Super hospitable, nice menu with tasty beers, heaters, clean and tidy. All I can wish for is free beer;) …"
44,cafe BUHRS, 1 star ,3 years ago,"(Translated by Google) Unfortunately, the same experience was made last night as what I read here in a number of other reviews too; Cafe Buhrs is a nice pub with a warm atmosphere. Unfortunately, this is not to say to the staff. …"
45,cafe BUHRS, 1 star ,2 years ago,"(Translated by Google) The service was really bad. Had ordered a ham cheese bread, but the staff also came with Nachos, unexpectedly, I had said so.
At the same time another staff came to me and said ""no, you did, you did! "" …"
46,cafe BUHRS, 4 stars ,a year ago,(Translated by Google) Great place !! Can be maintained with high temperatures due to the many shade spots. Top service and tasty beers. Not the cheapest. …
47,cafe BUHRS, 5 stars ,4 months ago,"(Translated by Google) Friendly staff. Everything is very tasty.

(Original) …"
48,cafe BUHRS, 4 stars ,a year ago,"(Translated by Google) I was here recently on a very hot night and had a drink outside the two of us. What I really noticed was the staff: super nice and fast and correct. I noticed it to my table companion a few times. Thanks, guys. …"
49,cafe BUHRS, 5 stars ,3 years ago,(Translated by Google) Came here very regularly when we still lived in the Pijp. Now unfortunately less. A really cozy and relaxed place to just sit and enjoy a beer or wine. The snacks are also fine (especially the Taco chips casserole). …
50,cafe BUHRS, 1 star ,4 years ago,"(Translated by Google) I have rarely felt so unwelcome.
Initially friendly service. I noticed that a lot was shouted from behind the bar, out, to customers. …"
51,cafe BUHRS, 1 star ,3 years ago,"(Translated by Google) In terms of ambiance a nice cafe but the staff of that evening managed to ruin the atmosphere. Very unfriendly and compelling treatment. When I mentioned this, the atmosphere itself became a bit aggressive. In short, …"
52,cafe BUHRS, 5 stars ,3 years ago,"(Translated by Google) A nice neighborhood cafe for all ages. Very good service, many different beers, but also good coffee. You notice that they are there for the customers. …"
53,cafe BUHRS, 4 stars ,5 months ago,"(Translated by Google) Nice guys at the service. Fast and adequate.

(Original) …"
54,cafe BUHRS, 4 stars ,4 years ago,(Translated by Google) Fine brown pub with good seating outside with heaters when it is cold. The very cute square where it is located makes this a nice tent. …
55,cafe BUHRS, 5 stars ,4 years ago,"(Translated by Google) Super nice cafe, delicious drinks menu. Smooth and friendly service. Homemade apple pie every week. Wide choice of local beers. …"
56,cafe BUHRS, 4 stars ,2 years ago,"(Translated by Google) Van der Helstplein in Amsterdam, South district where I come to, before making private visits, to first have a drink with a bite to do with nice people there! …"
57,cafe BUHRS, 5 stars ,3 years ago,"(Translated by Google) What a very nice cafe! I have had a great time. Nice customers, nice staff and a nice atmosphere. I'll definitely return! …"
58,cafe BUHRS, 5 stars ,3 years ago,(Translated by Google) Cozy cafe on the corner. Staff are smooth and prices are reasonable. Just a great place to have a beer …
59,cafe BUHRS, 5 stars ,a year ago,"(Translated by Google) Tasty beers and snacks, warm and very friendly service.

(Original) …"
60,cafe BUHRS, 5 stars ,4 years ago,"(Translated by Google) Cozy cafe with nice beers, wines and cocktails and delicious granny bobs snacks and homemade satay. …"
61,cafe BUHRS, 5 stars ,3 years ago,(Translated by Google) Great place to drink a pilsie. Peaceful and cozy location. Nice staff …
62,cafe BUHRS, 5 stars ,3 years ago,(Translated by Google) Top tent! Nice people behind the bar. You always go home lame! …
63,cafe BUHRS, 3 stars ,3 years ago,(Translated by Google) Friendly service. Tasty bitterballen. Tomato juice very tasty but 3.50 on the price …
64,cafe BUHRS, 5 stars ,4 years ago,(Translated by Google) Super nice cafe friendly service and the atmosphere is great …
65,cafe BUHRS, 5 stars ,2 years ago,(Translated by Google) Super nice place! Fast service and above all a nice team! …
66,cafe BUHRS, 4 stars ,6 years ago,(Translated by Google) Classic Dutch pub with a good selection of beers at a good price. …
67,cafe BUHRS, 5 stars ,4 years ago,"(Translated by Google) Cozy good good wines and super service.

(Original) …"
68,cafe BUHRS, 5 stars ,3 years ago,"(Translated by Google) Ideal place to land after work. And yes, it is family. ❤

(Original) …"
69,cafe BUHRS, 4 stars ,4 years ago,"(Translated by Google) Friendly service. Beautiful heated terrace.

(Original) …"
70,cafe BUHRS, 5 stars ,2 years ago,"(Translated by Google) Very atmospheric

(Original)
Heel sfeervol"
