,Name,Review Rate,Review Time,Review Text
0,café de Groene Vlinder, 1 star ,a week ago,Extremely rude security guard on the door who chooses the people to go inside so staying in line is a waste of your time. There are much better options around… I will never go back there again!
1,café de Groene Vlinder, 2 stars ,a week ago,"A bar in a de Pijp corner. Decent prices, but the place is a bit dirty and the service was not so good. We also asked to pay separately and for some reason that we couldn't understand we weren't allowed to do that because 'there is only one bill'. Would not visit again if given other choices on the area."
2,café de Groene Vlinder, 5 stars ,2 years ago,"We had a great night here! Great atmosphere, very busy, good mix of tunes on the dance floor. Seems as though a lot of locals come here at night. Only downside was it closed at 3am."
3,café de Groene Vlinder, 3 stars ,6 months ago,"Nice place to seat and have a drink while exploring Albert Kuypt market. Food is also available. Prices are a bit higher, while service is terrible. We've been waiting for a waitress 20-30 minutes and when she arrived, she wasn't as polite …"
4,café de Groene Vlinder, 1 star ,6 months ago,Looks good but staff is VERY unfriendly. There are lots of other bars around. Better chose one of them.
5,café de Groene Vlinder, 5 stars ,5 months ago,Nice atmosphere with quick service even when it is crowded. Prices are good and beer is always good.
6,café de Groene Vlinder, 5 stars ,3 years ago,"Popular with the locals, I rarely heard my open language.  13.50 for a hearty cocked saute, small missed salad and fries with whatever sauce you prefer.
Great price, lovely atmosphere (I can't for the football game) and it was recommended by a Dutch local gal."
7,café de Groene Vlinder, 5 stars ,3 years ago,Nice place just in the middle of the market. The stuff is very friendly and the food is really good. The pic is tuna sandwich and green tea delicious!
8,café de Groene Vlinder, 4 stars ,3 years ago,Great food. Very friendly staff. Willing to do something for you to make your experience special. And yes you will come back there.
9,café de Groene Vlinder, 5 stars ,4 years ago,Nice friendly atmosphere. Creative fusion Dutch dishes. In the middle of the picturesque Albert Cup market in Amsterdam.   About 15 minutes walk From The Museum plan.
10,café de Groene Vlinder, 1 star ,a year ago,"The waiters and waitresses are the rudest people we have ever come across. We did absolutely nothing wrong nor make any difficult requests yet from arrival til departure the staff had extremely bad attitudes, we have never felt so unwelcome …"
11,café de Groene Vlinder, 5 stars ,4 months ago,Nice staff. Excellent views. Nice coffee
12,café de Groene Vlinder, 1 star ,2 years ago,"This seems to be a popular place for drinks and a good evening but certainly wouldn’t advise you to go here if you are looking for a satisfying meal. The most oily, poorly made burgers I’ve ever had, which we received after a wait of 40 minutes! I rarely leave a bad review but this one truly disappointed me."
13,café de Groene Vlinder, 4 stars ,4 years ago,Nice restaurant. Service is good.
14,café de Groene Vlinder, 4 stars ,3 years ago,"A slightly strange smell permeated the air, but this may be because they just cleaned. It's right next to the Albert Cyup market. Good burgers, good breakfasts, and GREAT chips. The waitress was very friendly and helpful."
15,café de Groene Vlinder, 4 stars ,2 years ago,I came to this bar with my colleague Matthew Holden in a mission to find our friend Louisa a mate. The bar was very busy but the bar staff were efficient and the music excellent. They played a healthy amount of ABBA and some awful remixes of Beatles songs. I would go back.
16,café de Groene Vlinder, 4 stars ,2 years ago,"Beers, coffee (vegan alternatives), smoothies...and food. Nice cute terrace in the sun, right next to the market.
Slightly overpriced but probably the case of the whole area. Service friendliness could be improved."
17,café de Groene Vlinder, 4 stars ,3 years ago,One of the coolest eateries at De Pijp. It was a sunny day and I sat outside for a beer and ended up ordering a Quiche. This quiche was amazing - very very delicious. The service was fast and people are very polite. The place has a great vibe!
18,café de Groene Vlinder, 1 star ,2 years ago,"We came for a quick lunch before our flight back home. My wife ordered a Caesars salad without croutons - since she is a celiac she has allergy to gluten. Salad came with croutons, so we returned it and asked for the new one without bread. …"
19,café de Groene Vlinder, 4 stars ,3 years ago,"Cozy but nice. Good place to go with friends. Large TV, so if it's a day with a good match somewhere, you get to enjoy that. A small duplex area and a small bar. Typical Amsterdam bar."
20,café de Groene Vlinder, 4 stars ,3 years ago,"Great bar to hang out and have a beer, I think! Before I could fully enjoy it the space cake kicked in and I lost my mind! Bar staff didn't mind and are probably used to it which! …"
21,café de Groene Vlinder, 3 stars ,3 years ago,"Service mediocre and overpriced. I was waiting in the terrace for someone to take my order, no one showed up. I walked in to place my order at the end. Went outside for a smoke and surprise there is no  heating. When I paid the bill I was …"
22,café de Groene Vlinder, 1 star ,8 months ago,Dirty place. Spilled beers everywhere and dirty tables with previous people’s cigarettes on the ash tray.
23,café de Groene Vlinder, 3 stars ,2 years ago,"Good location in de pijp, it is just a pub. It is a pity that now you can't sit outside anymore because they close the terrace in the evening. They have a good Cesar salad"
24,café de Groene Vlinder, 5 stars ,3 years ago,"Great atmosphere, sooo tasty  but huge portions! Could easily share one meal between two people."
25,café de Groene Vlinder, 3 stars ,3 years ago,"Good service, decent breakfast with a great coffee. I'd give more stars but I didn't partake of much of their wonders so have little to go on."
26,café de Groene Vlinder, 3 stars ,6 months ago,You can feel they are understaffed.
27,café de Groene Vlinder, 5 stars ,3 years ago,"This bar starts out as a very nice little french bistro, the 'papillon vert', then seamlessly turns into the physical manifestation of the Dutch word 'gezellig' as 'De Groene Vlinder', with Bitterballen, bier and chatting people. At the end …"
28,café de Groene Vlinder, 3 stars ,3 years ago,A popular pub for locals and internationals. Mostly (too) full and the music inside is a bit too loud to have a decent conversation without yelling at each other.
29,café de Groene Vlinder, 3 stars ,5 years ago,Friendly staff  however the coffe is not so good but the atmosphere is there. If you search for nice place to sit that's your spot.
30,café de Groene Vlinder, 3 stars ,6 years ago,"A very crowded dive bar in which you can dance and drink the night away.
The crowd is a mixture of young professionals and university students, and the prices are towards the cheap side of the spectrum."
31,café de Groene Vlinder, 2 stars ,3 years ago,"Food was ok. Beer was nice.
But be carefull!! The waitress tried to take to much money!!"
32,café de Groene Vlinder, 5 stars ,4 years ago,Lovely service. Food was great too. Just not really much choice for vegans. Would come again.
33,café de Groene Vlinder, 4 stars ,2 years ago,Friendly and nice service!
34,café de Groene Vlinder, 4 stars ,2 years ago,"Great beer, great food 😍"
35,café de Groene Vlinder, 4 stars ,2 years ago,"Friendly cafe on the Albert Cuyp Market. Attentive service, nice vibe, and the market is a classic Amsterdam experience."
36,café de Groene Vlinder, 3 stars ,6 years ago,It's location and the crowd on Friday night make this a place worthwhile. Any other location this bar would not have been as successful in.
37,café de Groene Vlinder, 4 stars ,5 years ago,Just popped in for some light snacks and beer but totally worth it for the people watching. Service was good and the people watching great!!
38,café de Groene Vlinder, 4 stars ,2 years ago,Great fun a Friday evening! Really enjoyed myself here! The music is 10/10
39,café de Groene Vlinder, 4 stars ,3 years ago,"Nice vibe, great music, excellent service and all in all a good place for a beer and burger."
40,café de Groene Vlinder, 4 stars ,4 years ago,"Good service, very friendly and helpful staff and a good, quirky atmosphere. Food is very good too. Recommended."
41,café de Groene Vlinder, 5 stars ,3 years ago,"Popular bar in the hip pijp area. A lot of locals go there, so expect a crowded place on Fridays and Saturdays."
42,café de Groene Vlinder, 4 stars ,4 years ago,Nice bar/pub Dutch style. Not a huge selection of beers but the atmosphere is the right one
43,café de Groene Vlinder, 5 stars ,3 years ago,"Cute bar, I always take my friends here when they visit!"
44,café de Groene Vlinder, 5 stars ,2 years ago,Great place for drinks and dancing in the evening. One of my go to places in De Pijp! :)
45,café de Groene Vlinder, 4 stars ,4 years ago,Nice friendly staff. Great location to have your beers and see the world goes around you.
46,café de Groene Vlinder, 1 star ,a year ago,De Groene Vlinder: where you’d never guess there are people dying of a pandemic. Pack those tables!
47,café de Groene Vlinder, 3 stars ,5 years ago,"Food is okay, it's mostly a nice location, central to the vibrant life of Albert Cuyp area"
48,café de Groene Vlinder, 5 stars ,3 years ago,Very Good Food
49,café de Groene Vlinder, 4 stars ,4 years ago,"Very friendly staff! Very! Good beer, good atmosphere ☺ x"
50,café de Groene Vlinder, 5 stars ,4 years ago,Good food and later at night party time with lots of students.
51,café de Groene Vlinder, 3 stars ,2 years ago,Nice place and nice music. But victim of its success... Too crowded ... :/
52,café de Groene Vlinder, 4 stars ,3 years ago,Nice place to have a hamburguer and a beer at. Nachos are recommended
53,café de Groene Vlinder, 4 stars ,4 years ago,Decent pit stop. Had a kind of hippy vibe mixed with the sort of vibe you might get around American tourists(?)
54,café de Groene Vlinder, 4 stars ,5 years ago,Good staff. :) Nice place to drink and eat something. :)
55,café de Groene Vlinder, 5 stars ,6 years ago,"Free wifi, amazing tea, really nice look overall with positive people."
56,café de Groene Vlinder, 2 stars ,7 years ago,"OK, it was busy on a Friday evening but no one asked me even once if I wanted to buy a drink even though I was probably there 2 hours."
57,café de Groene Vlinder, 4 stars ,4 years ago,Cute place!  Good music.  Friendly staff
58,café de Groene Vlinder, 5 stars ,7 years ago,Wonderful original and brown Dutch café with delicious food!
59,café de Groene Vlinder, 5 stars ,2 years ago,Best place to hang out and drink beer
60,café de Groene Vlinder, 3 stars ,8 years ago,Service a bit slow but otherwise nice.  Good location on a sunny day.
61,café de Groene Vlinder, 4 stars ,4 years ago,More of a student place and ok for a drink around the market
62,café de Groene Vlinder, 4 stars ,4 years ago,Nice vibe great burgers and beer
63,café de Groene Vlinder, 5 stars ,5 years ago,"Albert market - go on friday. Alot of good resturats around,"
64,café de Groene Vlinder, 4 stars ,2 years ago,"Good prices, nice atmosphere"
65,café de Groene Vlinder, 3 stars ,6 years ago,Nice but a bit crowded during the weekend
66,café de Groene Vlinder, 5 stars ,2 years ago,"Awesome venue, great staff"
67,café de Groene Vlinder, 4 stars ,5 years ago,Nice place especially for King's Day
68,café de Groene Vlinder, 3 stars ,11 years ago,Relaxed bar with bit outside area
69,café de Groene Vlinder, 4 stars ,3 years ago,Cozy and friendly atmosphere.
70,café de Groene Vlinder, 5 stars ,2 years ago,Perfect for a local beer
71,café de Groene Vlinder, 4 stars ,3 years ago,Good beer and shots
72,café de Groene Vlinder, 5 stars ,2 years ago,Very good Cappuccino
73,café de Groene Vlinder, 1 star ,2 years ago,I left the restaurant hungry...
74,café de Groene Vlinder, 2 stars ,5 years ago,Nothing special. Just a bar.
75,café de Groene Vlinder, 5 stars ,2 years ago,Great lunch
76,café de Groene Vlinder, 5 stars ,3 years ago,Great Moscow mules!
77,café de Groene Vlinder, 5 stars ,5 years ago,The best burger
78,café de Groene Vlinder, 4 stars ,4 years ago,Cosy
79,café de Groene Vlinder, 5 stars ,2 years ago,Nice
80,café de Groene Vlinder, 2 stars ,5 years ago,Mediocre
81,café de Groene Vlinder, 5 stars ,8 years ago,Perfect ambience
82,café de Groene Vlinder, 5 stars ,5 years ago,Original
83,café de Groene Vlinder, 4 stars ,5 years ago,Lively place!
84,café de Groene Vlinder, 4 stars ,48 minutes ago,Good spot for a drink after 5. good music friendly staff
85,café de Groene Vlinder, 1 star ,a week ago,"The security guard on the front door was very rude and extremely aggressive. He didn’t know how to organize the line, so people can go inside safe, instead of letting the first on the line go inside, he was choosing people! I would never recommend this place, such a terrible service."
86,café de Groene Vlinder, 4 stars ,5 months ago,(Translated by Google) Nice cafe with outdoor tables to watch the world go by. Good sandwich with hummus and vegetable ratatouille. Average prices. …
87,café de Groene Vlinder, 4 stars ,8 months ago,"(Translated by Google) Cozy cozy place.
Good price-quality ratio.
Friendly staff and a nice atmosphere …"
88,café de Groene Vlinder, 5 stars ,7 months ago,"(Translated by Google) Nice food nice location.

(Original)
Lekker eten mooie locatie."
89,café de Groene Vlinder, 5 stars ,a month ago,"(Translated by Google) Good place to tackle deer, 'vo!!

(Original) …"
90,café de Groene Vlinder, 4 stars ,3 years ago,(Translated by Google) We came across it by chance and it was a very desirable site. Nice staff who make an effort to speak your language. The rich dishes. …
91,café de Groene Vlinder, 5 stars ,2 years ago,"(Translated by Google) Was brunch here. The sandwiches are delicious, with fresh ingredients and nicely prepared. …"
92,café de Groene Vlinder, 4 stars ,5 months ago,"(Translated by Google) Cozy place for lunch. Very friendly waiter.

(Original) …"
93,café de Groene Vlinder, 4 stars ,4 years ago,"(Translated by Google) A decent place, well located, we ordered a Caesar salad and although it was nothing traditional, it was very good …"
94,café de Groene Vlinder, 3 stars ,3 years ago,"(Translated by Google) First time I ate here was perfect. The food, the atmosphere, the service. So I persuaded my girlfriends to eat here with me. Unfortunately, this second time turned out to be less successful .. the atmosphere was good …"
95,café de Groene Vlinder, 1 star ,2 years ago,"(Translated by Google) Yesterday's staff was very inhospitable. Fifteen minutes after the last round (beer not yet finished), we were asked to decompose very unfriendly. They also addressed my friend with ""dick"" and tried to start a …"
96,café de Groene Vlinder, 5 stars ,3 years ago,"(Translated by Google) Very suitable location for us at the time. A quick bite after a long yoga bikram yoga session. The pasta was the daily bite, was very tasty. The burger with fries was also very tasty. Not overly much, portion was just …"
97,café de Groene Vlinder, 5 stars ,5 months ago,"(Translated by Google) Nice tent with good stuff and nice staff

(Original) …"
98,café de Groene Vlinder, 1 star ,3 years ago,"(Translated by Google) This afternoon at half past one we had lunch here. Carpaccio salad was really dirty, thick slices of not fresh beef with a lot of fat or muscle on it. A lot of balsamic syrup with which, in my opinion, she tried to …"
99,café de Groene Vlinder, 5 stars ,5 months ago,"(Translated by Google) Super tasty salmon sandwich!

(Original)
Super lekker broodje zalm!"
100,café de Groene Vlinder, 5 stars ,9 months ago,"(Translated by Google) Nice lunch. Cozy terrace and good value for money.

(Original) …"
101,café de Groene Vlinder, 4 stars ,7 years ago,"(Translated by Google) Great eatery with nice price-quality ratio for the dinner menu. Nice atmosphere inside, not too massive. Operation is fine. In addition, also cozy on Friday evenings for a drink. …"
102,café de Groene Vlinder, 2 stars ,a year ago,(Translated by Google) table was dirty and no one asked for my contact details to find the virus. Food and drinks were tasty. …
103,café de Groene Vlinder, 5 stars ,2 years ago,"(Translated by Google) Top service and delicious Hennesey cola with ice cream

(Original) …"
104,café de Groene Vlinder, 4 stars ,3 years ago,(Translated by Google) And at the end of the day ... waiting on the roof for fish scraps to be distributed …
105,café de Groene Vlinder, 2 stars ,9 years ago,(Translated by Google) Have lunch with a group. Limited choice. But especially annoying that we were all eating separately. In the order that it came out of the kitchen products were not bad. …
106,café de Groene Vlinder, 4 stars ,4 years ago,"(Translated by Google) Interesting! Pleasant atmosphere and decor, cheerful decor, very good music, good beer and cheese fondue. Friendly service. Good for those who are at the fair on this street! …"
