,Name,Review Rate,Review Time,Review Text
0,caf√© Bos, 5 stars ,4 years ago,We had a visit here with an old Dutch friend and her dog today.  The bar was jam packed with very pleasant people watching the football on TV so we enjoyed the outside seating area. The waiter who we are guessing may also be the owner was a …
1,caf√© Bos, 5 stars ,5 years ago,Been there twice now. Once to watch some football and the other time just for quick drink after work. Friendly staff and they even have a bowl outside with water for dogs.
2,caf√© Bos, 3 stars ,4 years ago,"Hospitable managers, very good location, local bar, but attracts wrong crowed."
3,caf√© Bos, 4 stars ,3 years ago,A reasonably nice place to stop while in the Bos
4,caf√© Bos, 5 stars ,3 years ago,"Old school Amsterdam. They make you welcome, and look after you."
5,caf√© Bos, 4 stars ,8 years ago,Very nice place with a very nice terrace.
6,caf√© Bos, 5 stars ,4 years ago,Ask the bartender for their special gin!
7,caf√© Bos, 4 stars ,5 years ago,Great little cafe
8,caf√© Bos, 5 stars ,4 years ago,My fridaynight pissup!!
9,caf√© Bos, 5 stars ,3 years ago,Friendly welcoming!
10,caf√© Bos, 4 stars ,5 years ago,OK
11,caf√© Bos, 4 stars ,5 years ago,Friendly staff
12,caf√© Bos, 5 stars ,4 years ago,(Translated by Google) Cafe Bos is also nice it is against the women prison. Cozy cafe with a nice terrace. I have sat there and had a lot of fun with the boys of the rowing association of amsterdam. The audience what is coming is also very …
13,caf√© Bos, 5 stars ,5 years ago,"(Translated by Google) Delicious neighborhood cafe. Frying can always go for a bitterball, beer is just beer, what more do you want from a pub?
No nonsense tent …"
14,caf√© Bos, 5 stars ,5 years ago,"(Translated by Google) Top tent. Historical (100+ year old) brown Amsterdam café. Nice bartender, nice locals, good music. Recommended! …"
15,caf√© Bos, 4 stars ,4 years ago,"(Translated by Google) Nice old fashioned. Best time; between 3 pm and 7 evening. Mulled wine was a bit expensive, but not necessary. …"
16,caf√© Bos, 5 stars ,3 years ago,"(Translated by Google) Still empty the stock with HP.

(Original) …"
17,caf√© Bos, 4 stars ,6 years ago,"(Translated by Google) Simple but nice cafe. Terrace is OK, but a bit strange because there is a street between the cafe and the terrace. …"
