,Name,Review Rate,Review Time,Review Text
0,caf√© De Pianist, 5 stars ,a month ago,"Wonderful local bar with regular live music.  Great atmosphere, sensible prices, fantastic hosts in Rod and Els, and when covid is playing g havoc with things a wide assortment of fantastic musicians play here on various nights. No cover charge."
1,caf√© De Pianist, 5 stars ,a week ago,"Great vibes. Totally musicish atmosphere.  And the people really love what theyavre doing. Totally 5 starts, will recommend 😁"
2,caf√© De Pianist, 5 stars ,4 months ago,"This is the typical neighborhood dutch coffee. Quiet, friendly and welcoming. Perfect for a beer stop in the cold Amsterdam outside of the Westerpark"
3,caf√© De Pianist, 5 stars ,a month ago,Perfect ambient. Amezing music and staff super polite
4,caf√© De Pianist, 5 stars ,2 years ago,"Amazing place, very cosy and lovely barman. You could enjoy a long afternoon here"
5,caf√© De Pianist, 5 stars ,2 years ago,My daughter and I spent 3 nights in  Amsterdam .....this was our favorite cafe in the neighborhood of our Airbnb...
6,caf√© De Pianist, 5 stars ,3 years ago,Great little piano bar. We had a good time. We had some drinks and listened to some good music. Good fun for the hole family or if you just want to stop after work. We ordered two Diet Cokes. They were reasonably priced.
7,caf√© De Pianist, 4 stars ,2 years ago,"A place to keep in mind. Old fashioned Amsterdam. No nonsense, good prices for drinks, relaxed atmosphere and even after 02:00 AM it has a nice crowd. A good mix of young, old and tourist. Lovely people behind the bar. Just missed the Live music, so I need to go back."
8,caf√© De Pianist, 5 stars ,6 months ago,"Nice, friendly local place. Even with a 15 minute walk I come here quite often. The music is fine. Ect gezellig!"
9,caf√© De Pianist, 5 stars ,7 months ago,"I love this place, such a cute little terrace with friendly people and fantastic service!"
10,caf√© De Pianist, 5 stars ,4 years ago,"Very cozy interior. Gives you a feeling as if you're at home. The hosts are great, and always happy to mingle with their guests. More often than not, there is also live music playing, which adds a lot to the atmosphere."
11,caf√© De Pianist, 5 stars ,3 years ago,Super cozy place with good live music and friendly staff.
12,caf√© De Pianist, 5 stars ,2 years ago,"Great neighborhood place, with nice music bands playing, good drinks and Dutch snacks, Husband and wife working! It's very friendly and not expensive! Go and have a visit!"
13,caf√© De Pianist, 5 stars ,a month ago,"Great place, great people!!! 🙂🙂🙂"
14,caf√© De Pianist, 5 stars ,3 years ago,"Great local. Loads of live music. Super friendly owners. Always busy outside when the sun is shining. Real Amsterdam, come and escape the tourists😎"
15,caf√© De Pianist, 5 stars ,4 years ago,I love this place! Great staff and beers. If you are lucky you can listen the piona guy or some other guys playing. Only the food selection is limited.
16,caf√© De Pianist, 4 stars ,3 years ago,"Four stars because the Dutch lady behind the bar was very nice and the place is a hidden pub with nice ambiance in the evening's, no traffic or noises just relaxing in this nice neighborhood"
17,caf√© De Pianist, 5 stars ,2 years ago,"A very traditional Dutch bar. With Dutch customers. A place to visit, especially if you live in the neighborhood. Cozy atmosphere."
18,caf√© De Pianist, 5 stars ,3 years ago,My favourite brown bar in the west. Chill atmosphere and nice staff.
19,caf√© De Pianist, 5 stars ,2 years ago,"Lovely atmosphere, brilliant live music"
20,caf√© De Pianist, 4 stars ,3 years ago,Nice for local community. Everybody know everybody. Just pub for local residents of west side of Amsterdam.
21,caf√© De Pianist, 5 stars ,4 years ago,It is very nice place. It is homy and has a little classy vibe as well.
22,caf√© De Pianist, 4 stars ,a year ago,Its a bar. It sells beer. They play music there.
23,caf√© De Pianist, 4 stars ,3 years ago,Small and intimate place where live music is played... Really relaxing place
