,Name,Review Rate,Review Time,Review Text
0,caf√© de Groene Vlinder, 5 stars ,2 years ago,"We had a great night here! Great atmosphere, very busy, good mix of tunes on the dance floor. Seems as though a lot of locals come here at night. Only downside was it closed at 3am."
1,caf√© de Groene Vlinder, 3 stars ,6 months ago,"Nice place to seat and have a drink while exploring Albert Kuypt market. Food is also available. Prices are a bit higher, while service is terrible. We've been waiting for a waitress 20-30 minutes and when she arrived, she wasn't as polite …"
2,caf√© de Groene Vlinder, 1 star ,6 months ago,Looks good but staff is VERY unfriendly. There are lots of other bars around. Better chose one of them.
3,caf√© de Groene Vlinder, 5 stars ,5 months ago,Nice atmosphere with quick service even when it is crowded. Prices are good and beer is always good.
4,caf√© de Groene Vlinder, 5 stars ,3 years ago,"Popular with the locals, I rarely heard my open language.  13.50 for a hearty cocked saute, small missed salad and fries with whatever sauce you prefer.
Great price, lovely atmosphere (I can't for the football game) and it was recommended by a Dutch local gal."
5,caf√© de Groene Vlinder, 5 stars ,3 years ago,Nice place just in the middle of the market. The stuff is very friendly and the food is really good. The pic is tuna sandwich and green tea delicious!
6,caf√© de Groene Vlinder, 4 stars ,3 years ago,Great food. Very friendly staff. Willing to do something for you to make your experience special. And yes you will come back there.
7,caf√© de Groene Vlinder, 5 stars ,4 years ago,Nice friendly atmosphere. Creative fusion Dutch dishes. In the middle of the picturesque Albert Cup market in Amsterdam.   About 15 minutes walk From The Museum plan.
8,caf√© de Groene Vlinder, 1 star ,a year ago,"The waiters and waitresses are the rudest people we have ever come across. We did absolutely nothing wrong nor make any difficult requests yet from arrival til departure the staff had extremely bad attitudes, we have never felt so unwelcome …"
9,caf√© de Groene Vlinder, 5 stars ,4 months ago,Nice staff. Excellent views. Nice coffee
10,caf√© de Groene Vlinder, 1 star ,2 years ago,"This seems to be a popular place for drinks and a good evening but certainly wouldn’t advise you to go here if you are looking for a satisfying meal. The most oily, poorly made burgers I’ve ever had, which we received after a wait of 40 minutes! I rarely leave a bad review but this one truly disappointed me."
11,caf√© de Groene Vlinder, 4 stars ,4 years ago,Nice restaurant. Service is good.
12,caf√© de Groene Vlinder, 4 stars ,3 years ago,"A slightly strange smell permeated the air, but this may be because they just cleaned. It's right next to the Albert Cyup market. Good burgers, good breakfasts, and GREAT chips. The waitress was very friendly and helpful."
13,caf√© de Groene Vlinder, 4 stars ,2 years ago,I came to this bar with my colleague Matthew Holden in a mission to find our friend Louisa a mate. The bar was very busy but the bar staff were efficient and the music excellent. They played a healthy amount of ABBA and some awful remixes of Beatles songs. I would go back.
14,caf√© de Groene Vlinder, 4 stars ,2 years ago,"Beers, coffee (vegan alternatives), smoothies...and food. Nice cute terrace in the sun, right next to the market.
Slightly overpriced but probably the case of the whole area. Service friendliness could be improved."
