,Name,Review Rate,Review Time,Review Text
0,hemelse modder, 5 stars ,a year ago,"Very good price/quality ratio!

We had a lovely 3-course dinner here for €40 per person. The amount of food was …"
1,hemelse modder, 4 stars ,a month ago,Nice little restaurant with friendly staff. Good food with wine pairing. Loved the fact that the chef's menu was completely vegan.
2,hemelse modder, 5 stars ,3 months ago,"Innovative creative novel eclectic modern menu. Beautiful presentation great flavors.
Nice contemporary surroundings and comfortable. Only the partial lock down spoilt our evening  . HIGHLY RECOMMEND"
3,hemelse modder, 4 stars ,2 years ago,"Great place, I had a great evening here. We had a five course dinner. We wanted the wine combination and we asked if we could just get three wines, only at the starter, main course and the cheese, and that was no problem. The wines were …"
4,hemelse modder, 5 stars ,3 years ago,"Allow yourself to be guided through the story and tradition of Dutch cuisine with a pinch of modern and a festival of flavours! The menu is incredibly complete but absolutely simple (you pay based on the amount of courses you order, any …"
5,hemelse modder, 5 stars ,7 months ago,A wonderful all around experience! The staff was super friendly and welcoming. The food was all excellent and the wine pairings all worked well with the dishes. The Dutch cheese platter and Hemelse Modder chocolate dessert were some highlights that most exceeded their descriptions but everything was good.
6,hemelse modder, 4 stars ,6 months ago,"We had shrimp bisque with garlic foam (to die for), I had lamb with pistachio add main dish (excellent too) with the signature french fries, cheese (not worth it. I'll explain below), and the Hemelse Modder dessert which is no other than 3 …"
7,hemelse modder, 4 stars ,3 years ago,"Stylish and well decorated interior, nice staff. The food is a bit shifting. The starter (Halibut) was absolutely amazing but the main course were sort of a disappointment. The watermelon soup were interesting and fresh but not particularly …"
8,hemelse modder, 4 stars ,2 years ago,"Excellent restaurant. You get to choose between a 3, 4, and 5 meal course (add wine pairing option if you want for extra euros). The service was nice but the wait between the courses were a bit too long. It took them 15 min to get me two …"
9,hemelse modder, 5 stars ,8 months ago,"Excellent food and service!
Creative and tasty food, very beautiful outdoor seating (you can hear birds singing) and great service with Dutch smile and courtesy. They even called us a taxi …"
10,hemelse modder, 5 stars ,2 years ago,"Absolutely perfect. Excellent service - nothing too much trouble. The restaurant was really busy, but still couldn't fault the service. Good sublime as always. Fantastic wines too."
11,hemelse modder, 5 stars ,3 years ago,"This place is awesome! Loving little terrasse behind, beautiful restaurant inside. The wine list is great including only organic and well tought products. …"
12,hemelse modder, 5 stars ,3 months ago,The best meal of our stay in Amsterdam.  Wonderful flavours; great presentation and excellent service.
13,hemelse modder, 4 stars ,2 years ago,Went as a team here and we really enjoyed it. Good selection of dishes (including vegetarian). Very friendly staff. Zeer leker👍
14,hemelse modder, 5 stars ,3 years ago,We had the pleasure of joining the team on their birthday so there was a special menu. The food was amazing and the citrus cream dessert was possibly the best I've ever had.
15,hemelse modder, 5 stars ,6 months ago,"This place is well worth a visit, beautiful food, amazing staff and they even cater for gluten free people. ❤️❤️❤️"
16,hemelse modder, 4 stars ,2 years ago,Great soup and steak. The namesake dessert is a little too much and skippable.
17,hemelse modder, 5 stars ,2 years ago,Excellent dining experience. Very cosy setting
18,hemelse modder, 5 stars ,2 years ago,"The food served is excellent, but when the restaurant is busy you'll need to wait. Portions are not oversized, so you can make it to dessert. Their formula is a 3 course menu for a set price. If you take only two courses there is a slight …"
19,hemelse modder, 5 stars ,2 years ago,Always excellent. Probably my third trip. The menu is always interesting and I usually want to eat it all. Relaxed unfussy professional service. The wine list is short but everything is interesting. Go! Now !
20,hemelse modder, 4 stars ,3 years ago,"Great if you want to try the local cuisine. Choice from 3 portions is just the right amount (choice wisely though, don’t go with all heavy options if not too hungry). The bouillon isn’t my thing, rather salty and flavourless. But the duck, stew and fish were solid. The desserts were very small but good."
21,hemelse modder, 5 stars ,5 years ago,"Food was exquisite in flavor, unique combinations of ingredients.  Staff was wonderful.  Atmosphere relaxed.  Part of the ambiance is to take your time and enjoy so expect to spend some time there.  Well worth the anticipation (looked up …"
22,hemelse modder, 2 stars ,2 years ago,"Hemelse Modder has been there forever and I have always enjoyed going with friends or colleagues. However on my last visit portions were too small. We expanded the 3-course menu to 4-courses, but still not satisfied and the food was nothing …"
23,hemelse modder, 3 stars ,2 years ago,"No amazing dishes but a nice meal. Good price/quality. The ""hemelse modder"" as a dessert is very nice. Wouldn't order the fries as extra anymore, because they are a bit dry and the rest is well-portioned"
24,hemelse modder, 5 stars ,2 years ago,I love this place. Very friendly staff great food. Very accomodating. Not over the top fancy just good healthy eating with great wine arrangement at reasonable prices...there are a few of these down to earth restaurants in Amsterdam... Make use of them.
25,hemelse modder, 5 stars ,6 months ago,"Delicious flavours in a cute place, with a kind, warm service. Superbe."
26,hemelse modder, 4 stars ,a month ago,Lovely fresh food during lockdown
27,hemelse modder, 5 stars ,3 months ago,"Restaurant, food,  staff were all amazing!"
28,hemelse modder, 5 stars ,5 years ago,We enjoyed a lovely evening over four courses. The service was delightfully friendly and each course was creative and tasty. We felt as though the portions were more than large enough. The paired wines were also very well selected.
29,hemelse modder, 1 star ,2 years ago,"Reserved a table for 10 persons with only 7 people showing up. When the check came, the restaurant charged us with 3 extra 3 course meals (120 euro!) . They did not tell us ahead of time they will charge extra, also they did not cook those courses! On top of this the restaurant was half empty anyway. We felt basically scammed.."
30,hemelse modder, 5 stars ,3 years ago,"Certain days in a week I eat vegan, and this was one of those days. Normally I don't eat outside because of the limited choices and the quality is poor. This time it was an exception and therefore my expectations were quite low. BUT the food was wonderfull, very tasty and an excellent service. So also a very good place for vegans!"
31,hemelse modder, 1 star ,2 years ago,"We had the rudest male server when we came in last night. I couldn’t believe how condescending he was when we wanted to order drinks. He said, “We’re a restaurant, not a bar. So, I’ll get your check right now.” It was easily worst service I’ve seen in over 20 countries. I strongly recommend finding another place."
32,hemelse modder, 3 stars ,5 years ago,"We spent three (!) hours in the restaurant for a three course dinner. Two hours of that were definitely spent on waiting, it even took almost half an hour until our order was taken. …"
