,Name,Review Rate,Review Time,Review Text
0,‚ÄãTales & Spirits, 5 stars ,4 months ago,"Best cocktailbar of Amsterdam! Cocktails that are very unique. Very friendly people that work here. Don't miss this place!
Small, cute, warm interior. And the snack you get with the cocktails is very …"
1,‚ÄãTales & Spirits, 5 stars ,a month ago,"Such an amazing place! The people are so nice, the drinks amazing and the bites are perfect. Can’t recommend it more."
2,‚ÄãTales & Spirits, 4 stars ,5 months ago,"The staff was friendly and very welcoming. We recieved complimentary crisps with their in-house chutney, and water. There are several options to choose from the menu. You can even ask for your favourite cocktails if it is not there on the …"
3,‚ÄãTales & Spirits, 5 stars ,3 months ago,"Innovative cocktails, creative presentation, sometimes with a table-side/ live presentation, that taste just right for your liking! Nice ambience, friendly bartenders and servers, spent a very nice evening there. Recommended!"
4,‚ÄãTales & Spirits, 5 stars ,4 months ago,"The cocktails were absolutely fantastic!
The staff is really kind and helpful, but it seems like you can't get it wrong when you choose a cocktail here."
5,‚ÄãTales & Spirits, 3 stars ,4 months ago,"I am very disappointed to be honest. I was expecting a nice drink for €14 euros, I’ve got a big pile of ice , 5 zips and my “longdrink”was over . I give 3 stars because the service was amazing and the staff was super friendly, but the drink …"
6,‚ÄãTales & Spirits, 5 stars ,8 months ago,The best cocktails in Amsterdam (maybe in the Netherlands). Super friendly bartenders who make you feel like regulars on your first visit. Great music. Great vibe. An instant classic.
7,‚ÄãTales & Spirits, 4 stars ,5 months ago,"T&S they don’t accept reservations, so be prepared, waiting times can require good will. …"
8,‚ÄãTales & Spirits, 5 stars ,5 months ago,"Weird menu. Fancy drinks.

Waiter was the nicest guy on the planet and the Old Fashion was the best I ever had."
9,‚ÄãTales & Spirits, 5 stars ,6 months ago,"This was genuinely an amazing experience! The staff is very friendly and knowledgeable & the cocktails are exquisite! They also have snacks, we tried the pork buns, jalapeño poppers, crispy chicken and truffle rice- all delicious! …"
10,‚ÄãTales & Spirits, 5 stars ,9 months ago,Awesome place with friendly people and amazing cocktails. You should definitely try the snacks as well!
11,‚ÄãTales & Spirits, 5 stars ,7 months ago,"My experience was wonderful from the start t’il the end. The outside doesn’t say much about the place, but once you’re inside, you’re immediately in the mood. We sat at the bar with my friend, discussed with the bartender who also …"
12,‚ÄãTales & Spirits, 5 stars ,4 years ago,"The best in town... Cocktails, creativity, entertainment, pure hospitality and Love for what's done. Have been a few times and it's becoming my all time favorite! The staff is so cool, the Barbie is awesome and even the food is killer... will go back at each opportunity, over and over again!"
13,‚ÄãTales & Spirits, 5 stars ,4 years ago,Super nice barmen and personnel. The cocktails are served in great vintage glasses.  The menu is written so nice and attractive. It is a seated bar so you might need to wait outside.
14,‚ÄãTales & Spirits, 5 stars ,2 years ago,Amazing service along with amazing cocktails.  The presentation of the drinks is quirky and the flavours are balanced and interesting. It is a little bit pricey but worth it. My only complaint is the menu is difficult to read because the pages are thick cardboard.
15,‚ÄãTales & Spirits, 5 stars ,2 years ago,"I love this place! We found it randomly walking around the city and stopped in for drinks. The staff is so friendly and accommodating. They give you a bottle of water with each drink you order, which I think is amazing. They will make you a …"
16,‚ÄãTales & Spirits, 5 stars ,a month ago,"Great cocktail bar with good explanations. Super expérience and the service was great🤌.
Thanks for the night !"
17,‚ÄãTales & Spirits, 5 stars ,2 years ago,Absolutely awesome place!! Great vibe inside. Best place in Amsterdam for cocktails..very unusual and unique flavours and combinations. First class customer service. Cannot fault!! Perfect from A-Z!! Thanks again. Will definitely return here
18,‚ÄãTales & Spirits, 1 star ,4 months ago,"We waited in line for over half an hour and the man at the door decided to let those behind us in. Then we talked to that guy and he lied about it. ""They were here before you,"" he said. But those people had just arrived 10 minutes ago. We …"
19,‚ÄãTales & Spirits, 5 stars ,2 years ago,This spot is fantastic. The cocktails are inventive and delicious. Inside of the bar is a tight fit for big groups but they handle it well by making sure they seat folks. They are particular about seating with coats off due to space which isn't a big deal as you can see where your coat wanders off to. Enjoy this place immensely!
20,‚ÄãTales & Spirits, 5 stars ,6 months ago,"Amazing interior and even better personnel. We found it by accident and were planning to stay for a drink, and yet we stayed til closing. If you have a chance sit inside and enjoy the music, the atmosphere, and definitely talk to the employees!!"
21,‚ÄãTales & Spirits, 2 stars ,6 months ago,Atmosphere is good. Nice music. Service was not to good. My expectation is that a person sitting at the bar with an empty glas should get asked for another drink. It took a while to get the attention of the mixologist. The cocktails are …
22,‚ÄãTales & Spirits, 5 stars ,5 months ago,"Great cocktails and best service, try the Zombie and Mojo"
23,‚ÄãTales & Spirits, 5 stars ,4 years ago,"Had an absolute good time at T&S. Service was wonderful, had a seat at the bar and evening was made very comfortable by the bartenders. Food was delicious and cocktails were great, definitely deserve to be in the top 50 best bars in the world list and will definitely return again"
24,‚ÄãTales & Spirits, 5 stars ,2 years ago,I found Tales & Spirits on a list of the top bars in Amsterdam and I can confirm it absolutely belongs on such a list! …
25,‚ÄãTales & Spirits, 5 stars ,2 years ago,"Really lovely cocktail bar, one of the best in Europe. The cocktails are presented in very particular glasses as you can see from the pictures. Not cheap but if you want the quality you have to pay for it 😄"
26,‚ÄãTales & Spirits, 5 stars ,3 years ago,The place is really nice. You can find perfect cocktail for your taste. Always crowded. Hard to find a space to sit. So try to go early. Every week they have different types of cocktails. So don't miss the change when you arrive there. …
27,‚ÄãTales & Spirits, 5 stars ,2 years ago,"Wonderful cocktail bar with an expansive and creative bar menu. They have an intimate setting and a wonderful staff. It is no wonder this place is one of the top 50 bars in the world. It combines being exceptional, with being fun, and not being overly snobby. A must for any visitor to Amsterdam."
28,‚ÄãTales & Spirits, 4 stars ,2 years ago,"Definitely has a boujee cocktail vibe, a little bit of a speakeasy flair to it, and the cocktails and service are great! Recommend going early so you can be in the first seating, and just grab a spot at the bar. Menu is too big and …"
29,‚ÄãTales & Spirits, 5 stars ,3 months ago,Very good level of service and same level of drinks. They never disappoint. A must when visiting Amsterdam!
30,‚ÄãTales & Spirits, 5 stars ,2 years ago,Very friendly staff. Made us feel welcome and bartenders made great cocktails to suit all our different tastes. Crunchy chicken is a must have! We had a great time.
